Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978)
1.2177564945258337e-13,0.35138919219600506,76.950000000000003,0.0,0.0,0.0,0.99628101360796362,9.4999999915097391,2.4126675370343134e-06,2.7001337886741089e-05,2.6992858467678246e-05,6.1804623587269679e-09,1.7547646342029049e-12,0.0027760235049902621,0.00019412325960905543,2.3080308855865571e-09,2.451961507116742e-17,2.4358071405067461e-16,3.5318203925758283e-14,0.00068290253225470287,2.7589982237122456e-10,7.3399017436158635e-18,3.8231079590914715e-18,4.4450414166723996e-20,0.0,5.7569283046703548e-10,4.7529352489694923e-09,2.0638071974504388e-11,2.0638910464405181e-11,6.8166306741630329e-16,1.5682683338340032e-16,2.5278589562365675e-11,1.6474641551267673e-10,1.3038645747122809e-14,1.4742520518778107e-15,5.2724601846842343e-28,1.3450735375106987e-16,6.0238718311706024e-16,4.7293155166799801e-28,8.3127779054807243e-06,5.9527690078039431e-22,2.5964474889653959e-22,4.9561466296392074e-08,1.4248333437038956e-08,1.0896138193088695e-06,4.9724275771932314e-08
1.263519874900403e-13,0.3513891921934972,76.950000000000003,0.0,0.0,0.0,0.99614183510936627,9.4999999908831665,2.5031605996711465e-06,2.8012056207361962e-05,2.8002918194894511e-05,6.6468587710742082e-09,1.8204584019364674e-12,0.0028515889401121305,0.00020758974088076496,2.4681388042811586e-09,2.6369954372739981e-17,2.7841578870166996e-16,3.9155208585721496e-14,0.00073027661706840633,2.9697238048798477e-10,7.849071901402863e-18,4.091525060000072e-18,5.1203921425106083e-20,0.0,6.3977673991406296e-10,5.1156953397728198e-09,2.3049465781393001e-11,2.3050425328638812e-11,7.7892466231809113e-16,1.8062258349294957e-16,2.7906166809374943e-11,1.7753826053324285e-10,1.4337282664623935e-14,1.6324795465659853e-15,6.8237162647354677e-28,1.5444351325820058e-16,6.7795133203356149e-16,6.1209908400562373e-28,8.8894757284333508e-06,6.8544046657917273e-22,2.984879977771781e-22,5.4920941389722721e-08,1.5786219507471001e-08,1.160768178947445e-06,5.5108688884921003e-08
1.3092832552749725e-13,0.3513891921909067,76.950000000000003,0.0,0.0,0.0,0.99600269421418508,9.4999999902358923,2.593641009093598e-06,2.9022487444821764e-05,2.9012665693462782e-05,7.1297112115191341e-09,1.8861335100523457e-12,0.0029254841534880624,0.00022141381843930721,2.6324967209145694e-09,2.8285580365053094e-17,3.1668309775272716e-16,4.3239639136908655e-14,0.00077890876568100821,3.1881628252961356e-10,8.3717578240046815e-18,4.367128757604119e-18,5.8675757040388632e-20,0.0,7.0821138655363818e-10,5.4916989577188885e-09,2.5641414055811107e-11,2.5642506541522193e-11,8.8554075452160936e-16,2.0694495656601508e-16,3.0686771361559137e-11,1.9081418452062044e-10,1.5706214344345261e-14,1.8006733421881841e-15,8.7505977261841602e-28,1.76411815833928e-16,7.5971308969923081e-16,7.8497220559232021e-28,9.4814918657492542e-06,7.8500108079077017e-22,3.4132808675317132e-22,6.0621728720044369e-08,1.7421618798317537e-08,1.2333517378842472e-06,6.083708200317915e-08
1.355046635649542e-13,0.35138919218823433,76.950000000000003,0.0,0.0,0.0,0.99586359052383,9.4999999895680514,2.6841087687010175e-06,3.0032631808784994e-05,3.0022101134630443e-05,7.6289679327052587e-09,1.9517899721784523e-12,0.0029977456481560727,0.0002355875857732536,2.8010103635850008e-09,3.0266287748659878e-17,3.5857388756419535e-16,4.7576630812530499e-14,0.00082877116734444034,3.4143110320203788e-10,8.9076597096759558e-18,4.6497551084734028e-18,6.6911221078724705e-20,0.0,7.8110911940714157e-10,5.8809355975363633e-09,2.8420387460251472e-11,2.8421625405992945e-11,1.0019927888993401e-15,2.3595295257523922e-16,3.3621988726770857e-11,2.0457424990000093e-10,1.7145985829969307e-14,1.9790225068163324e-15,1.1125967517484207e-27,2.0052877028185091e-16,8.4791829487597656e-16,9.9809100119181236e-28,1.0088488057481167e-05,8.9451090002227642e-22,3.8839653386303215e-22,6.6670345647105175e-08,1.9156347490684768e-08,1.3073002012717794e-06,6.6916140480608791e-08
1.4008100160241113e-13,0.35138919218548076,76.950000000000003,0.0,0.0,0.0,0.99572452364835984,9.4999999888798001,2.7745638818569431e-06,3.1042489506042402e-05,3.1031224688662039e-05,8.1445773357327751e-09,2.0174278017559079e-12,0.0030684091294303851,0.00025010330916996112,2.9735875044645067e-09,3.2311871813091833e-17,4.0428159572207707e-16,5.2171126051811513e-14,0.00087983661912085598,3.6481641715835916e-10,9.4564842571968636e-18,4.9392437592039773e-18,7.5956521503679892e-20,0.0,8.5857977224146865e-10,6.283394712849398e-09,3.1392851505762537e-11,3.1394248079494161e-11,1.1287649646716421e-15,2.6780876694751459e-16,3.6713230140640878e-11,2.1881846865646565e-10,1.8657091712385046e-14,2.1677083937287098e-15,1.4033566174446648e-27,2.2691216527793416e-16,9.4281081180944978e-16,1.2589723519188034e-27,1.0710133444934287e-05,1.0145285073302122e-21,4.3992746232486687e-22,7.307300292113171e-08,2.0992132033924794e-08,1.382551042713678e-06,7.3352246214066189e-08
1.4465733963986807e-13,0.3513891921826465,76.950000000000003,0.0,0.0,0.0,0.99558549320629397,9.49999998817127,2.8650063518898767e-06,3.205206074057305e-05,3.204003652485766e-05,8.6764879697243089e-09,2.0830470120430667e-12,0.0031375095223346002,0.00026495342393928809,3.1501379154905776e-09,3.4422128435136036e-17,4.5400167541312239e-16,5.7027880510232584e-14,0.00093207851259975521,3.8897179900745027e-10,1.0017944524964346e-17,5.2354378723427425e-18,8.5858739554079934e-20,0.0,9.4073071854958431e-10,6.6990657192428163e-09,3.4565266533021413e-11,3.4566835554636645e-11,1.2663439409603256e-15,3.0267767427098607e-16,3.9961740287350615e-11,2.3354680543924833e-10,2.02399801311988e-14,2.3669049577247344e-15,1.7569183175794e-27,2.5568095122792828e-16,1.044632368512782e-15,1.5762152008225107e-27,1.1346104408817605e-05,1.1456183336863861e-21,4.9615736255725355e-22,7.9835613193048232e-08,2.2930611664411979e-08,1.4590434616224777e-06,8.0151486004499853e-08
1.49233677677325e-13,0.3513891921797322,76.950000000000003,0.0,0.0,0.0,0.99544649882442682,9.4999999874426067,2.9554361820940442e-06,3.3061345713605002e-05,3.3048536811570685e-05,9.2246485313922011e-09,2.1486476161194673e-12,0.0032050809886538748,0.00028013053071983805,3.3305733250182019e-09,3.6596854077118417e-17,5.079314275945356e-16,6.2151468898593887e-14,0.00098547082090539749,4.138968233222928e-10,1.0591759793137833e-17,5.5381840261529188e-18,9.6665796203719789e-20,0.0,1.0276669253295137e-09,7.1279379971728061e-09,3.7944087694835935e-11,3.7945843641321536e-11,1.4152185696323198e-15,3.4072791595928286e-16,4.3368604742051226e-11,2.4875918051183004e-10,2.18950564463203e-14,2.5767790591262121e-15,2.184190888215734e-27,2.8695512769112554e-16,1.1536224111547957e-15,1.9596130712425887e-27,1.1996084410933447e-05,1.2883501064927842e-21,5.573248654012637e-22,8.6963799318812649e-08,2.4973340863131477e-08,1.5367183415532091e-06,8.7319659716346878e-08
1.5381001571478195e-13,0.35138919217673836,76.950000000000003,0.0,0.0,0.0,0.99530754013764811,9.4999999866939469,3.045853375730138e-06,3.4070344623674755e-05,3.4056725716225396e-05,9.7890078646073289e-09,2.2142296268896938e-12,0.0032711569436144274,0.00029562739186592802,3.5148073754116028e-09,3.8835845785193111e-17,5.6626984066837488e-16,6.7546290655472338e-14,0.0010399880859881601,4.3959106464805752e-10,1.1177655428773228e-17,5.8473321386734289e-18,1.0842641967209241e-19,0.0,1.1194910056880272e-09,7.570000894730242e-09,4.153576494000495e-11,4.15377229502496e-11,1.5758796529026712e-15,3.8213059173940166e-16,4.69347571440808e-11,2.6445547255495052e-10,2.3622686608273665e-14,2.797490755911079e-15,2.6975469650905643e-27,3.2085563614303943e-16,1.2700179735493547e-15,2.4202740723783752e-27,1.2659763839327952e-05,1.4432983241420498e-21,6.2367052608133978e-22,9.4462902462585741e-08,2.7121791753484229e-08,1.6155182094910374e-06,9.4862288239804363e-08
1.583863537522389e-13,0.35138919217366565,76.950000000000003,0.0,0.0,0.0,0.99516861678876489,9.4999999859254203,3.1362579360260474e-06,3.5079057666685291e-05,3.5064603405333988e-05,1.0369514959969404e-08,2.279793057087145e-12,0.0033357700721985497,0.00031143692791351502,3.7027555815552272e-09,4.1138901187637682e-17,6.292174373800721e-16,7.3216575457592394e-14,0.001095605406193624,4.6605409750993864e-10,1.1775362753880372e-17,6.1627354088872017e-18,1.2119011395607476e-19,0.0,1.2163032702947432e-09,8.0252437302634985e-09,4.5346742998468453e-11,4.5348918877746699e-11,1.7488197233934175e-15,4.2705955483392901e-16,5.0660986109859812e-11,2.8063552132931939e-10,2.5423200253391054e-14,3.0291935844118616e-15,3.3109648710300382e-27,3.5750425785777299e-16,1.3940535607944752e-15,2.9707486257825801e-27,1.3336839856826707e-05,1.6110417556378616e-21,6.9543661846152558e-22,1.0233799000335289e-07,2.937735644068372e-08,1.6953871960715815e-06,1.0278462126049726e-07
1.6296269178969583e-13,0.3513891921705146,76.950000000000003,0.0,0.0,0.0,0.99502972842832871,9.4999999851371708,3.2266498661775661e-06,3.6087485035962961e-05,3.6072170044513358e-05,1.0966118954378802e-08,2.3453379192777412e-12,0.0033989523451030744,0.00032755221412335273,3.8943352902640529e-09,4.3505818493154449e-17,6.969761286701122e-16,7.9166388572530493e-14,0.0011522984241033197,4.9328549642074665e-10,1.238461891634043e-17,6.4842502454423202e-18,1.3500712835333954e-19,0.0,1.3182017777117847e-09,8.4936557948673006e-09,4.9383461367683026e-11,4.9385871591838317e-11,1.9345328445633949e-15,4.7569131071270704e-16,5.4547941894061993e-11,2.9729913020450231e-10,2.7296893547647503e-14,3.2720348289967042e-15,4.0401795367772195e-27,3.9702351669922443e-16,1.5259610461611134e-15,3.6251651457783736e-27,1.402701625288147e-05,1.7921629641928324e-21,7.7286693917664834e-22,1.1059386324951155e-07,3.1741349294088173e-08,1.776270996713032e-06,1.1109164484095954e-07
1.721153678646097e-13,0.3513891921639794,76.950000000000003,0.0,0.0,0.0,0.99475205531272692,9.4999999835020059,3.4073958486742555e-06,3.8103483514070895e-05,3.8086370831172397e-05,1.2207414916889488e-08,2.4763719890860011e-12,0.0035211487276615118,0.00036067309167546219,4.2880675271349446e-09,4.8430434540201261e-17,8.4774056668259273e-16,9.192006941226215e-14,0.0012688167741173599,5.5005169042178886e-10,1.363675472636531e-17,7.14505584352326e-18,1.660056674712151e-19,0.0,1.5376387861868236e-09,9.4699446531126884e-09,5.815985079496174e-11,5.8162781837991203e-11,2.3462611202908753e-15,5.8478190913459174e-16,6.2805980787224073e-11,3.3207607373629425e-10,3.1264851329287627e-14,3.7916919616845158e-15,5.9187153907583275e-27,4.8516721536466157e-16,1.8143055442111246e-15,5.3111210074379501e-27,1.5445517613534278e-05,2.1968852946825344e-21,9.4570198022047302e-22,1.2826588623945272e-07,3.6799501460754439e-08,1.9408734210480111e-06,1.288784335537668e-07
1.803527763320322e-13,0.35138919215783526,76.950000000000003,0.0,0.0,0.0,0.99450226581617807,9.4999999819641854,3.5700240692548249e-06,3.9916907028834543e-05,3.9898089392116508e-05,1.3379125399638991e-08,2.5942392720881139e-12,0.003626538595320819,0.00039146112803343125,4.6540532251657743e-09,5.3078984144872266e-17,1.001931710586625e-15,1.0439196606602109e-13,0.0013771285498290708,6.0376480842413585e-10,1.4800651923817185e-17,7.7593050630586171e-18,1.980250452853277e-19,0.0,1.7534663738310615e-09,1.039353547997761e-08,6.6895126632442212e-11,6.6898589563209472e-11,2.7654821462087607e-15,6.9744862101473897e-16,7.0791813686480953e-11,3.6502646295875079e-10,3.5088661485318494e-14,4.2988352492542649e-15,8.2051129946513057e-27,5.7555531559292214e-16,2.1030068018067609e-15,7.3632875205629669e-27,1.6764131171562447e-05,2.6127938008825865e-21,1.1230957335045583e-21,1.4551597518170377e-07,4.1734334409846158e-08,2.0919721981300325e-06,1.4624706532117586e-07
1.885901847994547e-13,0.3513891921514456,76.950000000000003,0.0,0.0,0.0,0.99425258458405541,9.4999999803644375,3.7326114164736426e-06,4.1729407855296966e-05,4.17088026877375e-05,1.4602205454177217e-08,2.7120465828918762e-12,0.0037277586662651362,0.00042313882349021204,5.0305991913903048e-09,5.7931334407529042e-17,1.1749003012227641e-15,1.1782577697437347e-13,0.0014885704242094131,6.5996081543627685e-10,1.5998132691227632e-17,8.3912617976034931e-18,2.3426970002524104e-19,0.0,1.9872005520360026e-09,1.1359627055382939e-08,7.6461707784344855e-11,7.6465766577010377e-11,3.2338240384435027e-15,8.2496862702376341e-16,7.9302844132162175e-11,3.9953910676899749e-10,3.9152905037642944e-14,4.8440981406283824e-15,1.1209637301594631e-26,6.7717440286590121e-16,2.4206904206965348e-15,1.0060213800968663e-26,1.8120871177596682e-05,3.0812341009671866e-21,1.3226839512337899e-21,1.6406309524699402e-07,4.7037592371811468e-08,2.245582024341836e-06,1.6492835181186492e-07
1.9682759326687718e-13,0.3513891921448136,76.950000000000003,0.0,0.0,0.0,0.99400300983695167,9.4999999787034692,3.8951579078963526e-06,4.3540987034821213e-05,4.3518511653618547e-05,1.5876363681007726e-08,2.8297939891840627e-12,0.0038249715457719679,0.00045567095875822475,5.4172845946229939e-09,6.2986329246788936e-17,1.3678571394238442e-15,1.3223991744393152e-13,0.0016030185151812439,7.1863723048769233e-10,1.7227858709102152e-17,9.0401956051614161e-18,2.7505595627859106e-19,0.0,2.2393380089514504e-09,1.2368156223739912e-08,8.6896958802637266e-11,8.6901681460900474e-11,3.7542031954765875e-15,9.6845506766416143e-16,8.8338654357518305e-11,4.3561183205855434e-10,4.345839886459483e-14,5.4281453908016922e-15,1.5110915710910168e-26,7.9075470114388295e-16,2.7686040820834113e-15,1.3562348189744562e-26,1.9514231362405722e-05,3.6056860402663945e-21,1.5459209721036458e-21,1.8392657729219143e-07,5.2714411005999872e-08,2.4014379686611144e-06,1.8494277365064443e-07
2.0506500173429966e-13,0.35138919213794184,76.950000000000003,0.0,0.0,0.0,0.99375353986420933,9.4999999769819805,4.0576635608032914e-06,4.5351645585845592e-05,4.5327217217160371e-05,1.720131018278874e-08,2.9474815571613367e-12,0.0039183334983680165,0.00048902368805015233,5.8137048881471993e-09,6.8242818540830707e-17,1.5820180807361352e-15,1.4765145364945681e-13,0.0017203537718787478,7.7979157300721927e-10,1.8488543445510704e-17,9.7054045057290755e-18,3.2070584569845807e-19,0.0,2.5103554416160023e-09,1.341905970181302e-08,9.8238188585616127e-11,9.82436471690111e-11,4.3295414327598743e-15,1.129041962148107e-15,9.78978268268754e-11,4.732422453451504e-10,4.800576883740165e-14,6.0515942342545464e-15,2.0121419986714741e-26,9.1702796904487128e-16,3.1479633488147891e-15,1.8060559093566628e-26,2.0942764274632429e-05,4.1896385816789453e-21,1.7942645006306607e-21,2.0512351248317227e-07,5.8769273577784949e-08,2.5592887208778522e-06,2.0630858808300617e-07
2.1330241020172215e-13,0.3513891921308335,76.950000000000003,0.0,0.0,0.0,0.99350417302123994,9.4999999752006428,4.2201283922005132e-06,4.7161384504765746e-05,4.7134920297841649e-05,1.8576756556487563e-08,3.0651093515875713e-12,0.0040079946952969675,0.00052316448547372601,6.219471179273202e-09,7.3699658096267893e-17,1.8186022463388145e-15,1.6407618048874941e-13,0.001840461786094022,8.4342136293118391e-10,1.9778950151167972e-17,1.0386213865860938e-17,3.7154667641929008e-19,0.0,2.8007103364179388e-09,1.4512274107810928e-08,1.1052265028084644e-10,1.1052892092803906e-10,4.9627643873532133e-15,1.307882805127444e-15,1.0797803403745634e-10,5.1242776260864983e-10,5.279547569787444e-14,6.715017931840237e-15,2.6492032535816007e-26,1.0567263371957961e-15,3.55995132842917e-15,2.3780243794241618e-26,2.2405078983546964e-05,4.8365840953697581e-21,2.0691732624724418e-21,2.2766886910614964e-07,6.5206045480683097e-08,2.7188959950928025e-06,2.290419438475783e-07
2.2153981866914464e-13,0.3513891921234915,76.950000000000003,0.0,0.0,0.0,0.99325490772694569,9.4999999733601186,4.382552418830383e-06,4.8970204766781988e-05,4.8941621807469512e-05,2.0002415885583229e-08,3.1826774358488854e-12,0.0040940994522052068,0.00055806209354545178,6.6342096236168046e-09,7.9355709617213669e-17,2.078830394859923e-15,1.8152869534137119e-13,0.0019632326111769182,9.0952412080535093e-10,2.1097889933129458e-17,1.1081975332754723e-17,4.2791062771386454e-19,0.0,3.1108417187054762e-09,1.5647735987653334e-08,1.2378754121235695e-10,1.237947041617868e-10,5.6568001801272755e-15,1.5061492496045298e-15,1.1857612221227917e-10,5.5316563629480459e-10,5.7827837442543101e-14,7.4189490612226285e-15,3.4517007334228235e-26,1.2105812541051361e-15,4.0057185584481443e-15,3.0985793176625928e-26,2.389983887264093e-05,5.5500131787120588e-21,2.3721048781253322e-21,2.5157560417526734e-07,7.2028007212888669e-08,2.8800339580891918e-06,2.5315699094753051e-07
