Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837)
4.2866770070122826e-18,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999947531,9.5,2.6808461603402875e-14,2.4498922725146835e-13,2.44989229365851e-13,2.9616204430133396e-21,2.9324312424450391e-21,7.9818043504299935e-15,1.4560392605196716e-20,2.1437243959267287e-21,9.4612873069916555e-31,2.0546882666166143e-35,6.2897549478885005e-36,1.4224815184743635e-20,2.6811357919262349e-24,1.3376856061551544e-30,7.6182898074461444e-36,1.7998785189047691e-49,4.305702031227383e-49,2.1805372201972481e-34,1.5382317496079218e-25,6.72541675561218e-34,6.7254168083551486e-34,4.7094392995770017e-42,5.6485766893082471e-43,3.1644960802527185e-42,1.3892337485633859e-27,2.0843530995413521e-35,1.2500035023390519e-36,6.7396470026950419e-77,2.0677710915465561e-44,2.9718158852536588e-41,6.4863029984774677e-77,1.4249547512699273e-22,9.6772906188017633e-53,9.669753318642841e-53,1.9328432903571304e-31,5.9363131071789779e-32,1.2358685696050197e-25,1.9328215974343089e-31,6.585405355186956e-40,6.4863029984755486e-77,7.3566270359487962e-49,4.3057209390621032e-49,1.8908269533524695e-54,1.1343576873963012e-63,2.129570928062962e-41,2.4520571565424725e-72,1.9160689297607954e-31,4.3482435501244167e-59,2.3106836090155649e-74,1.4367943755780227e-39,1.7276597141653806e-83
8.577078320720493e-18,0.20632031604543968,76.950000000000003,0.0,0.0,0.0,0.99999999999895006,9.5,5.3640214659010625e-14,4.9019129348074119e-13,4.9019130182904729e-13,1.1854199744835015e-20,1.1622641076236596e-20,1.5970484104363352e-14,5.8279330523010536e-20,8.5804749203916255e-21,7.4921249668768498e-30,1.6450000481441393e-34,5.0388793725435446e-35,5.6936150573614273e-20,1.0731530220485772e-23,1.035540520040793e-29,6.0972833255502703e-35,2.8840271649148201e-48,6.8947032801912196e-48,1.7457504525711288e-33,6.1569356549395966e-25,5.384422629188862e-33,5.3844227136456576e-33,7.5411727790587239e-41,9.0450684965113541e-42,2.5335042932899939e-41,5.5605552575750959e-27,1.6687346892897787e-34,1.0007612521559886e-35,8.6442665924690095e-75,3.3111226811695035e-43,2.3792595776361089e-40,8.319327747708999e-75,5.7035144024952881e-22,3.0985093976220481e-51,3.0936876808938925e-51,1.5474400696292392e-30,4.7526298273227723e-31,4.9466614485584299e-25,1.5474227019482463e-30,1.0545163990774869e-38,8.3193277477040772e-75,1.1780187508257034e-47,6.894763835915656e-48,6.0557116972264583e-53,7.2660656969871468e-62,1.7049509094287871e-40,3.1413247470475802e-70,7.669268946542235e-31,1.3926088318312502e-57,2.9602114266632846e-72,1.1503089458086054e-38,4.4266167608201667e-81
1.7157880948136912e-17,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999789957,9.5,1.0730372076992474e-13,9.8059539644997613e-13,9.8059542896060567e-13,4.7432237927167307e-20,4.5612307373022393e-20,3.1947665739925948e-14,2.331917509575565e-19,3.4333001303320147e-20,5.8677823793460222e-29,1.3165001419695627e-33,4.0363031275463433e-34,2.2781731577719819e-19,4.294009786023384e-23,7.7717981300730951e-29,4.8765122993890027e-34,4.6204461809993235e-47,1.1035919723276893e-46,1.3971226344716022e-32,2.4635761670601396e-24,4.3091743526661172e-32,4.3091744878498344e-32,1.207057617263361e-39,1.4477956111205911e-40,2.0275466565239216e-40,2.2249462526041577e-26,1.3354706400291753e-33,8.0091058435578991e-35,1.1075886321888512e-72,5.299936089323551e-42,1.9041305735658112e-39,1.0659542648932145e-72,2.282134160083705e-21,9.9140946147296615e-50,9.8833025942164986e-50,1.2384066459847552e-29,3.803499959917702e-30,1.9792820265015049e-24,1.2383927463174657e-29,1.6878922668842955e-37,1.0659542648919531e-72,1.8855969491809441e-46,1.1036113581442892e-46,1.9386262375605904e-51,4.6522300548376051e-60,1.3644777718716424e-39,4.0225937828736322e-68,3.0687063949798364e-30,4.4582230695877557e-56,3.7906708387884939e-70,9.2059645992573646e-38,1.1336944130388648e-78
3.4319486202969755e-17,0.20632031604543968,76.950000000000003,0.0,0.0,0.0,0.99999999999579869,9.5,2.1463073299054738e-13,1.961403488757439e-12,1.9614036120443961e-12,1.8975982283980496e-19,1.7570278494952665e-19,6.390131753767619e-14,9.3290697963555603e-19,1.3735376204110765e-19,4.5022139236874743e-28,1.0534003830665358e-32,3.2349037921028418e-33,9.1140601285281037e-19,1.7178834080544261e-22,5.5269913804639709e-28,3.8968913893382914e-33,7.4058955173452444e-46,1.7660758317561791e-45,1.1178971022025761e-31,9.8559082692195016e-24,3.4479938977001659e-31,3.4479941140312189e-31,1.9316175009946354e-38,2.316930238890626e-39,1.6223025546954429e-39,8.9012326561235222e-26,1.0685405750461076e-32,6.408460436190763e-34,1.4184321496921094e-70,8.4815702712480516e-41,1.5235934550612295e-38,1.3651131436195273e-70,9.1299065154656824e-21,3.169786332976637e-48,3.1501771855172973e-48,9.9088833662384849e-29,3.0433005229469554e-29,7.918201824879851e-24,9.9087721438755013e-29,2.7011108348899074e-36,1.3651131436162966e-70,3.0175682752709619e-45,1.7661378783541688e-45,6.2048024623382709e-50,2.978012927859401e-58,1.0917877309682522e-38,5.1499419130165128e-66,1.2276822608986216e-29,1.4269316703667996e-54,4.8530216553681511e-68,7.3661656145332973e-37,2.9028362589954715e-76
6.864269671263544e-17,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999999159694,9.5,4.2928475742697046e-13,3.9230192492270837e-12,3.9230196934947473e-12,7.5910094887946396e-19,6.5395271109137122e-19,1.2780577536640329e-13,3.7318366663083512e-18,5.4945497212629687e-19,3.327643030183494e-27,8.428007195595686e-32,2.596291103057011e-32,3.6458279881097304e-18,6.8720920163155642e-22,3.6113727123397941e-27,3.1097437052877942e-32,1.1886675339160072e-44,2.8259108035342837e-44,8.9438135380872464e-31,3.9426837005868395e-23,2.7586565538972931e-30,2.7586569000400846e-30,3.0906858704413405e-37,3.7074203900153667e-38,1.2978967520027312e-38,3.5607819466848546e-25,8.5485148725733711e-32,5.1271894089671266e-33,3.1792387915138884e-68,1.3571723539348991e-39,1.218990013507607e-37,3.0597308884369289e-68,3.6521668975102248e-20,1.0122746395235831e-46,9.998522866820209e-47,7.9274571685072085e-28,2.4347478587432505e-28,3.167366413597407e-23,7.9273681759182519e-28,4.3220047612370059e-35,3.0597308884224704e-68,4.8285980779145201e-44,2.8261093667434932e-44,1.9856777396609971e-48,1.9060672844562553e-56,8.7351024630389876e-38,6.5924127722892928e-64,4.9111277979482653e-29,4.5666633990188655e-53,6.2123268260316289e-66,5.893484435918054e-36,7.4318136845300912e-74
1.3728911773196679e-16,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999998319333,9.5,8.5859280628052731e-13,7.8462492636677318e-12,7.846250717527149e-12,3.0365264038760035e-18,2.2926710706989932e-18,2.5560330897048584e-13,1.4927194425971209e-17,2.1978710442775727e-18,2.3081573391650222e-26,6.7427321783285762e-31,2.0899337929431199e-31,1.4583163221879137e-17,2.7489480271568212e-21,2.1068531755416609e-26,2.4751040024125164e-31,1.9133172645861748e-43,4.5213736967053891e-43,7.1550505993108751e-30,1.5771372809828339e-22,2.2070292495058644e-29,2.2070298032917722e-29,4.9446560813489243e-36,5.9320299397662548e-37,1.0382570638644676e-37,1.4243700533225863e-24,6.8381426238942803e-31,4.1018411644016259e-32,4.0834439681285571e-66,2.1715320363850125e-38,9.7523755238580271e-37,3.9299469033592268e-66,1.460851860125393e-19,3.2256883351935926e-45,3.1477886126108589e-45,6.3416233085850815e-27,1.9476927971498082e-27,1.2668604549770574e-22,6.3415521011353505e-27,6.9148802187143135e-34,3.9299469033220244e-66,7.7261425555322355e-43,4.5220090890035879e-43,6.3540690010401556e-47,1.219865555940829e-54,6.9883679170190149e-37,8.4381727436627363e-62,1.9645303677247689e-28,1.4614104006937179e-51,7.9516695734735873e-64,4.714999319941298e-35,1.902518930139312e-71
2.745819597706295e-16,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999996638611,9.5,1.7172089039104841e-12,1.5692704243176996e-11,1.5692708210123691e-11,1.2146345168042082e-17,7.3225596511774907e-18,5.111528560734931e-13,5.9703915953251998e-17,8.791357415054947e-18,1.4553850751078432e-25,5.394323926715477e-30,1.6921294329289537e-30,5.8327903187017691e-17,1.0996011439990729e-20,1.0879364825475557e-25,1.9599378257731105e-30,3.0971099394875656e-42,7.2333786612539393e-42,5.7236325562472145e-29,6.3086744867825948e-22,1.7656640858242726e-28,1.765664971678014e-28,7.9094346974899097e-35,9.491027203429912e-36,8.3044999405144018e-37,5.6975910256461733e-24,5.4690545975761563e-30,3.2813828798527791e-31,5.2271874752750792e-64,3.4743664718383245e-37,7.8020739899456887e-36,5.0306969809774546e-64,5.8429316449267333e-19,1.0235501374845885e-43,9.7564988536058631e-44,5.0723896667967171e-26,1.5578745505858373e-26,5.0664438287608104e-22,5.072332683492027e-26,1.1061916896293363e-32,5.0306969808822071e-64,1.2362119685115059e-41,7.2354116925390296e-42,2.0330779734749152e-45,7.8062902231601385e-53,5.5907540752428102e-36,1.0799693277942184e-59,7.8582763350343274e-28,4.6766445411053965e-50,1.0177037001649086e-61,3.7720699162125783e-34,4.8699238416554964e-69
5.491676438479549e-16,0.20632031604543977,76.950000000000003,0.0,0.0,0.0,0.99999999993277178,9.5,3.4344410988617707e-12,3.1385597700769358e-11,3.1385604973483146e-11,4.8585814576552229e-17,2.0697682013035628e-17,1.022069934702407e-12,2.387694941016403e-16,3.5163347357714282e-17,8.1450280187419844e-25,4.3155266065134876e-29,1.3849972518476107e-29,2.3326650712300281e-16,4.3984463967940747e-20,5.0685091356054347e-25,1.5365966816299432e-29,5.066431700220293e-41,1.1570344011314178e-40,4.5780905513521826e-28,2.5234930747730996e-21,1.4125460759206304e-27,1.4125474925812366e-27,1.2648170245387897e-33,1.5184358163619841e-34,6.6408740979562186e-36,2.2790558140979214e-23,4.3727552917210627e-29,2.6248691139339525e-30,6.6909429346774163e-62,5.5585038821925725e-36,6.2417154525438254e-35,6.4394297345784446e-62,2.3367208177146768e-18,3.2211061989542459e-42,2.9372742575781472e-42,4.056313558752451e-25,1.2458079744385538e-25,2.0257176678856648e-21,4.0562679459968478e-25,1.7692341984355334e-31,6.4394297343346015e-62,1.9779572464964316e-40,1.1576848021625485e-40,6.5041594669586659e-44,4.9947390024937002e-51,4.4725401617475569e-35,1.3820061083307758e-57,3.1433389166872152e-27,1.496551274162494e-48,1.3023266664088088e-59,3.0176616020919982e-33,1.2463814967552828e-66
8.237533279252803e-16,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999989915744,9.5,5.1516732935044312e-12,4.7078476405863237e-11,4.7078483515048426e-11,1.0324507638159526e-16,3.5640819922096342e-17,1.5328050625746589e-12,5.0731532976233463e-16,7.4718756467887781e-17,1.9469882512681593e-24,1.233977880763562e-28,4.1549700604056873e-29,4.9562309217474229e-16,9.3467226691332882e-20,1.1296636109399005e-24,4.3433371584327415e-29,1.9336516827842751e-40,4.2581006243055171e-40,1.3089089098144792e-27,5.3624353172097007e-21,4.0390080335377453e-27,4.0390132465246875e-27,4.6541263074750644e-33,5.588606344448194e-34,1.8984201942282747e-35,4.8430027652428921e-23,1.2499215730892421e-28,7.5050675253371728e-30,3.452281172161824e-61,2.0458065309453263e-35,1.7847431782067524e-34,3.3225095861660852e-61,4.964848196979382e-18,1.4607362043642478e-41,1.308862487846124e-41,1.1595853619815157e-24,3.5614114216639448e-25,4.3033702046727841e-21,1.1595723153465013e-24,6.5107454597566289e-31,3.3225095860163783e-61,7.2802047912472762e-40,4.2610698021223456e-40,2.969245869912096e-43,2.7440097918546491e-50,1.2788518108950931e-34,8.9151397170122829e-57,6.6796101941230233e-27,6.8327484348804705e-48,8.4011383369239973e-59,8.6286032062685866e-33,9.2552096259848056e-66
1.0983390120026056e-15,0.20632031604543974,76.950000000000003,0.0,0.0,0.0,0.99999999986554311,9.5,6.8689054878384638e-12,6.2771341186471285e-11,6.2771343834858955e-11,1.7612409112219506e-16,5.1325557863673948e-17,2.043358304487602e-12,8.6530955670624257e-16,1.2745598760169698e-16,3.5598819713465773e-24,2.6028289729371419e-28,9.131678662677685e-29,8.4536652654306784e-16,1.5944428497362596e-19,1.9776200064006246e-24,9.0666618842480247e-29,5.0698911635160193e-40,1.0798188921018849e-39,2.7605993658112024e-27,9.1476926073997372e-21,8.5194459337537576e-27,8.5194591521060464e-27,1.1801018366629959e-32,1.4173339231739732e-33,4.0034438689000461e-35,8.2615977251810048e-23,2.6356537312186531e-28,1.5829545278903558e-29,1.8833460496991077e-60,5.1883926986913902e-35,3.7645416327572977e-34,1.8125508880820184e-60,8.4683634431684409e-18,4.3275243517799586e-41,3.8176949196257615e-41,2.4453884018300937e-24,7.5104701021817803e-25,7.3390249644859735e-21,2.4453608746233161e-24,1.6509868125941692e-30,1.81255088799868e-60,1.8464179762322661e-39,1.0807038323830016e-39,8.8496055333343658e-43,9.433673458434169e-50,2.6974370125519539e-34,3.481341429668439e-56,1.1394639432555023e-26,2.0366553303457668e-47,3.2806251612569431e-58,1.8200159926827907e-32,4.0529498830255258e-65
