Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146)
1.0305468861018757e-15,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999984499266,9.5,1.407154839645373e-11,6.5629257050137254e-11,6.5629259544807275e-11,2.0465702907946318e-17,7.4129422153887489e-17,9.6664377420632449e-12,3.5470268506641425e-15,3.1315221041981115e-15,5.1169049252252466e-17,3.9004858055190251e-15
1.288184044430795e-15,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999980624077,9.5,1.7589441457895927e-11,8.2036578535825665e-11,8.2036586921303441e-11,2.6696090142435973e-17,1.1325300170084714e-16,1.2080937577460262e-11,5.4184659007348506e-15,3.9139744820970605e-15,7.8171433772723887e-17,5.9584125588420398e-15
1.8034583610886338e-15,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999972873732,9.5,2.4625227578251846e-11,1.1485119522218332e-10,1.1485122352640285e-10,3.9171095250241819e-17,2.177813435528404e-16,1.6907242135604743e-11,1.0416881289010448e-14,5.478331423459741e-15,1.5030602876189166e-16,1.1454916840627365e-14
2.3187326777464725e-15,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999965123387,9.5,3.1661013695254824e-11,1.4766577705265336e-10,1.4766583607644265e-10,5.1658965753836208e-17,3.571604857096487e-16,2.1729974451684626e-11,1.7079450906543888e-14,7.0419621353316807e-15,2.4647773068828255e-16,1.8781407255290004e-14
3.3492813110621496e-15,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999949622698,9.5,4.5732585919203337e-11,2.1329483616138324e-10,2.1329498911758049e-10,7.6613199186542318e-17,7.4045572041878918e-16,3.1364737493046856e-11,3.539000189727738e-14,1.0167046914999948e-14,5.1088632396466441e-16,3.8916592930396683e-14
5.410378577693504e-15,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999918621441,9.4999999999999982,7.3875730326870964e-11,3.4455253617814118e-10,3.445530071232449e-10,1.2650980699188569e-16,1.9251858532252191e-15,5.0591544914446354e-11,9.1911894362599104e-14,1.6408521117973423e-14,1.3277309424929971e-15,1.0107085579780116e-13
7.471475844324859e-15,0.4411234589463145,76.950000000000003,0.0,0.0,0.0,0.99999999887620283,9.4999999999999947,1.020188746808997e-10,4.7580967860367038e-10,4.7581064132197595e-10,1.7640283405123857e-16,3.667425830882679e-15,6.9761509707226071e-11,1.7491432735434849e-13,2.2638416302633637e-14,2.5283046912597265e-15,1.9234442810613103e-13
9.532573110956213e-15,0.4411234589463145,76.950000000000003,0.0,0.0,0.0,0.99999999856619282,9.4999999999999893,1.3016201898128977e-10,6.0706626344838346e-10,6.0706789213455949e-10,2.2629676672907058e-16,5.9671652409356407e-15,8.887479205168302e-11,2.8432267973980461e-13,2.8856752956192939e-14,4.112182298325702e-15,3.1265525277605215e-13
1.1593670377587568e-14,0.4411234589463145,76.950000000000003,0.0,0.0,0.0,0.99999999825618391,9.4999999999999858,1.5830516322804124e-10,7.3832229072202492e-10,7.3832476000002864e-10,2.7619085523653521e-16,8.8243943399078545e-15,1.0793155692236278e-10,4.2006009695138e-13,3.5063552192077264e-14,6.0789254808751469e-15,4.6191881673305441e-13
1.5715864910850278e-14,0.4411234589463144,76.950000000000003,0.0,0.0,0.0,0.99999999763616987,9.4999999999999734,2.1459145156062848e-10,1.0008326725906985e-09,1.0008373485116949e-09,3.7597857123616487e-16,1.6211286998872951e-14,1.4587614316530312e-10,7.7023845477524165e-13,4.7442616449154579e-14,1.1159387431206061e-14,8.469922237950432e-13
1.9838059444112988e-14,0.44112345894631433,76.950000000000003,0.0,0.0,0.0,0.99999999701616082,9.4999999999999574,2.708777396786618e-10,1.2633408242845932e-09,1.2633484103609363e-09,4.7576604441245971e-16,2.5828028908470644e-14,1.8359658303191784e-10,1.2248369869724166e-12,5.9775777672419124e-14,1.7766186520959136e-14,1.3468912088023825e-12
2.3960253977375698e-14,0.4411234589463142,76.950000000000003,0.0,0.0,0.0,0.99999999639615678,9.4999999999999378,3.2716402758214155e-10,1.5258467458821699e-09,1.5258579492299456e-09,5.7555209897745046e-16,3.7674541610398261e-14,2.2109425311700315e-10,1.7832143970481001e-12,7.2063212759981806e-14,2.5895641736157349e-14,1.960910570487934e-12
2.8082448510638407e-14,0.44112345894631416,76.950000000000003,0.0,0.0,0.0,0.99999999577615739,9.4999999999999147,3.8345031527106793e-10,1.7883504374608554e-09,1.7883659687563796e-09,6.753387552194668e-16,5.1750747681638443e-14,2.583705088206168e-10,2.4447392622274455e-12,8.4305096340122108e-14,3.5544113401963459e-14,2.6883559652141922e-12
3.6326837577163824e-14,0.4411234589463138,76.950000000000003,0.0,0.0,0.0,0.99999999453617339,9.4999999999998561,4.9602289000526176e-10,2.3133511308583591e-09,2.3133774636819534e-09,8.7490855389043205e-16,8.6591943131426319e-14,3.3226391153648374e-10,4.074839436356099e-12,1.086528736564425e-13,5.9384210983012127e-14,4.480894578845354e-12
4.37467877370367e-14,0.44112345894631344,76.950000000000003,0.0,0.0,0.0,0.99999999342020418,9.4999999999997904,5.9733820653226636e-10,2.7858441290030186e-09,2.7858826481005091e-09,1.0545197781229959e-15,1.2557381886693672e-13,3.9802371063346341e-10,5.8886499349598139e-12,1.3041176727599773e-13,8.6000201598381057e-14,6.4754501334635766e-12
5.116673789690958e-14,0.44112345894631305,76.950000000000003,0.0,0.0,0.0,0.9999999923042503,9.4999999999997122,6.9865352236412223e-10,3.2583299030532777e-09,3.2583829642784685e-09,1.2341293818465e-15,1.7177873434793132e-13,4.6308616715595463e-10,8.0273224012974804e-12,1.5202567390741289e-13,1.1748337977572742e-13,8.8272399433403073e-12
5.858668805678246e-14,0.4411234589463126,76.950000000000003,0.0,0.0,0.0,0.99999999118831195,9.4999999999996216,7.9996883750083082e-10,3.7308084534477374e-09,3.7308784325192142e-09,1.4137368453973959e-15,2.2520625098806486e-13,5.274586744152454e-10,1.0487412608624519e-11,1.734955592666009e-13,1.5381344266643835e-13,1.1532476566809683e-11
6.600663821665533e-14,0.44112345894631216,76.950000000000003,0.0,0.0,0.0,0.99999999007238838,9.4999999999995186,9.0128415194239409e-10,4.203279780625044e-09,4.2033690730428157e-09,1.5933425034209416e-15,2.8585593015535952e-13,5.9114854697309573e-10,1.3265513016224879e-11,1.9482238268443136e-13,1.9497016987945477e-13,1.4587412903972904e-11
7.342658837652821e-14,0.44112345894631155,76.950000000000003,0.0,0.0,0.0,0.9999999889564799,9.4999999999994067,1.0025994656888132e-09,4.6757438850239341e-09,4.6758549059901302e-09,1.772946467813585e-15,3.5372733312746323e-13,6.5416302294288658e-10,1.6358251697404732e-11,2.1600709730091748e-13,2.4093342046187423e-13,1.7988341017867198e-11
8.826648869627397e-14,0.4411234589463102,76.950000000000003,0.0,0.0,0.0,0.99999998672470669,9.4999999999991438,1.2052300910962256e-09,5.6206504272414388e-09,5.6208122293335219e-09,2.1321488285403182e-15,5.1113355556571504e-13,7.7819438114418316e-10,2.3474322218079077e-11,2.5795398328271795e-13,3.4719931465208084e-13,2.5813523418559365e-11
1.0310638901601972e-13,0.4411234589463086,76.950000000000003,0.0,0.0,0.0,0.99999998449299143,9.4999999999988294,1.4078607137230793e-09,6.5655280836102648e-09,6.565750562051032e-09,2.4913445766140133e-15,6.9742140839977867e-13,8.9960915881592191e-10,3.1809345264865069e-11,2.9934371882773563e-13,4.7245162305362877e-13,3.4979126187491386e-11
1.1794628933576548e-13,0.4411234589463067,76.950000000000003,0.0,0.0,0.0,0.99999998226133269,9.4999999999984688,1.6104913335693867e-09,7.5103768576401471e-09,7.5106700622652489e-09,2.85053095745343e-15,9.1258738200362874e-13,1.0184625198374126e-09,4.1337622351514951e-11,3.4018370153851422e-13,6.1653222594224088e-13,4.545689000122661e-11
1.378106863008738e-13,0.441123458946304,76.950000000000003,0.0,0.0,0.0,0.99999997927416484,9.4999999999979146,1.8817286679585591e-09,8.7750875328158602e-09,8.7754914068341103e-09,3.3313220204982713e-15,1.2457978909897573e-12,1.1736421172673485e-09,5.5915890554410463e-11,3.9400353026952244e-13,8.3859255071902182e-13,6.1487873324956113e-11
1.5767508326598214e-13,0.44112345894630084,76.950000000000003,0.0,0.0,0.0,0.99999997628709381,9.4999999999972733,2.1529659973656033e-09,1.0039746471406096e-08,1.0040279660685863e-08,3.8121057141972263e-15,1.6307374277825472e-12,1.3244552655058998e-09,7.2528299943086983e-11,4.4686862564984055e-13,1.0937360422977389e-12,7.9755698710236948e-11
1.7753948023109047e-13,0.4411234589462972,76.950000000000003,0.0,0.0,0.0,0.99999997330011603,9.4999999999965468,2.4242033217905448e-09,1.1304353681824344e-08,1.1305035192187225e-08,4.292869380412269e-15,2.0673975791254773e-12,1.4710248436166671e-09,9.1117606430188789e-11,4.9879592492013721e-13,1.3815943468632338e-12,1.0019741773420006e-10
1.974038771961988e-13,0.44112345894629307,76.950000000000003,0.0,0.0,0.0,0.99999997031322962,9.4999999999957385,2.6954406412334097e-09,1.2568909172483328e-08,1.2569758365600746e-08,4.7736132762401786e-15,2.5557699325369847e-12,1.6134702542639042e-09,1.1162818543376662e-10,5.4980206440376943e-13,1.7018032018424052e-12,1.2275186286202732e-10
2.1726827416130712e-13,0.4411234589462885,76.950000000000003,0.0,0.0,0.0,0.99999996732643159,9.4999999999948486,2.9666779556942213e-09,1.3833412951793907e-08,1.3834449541097853e-08,5.2543593486242926e-15,3.095846077379186e-12,1.7519075472598243e-09,1.3400597432188619e-10,5.9990338514483397e-13,2.0540024140833163e-12,1.4735958415620351e-10
2.371326711264155e-13,0.4411234589462836,76.950000000000003,0.0,0.0,0.0,0.99999996433971983,9.4999999999938698,3.2379152651730046e-09,1.5097865028166109e-08,1.5099109074870698e-08,5.7351027587295016e-15,3.6876176038439126e-12,1.8864494910590235e-09,1.5819843910643994e-10,6.4911593770431073e-13,2.4378357964995183e-12,1.7396281265138817e-10
2.5699706809152383e-13,0.4411234589462783,76.950000000000003,0.0,0.0,0.0,0.99999996135309155,9.4999999999928129,3.5091525696697822e-09,1.6362265410008402e-08,1.6363737319162692e-08,6.2158063400406589e-15,4.331076103690087e-12,2.0172056661979494e-09,1.8415453091370497e-10,6.9745548681013486e-13,2.8529511430566436e-12,2.0250541248729372e-10
2.768614650566322e-13,0.4411234589462725,76.950000000000003,0.0,0.0,0.0,0.99999995836654476,9.4999999999916707,3.7803898691845749e-09,1.7626614105727588e-08,1.7628334622255164e-08,6.6964856015278761e-15,5.0262131703042104e-12,2.1442826070691285e-09,2.1182461993781026e-10,7.4493751947765432e-13,3.2990001571352309e-12,2.3293280828065872e-10
2.9672586202174054e-13,0.4411234589462663,76.950000000000003,0.0,0.0,0.0,0.9999999553800768,9.499999999990445,4.0516271637174065e-09,1.8890911123729052e-08,1.8892901328467701e-08,7.1772276679338657e-15,5.7730203985264636e-12,2.267783833138622e-09,2.4116048089786096e-10,7.915772468729295e-13,3.7756384322110493e-12,2.651919691331847e-10
