Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204)
3.744751021724928e-15,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999578055976,9.4999999999999929,2.963470184473784e-10,1.2956245926442934e-09,1.2956259984872874e-09,2.1441604274384717e-16,4.2311526429880407e-15,1.3255800380461629e-09,1.8526505553426329e-12,1.7350037367497536e-12,2.6211612888797934e-15,2.6679445711823557e-12,5.5126793326980992e-23,1.4442107046220592e-17,4.7933608468707131e-26,2.1224021975262884e-26,1.0267567111299488e-17,8.3929099630721458e-23,8.3928992531282255e-23,9.4469724166886254e-29,1.2629715030028685e-29,2.3471731625662385e-23
5.139534902220166e-15,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.99999999420901819,9.4999999999999858,4.067255292842694e-10,1.7781955726643006e-09,1.7781983300331649e-09,2.9641102155507355e-16,7.9691690649026075e-15,1.8169626121622176e-09,3.4865294255237808e-12,2.3792328731874665e-12,4.93472802387967e-15,5.0208428283720998e-12,1.0434553733121733e-22,2.7198573360522424e-17,1.2107603622509242e-25,5.3613537114653065e-26,1.9338573352802684e-17,2.1200584001498267e-22,2.1200548508625055e-22,3.1302046289409289e-28,4.1908269312959721e-29,4.426363224526959e-23
6.534318782715405e-15,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.99999999263750206,9.4999999999999805,5.1710403966738593e-10,2.260765374692891e-09,2.2607699356191261e-09,3.7840371706372537e-16,1.2880811903621728e-14,2.3070756211759838e-09,5.630763174967145e-12,3.0223808010919632e-12,7.9727401904800142e-15,8.1086873100602238e-12,1.6913771107999441e-22,4.3957943356219905e-17,2.4569659199855252e-25,1.0881920189052572e-25,3.1257711466419553e-17,4.3029629233804157e-22,4.3029540607616194e-22,7.8149510775370667e-28,1.047667717702918e-28,7.1583228405150009e-23
7.929102663210643e-15,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.9999999910660109,9.499999999999968,6.2748254959673081e-10,2.7433339987656984e-09,2.743340816260848e-09,4.6040262976950931e-16,1.8966045557941097e-14,2.7959224728811305e-09,8.2839818972818384e-12,3.664449405291866e-12,1.1734173635747403e-14,1.1929505256868163e-11,2.4950284299933371e-22,6.4718938252382684e-17,4.3647857095533328e-25,1.9336763932417326e-25,4.6024949053657211e-17,7.6460048466005831e-22,7.6459861453797513e-22,1.6487978501374324e-27,2.2132423307367122e-28,1.0542129186217729e-22
9.323886543705882e-15,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.99999998949454527,9.4999999999999556,7.3786105907230696e-10,3.2259014449184027e-09,3.2259109729863719e-09,5.4239385164371616e-16,2.6224834381297627e-14,3.2835065364265962e-09,1.144483122095698e-11,4.3054405513537576e-12,1.6218014252042855e-14,1.6481346280712467e-11,3.4544045857221205e-22,8.9480291371041793e-17,7.0796026791458879e-25,3.1373121284111677e-25,6.3640253148678203e-17,1.240500777163682e-21,1.2404972532531267e-21,3.1063686272462218e-27,4.175419280814948e-28,1.4576868488761714e-22
1.2113454304696358e-14,0.5724075743454519,76.950000000000003,0.0,0.0,0.0,0.99999998635168919,9.4999999999999272,9.5861807666216418e-10,4.1910328036006161e-09,4.1910491185357577e-09,7.0638616805377525e-16,4.4262940542182724e-14,4.2548991544991172e-09,1.9284253877799384e-11,5.5841976014215517e-12,2.7349037217229112e-14,2.7770655580035946e-11,5.8403132727690729e-22,1.5099922891227483e-16,1.5486530701427003e-24,6.8674297136966139e-25,1.074149338243854e-16,2.7152450419414331e-21,2.7152350233751915e-21,8.8280112558228346e-27,1.1905549855664828e-27,2.4595650045299224e-22
1.4456670354123575e-14,0.5724075743454515,76.950000000000003,0.0,0.0,0.0,0.999999983711791,9.4999999999998952,1.1440523184687851e-09,5.0017322835524604e-09,5.0017557112198164e-09,8.4413627425529699e-16,6.3042153146609218e-14,5.0669871805641053e-09,2.7426830153325088e-11,6.6550294384179256e-12,3.8923343490231549e-14,3.9496527002583541e-11,8.3257882070956395e-22,2.1502950722008497e-16,2.6296929624586456e-24,1.1667872068390415e-24,1.5298888205566416e-16,4.6130301016741717e-21,4.6130098534657467e-21,1.7836522938646194e-26,2.4116854861496414e-27,3.5015608933764034e-22
1.6799886403550792e-14,0.5724075743454513,76.950000000000003,0.0,0.0,0.0,0.99999998107196308,9.4999999999998597,1.3294865589947486e-09,5.8124284394577058e-09,5.81246027365896e-09,9.8188399887806049e-16,8.5133093387414669e-14,5.875553934914943e-09,3.6984929094935971e-11,7.722844054071579e-12,5.2523616669809626e-14,5.326084869616123e-11,1.1250712675889009e-21,2.9033407630977454e-16,4.1237590333570773e-24,1.8307414338554442e-24,2.0660064955242204e-16,7.2377175690327697e-21,7.2376807921990113e-21,3.238659631338146e-26,4.3902374464459177e-27,4.7261087670088548e-22
1.914310245297801e-14,0.5724075743454511,76.950000000000003,0.0,0.0,0.0,0.99999997843220512,9.4999999999998188,1.5149207982400678e-09,6.6231212714801018e-09,6.6231628104768303e-09,1.1196334687003625e-15,1.1053559766618525e-13,6.6806146794575452e-09,4.7952415535869997e-11,8.7876499453131736e-12,6.8145229102337776e-14,6.9054785598862904e-11,1.4615064976822743e-21,3.7690716797175491e-16,6.0972360053804774e-24,2.7084028685262183e-24,2.6825008558265701e-16,1.070700554029837e-20,1.0706943809862568e-20,5.4345019996204046e-26,7.3854158053544187e-27,6.132791645587942e-22
2.3829534551832446e-14,0.5724075743454504,76.950000000000003,0.0,0.0,0.0,0.99999997315289824,9.4999999999997211,1.8857892728888239e-09,8.2444969645315083e-09,8.2445618257003971e-09,1.3951308067623635e-15,1.7127464375052594e-13,8.2802787562202169e-09,7.4091183314932608e-11,1.0908269389970733e-11,1.0543402736860128e-13,1.0669641401134487e-10,2.2661966203375237e-21,5.8383594933597315e-16,1.1747091555766588e-23,5.2241046253144164e-24,4.1566136002771573e-16,2.0650299544155081e-20,2.0650152071574517e-20,1.2974725502083163e-25,1.772532553856238e-26,9.4909004683789643e-22
