Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361)
2.539345066507241e-08,0.23542325376851933,76.950000000000003,0.0,0.0,0.0,0.40444623269874291,9.4947081848177515,0.0093020677488068904,0.079804098210169969,0.040307522719024436,0.0026586657636074261,1.820918289286632e-08,3.9532636083857075e-06,0.12260261732706171,0.00011426037169205854,2.1002263043129811e-11,0.0023129616718172859,0.0045820121885071499,0.25962644564153847,0.027752689012724846,6.5111844975727749e-13,9.6014848755040628e-12,5.4449450554579575e-07,1.2088496845219042e-09,4.2220410068566836e-05,0.00010652000134204708,0.038044678107718929,0.04202987206065411,9.0896118527144786e-06,5.2198773742135515e-06,3.4174036623938249e-12,0.0010755062483144041,5.1093352633296083e-07,1.4656064823486782e-07,0.00010813414742796901,2.0492712148087602e-06,1.9582059973222882e-07,0.0010403022002738313,0.0030213313439062996,1.9334217604476483e-11,6.5624597378935487e-12,1.6261766963785729e-07,4.1419619207849799e-08,8.0780218389044956e-10,5.2969945774305506e-06,1.8191498968172765e-05,0.00083700588415232431,2.0072945138895522e-07,0.00011436518152043285,2.4552918895992996e-05,0.00015256624287036778,1.5535495930794854e-09,5.7858641112395154e-06,7.5611180075135409e-07,6.8541053206851922e-05
2.5778402923830288e-08,0.23542485839902155,76.950000000000003,0.0,0.0,0.0,0.39950560642259836,9.4946774313617155,0.0093782806021341977,0.080030727581544669,0.040000697996154758,0.002638421206186643,1.8260710106087261e-08,3.9095207361747203e-06,0.12366564509413239,0.00011458372645086308,2.0842340150330599e-11,0.0023558059982268305,0.0047020098627241292,0.26216275962560842,0.028180662294744849,6.529611030434277e-13,9.8523132115293414e-12,5.5883721405143157e-07,1.2316645085304215e-09,4.2638999019002059e-05,0.00010571228352373466,0.038570633855877792,0.042743160441781093,9.2151812007056029e-06,5.2919895279751265e-06,3.4507891209018483e-12,0.0010977077587933739,5.2147545598631292e-07,1.4958543118668686e-07,0.00011133416680689531,2.0917016442471395e-06,2.00053662071541e-07,0.001092279368719087,0.0030529441626456692,1.973433677265723e-11,6.6982689866666928e-12,1.6360169047541355e-07,4.1785837855303144e-08,8.0304441483437453e-10,5.360583437208182e-06,1.8412918286575099e-05,0.00087539617206131817,2.0508875898959266e-07,0.00011818262398460865,2.5110463978243916e-05,0.00015908547624985482,1.5856322247527552e-09,6.0335842949105233e-06,7.6932476993893597e-07,7.2048132202909141e-05
2.6163355182588167e-08,0.2354264451757831,76.950000000000003,0.0,0.0,0.0,0.39463848012822672,9.4946474701968846,0.009453198048521497,0.0802446737170351,0.039688548241997822,0.0026178255731760637,1.8309345277738695e-08,3.8664284142815037e-06,0.12471270645574251,0.00011488893309362099,2.0679643918363963e-11,0.0023980922869491564,0.0048223945503292924,0.26467105504043426,0.028604584397371575,6.547003383814789e-13,1.0103945061220201e-11,5.7322732809076424e-07,1.2541993783779689e-09,4.3052951218976979e-05,0.0001048903433243829,0.039086950225032301,0.043450970983360239,9.338446515509379e-06,5.3627785371815642e-06,3.4838057703678611e-12,0.0011199184482772909,5.3202161925018983e-07,1.5261143485219217e-07,0.00011452355018760159,2.13415016463334e-06,2.0429232303462127e-07,0.0011456035980070573,0.0030842916282793668,2.0134621779876646e-11,6.8341345247260621e-12,1.6457980713069287e-07,4.2149202740603609e-08,7.9836988095205685e-10,5.4238873460003984e-06,1.8633333104069978e-05,0.00091453261844295062,2.0945396018993293e-07,0.00012203456330652353,2.56649301916147e-05,0.00016573633046958151,1.6177284790948525e-09,6.2863190445141104e-06,7.8251671740135227e-07,7.5654270598565166e-05
2.6548307441346046e-08,0.23542801390896811,76.950000000000003,0.0,0.0,0.0,0.38984349205512492,9.4946182863974826,0.009526839639185004,0.080446336279872591,0.039371489382700769,0.0025969063138137562,1.8355179692793633e-08,3.8239744858109991e-06,0.12574403873497925,0.00011517656445054082,2.0514391183856521e-11,0.002439809282817194,0.0049431308833727478,0.26715174723341967,0.029024439158437054,6.5633942007306123e-13,1.035630666652274e-11,5.8766058031162728e-07,1.27644816173714e-09,4.3462335594267116e-05,0.00010405528574127545,0.0395936113797637,0.044153211826914146,9.4594041332977855e-06,5.4322422967368996e-06,3.516459078035191e-12,0.0011421352429075852,5.4257056036671194e-07,1.5563824127001847e-07,0.00011769964421798771,2.1766108704308542e-06,2.085359191821578e-07,0.0012002623466231615,0.0031153779823235054,2.0535017081549326e-11,6.9700374990233213e-12,1.6555209911794803e-07,4.2509758094218344e-08,7.9377697711251246e-10,5.4869117595810569e-06,1.8852762663052576e-05,0.00095439240951905114,2.138243660454461e-07,0.00012591939678658411,2.6216137313533073e-05,0.00017251727506082228,1.6498339095709823e-09,6.5440102154773021e-06,7.9568666440656911e-07,7.9359302251410285e-05
2.6933259700103926e-08,0.2354295644332287,76.950000000000003,0.0,0.0,0.0,0.38511931126618715,9.4945898652122818,0.009599224572344826,0.080636102587651942,0.039049919435552402,0.0025756896939572956,1.8398301811398219e-08,3.7821470709098214e-06,0.12675987493495383,0.0001154471756255205,2.0346789435263408e-11,0.0024809467881901637,0.0050641846655488714,0.26960524380651718,0.029440214018828785,6.5788151140552815e-13,1.060932671563804e-11,6.021328442044629e-07,1.2984052807978988e-09,4.3867219781483511e-05,0.00010320816822944599,0.040090612131989646,0.044849798380750476,9.5780529307615808e-06,5.5003801605540247e-06,3.5487544091930566e-12,0.0011643552027526761,5.5312088717942117e-07,1.5866545073823836e-07,0.00012085989839436308,2.2190781139169383e-06,2.1278381294212615e-07,0.0012562419660796084,0.0031462073660872667,2.0935469564618793e-11,7.1059598818239291e-12,1.6651864400397821e-07,4.2867547095131086e-08,7.8926413491213712e-10,5.5496620264332316e-06,1.9071225826352173e-05,0.00099495204336077559,2.1819931451824166e-07,0.00012983554827327134,2.6763916786365524e-05,0.00017942673591614817,1.68194426299713e-09,6.8065979930265689e-06,8.088336862927366e-07,8.3163000827549783e-05
2.7318211958861805e-08,0.23543109660653508,76.950000000000003,0.0,0.0,0.0,0.38046463685535797,9.4945621920607852,0.0096703717010312284,0.08081434799256719,0.038724219186421549,0.0025542008409560214,1.8438797356037093e-08,3.7409345596178057e-06,0.12776044383520965,0.00011570130454311304,2.0177037167337278e-11,0.0025214956181564669,0.0051855228494214539,0.27203194479277981,0.029851899809162884,6.5932967776888885e-13,1.0862936295486412e-11,6.1664013139951309e-07,1.3200656890804446e-09,4.4267670157521959e-05,0.00010235000249961405,0.040577957386509822,0.045540653006471574,9.6943941925786802e-06,5.567192865442776e-06,3.5806970295003684e-12,0.0011865755165520512,5.6367126863100054e-07,1.6169268109594721e-07,0.00012400186674005017,2.2615464950368291e-06,2.1703539168858437e-07,0.0013135277555950267,0.003176783823745334,2.1335928451629883e-11,7.2418844381478173e-12,1.6747951747829463e-07,4.3222611904046312e-08,7.8482982173984454e-10,5.6121433902412325e-06,1.928874108606698e-05,0.0010361873941167883,2.2257816951603873e-07,0.00013378146897575417,2.7308111296799695e-05,0.00018646309882268302,1.7140554719586159e-09,7.0740210271516059e-06,8.2195691010759468e-07,8.7065082236569206e-05
2.7703164217619684e-08,0.23543261030904422,76.950000000000003,0.0,0.0,0.0,0.37587819717580756,9.4945352525302926,0.0097402995406927692,0.080981436250717673,0.038394752843397599,0.002532463786888429,1.8476749396128669e-08,3.7003256049053754e-06,0.12874597008566868,0.00011593947247939837,2.0005324222681505e-11,0.0025614475567052814,0.0053071135130350958,0.27443224282833895,0.030259490547429845,6.6068688968099114e-13,1.1117068842711394e-11,6.3117858888657428e-07,1.3414248487294696e-09,4.4663751868249405e-05,0.00010148175625279829,0.041055661601112188,0.046225704717355556,9.8084314823485994e-06,5.6326824569901131e-06,3.6122921072496122e-12,0.0012087934966537367,5.7422043235134063e-07,1.6471956703086374e-07,0.00012712320903205264,2.3040108516322838e-06,2.2129006685041355e-07,0.0013721040168720902,0.0032071113053126639,2.173634520827414e-11,7.3777946943883079e-12,1.6843479342073651e-07,4.3574993695529675e-08,7.804725398773031e-10,5.6743609923183914e-06,1.9505326572171358e-05,0.0010780737752478637,2.269603199621338e-07,0.00013775563815122578,2.7848574359519186e-05,0.00019362471285729215,1.7461636475144464e-09,7.3462165622937712e-06,8.3505551234140016e-07,9.1065207052728068e-05
2.8088116476377564e-08,0.23543410544200433,76.950000000000003,0.0,0.0,0.0,0.37135874908822541,9.4945090323735659,0.0098090262766112966,0.08113771988071157,0.038061868667276073,0.0025105015103019375,1.8512238430157391e-08,3.6603091158933513e-06,0.12971667429818148,0.00011616218457736938,1.9831832121480296e-11,0.0026007953139160827,0.0054289258360333591,0.276806523319928,0.030662983247063551,6.61956025724467e-13,1.1371660093667943e-11,6.4574449617221055e-07,1.3624787083183427e-09,4.5055528856447108e-05,0.00010060435485363563,0.041523748261464516,0.046904888888189715,9.9201705169895781e-06,5.6968522174289343e-06,3.6435447155720821e-12,0.0012310065741389365,5.8476716233345092e-07,1.6774575941217703e-07,0.00013022169160270382,2.3464662500323419e-06,2.2554727304810921e-07,0.0014319541087882222,0.0032371936695239647,2.2136673454315771e-11,7.5136749080776451e-12,1.6938454396662443e-07,4.3924732689089836e-08,7.761908255982395e-10,5.7363198739723422e-06,1.9721000060901232e-05,0.0011205860016044536,2.3134517889630781e-07,0.00014175656367622984,2.838516990617714e-05,0.00020090989364574262,1.7782650721641306e-09,7.6231205618324507e-06,8.48128716750128e-07,9.5162982916230675e-05
2.8473068735135443e-08,0.23543558192669425,76.950000000000003,0.0,0.0,0.0,0.36690507722882926,9.4944835175070317,0.0098765697711289454,0.081283540511795954,0.037725899579619769,0.0024883359764911934,1.8545342465498161e-08,3.6208742512491185e-06,0.13067277313574227,0.00011636993034782243,1.9656734379677825e-11,0.0026395324842063751,0.0055509300753935282,0.27915516460806877,0.031062377734911426,6.6313987540110885e-13,1.1626648033818552e-11,6.6033426238786108e-07,1.3832236811852948e-09,4.5443063889030275e-05,9.971868294430233e-05,0.041982249370968582,0.047578146976150822,1.0029619044850681e-05,5.759706595638011e-06,3.6744598345856973e-12,0.0012532122941277216,5.9531029669999302e-07,1.7077092464927723e-07,0.00013329518774318817,2.3889079759941019e-06,2.2980646725925115e-07,0.0014930605018279232,0.0032670346866202913,2.2536868877992074e-11,7.6495100388333499e-12,1.7032883956951196e-07,4.4271868179207474e-08,7.7198324830131994e-10,5.7980249788093171e-06,1.9935778982923429e-05,0.0011636984501997624,2.3573218260491105e-07,0.00014578278251076805,2.8917771880539823e-05,0.00020831692648812643,1.8103561930739985e-09,7.9046678274648502e-06,8.6117579226577265e-07,9.9357966909044168e-05
2.8858020993893322e-08,0.23543703970340135,76.950000000000003,0.0,0.0,0.0,0.36251599329667877,9.4944586940095714,0.0099429475706920463,0.081419229221747408,0.03738716374918935,0.0024659881762727977,1.8576137095817268e-08,3.5820104127576412e-06,0.13161447939943149,0.00011656318415509302,1.9480196815276692e-11,0.0026776535056690256,0.0056730975408768678,0.28147853812603713,0.031457676478609711,6.642411418998429e-13,1.1881972846318802e-11,6.7494442336091659e-07,1.4036566243195036e-09,4.5826418583563269e-05,9.8825586000816085e-05,0.042431204955711441,0.048245426252338998,1.0136786727431222e-05,5.8212511392156313e-06,3.7050423534875828e-12,0.0012754083112598007,6.0584872555140217e-07,1.7379474407400262e-07,0.00013634167773564701,2.4313315259823437e-06,2.3406712801223776e-07,0.001555404832098483,0.0032966380410451557,2.2936889153548982e-11,7.7852857203682359e-12,1.7126774906158955e-07,4.461643856437951e-08,7.6784840968517179e-10,5.8594811549791341e-06,2.0149680431294702e-05,0.0012073851195463171,2.4012078977936408e-07,0.00014983286106349042,2.9446263840550057e-05,0.00021584406935307323,1.8424336155660388e-09,8.1907921135753218e-06,8.7419605099065416e-07,0.00010364966790033252
2.92429732526512e-08,0.23543847873043308,76.950000000000003,0.0,0.0,0.0,0.35819033535988143,9.4944345481216921,0.010008176912716734,0.081545106864758687,0.03704596515734452,0.0024434781633926373,1.8604695576143895e-08,3.5437072390644928e-06,0.13254200211314437,0.0001167424056881388,1.9302377843844989e-11,0.0027151536205231815,0.0057954005702839607,0.28377700855471977,0.031848884422892618,6.6526244478120153e-13,1.2137576860161561e-11,6.8957163865981597e-07,1.4237748178124145e-09,4.6205653434089093e-05,9.7925871833630946e-05,0.042870662584605305,0.048906679543584387,1.024168502460664e-05,5.8814924285677751e-06,3.7352970725926701e-12,0.0012975923853445117,6.1638138889189761e-07,1.7681691334531192e-07,0.00013935924854026487,2.4737325987767953e-06,2.3832875460603741e-07,0.0016189679547837497,0.0033260073340525918,2.3336693861777792e-11,7.9209882335176657e-12,1.722013397118291e-07,4.4958481375196866e-08,7.6378494291348625e-10,5.9206931573624161e-06,2.03627211692157e-05,0.001251619687438937,2.4451048070333318e-07,0.00015390539546581108,2.9970538567950666e-05,0.00022348955574347533,1.8744940968425969e-09,8.4814262366908525e-06,8.8718884627271056e-07,0.00010803754885712355
3.001287777016696e-08,0.23544130045321707,76.950000000000003,0.0,0.0,0.0,0.34972477760168968,9.4943882349428073,0.010135257668224465,0.081768663123836557,0.036357327878679138,0.0023980472412600206,1.8655385843738281e-08,3.4687425889798492e-06,0.13435531458839212,0.00011706052000860758,1.8943494004550626e-11,0.0027882758933296344,0.0060403076627679013,0.28830066599732873,0.032619059175445934,6.6707523516743579e-13,1.2649402225300529e-11,7.1886447134562394e-07,1.4630580739108111e-09,4.6952000110379642e-05,9.6109643238459551e-05,0.043721309228490109,0.05021094580091686,1.0444727640670621e-05,5.9980963549771333e-06,3.7948418799946239e-12,0.0013419162448970146,6.3742541689702844e-07,1.8285515234577171e-07,0.00014530050928230901,2.5584510720922691e-06,2.4685300193549881e-07,0.0017496704075266563,0.0033840577397227134,2.4135503984645259e-11,8.1921219617286504e-12,1.7405282607457197e-07,4.5635130215934407e-08,7.5586681015429271e-10,6.0424032065390212e-06,2.0786285961874047e-05,0.0013416259574065845,2.5329113827937885e-07,0.00016211236583377336,3.1006051307243733e-05,0.0002391283867941966,1.9385519885156489e-09,9.0759511822791526e-06,9.130896553132556e-07,0.00011709948650802003
