Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150)
3.241443922591541e-18,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999970113,9.5,1.8863567615356357e-14,1.3742526217648248e-13,1.3742526290028503e-13,1.0056777826446885e-21,9.9836351935996926e-22,5.1988602694359307e-15,7.1397013368159637e-21,7.3111680513673094e-22,2.3638584029720392e-31,4.0885059905128327e-36,1.1813841717532764e-36,6.8997815121054157e-21
6.485704043204448e-18,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999940192,9.5,3.7743524081762576e-14,2.7496991732479849e-13,2.7496992019300521e-13,4.0253319503197704e-21,3.9671685356352583e-21,1.0402208589383097e-14,2.8577344199348348e-20,2.9263702126451035e-21,1.8776022650034575e-30,3.2732908833278981e-35,9.4606553197989647e-36,2.7617041927929351e-20
1.2974224284430262e-17,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999880362,9.5,7.5503437014426461e-14,5.5005921748619377e-13,5.5005922873618614e-13,1.6106570621395946e-20,1.564728920152766e-20,2.0808818882976179e-14,1.1434605836638526e-19,1.1709273794814315e-20,1.4793073452335932e-29,2.6196276934629599e-34,7.5723595102527178e-35,1.1050361664713491e-19
2.5951264766881888e-17,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999760691,9.5,1.5102326287916004e-13,1.1002377783883775e-12,1.1002378216535117e-12,6.4436767116162243e-20,6.0857332341169948e-20,4.162169409068877e-14,4.5745435333380293e-19,4.6844569184750493e-20,1.1479490967138856e-28,2.0961004349414863e-33,6.0594230606508563e-34,4.4208223017528261e-19
5.1905345731785144e-17,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.9999999999952135,9.5,3.0206291460625038e-13,2.2005947506395434e-12,2.2005949108120362e-12,2.5776801922439674e-19,2.3054819028814867e-19,8.3246063034069319e-14,1.8299316334815793e-18,1.8739232265090096e-19,8.6602844557318982e-28,1.6770399978755977e-32,4.8481542985796735e-33,1.7684393026370931e-18
1.0381350766159165e-16,0.25674616834103753,76.950000000000003,0.0,0.0,0.0,0.99999999999042677,9.5,6.0414221805092389e-13,4.401308150896514e-12,4.401308702424716e-12,1.0311138203760146e-18,8.330518629415169e-19,1.6648927539942518e-13,7.3197467561593993e-18,7.4959016563339799e-19,6.2154608158639681e-27,1.3416963755290749e-31,3.8787724309953148e-32,7.0737767532428965e-18
2.0762983152120467e-16,0.2567461683410374,76.950000000000003,0.0,0.0,0.0,0.9999999999808532,9.5,1.2083008249022421e-12,8.8027330806071001e-12,8.8027347388337014e-12,4.124537498365525e-18,2.7844193828615443e-18,3.3295360097831255e-13,2.9277361856766058e-17,2.9983447587021232e-18,4.1176402040559193e-26,1.0733836752850138e-30,3.10312196157065e-31,2.829353645664059e-17
4.152624792404307e-16,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999996170619,9.5,2.416618038452763e-12,1.7605576802596788e-11,1.7605580624394997e-11,1.6498304295450687e-17,8.3272159497803519e-18,6.6579387899293284e-13,1.1709287541958446e-16,1.19928867999015e-17,2.4435729236924116e-25,8.5871888947895396e-30,2.4825465954749943e-30,1.1315813069866717e-16
6.228951269596567e-16,0.2567461683410374,76.950000000000003,0.0,0.0,0.0,0.99999999994255917,9.5,3.6249352518511686e-12,2.6408415126646556e-11,2.6408420322708455e-11,3.5058981689756972e-17,1.4770984851629512e-17,9.9854580732231347e-13,2.4879701937861275e-16,2.5484059336411106e-17,5.9926658105972308e-25,2.4554103353418061e-29,7.3701101221477091e-30,2.4043653839244598e-16
8.305277746788827e-16,0.25674616834103753,76.950000000000003,0.0,0.0,0.0,0.99999999992341215,9.5,4.8332524650974594e-12,3.5211248459179975e-11,3.5211253833782884e-11,5.9806560846460997e-17,2.1709704614701725e-17,1.3312094094181425e-12,4.2437814386163846e-16,4.3471460251877077e-17,1.1153245843938096e-24,5.1791889089188197e-29,1.60591608675276e-29,4.1011750114373847e-16
