Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362),S(361),C7H10(38),S(410),S(340),S(358),S(336),C7H8(308),S(197)
2.395577648974725e-17,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999979942811,9.5,1.9827244783950522e-15,1.1996096276066746e-15,4.5178799526379372e-11,8.598836914245042e-28,8.5988370209015801e-28,4.5178800066150743e-11,4.5893114005960688e-12,8.0815204858924885e-21,1.0548166299864718e-10,4.3221603879159454e-27,1.2231228007705566e-18,7.7619979410335415e-21,2.6150407016178301e-27,4.5992720623719725e-25,6.6421079973236283e-31,1.5340134783611966e-41,2.4946639993218508e-64,1.0521679447113159e-18,2.4946639991226606e-64,6.5646244239333331e-43,1.4615008055931398e-52,7.1848915038528661e-19,5.0662052653945202e-27,9.3695345117252892e-36,1.2961039514124436e-36,1.4007832250608172e-13,2.6718703846700394e-64,3.5013279210701319e-27,8.8866294895232255e-32,9.0811072815284565e-32,2.4951240558697938e-42,6.5646244253948341e-43
3.0267125326162223e-17,0.5587030993282506,76.950000000000003,0.0,0.0,0.0,0.99999999974658582,9.5,3.0896199933477098e-15,1.8693156462454052e-15,5.7081530064910901e-11,1.6216508175351938e-27,1.6216508415014214e-27,5.7081530857601533e-11,5.7984037118076912e-12,1.2593240417907806e-20,1.3327071359314091e-10,8.1511097303832891e-27,1.9059652149049478e-18,1.2095350474880708e-20,4.9316734672872901e-27,7.166946948758063e-25,1.2758876697980919e-30,3.4470434832399912e-41,7.6705622593739524e-64,1.5911502154342455e-18,7.6705622586441071e-64,1.4751206446081376e-42,3.8620692126741847e-52,1.1196024219640835e-18,8.908717979808716e-27,2.1053759830061087e-35,2.9124334008645602e-36,1.7698229026353227e-13,8.2154342745468185e-64,5.8372771882150525e-27,1.6759261452354405e-31,1.7117491593969171e-31,5.6992200381046278e-42,1.4751206449943445e-42
3.65784741625772e-17,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.99999999969374354,9.5,4.423900074520845e-15,2.6765963595897813e-15,6.8984260434819335e-11,2.7061158493528932e-27,2.7061158953250308e-27,6.8984261506629308e-11,7.0074960229342157e-12,1.8031812070575499e-20,1.6105938605776425e-10,1.3602042602116908e-26,2.7290865957203803e-18,1.7318920855057246e-20,8.2296564290236437e-27,1.0262111118311874e-24,2.1657262377286294e-30,6.6122111131532033e-41,2.3562731555078169e-63,2.2151015703837303e-18,2.3562731552714703e-63,2.8296162641586178e-42,8.4181040619824672e-52,1.603115982603783e-18,1.3968014887324856e-26,4.0385380943454262e-35,5.5866908366543075e-36,2.1388593398697031e-13,2.5236490603762098e-63,8.7674564439537158e-27,2.796688499265558e-31,2.8551439559929319e-31,1.1091853620636613e-41,2.8296162650004279e-42
4.9201171835407147e-17,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.99999999958805896,9.5,7.6102659080540549e-15,4.6044462311099139e-15,9.2789720809707033e-11,5.7639921200904101e-27,5.7639922385976342e-27,9.27897224803503e-11,9.4256806449934694e-12,3.1019631933158656e-20,2.1663586990046233e-10,2.8971998846627226e-26,4.6947813403274565e-18,2.9793321421991451e-20,1.7528955283628791e-26,1.7653673145243257e-24,4.7775518755357826e-30,1.7045302090017227e-40,1.4764615203796254e-62,3.6374331297847039e-18,1.476461520221821e-62,7.2943331655669305e-42,2.5818913882826307e-51,2.7577883414837917e-18,2.7031647971052964e-26,1.0410546272673559e-34,1.4401591413652256e-35,2.8769248353128262e-13,1.5813407367529485e-62,1.5993242391195972e-26,5.9569157572745616e-31,6.0768694355531091e-31,2.935450161187111e-41,7.2943331681488189e-42
6.18238695082371e-17,0.5587030993282506,76.950000000000003,0.0,0.0,0.0,0.99999999948237461,9.5,1.163761757372552e-14,7.0411185395692021e-15,1.1659518061464656e-10,1.046771980538933e-26,1.0467720055956415e-26,1.1659518292730143e-10,1.1843865266737978e-11,4.7435509240047346e-20,2.7221095522315963e-10,5.2614403367188285e-26,7.1793158902976189e-18,4.5560308362982643e-20,3.1833341174220366e-26,2.6996228289389421e-24,8.9396715349792435e-30,3.6040521080368398e-40,5.2877213789256646e-62,5.320313081633817e-18,5.2877213782932371e-62,1.542311283864346e-41,6.2529219250002166e-51,4.2172234194485658e-18,4.5043689883082362e-26,2.2011619271929122e-34,3.0450532732583645e-35,3.6149783461710385e-13,5.6633302676152626e-62,2.5444146227785536e-26,1.0818088516467582e-30,1.102811538443423e-30,6.3575305661164033e-41,1.5423112844896378e-41
7.444656718106705e-17,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999937669015,9.5,1.6562651761109394e-14,1.0020916535567572e-14,1.4040063984953756e-10,1.730004890213751e-26,1.7300049375653583e-26,1.4040064281195648e-10,1.4262049888146512e-11,6.7510618876923948e-20,3.2778454774192006e-10,8.6955554607718739e-26,1.0217681634264056e-17,6.4841939921380946e-20,5.2610799692124897e-26,3.8421359021477622e-24,1.5117072468700754e-29,6.8109708247446694e-40,1.6083000751379586e-61,7.2429796607151382e-18,1.6083000749285892e-61,2.9146746355318584e-41,1.3335232080572692e-50,6.0019705056476107e-18,6.8563226843183965e-26,4.159699554501336e-34,5.7545434663754011e-35,4.3530190643736824e-13,1.7225443322020686e-61,3.7277137457382758e-26,1.7879120319799766e-30,1.821311354568775e-30,1.2273856282703014e-40,2.9146746368653813e-41
9.969196252672694e-17,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999916532145,9.5,2.9156057327499494e-14,1.7640316369436216e-14,1.8801155676685689e-10,3.984877918645794e-26,3.9848780618337297e-26,1.8801156086279446e-10,1.909841912993678e-11,1.1884395198533783e-19,4.3892717073833889e-10,2.0028970645883721e-25,1.7987015110525208e-17,1.1414655861926183e-19,1.2118146645285731e-25,6.7636352041210437e-24,3.5907077897350165e-29,2.059687577920876e-39,1.326064315129647e-60,1.1631467659443714e-17,1.3260643148720377e-60,8.8141958771354718e-41,5.3409460355827588e-50,1.0565645173887002e-17,1.3306703307413259e-25,1.2578579193901395e-33,1.7401938027539871e-34,5.8290614054646639e-13,1.4202601867024825e-60,6.8229948311450096e-26,4.1182690382086905e-30,4.1876862419557821e-30,3.8541305527111967e-40,8.8141958824764182e-41
1.2493735787238684e-16,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.99999999895395297,9.5,4.5396209411622353e-14,2.7466110626439088e-14,2.3562247175349949e-10,7.6486851130139127e-26,7.6486854493764509e-26,2.3562247662917003e-10,2.393478837036207e-11,1.8504351720428992e-19,5.5006372936631051e-10,3.8443629948711076e-25,2.8006420388789045e-17,1.7773027611863519e-19,2.3259584997874265e-25,1.0531236999337849e-23,7.0083083439623935e-29,4.8386104000865022e-39,5.7080987092974659e-60,1.6608929031009457e-17,5.7080987079699754e-60,2.0706288421127815e-40,1.5248924586383676e-49,1.6450913398045738e-17,2.2098627020663745e-25,2.9548194550784681e-33,4.0880107412287612e-34,7.3050517760959774e-13,6.1135687274859764e-60,1.0886884272993243e-25,7.9047344412827445e-30,8.0244589498536291e-30,9.249013389746772e-40,2.0706288436376742e-40
1.7542814856370664e-16,0.5587030993282505,76.950000000000003,0.0,0.0,0.0,0.99999999853121679,9.5,8.8823591783838396e-14,5.3741020004787009e-14,3.3084429667394966e-10,2.1018146017125647e-25,2.1018147335820065e-25,3.3084430130361653e-10,3.3607526847114768e-11,3.620724274656176e-19,7.7231864214455085e-10,1.0563747339257847e-24,5.4800289621953604e-17,3.4776578884883271e-19,6.3913938223802252e-25,2.0606590245817462e-23,1.9589451442141807e-28,1.8971593312282042e-38,6.9682033946273248e-59,2.7588902922598049e-17,6.9682033920315082e-59,8.1186923734415793e-40,8.7108341648072035e-49,3.2188861000571279e-17,4.6779053898871742e-25,1.1584112909255942e-32,1.6028122860060041e-33,1.0256876503323431e-12,7.4631838584128818e-59,2.1922393897219117e-25,2.1721843780353964e-29,2.1964677822996561e-29,3.7187366225777227e-39,8.1186923821524122e-40
2.7640972994634625e-16,0.5587030993282504,76.950000000000003,0.0,0.0,0.0,0.99999999768574677,9.5,2.1946181304412075e-13,1.3278118400540578e-13,5.2128792837895683e-10,8.35668083040304e-25,8.3566817056235487e-25,5.2128792321826488e-10,5.2953003784228035e-11,8.9465016068681167e-19,1.2167556578659763e-09,4.1997753726955927e-24,1.3540927329745214e-16,8.5931583104179695e-19,2.5409939739120398e-24,5.0918409837718108e-23,7.8850474144610265e-28,1.2594655807193953e-37,2.0519412908563701e-57,5.1574382196089733e-17,2.0519412893990278e-57,5.3897693688142425e-39,1.0044057973031832e-47,7.9533618268037588e-17,1.2455281977628942e-24,7.6882061539162402e-32,1.0639863242144997e-32,1.6159901937463623e-12,2.1976991873377779e-57,5.5623580510246927e-25,8.6365403595280813e-29,8.6573499919398942e-29,2.5157789580472185e-38,5.3897693788582998e-39
