Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672)
1.9148719292744257e-19,0.17275818235533164,76.950000000000003,0.0,0.0,0.0,0.99999999999943145,9.5,1.6234738796350101e-14,2.3694824221690365e-13,2.3694824232495911e-13,1.7549515841522486e-22,1.7529327019225516e-22,7.8419772033181432e-14,7.4979848602754734e-21,1.083943206268588e-22,7.6348115157219263e-33,2.5359406187605665e-37,3.4294109102311463e-37,1.0913615206336082e-20,5.0492910782995608e-25,9.3745592186417421e-33,2.0690107040210166e-37,5.9430268821939482e-51,1.1592487676595682e-50,1.0131152108366923e-34,1.3878773874198334e-25,9.8356290236802685e-35,9.8356290277613942e-35,3.6006945987774473e-44,4.8043054366862738e-45,1.8695769218347059e-40,1.8942936837460054e-27,1.4858588326639986e-36,9.9126982105882756e-38,7.6899827084495013e-80,5.2514278707438432e-46,2.8772799719960859e-41,7.2319751372402372e-80,1.1718438385750162e-22,1.5061412075537373e-55,1.5060777949082475e-55,4.146264504067923e-32,1.2545282402673443e-32,5.058003820873443e-25,4.1461575032069307e-32,1.9433835884067466e-41,7.2319751372376514e-80,4.0668682806992366e-50,1.1592495473003038e-50,7.7964895900006955e-57,3.7633943745301847e-67,1.7584834768851969e-41,4.6286348217053049e-77,1.2598060240402386e-30,8.2234998659067555e-62,2.9422680812421348e-78,9.3490251905258356e-40
3.8314075179139897e-19,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999886235,9.5,3.2483582491721214e-14,4.7410234680488525e-13,4.7410234723658245e-13,7.0243798520903069e-22,7.0082338601642375e-22,1.5690763812264257e-13,3.001147355570958e-20,4.3385971843620655e-22,6.0934877703127422e-32,2.0302944952728597e-36,2.746348292247047e-36,4.3682893506152009e-20,2.0210323124771524e-24,7.4375365431049899e-32,1.6564281666600802e-36,9.5192995055375778e-50,1.8563072053418847e-49,8.111080296598732e-34,5.5551264550076794e-25,7.8744836892345167e-34,7.8744836957696308e-34,5.7657986613194452e-43,7.6931470842289838e-44,1.4967976593163042e-39,7.58211139377954e-27,1.1895896624953207e-35,7.9361846223434617e-37,9.8631668308581865e-78,8.4091253722640487e-45,2.3035734844457036e-40,9.2757266174137389e-78,4.6904282988302777e-22,4.8236193803980627e-54,4.8232132240679652e-54,3.319531482540677e-31,1.0043850263746079e-31,2.0245188815877262e-24,3.3194458171034921e-31,3.111944671282458e-40,9.2757266174071059e-78,6.5122879675523879e-49,1.8563097022899108e-49,2.4969743634711865e-55,2.4106302123600536e-65,1.4078559730258298e-40,5.9297546114202362e-75,5.0425072364668264e-30,2.6337342849759953e-60,3.7693463418888888e-76,7.484904583812581e-39
7.664478695193118e-19,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999772426,9.5,6.4981269882402968e-14,9.4841055428265523e-13,9.4841055600357239e-13,2.8106668924079875e-21,2.7977728625527024e-21,3.1388325683818654e-13,1.2008493637832336e-19,1.7360036195025333e-21,4.8464975980368179e-31,1.6248527078726717e-35,2.1982528728000293e-35,1.7478840143487836e-19,8.086761749837804e-24,5.8465508451008348e-31,1.3255844266071609e-35,1.5239556853525598e-48,2.9712965588327985e-48,6.4913268563377086e-33,2.2227741647081053e-24,6.3019801465642644e-33,6.3019801570246865e-33,9.2290198268244795e-42,1.2314041742470162e-42,1.1978919768847752e-38,3.0338321628512379e-26,9.5203187899063135e-35,6.3513576000201902e-36,1.2637662255680765e-75,1.3460072756180016e-43,1.8435588864859345e-39,1.1884975908896987e-75,1.8767815009392037e-21,1.5441511005261587e-52,1.5438910898388894e-52,2.6566320954137212e-30,8.0381267764058994e-31,8.1007061774368484e-24,2.6565635375290253e-30,4.9811345545125196e-39,1.1884975908879989e-75,1.0423901784199049e-47,2.9713045524168384e-48,7.9936683538302958e-54,1.543460721510287e-63,1.126712587821218e-39,7.5933457896440733e-73,2.0176597044206314e-29,8.4314947668908766e-59,4.8268355243135155e-74,5.9901982004089276e-38
1.5330621049751374e-18,0.17275818235533158,76.950000000000003,0.0,0.0,0.0,0.99999999999544809,9.5,1.2997664466352471e-13,1.8970269624788878e-12,1.8970269693125261e-12,1.1244497635814843e-20,1.1141765880961151e-20,6.2783404041641798e-13,4.8041754327085297e-19,6.9451418338464109e-21,3.8305498677062113e-30,1.300129140193155e-34,1.7591454825423319e-34,6.9926684347022032e-19,3.2352312650336136e-23,4.5173625378052784e-30,1.0605704919604546e-34,2.4391219575111218e-47,4.7550294338554279e-47,5.19404373769713e-32,8.8925439942442189e-24,5.0425415744940237e-32,5.0425415912340654e-32,1.4769394858098224e-40,1.9706463955647027e-41,9.5849389016966579e-38,1.2137304081213654e-25,7.6176792317633136e-34,5.0820477665490984e-35,1.6184410198419552e-73,2.1540485010688795e-42,1.4751272037342432e-38,1.5220483142142687e-73,7.5083418881036637e-21,4.9419620666928326e-51,4.9402981605065141e-51,2.1257061686339993e-29,6.4317131466606446e-30,3.2408048309559637e-23,2.1256513127109003e-29,7.9714255986963722e-38,1.5220483142099145e-73,1.6681636357899791e-46,4.7550550186369816e-47,2.5585051408359093e-52,9.8802339089606621e-62,9.0154115045284214e-39,9.7215509582482357e-71,8.0719525817013882e-29,2.6986458368985644e-57,6.1796642650050764e-72,4.7930682297426446e-37
3.0662905758867886e-18,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999999089573,9.5,2.5996739422480103e-13,3.7942597520975886e-12,3.7942597790303284e-12,4.4981650155613766e-20,4.4166673424895091e-20,1.2557337921667041e-12,1.9218233982137055e-18,2.7782803837564721e-20,2.9915383549464435e-29,1.0402022346466205e-33,1.4076510526183479e-33,2.7972903991533193e-18,1.2941978186927703e-22,3.3811060508095193e-29,8.4837946002730342e-34,3.9035444738071385e-46,7.6087813006292573e-46,4.1556231241980373e-31,3.5573070564701102e-23,4.0344162427448711e-31,4.034416269531525e-31,2.3633302777384139e-39,3.153351179772027e-40,7.6686521138845114e-37,4.8553166970528848e-25,6.0946863993976412e-33,4.0660189604782777e-34,2.0721295944144857e-71,3.4468238632190449e-41,1.1802138050335996e-37,1.9487156576597792e-71,3.0035762274988069e-20,1.5813634570786532e-49,1.5802991056515006e-49,1.700721376780358e-28,5.145843801251318e-29,1.2964233356087086e-22,1.7006774891566689e-28,1.27555419859511e-36,1.9487156576486291e-71,2.6693332765299635e-45,7.6088631801155371e-46,8.1880349873088281e-51,6.3239928642363847e-60,7.2130123156529968e-38,1.2444861625240129e-68,3.2290437701502734e-28,8.6365757852396284e-56,7.9107816606473612e-70,3.8348179492160694e-36
6.132747517710091e-18,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999998179101,9.5,5.1994889334348515e-13,7.5887252262818551e-12,7.5887253308655166e-12,1.7993391386919824e-19,1.7352238952388052e-19,2.511526034084558e-12,7.6875810021756559e-18,1.111355415943427e-19,2.2840054166166418e-28,8.3220155466762989e-33,1.1264423891222353e-32,1.1189579932316355e-17,5.1770018460210096e-22,2.394360770909399e-28,6.7848391894383563e-33,6.2474379681915642e-45,1.2174541993232202e-44,3.324646066792558e-30,1.4229806932634506e-22,3.227686130575938e-30,3.2276861734363267e-30,3.7814782002712142e-38,5.0456062882811292e-39,6.1351695921322818e-36,1.9422056553416527e-24,4.8759235748535172e-32,3.2529611264090563e-33,4.6436888502516169e-69,5.5151847441388919e-40,9.4421585103580244e-37,4.3671154536839194e-69,1.2014754095926186e-19,5.0591534308430143e-48,5.0523496826708416e-48,1.3606336459934766e-27,4.1168460315757663e-28,5.1858715463259077e-22,1.3605985362785348e-27,2.040978844014425e-35,4.3671154536340283e-69,4.2711502487352684e-44,1.2174804018663087e-44,2.6202819433088333e-49,4.047530254107876e-58,5.7706810620399289e-37,1.5930118157481542e-66,1.2916700304659947e-27,2.7638503374421961e-54,1.0126242586192708e-67,3.0679988479394925e-35
1.2265661401356696e-17,0.17275818235533158,76.950000000000003,0.0,0.0,0.0,0.99999999996358158,9.5,1.0399118915653791e-12,1.5177655769783351e-11,1.5177656164134276e-11,7.1975023241557989e-19,6.701129464539202e-19,5.0230814719253051e-12,3.0750746423507443e-17,4.4454964421681099e-19,1.6736872936959207e-27,6.6577746436396782e-32,9.0158243628968354e-32,4.4758934570852068e-17,2.0708428058031569e-21,1.5550242340955851e-27,5.4239745057703282e-32,1.0000533613945435e-43,1.9479355175003744e-43,2.6597635708440197e-29,5.6920383313408914e-22,2.5822100565491564e-29,2.5822101251261198e-29,6.0503827372588705e-37,8.0731362353207092e-38,4.9081828196990121e-35,7.7689802698827339e-24,3.9007402298680487e-31,2.6024171294039224e-32,5.9641156378273713e-67,8.8244753709137118e-39,7.5539058513829221e-36,5.6088989639726416e-67,4.8059676567619838e-19,1.6180280442127098e-46,1.61368433132193e-46,1.0885198784496904e-26,3.2935158905274821e-27,2.0743645723054207e-21,1.0884917932923656e-26,3.2656118145974224e-34,5.6088989638442739e-67,6.8340134542859458e-43,1.9480193661158797e-43,8.3849499702258664e-48,2.5904356218951649e-56,4.6166500598843657e-36,2.0390684755864427e-64,5.1667849570685558e-27,8.8445587900634461e-53,1.2961675627045514e-65,2.4544554925307067e-34
2.4531489168649904e-17,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.99999999992716271,9.5,2.0798378879472694e-12,3.0355515346055069e-11,3.0355516749065665e-11,2.8790296863823204e-18,2.5060818845880927e-18,1.0046076166314214e-11,1.2300261124130251e-16,1.7782041409943937e-18,1.14510718577796e-26,5.3262896149599909e-31,7.2191600598796634e-31,1.790351932528586e-16,8.283455001846291e-21,9.0062277223805306e-27,4.3328037383005053e-31,1.6014836782020467e-42,3.116606096762116e-42,2.1278098463886204e-28,2.2768382962997318e-21,2.0657923398445298e-28,2.0657924495645817e-28,9.6802994837326751e-36,1.2917056990802822e-36,3.9264818897378658e-34,3.1076234010557852e-23,3.120483285825111e-30,2.0819367503748413e-31,7.6344481136039365e-65,1.4119197332666003e-37,6.0431960115050157e-35,7.1797481392928588e-65,1.9223812105402475e-18,5.17172905689607e-45,5.1440663549620435e-45,8.7080563704347894e-26,2.6347814074769675e-26,8.297332700373669e-21,8.7078317390098257e-26,5.2249257122298049e-33,7.1797481389642163e-65,1.0934558228151774e-41,3.1168744048124058e-42,2.6831087893190927e-46,1.657833207739123e-54,3.6933568999229423e-35,2.6099364614642811e-62,2.0667347868449664e-26,2.8302993853582527e-51,1.6590492919018286e-63,1.963584752672793e-33
3.6797316935943114e-17,0.17275818235533158,76.950000000000003,0.0,0.0,0.0,0.99999999989074384,9.5,3.1197638842672629e-12,4.5533373507908127e-11,4.5533376252391268e-11,6.1179556103553108e-18,5.0885342656993252e-18,1.5068954682097734e-11,2.6137894318040526e-16,3.7786767173643652e-18,3.0073780345930388e-26,1.5229918782254824e-30,2.1441048378375857e-30,3.8044744849181388e-16,1.7602393861904097e-20,2.1849261156349088e-26,1.2378608413368346e-30,6.0609040132182833e-42,1.147098298033219e-41,6.0841816855878904e-28,4.8382955654575941e-21,5.9068926115218487e-28,5.906893015357708e-28,3.5629259866276797e-35,4.7543260695762526e-36,1.122713610782702e-33,6.6037190335004463e-23,8.9224194134024523e-30,5.9530204709931781e-31,3.9390967914714575e-64,5.1967916995167157e-37,1.7279815947253361e-34,3.704488189300702e-64,4.0850349772567558e-18,2.3601146660581453e-44,2.3449420954391083e-44,2.489933620475473e-25,7.5337482680290599e-26,1.7631576316350424e-20,2.4898693983549691e-25,1.9231039125641377e-32,3.7044881890989328e-64,4.0246546110220146e-41,1.14722079618859e-41,1.2249944667803181e-45,9.1085329869653653e-54,1.0560713128404482e-34,1.6837521404248647e-61,4.3918242466562547e-26,1.2922177620922389e-50,1.0703049172341623e-62,5.6146374352762166e-33
6.132897247052953e-17,0.17275818235533158,76.950000000000003,0.0,0.0,0.0,0.9999999998179061,9.5,5.199615876659662e-12,7.5889084786423288e-11,7.5889090932622127e-11,1.6914390570104225e-17,1.2626954696718332e-17,2.5114247020739777e-11,7.2262094110805131e-16,1.0446828551523467e-17,1.1165060601481788e-25,6.9991482982607984e-30,1.0057551339604104e-29,1.0518035229882769e-15,4.8665576172069455e-20,7.0528934110991291e-26,5.6741864874023261e-30,4.789733432220742e-41,8.8252756888744171e-41,2.7960137479213291e-27,1.3376500291041982e-20,2.7145973854869886e-27,2.7145976961810998e-27,2.7411439309749628e-34,3.6579717610268137e-35,5.1593396193204226e-33,1.8257389836129178e-22,4.1000940746330675e-29,2.7357472433264034e-30,2.6553991128882525e-62,3.99840136686365e-36,7.9411889635435317e-34,2.4972462436841611e-62,1.1293686415648131e-17,3.0662265600715884e-43,3.0326829141838837e-43,1.1442380060225278e-24,3.462100209703798e-25,4.8744063134715109e-20,1.1442085037923375e-24,1.479599906514539e-31,2.4972462434544213e-62,3.096614196901642e-40,8.8268702330467256e-41,1.5945609738710699e-44,2.0307830584717756e-52,4.8533125242295715e-34,6.5125661868098583e-60,1.2142134806370094e-25,1.6821869932647994e-49,4.1398207653747306e-61,2.5802811108541596e-32
8.340746245165731e-17,0.1727581823553316,76.950000000000003,0.0,0.0,0.0,0.9999999997523521,9.5,7.0714826696128296e-12,1.0320922122034347e-10,1.0320923065013885e-10,3.0119542473774744e-17,2.0970261281540379e-17,3.4154634782345167e-11,1.2867550211614844e-15,1.8602570924703541e-17,2.2474632569300213e-25,1.5755059083224016e-29,2.3224849629801039e-29,1.8729231156902153e-15,8.6659056122059261e-20,1.3326045896250004e-25,1.2754381044623867e-29,1.344905414877996e-40,2.4304394623937679e-40,6.2937310003052292e-27,2.3819605735130246e-20,6.1105375759290861e-27,6.1105384315663007e-27,7.5489589658986198e-34,1.0074131721158027e-34,1.1613318376598111e-32,3.2511031726770988e-22,9.2288651834694051e-29,6.1580847216813178e-30,1.5185509648697201e-61,1.101167853169765e-35,1.787555688887809e-33,1.428107615041256e-61,2.011041595494774e-17,1.0016899843043966e-42,9.8905951696017234e-43,2.5756124177092888e-24,7.792983145654206e-25,8.6796228038426247e-20,2.5755460233686282e-24,4.0748072479820549e-31,1.4281076148980702e-61,8.5282051711909727e-40,2.4309607486882397e-40,5.2129178633833852e-44,7.6658985139607632e-52,1.0924750044634311e-33,2.7681529236027137e-59,2.1621564253852585e-25,5.4995322306476303e-49,1.7596223675043892e-60,5.8081849454875717e-32
