Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204),C5H8(336),S(200),C7H8(273),S(400),S(399),S(388)
1.719703968310723e-17,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999982673926,9.5,5.3809145277620681e-12,3.1700718593718286e-11,3.1700718277307465e-11,6.3325934417888678e-19,7.2048476898705728e-19,1.0406571121400131e-10,8.7570657944553068e-16,4.1032950293701992e-13,4.1058266255009823e-19,1.5634499020936112e-15,2.6405851365203835e-27,1.2338839040154213e-20,3.4985063416786589e-31,5.6369127491079579e-32,6.946405403992723e-21,7.0753230464919565e-28,7.0753229747862415e-28,6.2818811856010264e-36,8.8867592719622179e-37,1.785611788169863e-27,1.4351118501632109e-41,6.5718674883704562e-32,1.5420429449139367e-42,1.4779040804880552e-64,1.3739045478602141e-64,1.3739045480054357e-64
2.1749206326093206e-17,0.49068663699598997,76.950000000000003,0.0,0.0,0.0,0.99999999978087606,9.5,6.8052770965250023e-12,4.0092101800344959e-11,4.0092101331766116e-11,9.6318570313437223e-19,1.1246875021465273e-18,1.3161183687147481e-10,1.3669857753842065e-15,5.1894444025369703e-13,6.4092409276319917e-19,2.4405592316638324e-15,4.6525014114881588e-27,1.9261079194442453e-20,6.7365894829987738e-31,1.065414140866641e-31,1.0843443395871461e-20,1.3372830421105607e-27,1.3372830259604346e-27,1.414853351733771e-35,2.0015603045978846e-36,2.9844708658546847e-27,3.2323037777021033e-41,1.2416398975027322e-31,3.5307911714748378e-42,4.5635794006980742e-64,4.2424421043302106e-64,4.2424421048641714e-64
2.6301372969079183e-17,0.49068663699599013,76.950000000000003,0.0,0.0,0.0,0.99999999973501286,9.5,8.2296396651995688e-12,4.8483484921968077e-11,4.8483484283575264e-11,1.3474501448927715e-18,1.6123219254732875e-18,1.5915767521496535e-10,1.9596670150453136e-15,6.2755863017762044e-13,9.1880947287141422e-19,3.4987075291446378e-15,7.3043589270510924e-27,2.7612122769880204e-20,1.1454504706991377e-30,1.7808004859026364e-31,1.5544871350838993e-20,2.23521889003097e-27,2.2352188589911079e-27,2.7192860401995764e-35,3.8469398059964798e-36,4.4904433927864944e-27,6.2124076855236344e-41,2.0745972716075375e-31,6.8855870417133375e-42,1.4064793075395723e-63,1.307505909412235e-63,1.3075059095856835e-63
3.540570625505114e-17,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999964328634,9.5,1.107836480234719e-11,6.5266250971365358e-11,6.5266249963722228e-11,2.2292780028249249e-18,2.777855157311813e-18,2.142486966961936e-10,3.3762719897858731e-15,8.4478530562461853e-13,1.5830024280969458e-18,6.027854804144154e-15,1.4159271369768817e-26,4.757255060069074e-20,2.5328096865837258e-30,3.8018094024393263e-31,2.6782123655701376e-20,4.7719397533209967e-27,4.7719396730538925e-27,7.0318899308483264e-35,9.9480444881985879e-36,8.2092716672770122e-27,1.6065121139729683e-40,4.4264105432851388e-31,1.8282245197860615e-41,8.8813745677790581e-63,8.2563957195645439e-63,8.2563957207335626e-63
4.4510039541023093e-17,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999955156005,9.5,1.3927089939168176e-11,8.2049016706555104e-11,8.2049015294354687e-11,3.2820443580478295e-18,4.2517857238683859e-18,2.6933865617282897e-10,5.1676914271899519e-15,1.0620092184463968e-12,2.4229345194363442e-18,9.2261801448794411e-15,2.3614608691992715e-26,7.2814361170821393e-20,4.7455315556059474e-30,6.913182584105717e-31,4.0992728261157729e-20,8.6772569876113012e-27,8.6772568176272531e-27,1.4891623595416908e-34,2.1067470383472101e-35,1.3077846695316778e-26,3.4022031809120511e-40,8.044456286601134e-31,3.9659050586919086e-41,3.1882831287574614e-62,2.9639248959101759e-62,2.9639248963797166e-62
5.361437282699505e-17,0.49068663699599013,76.950000000000003,0.0,0.0,0.0,0.99999999945983364,9.5,1.6775815075640371e-11,9.8831782106225453e-11,9.8831780273539455e-11,4.4955722058412947e-18,6.0550313877312409e-18,3.2442748163192274e-10,7.3593409373512102e-15,1.2792301812953935e-12,3.4505235510164859e-18,1.3139059518662315e-14,3.5964627545944321e-26,1.0369573239199359e-19,8.0319602010159624e-30,1.1435760599694938e-30,5.8378360522525776e-20,1.4353879698186525e-26,1.4353879376600752e-26,2.8172807229450219e-34,3.9857055176659607e-35,1.9177864368403792e-26,6.4365722971170295e-40,1.3299555081853977e-30,7.6650397955939e-41,9.7105046371445841e-62,9.0271802398305996e-62,9.0271802413870945e-62
7.182303939893895e-17,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999927638095,9.5,2.247326534751875e-11,1.3239731188010252e-10,1.323973092696479e-10,7.3020993930484495e-18,1.0668023821538729e-17,4.3460166672752876e-10,1.2965836577574181e-14,1.7136630910713395e-12,6.0792327449218618e-18,2.3148662353617963e-14,6.9841814634825508e-26,1.8269464436452149e-19,1.910469717950226e-29,2.6378706374548628e-30,1.0285361579900183e-19,3.310985717958922e-26,3.3109856204950429e-26,8.5383767188934194e-34,1.2079917061776642e-34,3.5145310812931632e-26,1.9508232115136716e-39,3.0634449470877762e-30,2.412371748409543e-40,8.0452472931120098e-61,7.4791064216968912e-61,7.4791064236261256e-61
9.003170597088286e-17,0.49068663699599013,76.950000000000003,0.0,0.0,0.0,0.99999999909292814,9.5,2.8170715617980196e-11,1.6596284029095799e-10,1.6596283706838893e-10,1.0531376899988179e-17,1.6618833380259556e-17,5.4477124525728547e-10,2.0198132628100753e-14,2.1480840173076535e-12,9.4702528357132078e-18,3.6060901245304599e-14,1.1601887273600827e-25,2.8460318921284399e-19,3.7317587682713433e-29,5.0673995463205326e-30,1.6022718804445533e-19,6.3604605558778536e-26,6.3604603266498545e-26,2.0081576599189959e-33,2.8411773999519551e-34,5.6119956893822853e-26,4.5883471860860276e-39,5.8771149025121742e-30,5.7958617727591741e-40,3.4692551997849264e-60,3.2251250882137554e-60,3.2251250892099072e-60
1.2644903911477068e-16,0.49068663699599013,76.950000000000003,0.0,0.0,0.0,0.99999999872602308,9.5,3.9565616154649482e-11,2.3309389302089056e-10,2.3309388954798506e-10,1.7782527458201604e-17,3.2536566974991876e-17,7.6509657442309851e-10,3.9543018635771592e-14,3.0168898969590304e-12,1.8540640365695523e-17,7.0598451661597905e-14,2.4564100201459337e-25,5.5719263241609904e-19,1.0440170783336251e-28,1.3938121622500264e-29,3.1369500103787142e-19,1.7494711857163122e-25,1.7494710957205659e-25,7.8840309363896232e-33,1.1155256414646926e-33,1.1310003956777739e-25,1.8015554481546701e-38,1.6115325541746268e-29,2.3334270834898991e-39,4.2452048528376012e-59,3.946471495855795e-59,3.9464714978091761e-59
1.992837054025463e-16,0.49068663699598997,76.950000000000003,0.0,0.0,0.0,0.99999999799221406,9.5,6.2355417210972973e-11,3.6735598211307841e-10,3.6735598350845301e-10,3.3982731135828489e-17,8.0437045530798183e-17,1.2056919255299217e-09,9.7752431016481637e-14,4.7543577706349088e-12,4.58344597540776e-17,1.745231020381159e-13,6.5408995552796143e-25,1.3774566011607525e-18,4.2056434189585689e-28,5.5462661662146185e-29,7.7551890551712761e-19,6.9614778603952358e-25,6.9614772623678333e-25,5.238880450001871e-32,7.4138159392177545e-33,2.8718011036934331e-25,1.1973843513666204e-37,6.3685653030983824e-29,1.5803354910708305e-38,1.252390434540799e-57,1.164260240576779e-57,1.16426024167563e-57
3.449530379780976e-16,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999652460037,9.5,1.0793501925555725e-10,6.3588009482451548e-10,6.3588013191535681e-10,6.8697955697851155e-17,2.4050023154365502e-16,2.0866614418868826e-09,2.9223462610428031e-13,8.2287180417272102e-12,1.3703018230081471e-16,5.2174347937559575e-13,2.0679166604111606e-24,4.1182506432670606e-18,2.2625453077362263e-27,2.9618606132536239e-28,2.3187430496270558e-18,3.717592130428872e-24,3.717591539426525e-24,5.1771118605312749e-31,7.3289976639318381e-32,8.7579261303151108e-25,1.183822990907497e-36,3.3520959333510995e-28,1.5785673810456672e-37,6.9936998291019185e-56,6.5015562748740621e-56,6.5015562870100205e-56
4.906223705536489e-16,0.49068663699599013,76.950000000000003,0.0,0.0,0.0,0.99999999505699244,9.5,1.535146212093913e-10,9.044041202389867e-10,9.0440422967323721e-10,1.044703592682012e-16,4.8624610340725953e-16,2.967336110535135e-09,5.9077775073919245e-13,1.170231112534894e-11,2.7702957534824577e-16,1.054749888284121e-12,4.2776098832716181e-24,8.3259160351610802e-18,6.3465286177946693e-27,8.2853070676583417e-28,4.6880690402544529e-18,1.0399268504946284e-23,1.0399266299661184e-23,1.9317532190901176e-30,2.7352746205155833e-31,1.7849615630973498e-24,4.4184872538972425e-36,9.279167919392471e-28,5.9090373496363233e-37,5.5759768652643265e-55,5.1835978956939278e-55,5.1835979068761737e-55
