Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82)
2.0657020770954986e-15,0.1720309424724125,76.950000000000003,0.0,0.0,0.0,0.99999999462036071,9.4999999999999769,1.5699825828414511e-10,2.2738133908132245e-09,2.2738094773282879e-09,1.3607086194034792e-14,1.2389027962912142e-15,6.7447627529568624e-10,5.1853177282043637e-13,8.454698638239418e-15,1.7641190710893435e-22
2.98379193237541e-15,0.17203094247241243,76.950000000000003,0.0,0.0,0.0,0.9999999922294257,9.499999999999952,2.2677526479544973e-10,3.2843917161312997e-09,3.2843827825710384e-09,2.8379105699607811e-14,1.8174514882266337e-15,9.7389551840264705e-10,1.081204372948755e-12,1.7628094322224025e-14,3.7180415478323253e-22
3.9018817876553215e-15,0.17203094247241235,76.950000000000003,0.0,0.0,0.0,0.99999998983850025,9.4999999999999183,2.9655227102557203e-10,4.2949667062181002e-09,4.2949507115029264e-09,4.8522603475167081e-14,2.395839980739815e-15,1.2731006980021453e-09,1.8482275028247562e-12,3.0132048960375546e-14,6.3925232973255649e-22
4.819971642935233e-15,0.17203094247241227,76.950000000000003,0.0,0.0,0.0,0.99999998744758467,9.4999999999998757,3.6632927697451382e-10,5.3055383638553064e-09,5.3055132642652938e-09,7.4037438218507276e-14,2.9742076051048525e-15,1.5720919655320435e-09,2.8194565954884271e-12,4.5963641579753268e-14,9.7875454131523334e-22
6.656151353495055e-15,0.17203094247241205,76.950000000000003,0.0,0.0,0.0,0.99999998266578249,9.4999999999997655,5.0588328802885899e-10,7.3266716924847635e-09,7.3266222417374206e-09,1.4118066273682628e-13,4.130951791529611e-15,2.1694333226382652e-09,5.3739997426010505e-12,8.7598965477111283e-14,1.873914960167936e-21
8.492331064054878e-15,0.1720309424724118,76.950000000000003,0.0,0.0,0.0,0.99999997788401906,9.4999999999996199,6.4543729795849215e-10,9.3477917253451781e-09,9.3477097159756904e-09,2.2980779116496127e-13,5.2876541865242133e-15,2.7659207967854799e-09,8.7436815159338842e-12,1.4251077054756783e-13,3.0572721532056478e-21
1.03285107746147e-14,0.1720309424724114,76.950000000000003,0.0,0.0,0.0,0.99999997310229438,9.4999999999994422,7.8499130676341963e-10,1.1368898486800518e-08,1.1368775688002885e-08,3.3991780089338921e-13,6.4444266387197264e-15,3.361555656446709e-09,1.2927290994463691e-11,2.1067458114824113e-13,4.5288124096807247e-21
1.2164690485174524e-14,0.17203094247241105,76.950000000000003,0.0,0.0,0.0,0.99999996832060833,9.4999999999992273,9.2454531444364648e-10,1.3389992001245289e-08,1.3389820158816492e-08,4.7150969459201504e-13,7.6010831834348671e-15,3.956339156627585e-09,1.7923630113526978e-11,2.9206618890134464e-13,6.2885223379520291e-21
1.583704990629417e-14,0.17203094247241,76.950000000000003,0.0,0.0,0.0,0.99999995875735226,9.4999999999986944,1.2036533264300194e-09,1.7432139381140753e-08,1.743184460061892e-08,7.9913531852717488e-13,9.9145353503140578e-15,5.1433568786402318e-09,3.0349914966674386e-11,4.9444027200963729e-13,1.0672400067396856e-20
1.914217338530185e-14,0.1720309424724088,76.950000000000003,0.0,0.0,0.0,0.99999995015055343,9.4999999999980957,1.4548505333713314e-09,2.1070026951917236e-08,2.1069593073775936e-08,1.1674567394786191e-12,1.1996584864697811e-14,6.2087733190379523e-09,4.4301517501368601e-11,7.2158202891458065e-13,1.5603300423697226e-20
