Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761)
1.6431268189186397e-07,0.1822741598495104,76.950000000000003,0.0,0.0,0.0,0.46656364208497625,9.4397045253792147,0.012893000527293063,0.062064283286847564,0.026532638150807582,0.0052244491316716275,2.7509582804833341e-08,2.9597744488551294e-07,0.04996585953719572,0.00017791770871095999,5.9165049677460165e-11,0.054860825169611223,0.062140684972380018,0.083972930694841477,0.12863585476981898,1.3923772079597762e-12,9.2235922710475698e-11,2.8828762955286274e-06,0.0,7.9991227703085957e-06,2.6733773948193039e-05,0.045945721124242563,0.045976933743265128,1.9373314603183855e-05,1.1839304419357809e-05,2.2486314510316617e-14,0.00095199848033862729,7.9852283465097033e-07,2.4380654994572016e-07
1.654301719774971e-07,0.18227417714178973,76.950000000000003,0.0,0.0,0.0,0.46464494835241826,9.4394615771840922,0.012932608848778691,0.061910087374432349,0.026384847797094633,0.0051952418662838586,2.7440527602252819e-08,2.9489469434344406e-07,0.050185346391836222,0.00017747109643532656,5.8834287666167804e-11,0.055133251318591474,0.062524597972545171,0.084379388634201885,0.12930741689229394,1.3888820373274248e-12,9.2803135564892406e-11,2.9007198435117829e-06,0.0,8.0380373850223442e-06,2.6584895707649359e-05,0.046196794398819879,0.046228176770973101,1.9478678251569453e-05,1.1903693901646477e-05,2.2595156336532692e-14,0.00095772197402644471,8.0330287480521223e-07,2.4526600726783091e-07
1.6654766206313022e-07,0.1822741961937795,76.950000000000003,0.0,0.0,0.0,0.4627388291896809,9.4392208716851016,0.012971801983855159,0.061755854070245912,0.026238081033398655,0.0051662383990830844,2.7371465613020012e-08,2.9381915070321677e-07,0.05040374401285902,0.00017702444019926711,5.8505833597178783e-11,0.055403231998250424,0.062906013104730249,0.084784376914146573,0.1299745569716102,1.3853865226535187e-12,9.3366634192275127e-11,2.9184473055880381e-06,0.0,8.076811043618787e-06,2.6437048106541314e-05,0.046446470260656104,0.046478021435047347,1.9583451692777679e-05,1.1967722698445105e-05,2.270360461513497e-14,0.00096341801829743145,8.0805982799679388e-07,2.4671841560453265e-07
1.6766515214876335e-07,0.18227421697845578,76.950000000000003,0.0,0.0,0.0,0.46084516898627165,9.438982385869279,0.013010583074290471,0.061601605070809265,0.02609233291376659,0.0051374377138465582,2.7302406396550447e-08,2.9275074671266174e-07,0.050621059373698707,0.00017657780182662379,5.8179675960655956e-11,0.055670791169092591,0.063284945235593443,0.08518790518533384,0.13063730639302026,1.3818911477440528e-12,9.3926441120116577e-11,2.9360593713223569e-06,0.0,8.1154446731895711e-06,2.6290226191202393e-05,0.046694758392375531,0.04672647742479414,1.9687639074279922e-05,1.2031393344314926e-05,2.2811661930546187e-14,0.00096908676311951904,8.1279382291691677e-07,2.481638142471561e-07
1.6878264223439647e-07,0.1822742394677753,76.950000000000003,0.0,0.0,0.0,0.45896385357592218,9.4387460969361907,0.013048955233787959,0.061447361235944055,0.025947598299453905,0.0051088387577342851,2.7233358958127851e-08,2.9168941606626306e-07,0.050837299382678489,0.00017613123962564113,5.7855802837491381e-11,0.055935952619209139,0.063661409339487371,0.085589983005907588,0.13129569646658731,1.3783963689845325e-12,9.4482579010333711e-11,2.953556735353069e-06,0.0,8.1539391919233628e-06,2.6144424813095524e-05,0.04694166842699983,0.04697355437992496,1.9791244548616279e-05,1.2094708376505213e-05,2.291933084184872e-14,0.00097472835924968405,8.1750498986702981e-07,2.496022429729842e-07
1.699001323200296e-07,0.18227426363506044,76.950000000000003,0.0,0.0,0.0,0.45709477006959137,9.4385119822759211,0.013086921551057234,0.06129314269626595,0.025803871888807235,0.0050804404461522743,2.7164332130766251e-08,2.9063509313422598e-07,0.051052470890201207,0.00017568481068798471,5.7534201944450844e-11,0.056198739979228439,0.064035420477389263,0.085990619851739655,0.13194975843260701,1.3749026331618475e-12,9.5035070656614845e-11,2.9709400964160587e-06,0.0,8.1922955100919898e-06,2.5999638657543256e-05,0.047187209950827341,0.047219261893355416,1.9894272222835399e-05,1.2157670305215531e-05,2.3026613886574024e-14,0.00098034295806073203,8.2219345871822754e-07,2.5103374143999768e-07
1.7101762240566272e-07,0.1822742894532102,76.950000000000003,0.0,0.0,0.0,0.4552378069172337,9.4382800194834111,0.013124485088510923,0.061138968834778908,0.025661148222893525,0.0050522416637921981,2.7095334548445256e-08,2.8958771299398157e-07,0.051266580685777309,0.00017523857079464094,5.7214860646610351e-11,0.056459176707009902,0.064406993792128775,0.086389825112220556,0.13259952344438453,1.371410376739774e-12,9.5583938971737009e-11,2.9882101571216631e-06,0.0,8.2305145296456533e-06,2.5855862249464082e-05,0.047431392499297967,0.047463609507073935,1.999672616132479e-05,1.2220281614635338e-05,2.3133513579496177e-14,0.00098593071151615252,8.2685935904950827e-07,2.524583492169178e-07
1.7325260257692897e-07,0.18227434593694905,76.950000000000003,0.0,0.0,0.0,0.45155980195823525,9.437822460901554,0.013198415945339544,0.06083082915027941,0.02537868657528736,0.0049964380910006425,2.6957459177851794e-08,2.8751352567812747e-07,0.051691642002458585,0.00017434686569601799,5.6582904800839546e-11,0.056973091227197604,0.065142887868351207,0.087183978013465002,0.13388628675831779,1.3644319265777216e-12,9.6670897646773369e-11,3.0224132041981215e-06,0.0,8.3065442401782348e-06,2.5571316054220721e-05,0.047915718550153232,0.047948262941589222,2.0199929112224373e-05,1.2344462323741972e-05,2.3346172853367328e-14,0.0009970262926253786,8.3612397935730071e-07,2.5528705303288945e-07
1.7510424063598834e-07,0.182274397505785,76.950000000000003,0.0,0.0,0.0,0.44854841455076377,9.437449709713869,0.013258472247553546,0.060575833792210772,0.025147660383198316,0.0049508002044570823,2.6843388878494066e-08,2.8581558291154982e-07,0.052040638742672639,0.00017360911918952703,5.6066071783873662e-11,0.0573919397427664,0.065745309590982237,0.087837661705172945,0.13493959751326134,1.3586583505920414e-12,9.7560646055844807e-11,3.0504127004249704e-06,0.0,8.3691251579777595e-06,2.5338583898926728e-05,0.048312938479780632,0.048345751358757613,2.0366575977936994e-05,1.2446302999022402e-05,2.3521217101969933e-14,0.0010061387709111563,8.4373231149060304e-07,2.5761005357535102e-07
1.769558786950477e-07,0.18227445327626754,76.950000000000003,0.0,0.0,0.0,0.44556892496324163,9.4370825876005853,0.013317460924374882,0.06032118347742757,0.024919312502892983,0.004905694927007603,2.6729495977587406e-08,2.8413590049498298e-07,0.052386805166332172,0.00017287251984686862,5.5555270372240436e-11,0.057804627961226297,0.066341234147541117,0.0884875319146394,0.135981505593847,1.3528937521744507e-12,9.8440742400547542e-11,3.0781102212602051e-06,0.0,8.431340354819765e-06,2.5108549006025507e-05,0.048706547270964518,0.048739626182443464,2.0531699031730179e-05,1.2547212447199015e-05,2.3695240171017204e-14,0.0010151795038194247,8.512803605779378e-07,2.599146482990548e-07
1.7880751675410707e-07,0.18227451313498463,76.950000000000003,0.0,0.0,0.0,0.44262086044717958,9.4367209982911735,0.013375395214549503,0.06006694820258577,0.02469361479326538,0.004861116555362633,2.6615810563952363e-08,2.8247420406379499e-07,0.052730170560945311,0.00017213726238343933,5.5050435991573452e-11,0.058211257631892971,0.066930731852033826,0.089133629086182026,0.13701214978549658,1.347139655388214e-12,9.9311292680391985e-11,3.105509030813067e-06,0.0,8.4931937154546725e-06,2.4881183110646804e-05,0.049096586796495999,0.049129929314411486,2.069531625740953e-05,1.264720165806077e-05,2.3868252889379738e-14,0.0010241491923578014,8.5876872880310973e-07,2.6220102106074428e-07
1.8065915481316643e-07,0.18227457697098753,76.950000000000003,0.0,0.0,0.0,0.43970375726759325,9.4363648470829844,0.013432288173440913,0.059813193627915796,0.024470538518638809,0.0048170592715092806,2.6502362174541238e-08,2.8083022373193718e-07,0.053070763792296902,0.00017140353761784728,5.4551502728559335e-11,0.058611929055475569,0.06751387316006667,0.089775993066085483,0.13803166786912527,1.3413975531234832e-12,1.0017240312726203e-10,3.1326124001073156e-06,0.0,8.5546890670988122e-06,2.4656457339696366e-05,0.049483098480520779,0.04951670220713892,2.0857445239508731e-05,1.2746281378599138e-05,2.4040265929880594e-14,0.0010330485382489755,8.6619801114393985e-07,2.6446935352699189e-07
1.825107928722258e-07,0.18227464467550467,76.950000000000003,0.0,0.0,0.0,0.43681716050511571,9.4360140408501092,0.013488152675937125,0.059559981310899568,0.024250054427106725,0.0047735171645488699,2.6389176382569633e-08,2.7920369603052291e-07,0.053408613311667831,0.00017067151129690852,5.405840368065848e-11,0.059006741073705564,0.068090728599723108,0.090414663112992996,0.13904019657160024,1.3356687431273089e-12,1.0102417986630605e-10,3.1594236038753488e-06,0.0,8.615830180436158e-06,2.4434342297908791e-05,0.049866123291901612,0.049899985857998291,2.101810367465728e-05,1.2844462422006046e-05,2.4211289801524663e-14,0.0010418782433656995,8.7356881387897227e-07,2.6671983079176051e-07
