Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195)
2.0961683589438072e-13,0.24295016746020545,76.950000000000003,0.0,0.0,0.0,0.99999692164301168,9.4999999994268389,6.8359204008171031e-08,8.1654388834547255e-07,8.1635883141637152e-07,3.7817765964978522e-10,2.152854485089162e-13,1.0928671269158465e-06,1.0068475206574719e-07,1.9477049531364153e-10,3.4762819258748184e-18,5.470166521773739e-19,3.1954460500118757e-18,1.8093599161328192e-07,2.0515166480409861e-12,1.267711268446663e-18,2.6889041609744246e-20,1.1044600799998983e-25,0.0,4.284438750422828e-15,1.8955943953856118e-12,1.6860220394712655e-15,1.6862076240147627e-15,1.5680984633216201e-19,2.8774697165504393e-20,8.3488452540049992e-20,3.2219172410588304e-14,7.3568302256127198e-18,7.1112109174376539e-19,8.7659696850347054e-36,5.4457229182829644e-21,1.3345566904801544e-21,8.1462691780071275e-36,2.0098641207204049e-09,4.8793252232448182e-26,1.6813529015759758e-26,1.0805466578798687e-12,3.2348443859908144e-13,1.769604720787548e-11,1.0806668686218035e-12,4.8953613780352268e-16
2.24902237037362e-13,0.2429501674599696,76.950000000000003,0.0,0.0,0.0,0.99999669748572195,9.4999999993419522,7.3343993016151237e-08,8.7607300224482288e-07,8.7585845206243046e-07,4.3522594938845308e-10,2.3098502100724262e-13,1.1535902777436242e-06,1.1464715771037891e-07,2.2259169905573533e-10,4.0007144584269529e-18,6.7741504800065752e-19,3.9292413613750975e-18,2.0602719801949584e-07,2.36159498038457e-12,1.448796660843883e-18,3.0798895391519847e-20,1.4586315873280336e-25,0.0,5.2481612804659654e-15,2.1819374387743295e-12,2.0822594144249162e-15,2.0825004907982138e-15,2.0319565043363327e-19,3.7880722864535223e-20,1.0114365348542709e-19,3.7089121185457113e-14,8.8442209437882972e-18,8.7077158000360142e-19,1.4343687639734779e-35,7.1663045996922445e-21,1.6485551480123217e-21,1.332969337071352e-35,2.2885813792233786e-09,6.4560161984855931e-26,2.2166263514980242e-26,1.3142508748608219e-12,3.9340684539282602e-13,1.9956761420273033e-11,1.314412124583285e-12,6.4079272119421117e-16
2.401876381803433e-13,0.2429501674597182,76.950000000000003,0.0,0.0,0.0,0.99999647336411979,9.4999999992514432,7.8328780627350382e-08,9.3560045274701269e-07,9.3535403670338664e-07,4.962633842909298e-10,2.4668415478004794e-13,1.2121890218154472e-06,1.2935098707515783e-07,2.5204926047871246e-10,4.561820538383256e-18,8.272937087884919e-19,4.7648424240499861e-18,2.3245078377630387e-07,2.6934837816170718e-12,1.6405332033179513e-18,3.4943098144993914e-20,1.890935272422745e-25,0.0,6.3402597297931041e-15,2.4883857431990761e-12,2.5361463439084309e-15,2.5364538694422672e-15,2.5857068394822549e-19,4.8954849888151519e-20,1.2085259892230437e-19,4.2301650314516678e-14,1.049130382843597e-17,1.051606776134649e-18,2.272284492459508e-35,9.2577773643536793e-21,2.0083219571374708e-21,2.1116531925815938e-35,2.5820990176301401e-09,8.3800300625911227e-26,2.8681196064040378e-26,1.5765342302765318e-12,4.71868022594493e-13,2.2300236355817521e-11,1.5767458063185287e-12,8.2342691585948083e-16
2.554730393233246e-13,0.2429501674594512,76.950000000000003,0.0,0.0,0.0,0.99999624927695874,9.4999999991553477,8.3313566841943247e-08,9.9512627702848756e-07,9.9484558855486585e-07,5.6128675428540761e-10,2.6238285963270238e-13,1.2687376810150817e-06,1.4477030132287646e-07,2.8310600726903206e-10,5.1595706544786017e-18,9.9806901738624632e-19,5.7082228200242053e-18,2.601601354162622e-07,3.0471824416526108e-12,1.8426789390554053e-18,3.931632170592512e-20,2.4118089126067646e-25,0.0,7.56725382423766e-15,2.8149339928185951e-12,3.0515923848088668e-15,3.0519784939444065e-15,3.2385958619979952e-19,6.2249549340461513e-20,1.4266691538072856e-19,4.7856754546352474e-14,1.2300948747748362e-17,1.2546877520306221e-18,3.4989586528652407e-35,1.176746678731179e-20,2.4169721002528642e-21,3.2516159726764914e-35,2.8898992584620836e-09,1.0696649370646727e-25,3.6507674059418016e-26,1.8683736959141965e-12,5.5915746619526314e-13,2.471901252848763e-11,1.8686460671660482e-12,1.0411188635727519e-15
2.707584404663059e-13,0.2429501674591688,76.950000000000003,0.0,0.0,0.0,0.99999602522303566,9.4999999990537081,8.8298351660098576e-08,1.0546505114211446e-06,1.0543331108297671e-06,6.3029285188103785e-10,2.7808114514782458e-13,1.323307977081832e-06,1.6088006908422883e-07,3.157256115169554e-10,5.7939353191754884e-18,1.1911673600635335e-18,6.7652615740487215e-18,2.8911027023991128e-07,3.4226903637410472e-12,2.0549974075176644e-18,4.3913364872777901e-20,3.0322797352051827e-25,0.0,8.9354347719635372e-15,3.1615768747588794e-12,3.6325060325771276e-15,3.6329840644453907e-15,4.0000225075452499e-19,7.8029617509088471e-20,1.666308000677077e-19,5.3754428605846049e-14,1.4275635384024799e-17,1.481036732077003e-18,5.2543687857098407e-35,1.4744964984554111e-20,2.8776199777677989e-21,4.8829416906198529e-35,3.2114824391284431e-09,1.345338031581798e-25,4.5802255717384499e-26,2.1906558117834111e-12,6.5553745443765384e-13,2.7206020206183222e-11,2.1910006712505444e-12,1.2976666082686837e-15
2.860438416092872e-13,0.2429501674588712,76.950000000000003,0.0,0.0,0.0,0.9999958012011898,9.4999999989465582,9.3283135081979292e-08,1.1141731914315242e-06,1.1138166067382666e-06,7.0327847216583355e-10,2.9377902069034274e-13,1.3759691225997292e-06,1.7765613470197249e-07,3.4987257053052322e-10,6.464885068644756e-18,1.4080248912102335e-18,7.9417473919889328e-18,3.1925777924884833e-07,3.8200069641683989e-12,2.277257519558061e-18,4.8729145730524305e-20,3.7639551264317863e-25,0.0,1.0450873260205255e-14,3.5283090791004306e-12,4.2827947243468913e-15,4.2833792478170285e-15,4.8795172243015539e-19,9.6571747706685259e-20,1.9278153704514122e-19,5.9994667179157005e-14,1.641750633134586e-17,1.731638514985152e-18,7.7162047790330298e-35,1.8242047207256416e-20,3.3933792868569254e-21,7.170761555348034e-35,3.5463663780016334e-09,1.6699870912773643e-25,5.6728444730104363e-26,2.5441814385259158e-12,7.6124448291895226e-13,2.9754562136658455e-11,2.5446117420121283e-12,1.5969749508117279e-15
3.0132924275226847e-13,0.24295016745855835,76.950000000000003,0.0,0.0,0.0,0.99999557721030063,9.4999999988339425,9.8267917107742505e-08,1.1736943517595601e-06,1.1732960794878291e-06,7.8024041280458311e-10,3.0947649541244114e-13,1.4267879087770318e-06,1.9507518759529177e-07,3.8551218809021919e-10,7.1723904627463963e-18,1.6500873130572839e-18,9.2433827184497053e-18,3.5056077209186499e-07,4.2391316719639944e-12,2.5092334354073233e-18,5.3758694349123596e-20,4.6190137585720366e-25,0.0,1.211942716991923e-14,3.9151252988647348e-12,5.006364841737042e-15,5.0070716782382993e-15,5.8867238433605268e-19,1.1816411692237601e-19,2.2114998345816414e-19,6.6577464903377742e-14,1.8728412831718073e-17,2.0074418430963954e-18,1.1107022529479724e-34,2.2312591513013727e-20,3.9673629137538311e-21,1.0321902184949551e-34,3.8940857628549815e-09,2.0487832184274136e-25,6.9456434710812617e-26,2.9296702971992874e-12,8.7649063539748904e-13,3.2358296985784227e-11,2.9302002983141109e-12,1.9430448957796794e-15
3.1661464389524977e-13,0.2429501674582304,76.950000000000003,0.0,0.0,0.0,0.99999535324928768,9.4999999987158912,1.0325269773753993e-07,1.2332140263169021e-06,1.2327715322832109e-06,8.6117547403677715e-10,3.2517357825839157e-13,1.4758287901443187e-06,2.1311473269959513e-07,4.2261055613168518e-10,7.9164220850105113e-18,1.9188096695103182e-18,1.0675787614122435e-17,3.8297882394369171e-07,4.6800639286141759e-12,2.7507044454452718e-18,5.8997153667906507e-20,5.6101971156381389e-25,0.0,1.3946749019620214e-14,4.322020230000083e-12,5.807121713383617e-15,5.8079679577613563e-15,7.0313839104008807e-19,1.4310598670009679e-19,2.5176102754792511e-19,7.3502816359930751e-14,2.1209954270800151e-17,2.3093607213651774e-18,1.5702249489827662e-34,2.7012501386003534e-20,4.6026828384105642e-21,1.4592325541002512e-34,4.2541915607691192e-09,2.487096224815227e-25,8.4162863020660461e-26,3.3477653061491852e-12,1.0014648932413195e-12,3.5011223456885501e-11,3.3484105878339752e-12,2.3399636612224686e-15
3.3190004503823107e-13,0.24295016745788733,76.950000000000003,0.0,0.0,0.0,0.99999512931710688,9.4999999985924468,1.0823747697151795e-07,1.2927322482448207e-06,1.2922429683264686e-06,9.4608045867453332e-10,3.4087027796927664e-13,1.5231539662984872e-06,2.3175306193730838e-07,4.6113453684300781e-10,8.696950542618213e-18,2.2156561532128427e-18,1.2244503470664655e-17,4.1647292423650069e-07,5.1428031877823651e-12,3.0014548536709861e-18,6.4439778859632076e-20,6.7508013973348005e-25,0.0,1.5938293149592455e-14,4.7489885713667997e-12,6.6889696172475187e-15,6.689973656876104e-15,8.323323109216075e-19,1.7170731766526706e-19,2.8463402010351271e-19,8.0770716070945798e-14,2.3863512375329397e-17,2.6382756881963048e-18,2.1839089288058945e-34,3.2399631179887805e-20,5.3024500504320102e-21,2.0295404440652953e-34,4.6262504486199566e-09,2.9904873181638535e-25,1.0103057357573917e-25,3.7990367244265147e-12,1.136334386380474e-12,3.7707665060557125e-11,3.799814227184219e-12,2.7918952233939758e-15
3.4718544618121236e-13,0.24295016745752965,76.950000000000003,0.0,0.0,0.0,0.99999490541275204,9.4999999984636432,1.1322225480981783e-07,1.3522490499317118e-06,1.3517103908169649e-06,1.0349521721005184e-09,3.5656660308760554e-13,1.568823460796059e-06,2.5096922668358124e-07,5.0105174516691167e-10,9.5139464663825426e-18,2.5420999250834326e-18,1.3954996572544317e-17,4.5100542717931893e-07,5.6273489150353054e-12,3.2612738638085359e-18,7.0081932564181069e-20,8.0546697851117336e-25,0.0,1.8099322655562426e-14,5.1960250247219776e-12,7.655811782728601e-15,7.6569933150762292e-15,9.7724395039815498e-19,2.0428839723099065e-19,3.1978318075387021e-19,8.8381158498075773e-14,2.669028080737309e-17,2.9950350399102267e-18,2.9926372902477179e-34,3.8533714280250503e-20,6.0697744753489326e-21,2.7811077781990642e-34,5.0098442634278924e-09,3.5647020548538486e-25,1.2024838830594755e-25,4.2839861096678963e-12,1.2812455881589531e-12,4.0442255509565263e-11,4.2849141566732628e-12,3.3030713726599179e-15
3.6247084732419366e-13,0.24295016745715697,76.950000000000003,0.0,0.0,0.0,0.99999468153525106,9.4999999983295123,1.1820703125257591e-07,1.4117644630302017e-06,1.4111738029513759e-06,1.127787422265872e-09,3.7226256196182736e-13,1.6128951972856336e-06,2.7074301119555028e-07,5.4233053170046074e-10,1.036738051072937e-17,2.8996229456544169e-18,1.5812661506124323e-17,4.8654000400900351e-07,6.1337005875754341e-12,3.5299554680001107e-18,7.5919081772952905e-20,9.5361850565641723e-25,0.0,2.0434916079729316e-14,5.6631242947037987e-12,8.7115503926054672e-15,8.712930441423311e-15,1.1388693377639228e-18,2.4117948007670333e-19,3.5721798035456565e-19,9.6334138043320736e-14,2.9691290721329528e-17,3.3804560103838995e-18,4.0455404128688945e-34,4.547629389630013e-20,6.9077649103963069e-21,3.7595929852277167e-34,5.4045694719422772e-09,4.2156635501574949e-25,1.4201088697851387e-25,4.8030500974976416e-12,1.4363254562225637e-12,4.3209924716361559e-11,4.8041484167572334e-12,3.8777832591189708e-15
3.7775624846717496e-13,0.2429501674567696,76.950000000000003,0.0,0.0,0.0,0.99999445768366668,9.4999999981900931,1.231918062999238e-07,1.4712785184738595e-06,1.4706332079236947e-06,1.2245830196881334e-09,3.879581627507374e-13,1.6554250729719133e-06,2.910549069728975e-07,5.8493996598411321e-10,1.1257223353678327e-17,3.2897158175516568e-18,1.7822824421646568e-17,5.2304159691480545e-07,6.6618576939792099e-12,3.8072983380334776e-18,8.194679679285089e-20,1.1210262534083242e-24,0.0,2.2949973867276747e-14,6.1502810888155206e-12,9.860086584819628e-15,9.8616875151061254e-15,1.3182098455172252e-18,2.8272044097972379e-19,3.9694350071635521e-19,1.0462964905145564e-13,3.2867432820748038e-17,3.7953259074510656e-18,5.4011846981055107e-34,5.3290656389399621e-20,7.8195289690031992e-21,5.0194238002411535e-34,5.810036658817147e-09,4.9494659376735035e-25,1.6651819509208484e-25,5.3566040095966965e-12,1.601682521604968e-12,4.6005885370356355e-11,5.3578937533206476e-12,4.5203734063690081e-15
3.9304164961015625e-13,0.24295016745636766,76.950000000000003,0.0,0.0,0.0,0.99999423385709429,9.4999999980454124,1.2817657995198846e-07,1.5307912464935333e-06,1.5300886089252405e-06,1.3253357774491724e-09,4.0365341342778641e-13,1.6964670295079493e-06,3.1188608801598189e-07,6.2884982017074484e-10,1.2183445696823809e-17,3.7138776384578849e-18,1.9990746157568117e-17,5.6047637457591816e-07,7.211819733941289e-12,4.0931057190426815e-18,8.8160749038370024e-20,1.3092343352998898e-24,0.0,2.5649224596858602e-14,6.6574901174091952e-12,1.1105320454124573e-14,1.1107165985995569e-14,1.5162714314328035e-18,3.2926043956046685e-19,4.3896077292078051e-19,1.1326768581368787e-13,3.6219476416901146e-17,4.2404032077062045e-18,7.1288702457429371e-34,6.2041767042461654e-20,8.8081730332344476e-21,6.6250032772795362e-34,6.2258700327049402e-09,5.7723680684220521e-25,1.9397577953608617e-25,5.9449652977349569e-12,1.7774079282197414e-12,4.8825620071456546e-11,5.9464690590748919e-12,5.2352281716384152e-15
4.0832705075313755e-13,0.24295016745595127,76.950000000000003,0.0,0.0,0.0,0.99999401005466038,9.4999999978955092,1.3316135220889253e-07,1.5903026766333149e-06,1.5895400091446639e-06,1.4300425111931195e-09,4.1934832178529131e-13,1.7360731214090485e-06,3.3321838694892581e-07,6.7403055306533879e-10,1.3146018265315922e-17,4.1736158639345021e-18,2.2321625232879306e-17,5.9881168925339619e-07,7.7835862180243998e-12,4.3871853256214281e-18,9.4556707977926916e-20,1.5198388035077973e-24,0.0,2.8537230993272005e-14,7.1847460936691758e-12,1.2451151053618455e-14,1.2453266275196653e-14,1.7340639816767067e-18,3.8115759651639946e-19,4.8326709540208591e-19,1.2224824257224001e-13,3.9748085913190935e-17,4.7164186112963245e-18,9.3100422004652978e-34,7.1796208177673093e-20,9.876802213483219e-21,8.6520214471315117e-34,6.6517069496171054e-09,6.6907874401009328e-25,2.2459425172095941e-25,6.5683968307713409e-12,1.9635764248778167e-12,5.166486899726512e-11,6.5701386580716879e-12,6.02677063144863e-15
4.2361245189611885e-13,0.2429501674555203,76.950000000000003,0.0,0.0,0.0,0.99999378627552282,9.4999999977404137,1.3814612307075422e-07,1.6498128377661421e-06,1.6489874117679505e-06,1.5387000391243009e-09,4.3504289543855092e-13,1.7742935820748351e-06,3.5503427197746989e-07,7.2045329452691775e-10,1.414491180784151e-17,4.6704461795244721e-18,2.4820600711209322e-17,6.3801603538219938e-07,8.3771566674147913e-12,4.6893492402943219e-18,1.0113053896145203e-19,1.7544870354420166e-24,0.0,3.1618395729919226e-14,7.7320437335954841e-12,1.3901476396174724e-14,1.3903887775598117e-14,1.972600742443455e-18,4.3877868095146257e-19,5.2985633288221118e-19,1.3157131352562552e-13,4.3453835058110498e-17,5.2240760581651081e-18,1.2039820504300241e-33,8.2622119536887445e-20,1.1028520314780523e-20,1.1188877022386531e-33,7.087197452949004e-09,7.711294348213065e-25,2.5858917790675049e-25,7.2271100311283222e-12,2.1602473117991404e-12,5.4519618082968305e-11,7.2291154398316129e-12,6.8994538734195975e-15
4.3889785303910014e-13,0.24295016745507514,76.950000000000003,0.0,0.0,0.0,0.99999356251886817,9.4999999975801579,1.4313089253768777e-07,1.7093217581090426e-06,1.7084308199784284e-06,1.6513051820051729e-09,4.5073714182986542e-13,1.8111768875012998e-06,3.773168246530414e-07,7.6808983022482009e-10,1.5180097096605177e-17,5.2058923815966951e-18,2.7492754942427758e-17,6.7805900961204142e-07,8.9925306136831472e-12,4.9994138142945646e-18,1.0787820144854855e-19,2.014877148355786e-24,0.0,3.4896967028249638e-14,8.2993777559870469e-12,1.5460193455781892e-14,1.5462928852418924e-14,2.232897828605143e-18,5.024988084287563e-19,5.7871919717805867e-19,1.4123689283442611e-13,4.7337219258258278e-17,5.7640537071329393e-18,1.5428652791419069e-33,9.4589140843672931e-20,1.2266429809141756e-20,1.433821355242349e-33,7.5320038295989613e-09,8.8406062513484556e-25,2.9618089647231812e-25,7.9212678669009933e-12,2.3674653434824694e-12,5.7386087694057969e-11,7.9235638492413324e-12,7.8577546758566164e-15
