Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423)
5.538309920788822e-19,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999948408,9.5,2.1281086521024656e-14,2.2522915289327364e-13,2.2522915312947867e-13,3.6599094379238475e-22,3.6507558496549947e-22,4.4217283587362369e-14,1.164865687130372e-20,2.3727012816059199e-22,3.2814384047803015e-32,7.9215571735515533e-37,6.7806659735886413e-37,1.5004744686632455e-20,7.3472286977549894e-25,4.210868406248295e-32,5.1302791136200946e-37,1.5403116283936707e-50,3.2339467394945084e-50,1.8258593078995896e-34,1.5158068571042898e-25,2.0955375188521679e-34,2.0955375208467081e-34,1.7666260817617099e-43,2.2791419638961685e-44,7.7255562539531877e-41,1.8216636447317123e-27,3.290511882533212e-36,2.1225612242405003e-37,7.9892291790836338e-79,1.7908627437900739e-45,3.4407219545502371e-41,7.5662429151848916e-79,1.5782784867324048e-22,1.1268665519339837e-54,1.1267366140601048e-54,9.4175762065986857e-32,2.8634868088109177e-32,4.1696444606966415e-25,9.4173865739461705e-32,9.0522711247384335e-41,7.5662429151820032e-79,1.0905916833850531e-49,3.2339510816437391e-50,4.3421492307560102e-56
1.1081431579128285e-18,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999896771,9.5,4.2580662257063214e-14,4.5065398586380735e-13,4.5065398680559524e-13,1.4649175673144154e-21,1.4576062055048794e-21,8.8472928808507155e-14,4.6624960019777977e-20,9.4969861970616747e-22,2.6136026262551303e-31,6.3420625451473649e-36,5.4302699766899467e-36,6.0058050370139448e-20,2.94080621543192e-24,3.3199915341297674e-31,4.1071036492714517e-36,2.4672800901247552e-49,5.1785214801253792e-49,1.4617969226767655e-33,6.0671777181243784e-25,1.6777041856283995e-33,1.6777041888222581e-33,2.8288986450539845e-42,3.649595392911538e-43,6.1851355036740948e-40,7.2914019419949397e-27,2.6344056077227368e-35,1.6993389664620028e-36,1.0246980128687165e-76,2.8677126947836258e-44,2.7546696566921214e-40,9.7044582229513297e-77,6.3172237071659522e-22,3.6088394049393592e-53,3.6080072632023116e-53,7.5397798472229377e-31,2.2925283105106399e-31,1.6689426700853851e-24,7.539628026692007e-31,1.4495414260162615e-39,9.7044582229439154e-77,1.7463676143912415e-48,5.1785353866766483e-49,1.3906551268878458e-54
2.2167674895807214e-18,0.21831482820962875,76.950000000000003,0.0,0.0,0.0,0.99999999999793487,9.5,8.5179813729035927e-14,9.0150364821778922e-13,9.0150365195717863e-13,5.8615783504970463e-21,5.803336691689353e-21,1.7698405486240037e-13,1.8656037390691951e-19,3.8000296241930034e-21,2.0703201889732248e-30,5.0755777751727415e-35,4.346797563474967e-35,2.403101756746057e-19,1.1767055385594175e-23,2.578472014013195e-30,3.2865485577071938e-35,3.9501257481230578e-48,8.2889850103634553e-48,1.1698806487999704e-32,2.427661360165305e-24,1.3426732274886194e-32,1.3426732326008565e-32,4.5280646790669652e-41,5.8417254035717e-42,4.9499770381930547e-39,2.917510502410866e-26,2.1083176604224762e-34,1.3599866429829622e-35,1.3129441632640151e-74,4.5902046409108528e-43,2.2045729046139501e-39,1.243430905678643e-74,2.5277096567262771e-21,1.1552069079465827e-51,1.1546743293640884e-51,6.0341035142168981e-30,1.8347157786281901e-30,6.6779305350961425e-24,6.0339820130846999e-30,2.3202058784595346e-38,1.2434309056767434e-74,2.7953254491153275e-47,8.2890295299288142e-48,4.4519565358352303e-53
4.434016152916507e-18,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.9999999999958693,9.5,1.7037811667256386e-13,1.8032029587265011e-12,1.8032029734577479e-12,2.3450129734709246e-20,2.2988394092674234e-20,3.5400564941904419e-13,7.4636139223421089e-19,1.5202577772051621e-20,1.6233884161621136e-29,4.0612337888205481e-34,3.4789277236183162e-34,9.6139514264722445e-19,4.7075883363241057e-23,1.9477186036746087e-29,2.6291261269205241e-34,6.3229872814848703e-47,1.3265004732297336e-46,9.3608040963733266e-32,9.7122261301511225e-24,1.0743425656903837e-31,1.0743425738715771e-31,7.2463282018066616e-40,9.3486497047016787e-41,3.9607158559243396e-38,1.1671941591473545e-25,1.6869624928310513e-33,1.088194353299259e-34,1.6814206787049809e-72,7.3458114349544873e-42,1.7639932417746087e-38,1.592398592404357e-72,1.0112463108088884e-20,3.6967519709517852e-50,3.6933455501487841e-50,4.8281806286221213e-29,1.4680455938071828e-29,2.671595817986157e-23,4.8280834115507628e-29,3.7130706767932383e-37,1.5923985923994917e-72,4.473430637349307e-46,1.3265147224121864e-46,1.4249182452800456e-51
8.868513479588077e-18,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999999173805,9.5,3.407747225579495e-13,3.6066015240991976e-12,3.6066015812484998e-12,9.3808149163840479e-20,9.0180697175281226e-20,7.0804620834730082e-13,2.9856758727005146e-18,6.0815139073307152e-20,1.2487141834258625e-28,3.2492961848424022e-33,2.7844684360498662e-33,3.845877227037821e-18,1.8831885568834827e-22,1.4007662079582773e-28,2.1025218824192216e-33,1.0121577963983806e-45,2.1225942910602356e-45,7.4893246492730471e-31,3.885206547272063e-23,8.5955563637642632e-31,8.5955564946750458e-31,1.1595146229576081e-38,1.495932013227433e-39,3.1688449841876962e-37,4.6691564692198848e-25,1.3496789965688076e-32,8.7063559818490517e-34,3.7686960808223216e-70,1.1754460610714736e-40,1.4113285349892562e-37,3.569164106934944e-70,4.0452972822235201e-20,1.182645240951685e-48,1.1804684891053753e-48,3.862880896052639e-28,1.1745387301963084e-28,1.0687163110949604e-22,3.8628031186826122e-28,5.941472273059241e-36,3.5691641069131711e-70,7.1582166599579738e-45,2.1226398927641879e-45,4.5601703952092601e-50
1.7737508132931218e-17,0.21831482820962883,76.950000000000003,0.0,0.0,0.0,0.99999999998347555,9.5,6.8156793432204026e-13,7.2133984408791922e-12,7.2133986559884734e-12,3.7524783382069077e-19,3.472411738701801e-19,1.4161168056200048e-12,1.1943088062666248e-17,2.4326948561529434e-19,9.2720576950432556e-28,2.5995614056302104e-32,2.2292719752288213e-32,1.5384004278798983e-17,7.5330604905665817e-22,9.3084661008880261e-28,1.68053342201034e-32,1.6206572352660912e-44,3.3962519770292195e-44,5.9916966580812047e-30,1.5541457880407236e-22,6.8767711497730525e-30,6.87677135923576e-30,1.8552670729148126e-37,2.3935998109552328e-38,2.535150637803548e-36,1.8677384700782766e-24,1.0797638314629762e-31,6.9653747300816066e-33,4.8405511984402372e-68,1.880798677190987e-39,1.1291163444965631e-36,4.5842703230289725e-68,1.6181710186199375e-19,3.7818522428019436e-47,3.767966059489595e-47,3.0904028459903684e-27,9.3966077662372842e-28,4.2749672748243561e-22,3.090340627015441e-27,9.5066945344538997e-35,4.5842703229729498e-68,1.1453727580085069e-43,3.3963979071226542e-44,1.459300934347869e-48
3.54754974396175e-17,0.21831482820962875,76.950000000000003,0.0,0.0,0.0,0.99999999996695055,9.5,1.3631543578234995e-12,1.4426991479001875e-11,1.4426992242102467e-11,1.5010216200772318e-18,1.291646420239705e-18,2.8322159190806692e-12,4.7772513004839778e-17,9.7308998970703662e-19,6.4802964249729074e-27,2.0797001730515599e-31,1.7859573553104519e-31,6.1536224184206791e-17,3.0132853060418228e-21,5.5453250126458366e-27,1.3419630154103573e-31,2.5966341134057817e-43,5.433912146107875e-43,4.7933951058606016e-29,6.2167090753821047e-22,5.501546876468963e-29,5.5015472116011731e-29,2.9683406130490999e-36,3.8298150012354253e-37,2.028095533027221e-35,7.4711049783582264e-24,8.6378257445447259e-31,5.5723669271243423e-32,6.1963621815263976e-66,3.0093202419711775e-38,9.0331438475982978e-36,5.8682984870990187e-66,6.472705855279669e-19,1.2084290993962281e-45,1.1995998224074545e-45,2.4723032348261118e-26,7.5172276031070492e-27,1.7099641635767098e-21,2.4722534678645012e-26,1.5210635247745736e-33,5.8682984869555847e-66,1.8326425017903226e-42,5.4343791152936587e-43,4.6696918578387759e-47
7.095147605299007e-17,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999993390065,9.5,2.7263272047195276e-12,2.8854174750912778e-11,2.8854177160867963e-11,6.0041455352974052e-18,4.524219941175752e-18,5.6642458316663389e-12,1.910855065601285e-16,3.8923376075874524e-18,4.1298599982058602e-26,1.663782582109666e-30,1.4327405667506174e-30,2.4613904168830617e-16,1.2053262422259184e-20,2.9224957786778956e-26,1.0696114657065152e-30,4.1658088993337939e-42,8.6936365965000263e-42,3.8346400033772841e-28,2.4867084811851292e-21,4.4012887320222049e-28,4.4012892681873193e-28,4.7488864219486491e-35,6.1276472222758182e-36,1.6223787019748568e-34,2.9884717075633313e-23,6.9095588946043576e-30,4.4578423047299292e-31,7.9315313523712755e-64,4.8148643180905739e-37,7.2265988176741223e-35,7.5115998905764198e-64,2.5890207557596989e-18,3.8555833386954703e-44,3.7998072397432241e-44,1.9777417065234223e-25,6.0134742069869559e-26,6.8394659661890349e-21,1.9777019075201917e-25,2.4335844842623818e-32,7.511599890209218e-64,2.9322636653964134e-41,8.6951307934797434e-42,1.4941969797164706e-45
1.0642745466636263e-16,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999990085076,9.5,4.0895000515086671e-12,4.3281355513161473e-11,4.3281359826172274e-11,1.2758844471205978e-17,8.8059248377272369e-18,8.4961074399190739e-12,4.0604838546141476e-16,8.2711512332806207e-18,1.0470265431141613e-25,4.7573981041350136e-30,4.2590638544059322e-30,5.2303475169742867e-16,2.5613257354246021e-20,6.8160414578466485e-26,3.051932676171531e-30,1.577748707662685e-41,3.1997152798397259e-41,1.0964507463154196e-27,5.2842706789370428e-21,1.2584971679822437e-27,1.258497365317748e-27,1.7478186770616686e-34,2.2553636506533419e-35,4.6388111033488044e-34,6.3505204185770563e-23,1.9755793134594773e-29,1.2746510695776574e-30,4.0923801470284731e-63,1.7721754973335172e-36,2.0663616208263525e-34,3.8757108698529157e-63,5.5015564328742006e-18,1.7582079968452108e-43,1.727701409301733e-43,5.6549181777092428e-25,1.7194207309809664e-25,1.4533232682933735e-20,5.6548044017879037e-25,8.9569702474891843e-32,3.8757108696274728e-63,1.079270545782815e-40,3.2003974556531849e-41,6.8217581345876773e-45
1.4190343327973519e-16,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999986780086,9.5,5.4526728981909161e-12,5.7708533995819682e-11,5.7708540238016727e-11,2.1765117107659047e-17,1.3906729953423348e-17,1.1327800753841007e-11,6.9265689163682186e-16,1.4109490289827597e-17,1.9969207130461007e-25,1.0034759991991882e-29,9.2905927875001211e-30,8.9221786934929242e-16,4.3693269387605923e-20,1.2263106340655808e-25,6.4250304279729452e-30,4.1106848926252701e-41,8.1148888416214006e-41,2.3126978654560064e-27,9.014357208720528e-21,2.6545391725223495e-27,2.6545396729871383e-27,4.4326433517478753e-34,5.7200453528273004e-35,9.784245002239556e-34,1.083325624200858e-22,4.166829747983006e-29,2.6885800937586398e-30,2.2325461343785601e-62,4.4945838834974232e-36,4.3585620831207888e-34,2.1143449557555784e-62,9.3848199242832774e-18,5.2350050717526317e-43,5.1305504533327298e-43,1.1927489540683258e-24,3.626643236527817e-25,2.4790962324195707e-20,1.1927249601165774e-24,2.2716252458948765e-31,2.1143449556300789e-62,2.7372677715955671e-40,8.1169221553575415e-41,2.0333137361414663e-44
2.1285539050648032e-16,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999980170107,9.5,8.179018591304553e-12,8.6562886136168193e-11,8.6562895772977387e-11,4.506196391331228e-17,2.5505752700594399e-17,1.6990792436218901e-11,1.4340085970118003e-15,2.9211459432027051e-17,4.6894726654584762e-25,2.7408168376394813e-29,2.7010943120414929e-29,1.8471599871516262e-15,9.0461494849707454e-20,2.6828084489170686e-25,1.7492658975215593e-29,1.5106793462244953e-40,2.8376482839324634e-40,6.3165322205994683e-27,1.8663106876324758e-20,7.2503808413150322e-27,7.2503825913402668e-27,1.5499953459404791e-33,2.0002988809284286e-34,2.6722181619179851e-33,2.2428910797119001e-22,1.1379804172215349e-28,7.3432100051523267e-30,3.1006322344640197e-61,1.5717544101205296e-35,1.1904604865831169e-33,2.9364706179884738e-61,1.9429406703606651e-17,2.2871748978996074e-42,2.2314017763178506e-42,3.2575951815778082e-24,9.9049624414617487e-25,5.1322948933645306e-20,3.2575296680365458e-24,7.9436429936210237e-31,2.9364706177902192e-61,9.5723725665416891e-40,2.838538260415696e-40,8.8997648323283161e-44
2.8380734773322545e-16,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.99999999973560127,9.5,1.0905364284025118e-11,1.1541723115697501e-10,1.1541724302117337e-10,7.6638639302232263e-17,3.8853910379913326e-17,2.2653165323399116e-11,2.4387914582480757e-15,4.96802873083062e-17,8.6576321434082568e-25,5.7347265101896651e-29,5.9148778948221822e-29,3.1414302592583254e-15,1.5385143007715955e-19,4.7154104223902751e-25,3.6496781070890235e-29,3.9214807381452419e-40,7.0901624415392311e-40,1.3215989044805653e-26,3.1741078678029862e-20,1.517023462447422e-26,1.517023899705232e-26,3.87276401031558e-33,4.9981408908979745e-34,5.590869578743986e-33,3.8145728560536764e-22,2.3808302920769951e-28,1.5364191149003385e-29,1.4253188335949008e-60,3.927336442116045e-35,2.4908439982271829e-33,1.3498559523316526e-60,3.304322666484093e-17,6.6540862856191081e-42,6.469183256186445e-42,6.815655776483128e-24,2.0723509485084938e-24,8.728103340218048e-20,6.815518739994479e-24,1.9848289791787997e-30,1.3498559522288485e-60,2.3918772697204151e-39,7.0927553040483357e-40,2.5928625091049122e-43
3.547593049599706e-16,0.21831482820962875,76.950000000000003,0.0,0.0,0.0,0.99999999966950148,9.5,1.3631709976324534e-11,1.4427156922945768e-10,1.4427158139070174e-10,1.1708655079367929e-16,5.3396655894646666e-17,2.8314875282567198e-11,3.725793530518532e-15,7.5899050084396071e-17,1.4033821925752055e-24,1.0439886119525177e-28,1.1112569447462417e-28,4.7992297565880533e-15,2.3505033623558722e-19,7.3658606752669027e-25,6.6249763226368849e-29,8.5833576606381143e-40,1.5041800147892948e-39,2.4058622723944143e-26,4.8493215099748526e-20,2.7616846981933327e-26,2.7616856258275577e-26,8.2159456973363346e-33,1.0603965543932981e-33,1.0177397049592911e-32,5.8278075976868316e-22,4.3338289266695908e-28,2.7969431674092118e-29,5.2623075760792812e-60,8.3321626191592173e-35,4.5344894309092616e-33,4.9836970081159137e-60,5.0480839485647633e-17,1.6132057834023985e-41,1.5628534055664107e-41,1.2407038848800098e-23,3.7724520954851272e-24,1.333364904850692e-19,1.2406789452793345e-23,4.2108767799261629e-30,4.9836970077034824e-60,5.0746312105755005e-39,1.5048095223485787e-39,6.2950755928425016e-43
4.966632194134609e-16,0.2183148282096288,76.950000000000003,0.0,0.0,0.0,0.9999999995373019,9.5,1.9084401359633471e-11,2.0198022632401453e-10,2.0198023093610895e-10,2.2515326190816837e-16,8.3911764897903595e-17,3.9636265228487836e-11,7.1639898693283267e-15,1.4594572304620662e-16,2.9170168467155953e-24,2.7564588598852758e-28,3.0528470765870359e-28,9.2280028604020607e-15,4.5199369418092125e-19,1.4559136829775317e-24,1.7355681747087834e-28,3.3135881931884251e-39,5.5099396653803799e-39,6.3517616751829593e-26,9.3250758241401968e-20,7.2916657870104118e-26,7.2916691849015845e-26,3.0094114550557555e-32,3.8847971757830671e-33,2.6867214765326706e-32,1.1206670234811505e-21,1.1439825502101308e-27,7.384393971491823e-29,6.4511850618088854e-59,3.0525106483894754e-34,1.1972399803529698e-32,6.1096299112906964e-59,9.7065019776054865e-17,8.2979082353716646e-41,7.9309858173191991e-41,3.2753871171610474e-23,9.959053198761241e-24,2.5636010899016486e-19,3.2753213224363422e-23,1.5425480547302054e-29,6.1096299104430309e-59,1.8591883609077196e-38,5.5131957722889205e-39,3.256106908539978e-42
