Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259)
9.004781666573714e-15,0.0007628563160745545,4.9626607989627175e-25,4.1391644252970231e-34,4.1391625000128765e-34,1.6544447779163678e-50,1.9614455274162547e-50,0.0,0.0,7.6950776070116804e-22,3.8661374703311795e-33,8.4988677633266987e-58,1.3202529375155694e-58,1.6211734243227214e-55,1.4747181122754118e-99,4.5476276994645479e-72,9.2582511466882738e-59,3.9442554867027597e-59,1.6190957342370003e-55,9.5076117773110016e-97,2.5650975605427645e-95,2.6504591063508092e-58,1.3506181799325075e-53,2.427006911472627e-66,5.9507384681679853e-83,8.4952965352804564e-58,4.8698502590346959e-71,4.7390632691450354e-50,2.8730860250246031e-26,4.5476399161025726e-72,6.9541283671968867e-69,2.158794397755539e-42,7.4132956837297571e-69,1.3866083222707503e-72,2.0386540926627055e-56,7.0254002136062017e-67,0.35999999999999999,0.0,0.0098899999994773169,0.108803,7.5438126615318074e-22,6.58701843459982e-33,4.9030922494399908e-24,2.3270491963321021e-51,0.0,4.996511106374127e-27,1.8636580337313669e-40,1.2487440392189918e-42,1.0392473646709152e-22,3.5553136551196827e-37,0.0,0.0,0.0,0.0,0.0,0.0,2.5404208163073339e-13,2.5405333978787133e-13,1.4570693114958591e-14,1.32986154304404e-17,2.0402709928969452e-18,2.8730860250246025e-26,1.0227247212016394e-28
1.8017386775081896e-14,0.0007628563160745545,9.9306256750125291e-25,1.6568863934099764e-33,1.6568856351348016e-33,1.6860784098910913e-49,1.9993313755256537e-49,0.0,0.0,1.9810207392277236e-21,1.9439979745415996e-32,1.3619135159178664e-56,2.114591670288859e-57,2.5967757945284507e-54,9.4570931623037349e-98,7.2869051936754879e-71,1.4827951686253284e-57,6.317892364265506e-58,2.5934538912459501e-54,1.2221530973026024e-94,1.6443917170097504e-93,4.245479106267555e-57,1.0815210573004966e-52,7.773633198789437e-65,4.9040004820651978e-81,1.3607694214718788e-56,1.5601304539674439e-69,3.7953352375584885e-49,1.1502351911663823e-25,7.2869443457453678e-71,2.7135166875012645e-67,1.7287016154093028e-41,2.3749551390452646e-67,4.4422046658458039e-71,3.2654988819069996e-55,2.261486436297768e-65,0.35999999999999999,0.0,0.0098899999989541815,0.10880299999999993,1.5094078108994589e-21,2.980849675974673e-32,1.9624235368215759e-23,4.7778860106740852e-50,0.0,1.9998950441906076e-26,7.4594460568036898e-40,4.9983201851918568e-42,4.1596693346259614e-22,2.8464035677639874e-36,0.0,0.0,0.0,0.0,0.0,0.0,5.0827825934089287e-13,5.083233200814201e-13,2.915404537239992e-14,5.3226658888838208e-17,8.165578754721394e-18,1.1502351911663827e-25,8.1879919567453255e-28
3.604259699209826e-14,0.0007628563160745543,1.9869534010036016e-24,6.63083958787643e-33,6.630836578494292e-33,1.9278508158381914e-48,2.2865027092207497e-48,0.0,0.0,5.728489182614762e-21,1.0952256031941866e-31,2.1835870249571807e-55,3.3864386771525038e-56,4.1599546066331108e-53,6.0620125262643063e-96,1.1672970927151762e-69,2.3742980381632893e-56,1.012117380226344e-56,4.1546537743577459e-53,1.5670555173103488e-92,1.0541393937489499e-91,6.8011364669133443e-56,8.6587405581459123e-52,2.4890414554191627e-63,4.5363425104102719e-79,2.1799214279308383e-55,4.9985716879512284e-68,3.0400435220155307e-48,4.6044556761385144e-25,1.1673096364621235e-69,1.1787678659964948e-65,1.3840523560008263e-40,7.6091822007572976e-66,1.4232542312239564e-69,5.231254309756322e-54,7.2469369986131453e-64,0.35999999999999999,0.0,0.0098899999979079108,0.10880299999999975,3.019430767721209e-21,1.4682425645540716e-31,7.8515210138694813e-23,1.1000407366273294e-48,0.0,8.0020935212586407e-26,2.984715735012261e-39,2.0000509309202784e-41,1.664386770421839e-21,2.2779734597798287e-35,0.0,0.0,0.0,0.0,0.0,0.0,1.0166707403872561e-12,1.0168510297585064e-12,5.8320749834825428e-14,2.1295628242762141e-16,3.2666372358167699e-17,4.6044556761385153e-25,6.5528429353434645e-27
7.2093017426131e-14,0.0007628563160745529,3.9759264190464778e-24,2.6536763779166391e-32,2.6536751789297385e-32,2.4685853839555841e-47,2.9283724644103433e-47,0.0,0.0,1.8520198800648719e-20,6.9216787953679977e-31,3.5091703854406325e-54,5.426308549980383e-55,6.6740488127781378e-52,3.8871037551870041e-94,1.8705047531666859e-68,3.8024017366412083e-55,1.6238323420159747e-55,6.665618414390027e-52,2.0120976646129265e-90,6.7680434518677985e-90,1.0911417516710648e-54,6.9335633527730148e-51,7.9693729012464154e-62,4.699243167973903e-77,3.497409091442128e-54,1.6038406430613324e-66,2.438925906233556e-47,1.8436952658674046e-24,1.8705449535999791e-68,5.759214272401686e-64,1.1083571958447705e-39,2.4414531663416428e-64,4.5666275423997111e-68,8.3928877946550649e-53,2.3225918497057108e-62,0.35999999999999999,0.0,0.0098899999958153694,0.10880299999999901,6.0393581530975097e-21,8.0778273035233295e-31,3.1405362751642962e-22,2.8343991006317454e-47,0.0,3.2012861170402776e-25,1.1940532053472862e-38,8.0020806351515905e-41,6.6584486583804029e-21,1.8227021998601865e-34,0.0,0.0,0.0,0.0,0.0,0.0,2.0331363083199137e-12,2.0338574799936136e-12,1.1665415854984777e-13,8.5180634113692438e-16,1.3063415103902209e-16,1.8436952658674061e-24,5.243207190660511e-26
1.0814343786016375e-13,0.0007628563160745519,5.9660907060421494e-24,5.64066699933772e-32,5.6406644544929388e-32,8.8916639192419072e-47,1.0548441210199469e-46,0.0,0.0,3.6607684304212927e-20,1.8441354103149276e-30,1.2945569065154735e-53,1.9986850717600817e-54,2.460108559649799e-51,2.2190162738934148e-93,7.1353675532982234e-68,1.4000867397366223e-54,5.9856372599804904e-55,2.4570148311634912e-51,1.109840557337697e-89,3.7780914991901649e-89,4.0220266650899621e-54,1.9835254751481502e-50,3.6391926882472269e-61,2.5995655016332712e-76,1.2891805867009395e-53,7.3315079821868994e-66,6.9866803750337025e-47,3.9204088991381018e-24,7.1355563203092805e-68,2.8077397710482083e-63,3.1708497399589675e-39,1.1160367965869368e-63,2.0875015281248124e-67,3.0937038234576458e-52,1.0271431638694242e-61,0.35999999999999999,0.0,0.009889999993722828,0.10880299999999792,9.0591690118945053e-21,2.0402568906380586e-30,6.673102388210723e-22,1.2114391508541027e-46,0.0,6.8029535699823912e-25,2.5374442583219113e-38,1.7006079447042694e-40,1.4149613517157956e-20,5.2120108452620291e-34,0.0,0.0,0.0,0.0,0.0,0.0,3.0492825853948338e-12,3.0508149956063139e-12,1.7498756705504155e-13,1.8099439100435535e-15,2.7753362466834215e-16,3.9204088991381048e-24,1.4993145564039276e-25
1.441938582941965e-13,0.0007628563160745495,7.9574461799511872e-24,9.6246522040333015e-32,9.6246478655395783e-32,2.2990461600744527e-46,2.7275468562318943e-46,0.0,0.0,5.9989949215772484e-20,3.732431933091219e-30,3.2923059240427279e-53,5.0734023374405304e-54,6.2519529543143525e-51,8.6878011225626578e-93,1.921159582719446e-67,3.552135150471836e-54,1.5211719559325457e-54,6.244127967028674e-51,5.6334267176204166e-89,1.4269044928121162e-88,1.0221236597680587e-53,4.1855935184213633e-50,1.0849064919643395e-60,1.2376962386650806e-75,3.276255529801894e-53,2.1887499502275506e-65,1.4778019325325315e-46,6.6916444568519861e-24,1.9212184602072653e-67,1.1039026773892603e-62,6.6912643938847866e-39,3.3318048307018172e-63,6.232019958459492e-67,7.8621756327200528e-52,3.5124925623428273e-61,0.35999999999999999,0.0,0.0098899999916302866,0.10880299999999643,1.207886534507221e-20,3.9887884739620272e-30,1.1382467825238119e-21,3.9504933877736814e-46,0.0,1.1605166122201396e-24,4.3286267666217985e-38,2.9012424676724574e-40,2.4137762193920735e-20,1.0993888337206854e-33,0.0,0.0,0.0,0.0,0.0,0.0,4.0651096748809349e-12,4.0677236110689646e-12,2.3332097535040668e-13,3.0872657211240879e-15,4.7333032102323058e-16,6.691644456851992e-24,3.162662678025979e-25
2.1629469916226195e-13,0.000762856316074543,1.1942952516215372e-23,1.9934357697200518e-31,1.9934348720527104e-31,8.846905284895931e-46,1.0496409134505848e-45,0.0,0.0,1.1917791246730802e-19,9.7563322134770766e-30,1.1596185551829287e-52,1.7780762819426614e-53,2.1993593964827246e-50,7.2926840811613835e-92,7.7824074182970414e-67,1.2428950741834129e-53,5.3515054489576742e-54,2.1966358093317692e-50,7.1424187852937553e-88,1.0427232093416007e-87,3.5956054279547621e-53,1.1439977790242446e-49,4.7500333854499667e-60,1.4410857684734491e-74,1.1525612637946031e-52,9.623953815978316e-65,4.0701097620457442e-46,1.3867396584888496e-23,7.7826978884425325e-67,9.0017256302831994e-62,1.8289355608998483e-38,1.4649872694370312e-62,2.7402162598717247e-66,2.7658523576583356e-51,2.163255532052522e-60,0.35999999999999999,0.0,0.009889999987445202,0.10880299999999263,1.8117995431019547e-20,1.0014584866364344e-29,2.3561888260443149e-21,2.2824465858696109e-45,0.0,2.402705875852737e-24,8.9618752570086687e-38,6.0072609115148557e-40,4.9973959180728515e-20,3.0028438934952241e-33,0.0,0.0,0.0,0.0,0.0,0.0,6.0960150603378146e-12,6.1014261831754901e-12,3.49987791448682e-13,6.3906950070165908e-15,9.7957566266539951e-16,1.3867396584888516e-23,8.6394241972816594e-25
2.8839554003032743e-13,0.000762856316074535,1.593283859076123e-23,3.3915321456275277e-31,3.3915306194885774e-31,2.3366415998385832e-45,2.7723888580575072e-45,0.0,0.0,1.9782839552291646e-19,1.9878190491623832e-29,2.9178893885360404e-52,4.4523994118922543e-53,5.5285491189032755e-50,2.8692449976461169e-91,2.1102728230609361e-66,3.1070702016659112e-53,1.3452568621539523e-53,5.5217705388942894e-50,3.2065654766081764e-87,3.8492547161290866e-87,9.0380402071812474e-53,2.3950578831750847e-49,1.3841901196649865e-59,6.3299675724626187e-74,2.897238887525543e-52,2.8161157854452257e-64,8.5916087568612536e-46,2.3605937364254172e-23,2.1103640463865292e-66,3.4423112079944249e-61,3.8292067405056574e-38,4.2867529281459237e-62,8.0182714595789738e-66,6.9526325853889934e-51,7.2685163976228223e-60,0.35999999999999999,0.0,0.0098899999832601174,0.10880299999998747,2.4156720977036041e-20,1.9873620736922393e-29,4.0065642896131443e-21,7.4806928411947706e-45,0.0,4.0863416682146212e-24,1.5241663668862949e-37,1.0217662768362751e-39,8.4991469214674166e-20,6.2830380920578828e-33,0.0,0.0,0.0,0.0,0.0,0.0,8.125747536570711e-12,8.1349492180029117e-12,4.6665460677534256e-13,1.0867021217526334e-14,1.6653475196966488e-15,2.360593736425421e-23,1.8078758439098163e-24
3.604963808983929e-13,0.0007628563160745243,1.9927416694701157e-23,5.1833761600676918e-31,5.183373829054695e-31,5.1570457565344867e-45,6.1188744414719022e-45,0.0,0.0,2.9732492599833521e-19,3.5510483606166355e-29,6.2422065367551647e-52,9.4702049090560284e-53,1.181512272906891e-49,9.0209276704398376e-91,4.7458755466994242e-66,6.5949990515980629e-53,2.8750656120936022e-53,1.1800800204304079e-49,1.1609855056143911e-86,1.1514002796726361e-86,1.9314576973317822e-52,4.3627394496852215e-49,3.3613595335576476e-59,2.250906747503504e-73,6.1918068207365704e-52,6.8731057585500177e-64,1.5815030688622418e-45,3.6097387185544806e-23,4.7461102639900304e-66,1.0599278763914089e-60,6.9754460549682705e-38,1.0462333842722932e-61,1.9569611472138334e-65,1.4858753292103359e-50,1.9662206092630506e-59,0.35999999999999999,0.0,0.0098899999790750329,0.10880299999998086,3.019502644584663e-20,3.4804786414708267e-29,6.1200058057893073e-21,1.9874565604690293e-44,0.0,6.2429271871712197e-24,2.3285482336763911e-37,1.5611584952747522e-39,1.2984530610656565e-19,1.1438131196447599e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.0154224013866984e-11,1.016828012133477e-11,5.8332142127527305e-13,1.659933319275005e-14,2.5432393406234904e-15,3.6097387185544877e-23,3.2915664398322061e-24
5.046980626345238e-13,0.000762856316074496,2.7930940014191576e-23,9.975740346813917e-31,9.9757358658477082e-31,1.9472041502546498e-44,2.3104374560774596e-44,0.0,0.0,5.6012052742948756e-19,9.1251424934182613e-29,2.3674332787824001e-51,3.5066922544905661e-52,4.4660889348317665e-49,8.2509088691383466e-90,1.8463019555832522e-65,2.4197530540587233e-52,1.0868819776677944e-52,4.4609170035944089e-49,1.4914289182742806e-85,9.8529957492142268e-86,7.299664179237134e-52,1.1537681532298514e-48,1.7401443657507003e-58,2.8068671956067519e-72,2.3406153682231001e-51,3.6574168507564925e-63,4.3324477486032064e-45,6.9559758518072837e-23,1.8464347970927269e-65,8.4179173199565034e-60,1.8449543634637203e-37,5.5672479098798716e-61,1.0413564616070305e-64,5.6168783400861369e-50,1.105974303317147e-58,0.35999999999999999,0.0,0.0098899999707048637,0.10880299999996321,4.2270441188775664e-20,8.6735641029022176e-29,1.1763444610506255e-20,1.0863632920342728e-43,0.0,1.2004472492364793e-23,4.4775208421914156e-37,3.0026043818731977e-39,2.4967445046480078e-19,3.020025195019785e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.4207334745075653e-11,1.4234355019241774e-11,8.1665504774301371e-13,3.1906140224476152e-14,4.8858964258578719e-15,6.9559758518073014e-23,8.6928885714676001e-24
