Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162)
8.484332675394991e-15,0.0007612857457340774,5.2372414348325698e-25,4.2215558134578033e-34,4.2215538501638096e-34,1.6639614690950138e-50,1.9743562315911917e-50,0.0,0.0,7.7441656806134941e-22,3.7583454788116926e-33,8.3351532814716242e-58,1.3226734774022277e-58,1.5808234988582023e-55,1.5938945461772824e-99,4.932955763683263e-72,9.3583371868284079e-59,3.868375926865892e-59,1.5787230272537049e-55,9.0506553549594184e-97,2.6411139865681189e-95,2.6039993613568612e-58,1.4459810363436708e-53,2.3484013656422877e-66,5.5305672154384492e-83,8.3318645131036224e-58,4.8093945127926441e-71,4.8993786705870322e-50,2.8584354206795954e-26,4.9329683344467037e-72,6.6856921125412477e-69,2.1571234562706054e-42,7.1257824519532944e-69,1.3525123612595906e-72,1.9943015496618264e-56,6.8138475443794006e-67,0.35999999999999999,0.0,0.0098899999994816901,0.108803,7.7263932461169576e-22,6.692798446696319e-33,4.8304573451325018e-24,2.2000850187623723e-51,0.0,2.6258502337511198e-27,1.8936209705752898e-40,1.2363757949804932e-42,9.9544208864255097e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5195395698614658e-13,2.5196452547909066e-13,1.4378032927419062e-14,1.2477424010327122e-17,1.9087391352737262e-18,2.858435420679596e-26
1.6976036621576596e-14,0.0007612857457340772,1.0480035054071257e-24,1.6898609741801641e-33,1.6898602023022971e-33,1.6778491075350645e-49,1.9912232656112766e-49,0.0,0.0,1.97215966077215e-21,1.8703847964716338e-32,1.3354869228562476e-56,2.1183816017300717e-57,2.5318454651311108e-54,1.022118282456134e-97,7.9042296320082086e-71,1.4988129968296715e-57,6.1956168536988469e-58,2.5284866485639007e-54,1.1632803075177902e-94,1.6929186268885055e-93,4.1705713396067186e-57,1.1578741736125373e-52,7.5218415080350384e-65,4.5080253506403703e-81,1.3344334397122317e-56,1.5405847620422867e-69,3.9232401338458343e-49,1.1443586246641861e-25,7.904269918446569e-71,2.5810605926940678e-67,1.7273477675910065e-41,2.2825830933554482e-67,4.3324735740402884e-71,3.1940781778204385e-55,2.19335816347346e-65,0.35999999999999999,0.0,0.0098899999989629298,0.10880299999999993,1.5459444681793695e-21,3.0064908648854634e-32,1.9333567911496344e-23,4.4686524200848475e-50,0.0,1.0510212038445899e-26,7.5793721624730853e-40,4.9487247872408803e-42,3.9843368217567612e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.041018394140102e-13,5.0414413989560621e-13,2.8768557613110825e-14,4.9940027941286176e-17,7.6391961785910698e-18,1.1443586246641861e-25
3.395944451393981e-14,0.0007612857457340771,2.0968629540566396e-24,6.762753295068997e-33,6.7627502344829041e-33,1.8958806617205562e-48,2.2504708562762875e-48,0.0,0.0,5.6360285822838449e-21,1.0413844561318605e-31,2.1401351584397143e-55,3.392008778261428e-56,4.0541002977694412e-53,6.551582174218375e-96,1.2661526846702472e-69,2.3999082659116517e-56,9.9207836061135179e-57,4.0487389785484237e-53,1.490921552465472e-92,1.0847547159345784e-91,6.6781256838906032e-56,9.2698751334981692e-52,2.4084071838468311e-63,4.119336095497069e-79,2.1367613670792696e-55,4.9337598701365983e-68,3.1409978555726197e-48,4.5808416956695746e-25,1.2661655915081102e-69,1.1066957334431317e-65,1.3829431375945566e-40,7.3099884626261844e-66,1.3874818244491468e-69,5.1145171995260256e-54,7.0284330026851844e-64,0.35999999999999999,0.0,0.0098899999979254073,0.10880299999999977,3.0925383755766136e-21,1.4651428810614345e-31,7.7352653369781772e-23,1.0167499029230443e-48,0.0,4.2054281780423232e-26,3.0326988115691064e-39,1.980134137939251e-41,1.5942331276614977e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083226610237005e-12,1.0084919072776051e-12,5.754960693454515e-14,1.9980767646934757e-16,3.0560857454847553e-17,4.5808416956695756e-25
6.792626029866623e-14,0.0007612857457340759,4.195784672402164e-24,2.7064283990515389e-32,2.7064271802264072e-32,2.4023472053193642e-47,2.8522229079032211e-47,0.0,0.0,1.8036394371204549e-20,6.511097646209711e-31,3.4328763143372891e-54,5.4322176573881611e-55,6.4926761046352127e-52,4.2007543359688179e-94,2.028803665997886e-68,3.843294575591413e-55,1.5888521565933348e-55,6.4841442380879926e-52,1.911121401376223e-90,6.9523433049187889e-90,1.0695160743171923e-54,7.4226880973689935e-51,7.7111163071077396e-62,4.2166365262406898e-77,3.4220700565707332e-54,1.5802968288479409e-66,2.5152168986887765e-47,1.8341681172590384e-24,2.028845027868375e-68,5.3383584378845274e-64,1.1074285008998379e-39,2.3413844083576501e-64,4.4441212886179839e-68,8.191010961069883e-53,2.2524432867529161e-62,0.35999999999999999,0.0,0.0098899999958503623,0.10880299999999908,6.1856606727828477e-21,7.9585900725960902e-31,3.0940657566059904e-22,2.5927968325958689e-47,0.0,1.6824245847293804e-25,1.213247164297926e-38,7.9218230187709309e-41,6.3778059956220008e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0164646230531875e-12,2.0171416270810173e-12,1.151117053776169e-13,7.9922094276596261e-16,1.2221632532620356e-16,1.8341681172590403e-24
1.0189307608339265e-13,0.0007612857457340749,6.2959091336731474e-24,5.7527380274426187e-32,5.7527354408457382e-32,8.6263861565625021e-47,1.0242500246245717e-46,0.0,0.0,3.5508485423893789e-20,1.7282033642098044e-30,1.2649956103627621e-53,2.0001983688958249e-54,2.3906961990750114e-51,2.3980376640607404e-93,7.7390543681675607e-68,1.4151224581546326e-54,5.8504294719057163e-55,2.3875642655032059e-51,1.0535678942944159e-89,3.878176541012038e-89,3.9381262776713753e-54,2.1234118170474465e-50,3.521245133599009e-61,2.3315593497976645e-76,1.2600601937580688e-53,7.2175302342341724e-66,7.1955001230301805e-47,3.9000452597374626e-24,7.7392485852123396e-68,2.5999898872906058e-63,3.1681265549695398e-39,1.0693522376717937e-63,2.0297147539806097e-67,3.0160594526892994e-52,9.9610772839579864e-62,0.35999999999999999,0.0,0.0098899999937753173,0.10880299999999804,9.2787174537649904e-21,1.999232666928444e-30,6.5744055433306193e-22,1.1061330688827383e-46,0.0,3.5752932509304262e-25,2.5782298466968956e-38,1.6834675669297993e-40,1.355324510510784e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0243069956589242e-12,3.0257455627466399e-12,1.7267380362089178e-13,1.6982204129872876e-15,2.5965311582832941e-16,3.9000452597374663e-24
1.3585989186811907e-13,0.0007612857457340727,8.3972362597880921e-24,9.8157861303795565e-32,9.8157817210253799e-32,2.2253545781288265e-46,2.6423925496117936e-46,0.0,0.0,5.8051399374433349e-20,3.4895878810649546e-30,3.211632089621575e-53,5.0746573684446229e-54,6.0654473625930847e-51,9.3884218346147403e-93,2.0836392250702276e-67,3.590232719248138e-54,1.4843340140997299e-54,6.057523395064164e-51,5.3426474922839709e-89,1.4631577425750463e-88,9.9914745943388975e-54,4.4807013620991922e-50,1.0497401133683498e-60,1.1051452494320232e-75,3.1969166638221638e-53,2.1519835325559838e-65,1.5183965521380542e-46,6.656721148521985e-24,2.0836998010584743e-67,1.0179069567841804e-62,6.6853910115054067e-39,3.1883750621330958e-63,6.0518001782821238e-67,7.6520873509228093e-52,3.4062651270696937e-61,0.35999999999999999,0.0,0.0098899999917002723,0.10880299999999665,1.2371708719887209e-20,3.8941759166069081e-30,1.1214189053266048e-21,3.5974325463554959e-46,0.0,6.0991353440057873e-25,4.3981983774073022e-38,2.8718690384698489e-40,2.312044279354895e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0318498705789559e-12,4.0343037450765306e-12,2.3023590166436978e-13,2.896714349917232e-15,4.4284042701076102e-16,6.6567211485219909e-24
2.0379352343757194e-13,0.0007612857457340663,1.2602712850717047e-23,2.0329910265023452e-31,2.0329901142392633e-31,8.5374191087823197e-46,1.0137992120460544e-45,0.0,0.0,1.1503534022075627e-19,9.0975983998940771e-30,1.1250774428976564e-52,1.7756222881877781e-53,2.1223474868063257e-50,7.880041563718124e-92,8.4400434403465912e-67,1.2561963343071723e-53,5.1939688376100086e-54,2.1195878756206502e-50,6.7401608087588206e-88,1.0644545137510148e-87,3.4961154187958907e-53,1.2246208907332281e-49,4.5960334401072627e-60,1.2740592705517645e-74,1.1186330089626371e-52,9.4243879300130609e-65,4.1501623394261495e-46,1.3794453338362486e-23,8.4403422736557957e-67,8.2480726396515204e-62,1.8272725453057339e-38,1.3963062136190502e-62,2.6503149311135784e-66,2.6775416465306265e-51,2.0976893197148165e-60,0.35999999999999999,0.0,0.0098899999875501823,0.10880299999999307,1.8557537496998262e-20,9.7336248051804125e-30,2.3213792999237385e-21,2.0705291032050241e-45,0.0,1.2627633741663534e-24,9.1058987750165728e-38,5.9459850329521834e-40,4.7867816118110735e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0462330021523533e-12,6.0513128249266172e-12,3.4536009728241473e-13,5.9963129382218035e-15,9.1649325264396971e-16,1.3794453338362504e-23
2.717271550070248e-13,0.000761285745734059,1.6812611421158273e-23,3.4587777878765404e-31,3.4587762369877646e-31,2.2512771720170144e-45,2.6734265656704065e-45,0.0,0.0,1.9065901394885258e-19,1.8505275494677162e-29,2.815279099938407e-52,4.4388090754983313e-53,5.3056776845926014e-50,3.1001929400015835e-91,2.2884930535650506e-66,3.1402615759561714e-53,1.2984791452941231e-53,5.2988058336076886e-50,3.0170735288682917e-87,3.9169683182478316e-87,8.7400156418648121e-53,2.5637841452947964e-49,1.339306489654772e-59,5.5720668202984922e-74,2.7964959856649629e-52,2.7468676422854297e-64,8.6889368521324023e-46,2.3480847619540727e-23,2.288586899785579e-66,3.1474033854757656e-61,3.8256180691367686e-38,4.0697054150627665e-62,7.7246898591326017e-66,6.6936469849326189e-51,7.0479494401567861e-60,0.35999999999999999,0.0,0.0098899999834000923,0.10880299999998824,2.4743125363935447e-20,1.9258171549182895e-29,3.9474122314483299e-21,6.7755602519016208e-45,0.0,2.1476334560399204e-24,1.5486582200052223e-37,1.0112701998293277e-39,8.1409646835063515e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0595155355869342e-12,8.0681539090182639e-12,4.6048429216573519e-13,1.0196497834824719e-14,1.5581314856459438e-15,2.3480847619540762e-23
3.396607865764776e-13,0.0007612857457340491,2.1027247305766965e-23,5.2860687991622182e-31,5.286066430413057e-31,4.9628512429252635e-45,5.893590324821374e-45,0.0,0.0,2.8624780557337714e-19,3.3017637221305327e-29,5.9815439893758096e-52,9.4217038704098678e-53,1.1261925155634468e-49,9.7465200871712934e-91,5.146437355465776e-66,6.6653213622196049e-53,2.7562506072950288e-53,1.1247396808874976e-49,1.0874825533962874e-86,1.1665600366949969e-86,1.8551801407245913e-52,4.669963787033042e-49,3.2523470208564328e-59,1.9702784880133024e-73,5.9359222288844498e-52,6.6718143464714151e-64,1.5827816178655874e-45,3.590466561297937e-23,5.1466788122146313e-66,9.674848579835138e-61,6.9687111439959815e-38,9.8847772045841204e-62,1.8762307366533104e-65,1.4208126236556831e-50,1.9064744373195314e-59,0.35999999999999999,0.0,0.0098899999792500023,0.10880299999998205,3.0928455121947723e-20,3.364943297827295e-29,6.0297131794310196e-21,1.7980361943528898e-44,0.0,3.2810876502038569e-24,2.3659617068979312e-37,1.5450061918112648e-39,1.2437339261537055e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0071619469292285e-11,1.0084815203076231e-11,5.7560848626185102e-13,1.557526979062746e-14,2.3795486626109971e-15,3.5904665612979435e-23
4.755280497153833e-13,0.0007612857457340224,2.9471025062821737e-23,1.0173018611058484e-30,1.0173014057715632e-30,1.8704412708471107e-44,2.2212949044848247e-44,0.0,0.0,5.3853405349803212e-19,8.4691175724463414e-29,2.2017340516628824e-51,3.4568754700827879e-52,4.1323257828177459e-49,8.9127344332223822e-90,2.0018538140192098e-65,2.4454009877946868e-52,1.0114209836418055e-52,4.1270643993580631e-49,1.3524843996644406e-85,9.6813476771604751e-86,6.807299943496347e-52,1.2349298798546492e-48,1.6836747319444984e-58,2.3739646534086414e-72,2.178097917599555e-51,3.4566494445670851e-63,4.1860801918194252e-45,6.9181979536267107e-23,2.0019904506789595e-65,7.6618816651548807e-60,1.8430308014708306e-37,5.1211702779875063e-61,9.7206120218798857e-65,5.2134594423653857e-50,1.0722200792825687e-58,0.35999999999999999,0.0,0.0098899999709498223,0.10880299999996547,4.329832416009254e-20,8.3555581275663947e-29,1.1590166050084639e-20,9.8097315525264647e-44,0.0,6.3093019686228903e-24,4.5494444739916295e-37,2.97102385035059e-39,2.3915360416512949e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4092221651960022e-11,1.4117588516841303e-11,8.0585687204302083e-13,2.9938459676710137e-14,4.571623406456911e-15,6.9181979536267295e-23
6.11395312854289e-13,0.0007612857457339875,3.7934035717424627e-23,1.6696558672432787e-30,1.6696551206729147e-30,4.9067731080481815e-44,5.8272649640142098e-44,0.0,0.0,8.7181843533044512e-19,1.7274128472977094e-28,5.7391034290906821e-51,8.9870673687385937e-52,1.0743632592668612e-48,3.7094220305120443e-89,5.3398368900518321e-65,6.3571684957359533e-52,2.6297502103689067e-52,1.073010200320956e-48,6.7068963751222904e-85,3.9161814967238139e-85,1.7698527870607413e-51,2.5639032822321876e-48,5.4240441127285389e-58,1.1629573209226313e-71,5.6629141690431275e-51,1.1142375494073421e-62,8.691979433659263e-45,1.1367863113063437e-22,5.3402922774491936e-65,3.0984498161795881e-59,3.8268222771218623e-37,1.6507640398408204e-60,3.1333802301938253e-64,1.3554658321187645e-49,3.5915528966695863e-58,0.35999999999999999,0.0,0.0098899999626496423,0.10880299999994343,5.5667145018746018e-20,1.6707157860339679e-28,1.9000173509114302e-20,3.2387189261690355e-43,0.0,1.0347012214808478e-23,7.4607000271937526e-37,4.8725006639586768e-39,3.9219040326996934e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8108046150030228e-11,1.8149634698968466e-11,1.0361052546269353e-12,4.9079282784009676e-14,7.4907847576914007e-15,1.1367863113063475e-22
