Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123)
1e-12,0.002253063847106591,4.3446206129219873e-21,4.5715131333400972e-27,4.382828982965994e-27,2.9063242139651857e-26,3.1558154745000867e-33,0.0,0.0,3.0909687484847346e-19,7.7070852425628975e-28,8.1223223857609377e-40,5.4308357987350512e-40,3.7893429209541155e-42,1.8692271479254615e-66,1.6562510943589742e-44,8.9132235051793169e-36,7.9296206368580021e-23,4.0407090542441242e-31,5.4826548456340973e-73,2.3842478902817834e-70,1.7892340670457341e-43,4.538525261029759e-39,1.7608366434252721e-37,3.9375777410763465e-51,5.3568482038605225e-33,9.9451053694083315e-52,6.8618503228244777e-39,2.3960576356696689e-22,3.8458682235822844e-30,6.4513748616342456e-26,1.9613005730156753e-17,1.0808826256359236e-39,3.1171258202158415e-54,1.6543098731573609e-43,1.3012637686588336e-45,0.88168480800000004,0.0,0.009459999999999958,0.10885,2.3957573718344837e-17,2.3957219571936013e-17,1.9612711732660926e-17,1.4025727389112024e-19,1.1536109606898204e-19,5.7680715393677951e-20,2.9938696193240343e-23,6.3376904898304306e-22,3.6287726151308626e-23,4.6834939846739836e-22,4.189058600370103e-22,7.7266429472831495e-22,1.3296397435476503e-27,1.4834531430944028e-23,3.3024413073056768e-24,9.3713832669841866e-24,7.4249654379963543e-24,2.7612600411664562e-25
1.023e-12,0.002253063847106591,4.444591603229168e-21,4.7287469829935774e-27,4.5357314324293197e-27,3.0077146761593607e-26,3.2849707289788794e-33,0.0,0.0,3.1620471905533083e-19,7.9759058553416722e-28,8.4546603370324287e-40,5.6531129872071087e-40,3.9559567209026265e-42,1.9542785177667797e-66,1.7240274594761529e-44,9.2240993289521427e-36,8.2061942542199629e-23,4.20606400103829e-31,5.738268102043263e-73,2.4928194535841327e-70,1.8679048805038958e-43,4.7242438632238916e-39,1.8222035503216183e-37,4.1167485336015183e-51,5.5760622672004703e-33,1.0397608029334958e-51,7.1426501983965205e-39,2.4796288056972583e-22,4.0032498404439621e-30,6.6763900931859774e-26,2.0063971189133754e-17,1.1284084137624875e-39,3.25895502818517e-54,1.7270493157626054e-43,1.3583109038521403e-45,0.88168480800000004,0.0,0.0094599999999999563,0.10885,2.4508434722405537e-17,2.450806822393621e-17,2.0063666937487754e-17,1.4348183900268337e-19,1.1801328096603842e-19,5.900681367882542e-20,3.0982856890646832e-23,6.5587397696204497e-22,3.7553314919463208e-23,4.8468478555757874e-22,4.3351672569385893e-22,7.9961367925119378e-22,1.3840515872397759e-27,1.5351910154146822e-23,3.4176424669507547e-24,9.6982443151641093e-24,7.6839380935555087e-24,2.8575655518349796e-25
2.047e-12,0.002253063847106591,8.9050507578854434e-21,1.8560153128932428e-26,1.8176460670245431e-26,1.2051989721988251e-25,2.6328351156063516e-32,0.0,0.0,6.3274285764445994e-19,3.1925248178782663e-27,6.7551773414622239e-39,4.5347363338156862e-39,6.330205493192503e-41,6.2575285760235901e-65,1.3797013111861094e-43,3.6911404523507334e-35,3.2840850959576103e-22,3.3668050906446648e-30,7.0778040559766205e-71,8.3669596850729259e-69,2.988852009702518e-42,3.779367932427431e-38,7.2591866005180914e-37,1.3205002912530935e-49,4.4633655285115678e-32,3.3290035543918402e-50,5.7167396338749507e-38,9.9234892997938425e-22,3.2044587822608113e-29,2.671910215094462e-25,4.0141106997264925e-17,1.8060919949380456e-38,1.0433679724465551e-52,2.7646801850911915e-42,2.1302444503493987e-44,0.88168480800000004,0.0,0.0094599999999999112,0.10885,4.9032966225701637e-17,4.9031499548672905e-17,4.013988943211592e-17,2.8698880833020424e-19,2.3604581105097938e-19,1.180235982171336e-19,1.2395255262291961e-22,2.6247714452196873e-21,1.5023564854175602e-22,1.9397176679480647e-21,1.7349432494671841e-21,3.2000067670882567e-21,1.10787881760231e-26,6.1418331777331065e-23,1.3688856599925426e-23,3.8812560142945311e-23,3.0751269786258418e-23,1.1433642563003899e-24
4.095e-12,0.0022530638471065915,1.7864266702819368e-20,7.3664710414644987e-26,7.2916981746646746e-26,4.8339113949625544e-25,2.1121074166662587e-31,0.0,0.0,1.2661573365606436e-18,1.2777345918245993e-26,5.3857596311005185e-38,3.6440272043851982e-38,1.0120501689455633e-39,2.0018786718996771e-63,1.1035122185539316e-42,1.4764927134833596e-34,1.3138854368210718e-21,2.6940917325685057e-29,8.8910660468864809e-69,2.9249094047941779e-67,4.7781022796348924e-41,3.0206718488855198e-37,2.8780543849642561e-36,4.2377171247886144e-48,3.5714316483528456e-31,1.065326541830368e-48,4.5733738436434265e-37,3.970249051851807e-21,2.5641822326281388e-28,1.0690057754057474e-24,8.0292855914911372e-17,2.8889388951831946e-37,3.3385949653092964e-51,4.4236070725189799e-41,3.3797705418493584e-43,0.88168480800000004,0.0,0.009459999999999821,0.10885,9.8078995761725179e-17,9.8073128208736994e-17,8.0287985021421074e-17,5.7377793400648467e-19,4.7192168891260603e-19,2.3596361231074606e-19,4.9558884436910488e-22,1.0501021762201893e-20,6.0064859864389753e-22,7.7605887325171591e-21,6.9413186752589685e-21,1.2802363095029648e-20,8.865075289637041e-26,2.4556542820435222e-22,5.4858642644115746e-23,1.5528464581426609e-22,1.2303235342739009e-22,4.5725602508158412e-24
8.191e-12,0.0022530638471065915,3.5935812535438099e-20,2.9457968060294362e-25,2.9324240276926629e-25,1.9432969004080181e-24,1.698254091981498e-30,0.0,0.0,2.5343390182308766e-18,5.1147278877798302e-26,4.2781060995760628e-37,2.9397773040288548e-37,1.6159888437734419e-38,6.3978694983629275e-62,8.8200736484661521e-42,5.9039242897094993e-34,5.2554870889218826e-21,2.1553204659220131e-28,1.1279585076718662e-66,1.0944726613737207e-65,7.6282604630872363e-40,2.4109305294679858e-36,1.1308677653393124e-35,1.3625451934169519e-46,2.8570167433715954e-30,3.407602933182305e-47,3.6569921980166736e-36,1.5881580454696421e-20,2.0513886386499762e-27,4.276275822940073e-24,1.6058626419167286e-16,4.6174479141526863e-36,1.067692089214826e-49,7.0746711169779431e-40,5.4034875901892572e-42,0.88168480800000004,0.0,0.0094599999999996406,0.10885,1.9615892251877611e-16,1.9613545477360693e-16,1.6056678321326486e-16,1.1464592994983558e-18,9.4291858120294055e-19,4.7147033444355593e-19,1.9798097267117858e-21,4.2003063901654362e-20,2.3993042619028051e-21,3.1043897403106272e-20,2.7766726258234933e-20,5.120801133986145e-20,7.0920768515084999e-25,9.810145958033577e-22,2.2017386689601549e-22,6.211697090307462e-22,4.9215419567970927e-22,1.8275904259973909e-23
1e-11,0.0022530638471065924,4.4052228262048846e-20,4.9159039347153065e-25,4.9023736292996472e-25,3.2475296702491969e-24,4.3529452020855644e-30,0.0,0.0,3.0956266685023854e-18,8.5089182520272845e-26,1.0787578258929081e-36,7.568918983827064e-37,6.9442491850485255e-38,5.006388376268939e-61,2.2422096710360616e-41,9.810439634091056e-34,8.736111179042978e-21,5.4862578219274099e-28,3.2657474870049827e-65,1.0839455226987368e-64,3.2772118306292329e-39,6.1170443708373316e-36,1.845876816592715e-35,1.0776893078917366e-45,7.2717152072399335e-30,2.6708171129973085e-46,9.3023838980182536e-36,2.6401017753351081e-20,5.2216977677628316e-27,7.1089089310325306e-24,1.9603896938986373e-16,1.9873983820462614e-35,8.3654688324019092e-49,3.04806491869295e-39,2.3427025468932331e-41,0.88168480800000004,0.0,0.0094599999999995608,0.10885,2.3946524676847448e-16,2.3942624063999882e-16,1.9600659069985952e-16,1.3985961862669215e-18,1.1502710511119891e-18,5.751538353297866e-19,3.2865633641026386e-21,6.9819978379162397e-20,3.9825817328980393e-21,5.1607062237580356e-20,4.6159252950364957e-20,8.5120645473667249e-20,1.8052029750004769e-24,1.6285485162783725e-21,3.6730014385980839e-22,1.0326268635608376e-21,8.1815286860105973e-22,3.0354858058952252e-23
1.6383e-11,0.0022530638471065924,7.2690747655612347e-20,1.1867365406468706e-24,1.1853279271675197e-24,7.8494742638900123e-24,1.3719939870849655e-29,0.0,0.0,5.0761126119424266e-18,2.0485212942459291e-25,3.3756047464650618e-36,2.3902700820284748e-36,2.5744849383146288e-37,2.041380512857384e-60,7.0416410256005906e-41,2.359445701562089e-33,2.1017384571659306e-20,1.723936624834114e-27,1.439083886019782e-64,4.5224321847391937e-64,1.2149143539483742e-38,1.9193951308073656e-35,4.3687639222590852e-35,4.3995125557164543e-45,2.2848840853935113e-29,1.0892349827210435e-45,2.9221972190505857e-35,6.3518523710958927e-20,1.6408034512443506e-26,1.7103766382085123e-23,3.2113273239707895e-16,7.3706194262682726e-35,3.4115446141281457e-48,1.1306791177427094e-38,8.702251594987042e-41,0.88168480800000004,0.0,0.0094599999999992815,0.10885,3.9227025930900766e-16,3.9217642648034102e-16,3.2105484453453822e-16,2.2882533163076908e-18,1.8819077650033398e-18,9.4099782988855418e-19,7.8974027601589201e-21,1.6797109231500197e-19,9.5691268392344539e-21,1.2416354711234437e-19,1.1105670893481264e-19,2.047803158308161e-19,5.6723881243151058e-24,3.913351730425425e-21,8.8643061697196389e-22,2.484440582391999e-21,1.9684290041770572e-21,7.2975069280001832e-23
3.2767e-11,0.002253063847106594,1.4864310088515649e-19,4.8322659788472183e-24,4.839569462248293e-24,3.2004199480020183e-23,1.1188650123596491e-28,0.0,0.0,1.0181295399898409e-17,8.2143201951932335e-25,2.6329094419235326e-35,1.9725595589084533e-35,4.0836158909785338e-36,6.4936587507313556e-59,5.6097272228336875e-40,9.4196000269475434e-33,8.4024811851290766e-20,1.3784802568535106e-26,1.8434316720579418e-62,2.1076484422027198e-62,1.9259235998191848e-37,1.5205876473146321e-34,1.6363364169110983e-34,1.4326665537026292e-43,1.8265322142314002e-28,3.4774675728586928e-44,2.3320732994713741e-34,2.5398683095835539e-19,1.3120009764951484e-25,6.8397662113972013e-23,6.4206435448028387e-16,1.1736537804573161e-33,1.0883228552281382e-46,1.80481922554852e-37,1.4160480410217303e-39,0.88168480800000004,0.0,0.0094599999999985633,0.10885,7.8429896624900015e-16,7.8392397665027236e-16,6.4175312169052197e-16,4.5577155572534477e-18,3.7479853894146185e-18,1.8741666642207497e-18,3.1413206990410709e-20,6.7148944216506619e-19,3.8049924374355521e-20,4.9650916102282729e-19,4.441017144008959e-19,8.1862749431463543e-19,4.5353553437702188e-23,1.556689020429628e-20,3.5911419011177068e-21,9.9348918395081633e-21,7.8714500060394876e-21,2.9085149846102834e-22
6.5535e-11,0.0022530638471065976,3.1027873547390924e-19,2.0045539055994997e-23,2.0140985525072186e-23,1.3284571248923965e-22,9.2897211391359649e-28,0.0,0.0,2.047816079281357e-17,3.3017494015309086e-24,2.018132105932662e-34,1.6716098543952989e-34,6.422447299752014e-35,2.0952394943847794e-57,4.4501993640256597e-39,3.752929837872797e-32,3.3572554484928743e-19,1.1016523549326567e-25,3.4930306562205605e-60,1.1470106166248185e-60,3.0253982571613252e-36,1.1931586326643513e-33,5.8177886946319217e-34,5.5445190105305733e-42,1.4589461415986894e-27,1.1075772823517502e-42,1.8565144835762845e-33,1.0152003570896982e-18,1.0485155213221172e-24,2.7343811509342145e-22,1.2832829734816103e-15,1.8598868510387703e-32,3.4609861945446823e-45,2.8739636664936351e-36,2.3452024773955498e-38,0.88168480800000004,0.0,0.0094599999999971252,0.10884999999999997,1.5675813150622765e-15,1.5660841582433423e-15,1.2820406471457175e-15,9.0413047771086212e-18,7.4334606872638829e-18,3.7174119587413138e-18,1.2425741225039655e-19,2.6826721012908486e-18,1.5040958620555205e-19,1.9847800127494045e-18,1.7753195721309157e-18,3.270407008391172e-18,3.6239950396406783e-22,6.1583049364370878e-20,1.4725352489933832e-20,3.9714827463733104e-20,3.1466270569315754e-20,1.1550895959931252e-21
9.999999999999999e-11,0.0022530638471066036,5.0059189543049478e-19,5.4703961582048673e-23,5.5188635743516438e-23,3.6261432650222913e-22,4.6320206385754704e-27,0.0,0.0,3.1490063339697101e-17,8.5780441615136859e-24,8.9383262520649467e-34,8.5680629714462598e-34,5.5300710798963996e-34,3.6056527072518963e-56,2.0522552713689932e-38,9.6119087388921039e-32,8.638094057421539e-19,5.1474936380703656e-25,2.4458229406254303e-58,3.6735474091204132e-59,2.5994543500303927e-35,5.3993938380979807e-33,1.284045324115194e-33,1.0329842907289699e-40,6.8104179150464722e-27,1.8990226348099494e-41,8.6146256360990824e-33,2.6136776947295734e-18,4.8991436242698276e-24,7.0418182320821268e-22,1.956355871879131e-15,1.6235996392028312e-31,5.916409364965511e-44,2.5315747501808354e-35,2.2194122876109729e-37,0.88168480800000004,0.0,0.0094599999999956143,0.10884999999999995,2.3898015073038178e-15,2.3859541273984481e-15,1.9531645248828983e-15,1.3645404550084052e-17,1.1215341256759316e-17,5.6093702420328175e-18,3.1459803471552816e-19,6.9011624511022208e-18,3.8041302922396307e-19,5.1107523984942766e-18,4.5715515376069517e-18,8.4127071088366797e-18,1.692844748615259e-21,1.5594551320566411e-19,3.9458729934896576e-20,1.0226750517864231e-19,8.1027443119586058e-20,2.9434724130158245e-21
1.31071e-10,0.0022530638471066036,6.7216364047651459e-19,8.5949336493031244e-23,8.678490848215802e-23,5.6975608208028218e-22,7.9704051071600966e-27,0.0,0.0,4.1417549892264009e-17,1.3334746743478723e-23,1.517704240800507e-33,1.478537603687178e-33,9.9365603449015249e-34,6.6673418595519337e-56,3.5012153494987449e-38,1.4893914641505508e-31,1.3398893025012504e-18,8.7949137601760324e-25,4.6192987866425052e-58,6.8819302572813138e-59,4.6701762761864469e-35,9.1914128158443429e-33,1.9171548849012773e-33,1.9142585514420958e-40,1.1634894325108742e-26,3.5111850869261497e-41,1.4707220199280161e-32,4.0547422343439239e-18,8.3705745189945722e-24,1.0925073057219132e-21,2.5631467619446861e-15,2.9196393883630987e-31,1.0938174203896999e-43,4.554753817486983e-35,4.0088386787569137e-37,0.88168480800000004,0.0,0.0094599999999942508,0.10884999999999992,3.1310521555886558e-15,3.1250859948471152e-15,2.5581983274412022e-15,1.7796107699543493e-17,1.4624794649325474e-17,7.3150146877066989e-18,4.861945378524528e-19,1.0704229726859922e-17,5.8776648861827754e-19,7.9288892909207671e-18,7.0924197633230673e-18,1.3048610385231351e-17,2.8922721154093164e-21,2.4101547154057842e-19,6.175644560564771e-20,1.5866020064592636e-19,1.2570799418035639e-19,4.5557411641463137e-21
