Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136)
1e-12,0.003058923563780093,6.8189398727468205e-24,1.8953017204704883e-30,1.839013048492337e-30,1.4707802337654779e-44,5.8537102984710094e-37,0.0,0.0,3.8664449915495565e-21,2.1214564240133085e-30,1.616034794226741e-45,1.8601145070280839e-45,1.5906941740000278e-47,7.9861379849690701e-76,6.1168561858646439e-51,4.4324347932768562e-41,3.7653939144753399e-26,5.2822065344757233e-35,2.0264781581199024e-82,5.3752002661471603e-80,3.0254960820224668e-49,1.3548890618093884e-44,1.3422572352350254e-44,1.6200059097192316e-58,2.8694513818304079e-37,3.7083272967579276e-58,9.0080751870758194e-44,2.2863933078371296e-25,5.2081591404859601e-34,6.8500491509393777e-29,7.7192187405519351e-20,9.8097735082889406e-45,1.3016027979418431e-65,1.4136746293371433e-48,1.5628503441862354e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.779478042555271e-20,8.7794753579437532e-20,7.7190402792397074e-20,1.719998200221057e-21,1.4349312579431405e-21,7.17603216709947e-22,2.7517547730030741e-25,1.8466669039868519e-24,3.2967031759972908e-25
1.023e-12,0.003058923563780093,6.9757321075432939e-24,1.9607380282018057e-30,1.9031560182778794e-30,1.5309680433686795e-44,6.0932586617890023e-37,0.0,0.0,3.9553493274018537e-21,2.1954505454917376e-30,1.6821672723920363e-45,1.9362421921555441e-45,1.6606361632933345e-47,8.3495103032695052e-76,6.3671698849553497e-51,4.5870295762935028e-41,3.8967261671836856e-26,5.4983668887808208e-35,2.1209829817895848e-82,5.6199552931611033e-80,3.158525003830206e-49,1.410332522953088e-44,1.3891905976247527e-44,1.6937193485347254e-58,2.9868760701351426e-37,3.8770564607170345e-58,9.3767040048887481e-44,2.3661398111558289e-25,5.4212893004050691e-34,7.0889702975560238e-29,7.8967099472981556e-20,1.0241105908633913e-44,1.3607622579007444e-65,1.4758335268693852e-48,1.6314213213658528e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.9813483542751754e-20,8.9813455760281661e-20,7.8965252615023601e-20,1.7595429416794158e-21,1.4679219801108075e-21,7.3410337653044614e-22,2.8477295065357784e-25,1.9110761017362802e-24,3.4116843585541339e-25
2.047e-12,0.003058923563780093,1.39565800906718e-23,7.7318334430537876e-30,7.6169540190644064e-30,1.2255179289928948e-43,4.877796224021484e-36,0.0,0.0,7.9137213355805665e-21,8.7866620350007286e-30,1.3467025554833941e-44,1.551975006061752e-44,2.6580453874538992e-46,2.6719472378437878e-74,5.0961781120351688e-50,1.8355667093623859e-40,1.5595087351585023e-25,4.4013916291666471e-34,2.6603836742634769e-80,1.8793459207381738e-78,5.0549871928423384e-48,1.1284658535473573e-43,5.6399619530341783e-44,5.4269348157925246e-57,2.3909576507833992e-36,1.2413769302638092e-56,7.5051767923247276e-43,9.4694939251770637e-25,4.3396916490129757e-33,2.8370738908986607e-28,1.5798912445712581e-19,1.6394073188394015e-43,4.2874456132807688e-64,2.3626456729896844e-47,2.5716965309628071e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7968964922866998e-19,1.7968953804332593e-19,1.5798173331849187e-19,3.5196315998524319e-21,2.936298939407373e-21,1.4687192095686145e-21,1.1394797342624833e-24,7.64814841081914e-24,1.3651337182718869e-24
4.095e-12,0.003058923563780093,2.7919016022133601e-23,3.0705664975474124e-29,3.0478465037822967e-29,9.8069726877043156e-43,3.9037494245265921e-35,0.0,0.0,1.5831250788268614e-20,3.5157851431522909e-29,1.0779217610576762e-43,1.2452066326809211e-43,4.2519644603690735e-45,8.5381616717172044e-73,4.0770979682266327e-49,7.3425262499607941e-40,6.2396687917970893e-25,3.5221902788286894e-33,3.3683918020940324e-78,6.5257522824099514e-77,8.0843117653788092e-47,9.0226198283172109e-43,2.3201072457531452e-43,1.7378411041211852e-55,1.9133369142250538e-35,3.9729546108834215e-55,6.0047175766331866e-42,3.7887624997016107e-24,3.4728150589009034e-32,1.1351245224899623e-27,3.1603258617664928e-19,2.6231203799276027e-42,1.3610073429745007e-62,3.7807011906755754e-46,4.0838950447871797e-49,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.5944194906632744e-19,3.5944150423148153e-19,3.1600301525002856e-19,7.0377622425607645e-21,5.8713444938246004e-21,2.9379509632402755e-21,4.5574326909009831e-24,3.0599253800746378e-23,5.4599141053067803e-24
8.191e-12,0.003058923563780093,5.5846847216654472e-23,1.2238478544999455e-28,1.2195114052534445e-28,7.8464868986767497e-42,3.123986447179898e-34,0.0,0.0,3.1669451416070954e-20,1.4066576265079563e-28,8.6284044217611716e-43,1.0015006796308132e-42,6.7969011009393185e-44,2.7224980743761851e-71,3.2604308395972403e-48,2.9360687413557587e-39,2.4961935891359565e-24,2.8181822547376352e-32,4.2828628362200331e-76,2.4140508358427135e-75,1.2916838426284822e-45,7.2066379123776129e-42,9.7788532579161051e-43,5.5636712341399727e-54,1.5308803329143688e-34,1.271050167531847e-53,4.8024916027922152e-41,1.5156812635651338e-23,2.7786758289176945e-31,4.5410731557783619e-27,6.3211715664230745e-19,4.1951488254049035e-41,4.3361091505701488e-61,6.047644560486228e-45,6.5098279784912525e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.1894642248552973e-19,7.1894464309781237e-19,6.3199886845384651e-19,1.4065847590700373e-20,1.1734610958032747e-20,5.8764148209460024e-21,1.8218684138088372e-23,1.2240218504909077e-22,2.1826116948905946e-23
1e-11,0.003058923563780093,6.8183797818312425e-23,2.0327818062179977e-28,2.027855055633272e-28,1.997542461267133e-41,7.9551932872532652e-34,0.0,0.0,3.8667173955562494e-20,2.3388969918834107e-28,2.198052084071216e-42,2.5679589024352832e-42,2.9260985710953057e-43,2.1216561246145223e-70,8.2946081394404341e-48,4.8789888790817048e-39,4.1500039961718063e-24,7.1748402156654666e-32,1.2370586927035348e-74,2.3516519091116708e-74,5.556411147588861e-45,1.8303299211120947e-41,1.7098682965266933e-42,4.3668184161117719e-53,3.8974039771506104e-34,9.9656805258152951e-53,1.2219600937119364e-40,2.5198316036270941e-23,7.074259602602965e-31,7.5496515536846402e-27,7.717139523140522e-19,1.8074424750837991e-40,3.3929988531244879e-60,2.6064057828879181e-44,2.803160382879948e-47,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.777216018695727e-19,8.7771864390414979e-19,7.7151731368574992e-19,1.7162601372208765e-20,1.4318112195690451e-20,7.1741888409813542e-21,3.0265486981151668e-23,2.0347854881692692e-22,3.6257737310978287e-23
1.6383e-11,0.003058923563780093,1.117143426996738e-22,4.8870799896432735e-28,4.8800703792233428e-28,6.2772002516721833e-41,2.5001955730696215e-33,0.0,0.0,6.3358419378212854e-20,5.628274476234724e-28,6.909304660199687e-42,8.0951578168415431e-42,1.0852480664280361e-42,8.647228552773818e-70,2.6057545510860608e-47,1.1734521902356829e-38,9.9854223643917166e-24,2.2547171760498156e-31,5.4508621756724285e-74,9.7975919242257594e-74,2.0604368244085309e-44,5.7457522024763089e-41,4.2926473469424086e-42,1.7811876791617506e-52,1.2247608742855379e-33,4.0644412188017187e-52,3.8390639566754619e-40,6.0629447161840264e-23,2.223109278526359e-30,1.8165326464594402e-26,1.2642768858534361e-18,6.7047016366116797e-40,1.383510676284515e-59,9.6691346879267354e-44,1.0397051773289971e-46,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.4379548633446116e-18,1.4379477468045645e-18,1.2638037901452517e-18,2.8089400370201074e-20,2.3433915622981287e-20,1.1753343937656671e-20,7.2772254558416993e-23,4.8955396613594199e-22,8.7179259019716641e-23
3.2767e-11,0.003058923563780093,2.2349663220413629e-22,1.9535272379865238e-27,1.9534562486705671e-27,5.0212078638954592e-40,2.0015375676625258e-32,0.0,0.0,1.267866206633372e-19,2.2524041108119576e-27,5.5377904333188273e-41,6.6071875510385991e-41,1.7290203675263413e-41,2.7259760249973492e-68,2.080234038460967e-46,4.685684394352982e-38,3.994295374340012e-23,1.8038413763629101e-30,6.9246155419923533e-72,4.4474406291083919e-72,3.2764655361721649e-43,4.5650964795453524e-40,1.997102256772862e-41,5.7036618272440846e-51,9.7978706726041115e-33,1.2985924656021895e-50,3.0662241510459846e-39,2.4251156649946235e-22,1.7785535429981437e-29,7.2662445891365787e-26,2.528558698781827e-18,1.0702175995031135e-38,4.414481295116014e-58,1.5446063702339746e-42,1.6623081772384622e-45,0.88168480800000004,0.0,0.0094599999999999945,0.10885,2.8759697135113333e-18,2.8759412582265221e-18,2.526666957742263e-18,5.6006717325883548e-20,4.6724171528941799e-20,2.3507207775083786e-20,2.9024403898516915e-22,1.9575857788591699e-21,3.4768542837631045e-22
6.5535e-11,0.003058923563780093,4.4725013501530706e-22,7.8143567955453511e-27,7.8248624893014739e-27,4.0158777575885123e-39,1.6033474641109536e-31,0.0,0.0,2.5384407295501958e-19,9.0179290425944252e-27,4.4484209910051536e-40,5.4912194330337973e-40,2.7430138902106078e-40,8.4692257474782668e-67,1.6571441033921954e-45,1.8678963157247597e-37,1.5977408980185457e-22,1.4430987056865996e-29,8.7484639345931962e-70,2.2454722922365997e-70,5.1785059305826923e-42,3.6024507441316652e-39,9.8971891591653118e-41,1.8274276907980134e-49,7.8375018105242575e-32,4.1423092660546375e-49,2.4448340389959748e-38,9.6994898795807197e-22,1.4228671726199593e-28,2.9064464558114371e-25,5.0569717537573588e-18,1.7041886143730205e-37,1.4066021955748213e-56,2.4633989629113287e-41,2.6595924110978697e-44,0.88168480800000004,0.0,0.0094599999999999893,0.10885,5.7519912266429525e-18,5.7518774980009745e-18,5.0494102898364498e-18,1.1132760441595045e-19,9.287570091155837e-20,4.7014957856624196e-20,1.1542149429832336e-21,7.824923529763805e-21,1.3824897436768339e-21
9.999999999999999e-11,0.003058923563780093,6.8298773930155119e-22,2.0155181515122504e-26,2.0216007182635384e-26,1.879013253357557e-38,7.5232950392796339e-31,0.0,0.0,3.8790449271499443e-19,2.3279862602689905e-26,2.1018691880032939e-39,2.7370505008977647e-39,2.3997764638711769e-39,1.3861791356841685e-65,7.6987851642805399e-45,4.7895923796036598e-37,4.1184818894238598e-22,6.7555605286871115e-29,5.7866835608276532e-68,6.54131164703878e-69,4.4992720964805293e-41,1.6461980426302987e-38,3.1520893467804768e-40,3.1693534901796176e-48,3.6681747846185597e-31,7.1231256286113287e-48,1.1376714773299052e-37,2.4997619836352944e-21,6.6608432637149609e-28,7.4915300794672789e-25,7.7160104078740639e-18,1.5011658443144299e-36,2.4154856812145809e-55,2.1762167415235002e-40,2.3653821744962717e-43,0.88168480800000004,0.0,0.009459999999999984,0.10885,8.7769396128294501e-18,8.7766468507373757e-18,7.6965428387443645e-18,1.6845504355836261e-19,1.4053320917030534e-19,7.1740182155261411e-20,2.9471557952115962e-21,2.0147009313346604e-20,3.5294042582663237e-21
1.31071e-10,0.003058923563780093,8.9551067859584668e-22,3.1280722349649759e-26,3.1386912645179357e-26,3.2109467225137849e-38,1.2860265621263274e-30,0.0,0.0,5.0876308265731798e-19,3.6137327788986927e-26,3.595717691682338e-39,4.7095190403730343e-39,4.3159417344548991e-39,2.5594998608501005e-65,1.3145465257211393e-44,7.4235694113976928e-37,6.3909885873479734e-22,1.1544868560094306e-28,1.0924644091492346e-67,1.223602185234659e-68,8.0886162871909052e-41,2.8055145862390189e-38,5.10151663990027e-40,5.8618525969630916e-48,6.2685507270936331e-31,1.3171350415671369e-47,1.9429013229574437e-37,3.8789240201560252e-21,1.1383000673446946e-27,1.1625089727533744e-24,1.0113195668923249e-17,2.7008652351449901e-36,4.4662938030526122e-55,3.916045653701505e-40,4.2580608329396632e-43,0.88168480800000004,0.0,0.0094599999999999788,0.10885,1.1504001017361606e-17,1.1503546852445567e-17,1.0082994468720218e-17,2.1995676012861908e-19,1.8349756254641237e-19,9.4030547574758206e-20,4.5635337212115232e-21,3.1255656560748355e-20,5.4648976829815438e-21
2.62143e-10,0.003058923563780093,1.7950287481026838e-21,1.2535091631769268e-25,1.2624467793122318e-25,2.5661345455356571e-37,1.0341558868237877e-29,0.0,0.0,1.0218167725416512e-18,1.450723405453522e-25,2.9671563588173462e-38,4.238426064554021e-38,6.6851726384549235e-38,7.3557495370530851e-64,1.0341828659593624e-43,2.9354830611433645e-36,2.556383689976566e-21,9.2358876835586194e-28,1.3338091463847081e-65,6.9031043574788939e-67,1.2355537921304167e-39,2.1309813232519995e-37,2.5997927322481806e-39,1.8847380432661095e-46,5.0124486134628448e-30,4.161954161800071e-46,1.533937974606517e-36,1.5508553692890221e-20,9.1063702597756442e-27,4.6494221362170919e-24,2.0223235429810915e-17,4.240862407820625e-35,1.4079734057053338e-53,6.1858033172116076e-39,6.8239554762480528e-42,0.88168480800000004,0.0,0.0094599999999999563,0.10885,2.3007883782324046e-17,2.3006073118301731e-17,2.0102787935779034e-17,4.2948985409478695e-19,3.5828333281516464e-19,1.8806208470385053e-19,1.7840845347793248e-20,1.2467018792744184e-19,2.1355656122436526e-20
5.24287e-10,0.003058923563780093,3.605916862537351e-21,5.0329600164102661e-25,5.1053373785440102e-25,2.0492787986616441e-36,8.3582741501910855e-29,0.0,0.0,2.0607808364878107e-18,5.8446850612731383e-25,2.6264018458771334e-37,4.0470264145969416e-37,1.0062810907211352e-36,1.9422308358173037e-62,8.0071826942516101e-43,1.152880405760689e-35,1.0225371861809212e-20,7.388641720493302e-27,1.5631271248798255e-63,3.8627780164317825e-65,1.813362469585523e-38,1.5474540288941276e-36,1.2483673615600992e-38,6.0881500393638638e-45,4.0061061312751437e-29,1.2991692831521889e-44,1.1957091655290864e-35,6.1977066276604854e-20,7.2849916315159854e-26,1.8592666839852818e-23,4.0433688347832547e-17,6.5410257530831176e-34,4.3766730227378146e-52,9.6507330746601205e-38,1.0955289205952479e-40,0.88168480800000004,0.0,0.0094599999999999112,0.10885,4.601507136252238e-17,4.6007876336891045e-17,3.9954737234519258e-17,8.2005513433089545e-19,6.8399480736698629e-19,3.7612658619566313e-19,6.8258432212800015e-20,4.9588036457275783e-19,8.1640994645628275e-20
9.999999999999999e-10,0.0030589235637800936,6.9341861459124153e-21,1.8869369080448441e-24,1.9402915768585037e-24,1.5024441765594784e-35,6.2671978448804121e-28,0.0,0.0,3.992808619311017e-18,2.2057285100473055e-24,2.577073895762157e-36,3.7186468270612961e-36,1.3181556078455617e-35,4.1158299878065149e-61,5.5339036297725804e-42,4.19587611408285e-35,3.805797665504251e-20,5.4315955545449013e-26,1.553831835182247e-61,1.8721065500364824e-63,2.2784445119814554e-37,9.610618510910621e-36,5.167527018885378e-38,1.8062308592500879e-43,2.9394757866621398e-28,3.6073642840600291e-43,8.365288712126329e-35,2.3027161599294808e-19,5.3553457292433248e-25,6.9166241791198888e-23,7.7074721410653213e-17,8.9159955026816211e-33,1.2066352562661717e-50,1.3432788777625503e-36,1.6112556983597793e-39,0.88168480800000004,0.0,0.0094599999999998314,0.10885,8.7763923600212069e-17,8.7737483753871686e-17,7.5312330984946615e-17,1.4402829932549548e-18,1.2007485430454575e-18,7.1741260302689341e-19,2.3407712007016493e-19,1.8256758148620104e-18,2.7958291046838261e-19
1.0485750000000002e-09,0.0030589235637800936,7.2740353416248401e-21,2.0282203226846918e-24,2.0862839862095721e-24,1.6349334171559686e-35,6.8217944580284961e-28,0.0,0.0,4.1900877551568692e-18,2.371275183546693e-24,2.8134004571979374e-36,4.0570332886791181e-36,1.4424772014385909e-35,4.5162648200955637e-61,6.01720864535735e-42,4.5065960576869772e-35,4.0899960745936215e-20,5.9107698190798709e-26,1.7108973187680809e-61,2.0593228574456579e-63,2.4925799969765855e-37,1.0433947313600382e-35,5.5677119630735271e-38,1.9844482825840152e-43,3.1987190190405809e-28,3.9624460356735135e-43,9.0973736593023865e-35,2.4745615320860423e-19,5.8277925027136889e-25,7.4330303742967405e-23,8.081613310431415e-17,9.7596164441887098e-33,1.3253756284072208e-50,1.4705865777755837e-36,1.7645944000896782e-39,0.88168480800000004,0.0,0.0094599999999998227,0.10885,9.2026894125393827e-17,9.1998489192612799e-17,7.8922690837267276e-17,1.5036143889646293e-18,1.253514207869799e-18,7.5226127915636038e-19,2.5100884731468329e-19,1.9614610761388744e-18,2.9979473684498019e-19
