Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73)
1e-12,0.004499392570942467,2.9859328264366457e-29,8.0881298029463488e-37,7.9567194569070523e-37,2.2642151607854667e-54,6.8275018571178164e-44,0.0,0.0,1.2328843259674152e-24,5.171204715013437e-35,7.734387179617889e-56,8.9748179048483766e-56,2.0179633361491078e-56,1.2672741641506058e-93,3.259460819570139e-63,3.562154082513646e-51,1.5695384374300047e-32,2.5232940076277768e-42,5.8220666176614944e-99,5.1056350050364288e-97,5.2056601437853205e-59,2.1731579937117901e-54,3.4562080343213307e-55,2.896595389758303e-71,2.2887569367193663e-45,2.5457510999398903e-69,2.972837605853518e-52,2.1557684088565231e-30,2.7908634441333017e-41,1.8633837270208059e-34,1.8183801438534976e-24,3.9037627381172218e-54,3.2726322564257856e-79,2.5829687496700946e-57,1.0672116370858321e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7951023127620158e-24,1.7951022925366687e-24,1.8183822122713971e-24,5.4117402071974387e-25,4.611587071428022e-25,2.3057935357139908e-25
1.023e-12,0.004499392570942467,3.0545891675352167e-29,8.3686709782663171e-37,8.2342394974074998e-37,2.3568722827414545e-54,7.1068991674648155e-44,0.0,0.0,1.2612325909803971e-24,5.3515699465710949e-35,8.050931312585161e-56,9.3421759874356029e-56,2.1066925932223451e-56,1.3249359719245523e-93,3.3928450581025378e-63,3.6863963362543331e-51,1.6242819850304299e-32,2.6265531522271605e-42,6.0936215371287036e-99,5.3380803670509438e-97,5.434551382302421e-59,2.2620868404161992e-54,3.5769594694123826e-55,3.0283956850933177e-71,2.3824182690114774e-45,2.6615830187500986e-69,3.0944924630010788e-52,2.2309589157987558e-30,2.9050721614124954e-41,1.9283762215370219e-34,1.8601909164233077e-24,4.0754103819591645e-54,3.4214512479819835e-79,2.6965413160677774e-57,1.114082540749102e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.836377872964713e-24,1.8363778520339311e-24,1.8601930569850368e-24,5.5361746792682336e-25,4.7176232780230004e-25,2.3588116390114796e-25
2.047e-12,0.004499392570942467,6.1112238094992355e-29,3.3222756048693142e-36,3.2953952572302517e-36,1.8866579810330952e-53,5.6889589107167998e-43,0.0,0.0,2.5233499209904617e-24,2.1417550589170094e-34,6.4543356164621587e-55,7.5022733493818007e-55,3.372521732576912e-55,4.2414916526725704e-92,2.7157795469103509e-62,1.4752468807056284e-50,6.5005391676163936e-32,2.1025314899112406e-41,7.7194565448670091e-97,1.7697109122676047e-95,8.6998362318228998e-58,1.8102570798231986e-53,1.4454925531752815e-54,9.7026179988476194e-70,1.9071032359993391e-44,8.5222499147554319e-68,2.4769282496392364e-51,8.9285123336622866e-30,2.3254833785103808e-40,7.7175470816927803e-34,3.7216759835783048e-24,6.5245359593618125e-53,1.0861420165637429e-77,4.3169916732611916e-56,1.7688402660552456e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.6740376002187503e-24,3.6740375164516651e-24,3.721684550312046e-24,1.1076213785148502e-24,9.4385396078843172e-25,4.7192698039421182e-25
4.095e-12,0.004499392570942467,1.2224232841465033e-28,1.323844374228952e-35,1.3184796358902212e-35,1.5097846394992502e-52,4.5524825495354235e-42,0.0,0.0,5.0475976621715138e-24,8.5692905867870056e-34,5.1808185171713838e-54,6.0419538676642026e-54,5.396513250956191e-54,1.3563390278234046e-90,2.1730298683094139e-61,5.9018499036318717e-50,2.6008970451760024e-31,1.6825397964397826e-40,9.8270743645514869e-95,6.0511425791352257e-94,1.3920575160809997e-56,1.4478131744026158e-52,5.8943568364833683e-54,3.1066866376297513e-68,1.5261484981185338e-43,2.7276560203652692e-66,1.9818538879089912e-50,3.5723338736340761e-29,1.8609558748985273e-39,3.0878216352950468e-33,7.4446331497737705e-24,1.0441370284948275e-51,3.4614260683232767e-76,6.9084525966538263e-55,2.8191216921232775e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.3493570685147813e-24,7.349356733358646e-24,7.4446674256189371e-24,2.2156292002952876e-24,1.888037227344218e-24,9.4401861367210073e-25
8.191e-12,0.004499392570942467,2.4449209996294761e-28,5.2850500704967996e-35,5.2744178232631307e-35,1.2080029599770424e-51,3.6424192813346893e-41,0.0,0.0,1.0096145468811852e-23,3.428185249783544e-33,4.1716187916083406e-53,4.8954952497777448e-53,8.6317056026630185e-53,4.3310732909909029e-89,1.738276016055668e-60,2.3605065907886869e-49,1.0404950045585807e-30,1.34623748073057e-39,1.253832189832707e-92,2.1834730334816451e-92,2.226465153309632e-55,1.157092626324385e-51,2.4454721902541297e-53,9.9441643439085122e-67,1.2211039462631562e-42,8.7274922438438189e-65,1.5852535433475342e-49,1.4291150530139351e-28,1.4889921483714451e-38,1.235285423452931e-32,1.4890495610071054e-23,1.6704735040230644e-50,1.1052173111704394e-74,1.1052137689290884e-53,4.501598625298497e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4699996060258645e-23,1.4699994719458688e-23,1.4890632730844238e-23,4.4316448462736923e-24,3.776403762789876e-24,1.8882018813949215e-24
1e-11,0.004499392570942467,2.9847456670697541e-28,8.781364982344484e-35,8.7685580926900818e-35,3.0754325301960514e-51,9.2728409944468136e-41,0.0,0.0,1.2325884797133784e-23,5.6995082637567638e-33,1.0721333512856973e-52,1.2679060623299527e-52,3.7196525918890562e-52,3.383907735135405e-88,4.4240364414000467e-60,3.9234797085873139e-49,1.7298576652592267e-30,3.4274011136620192e-39,3.6327291940764583e-91,2.0608741349938399e-91,9.593602000442348e-55,2.9411540824187706e-51,4.215721094119174e-53,7.8024841443445511e-66,3.1088173627496168e-42,6.8442383736581964e-64,4.0342491433237731e-49,2.3759416608145594e-28,3.7908418190640797e-38,2.0536945565066536e-32,1.8178917856184373e-23,7.2012351636958812e-50,8.6601802809543062e-74,4.7641620629303702e-53,1.9395483939938376e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.794640869102125e-23,1.7946406461896733e-23,1.8179145823065237e-23,5.4103490240865633e-24,4.610401582874319e-24,2.3052007914371382e-24
1.6383e-11,0.004499392570942467,4.8895001459372415e-28,2.1118002949355953e-34,2.1097522901840008e-34,9.6645994437991059e-51,2.913960815574845e-40,0.0,0.0,2.0193450376281864e-23,1.3713800578953587e-32,3.3831797341342322e-52,4.0143127941812261e-52,1.3798660224751431e-51,1.3795714806296143e-87,1.3900658218610196e-59,9.4383815388297842e-49,4.1622522828668648e-30,1.0770721992048659e-38,1.6008289923219523e-90,8.562172513321281e-91,3.5588314269789006e-54,9.236159209146497e-51,1.0461989061709319e-52,3.182453842440781e-65,9.7695551943875762e-42,2.7914451330990824e-63,1.2675453629033183e-48,5.7167897744637466e-28,1.191284648906468e-37,4.941425621339107e-32,2.9782013045206664e-23,2.6716354939092001e-49,3.5317631157753846e-73,1.7674646839387062e-52,7.1948093096017057e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9401274264353315e-23,2.9401268900803313e-23,2.9782561559741117e-23,8.8636761479005783e-24,7.5531368430174861e-24,3.7765684215087093e-24
3.2767e-11,0.004499392570942467,9.7769939315388657e-28,8.4415304429737857e-34,8.43806266667409e-34,7.7317138672235507e-50,2.3309424164266344e-39,0.0,0.0,4.0388897344591018e-23,5.4858295840005153e-32,2.7908179871146725e-51,3.3668147394071825e-51,2.2036625361074428e-50,4.3735421181618902e-86,1.1110386648345498e-58,3.7721879018303894e-48,1.6649553398739478e-29,8.6169063153605252e-38,2.0426471877920291e-88,3.741307439705589e-89,5.68224616605597e-53,7.3553721921807851e-50,4.6985618396373903e-52,1.0183589782416496e-63,7.8159069558221945e-41,8.922852121985716e-62,1.012870133270827e-47,2.286755150260101e-27,9.5306407316913061e-37,1.9766034175443755e-31,5.9564217996966686e-23,4.2705073080270778e-48,1.1287174208908762e-71,2.8247940673997729e-51,1.1503738530299941e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.8803831554968575e-23,5.880381010007246e-23,5.9566412091321735e-23,1.7727738789834339e-23,1.5106603040817499e-23,7.553301520408682e-24
6.5535e-11,0.004499392570942467,1.9545328523772776e-27,3.3744939385592054e-33,3.3743030462869234e-33,6.1850835360718406e-49,1.8642855903328712e-38,0.0,0.0,8.078313970759137e-23,2.1944716691072527e-31,2.4028779978819912e-50,2.9388927238899427e-50,3.5125146761032528e-49,1.3737554613427789e-84,8.8716222493625633e-58,1.5064606462194473e-47,6.6599300638308567e-29,6.8936564317558809e-37,2.6008413834655404e-86,1.8300529072918939e-87,9.0533652002857222e-52,5.8309810385874921e-49,2.2479744151826048e-51,3.2582102508659308e-62,6.2527881458004515e-40,2.8488986038597669e-60,8.0839032020252904e-47,9.1468858001844608e-27,7.6246578341086069e-36,7.9062911579259087e-31,1.1912530841302819e-22,6.8192817647673438e-47,3.6053819604616547e-70,4.5093494772991853e-50,1.8393999023674453e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1760894966588759e-22,1.1760886384494428e-22,1.1913408464964398e-22,3.5455864228419191e-23,3.0213535585793638e-23,1.5106767792896684e-23
9.999999999999999e-11,0.004499392570942467,2.9805575010716902e-27,8.6920117709913615e-33,8.6938353543672894e-33,2.8951036483129309e-48,8.7230453652109543e-38,0.0,0.0,1.2327637531188398e-22,5.6571262719186242e-31,1.327092640092363e-49,1.5773573841130311e-49,3.0997360463974212e-48,2.294233404535465e-83,4.1389658858757533e-57,3.8744915025952086e-47,1.7167298882622845e-28,3.2271267847466776e-36,1.7457227626055653e-84,5.2444484351324473e-86,7.9836164892779865e-51,2.685861326727651e-48,7.0616885165585577e-51,5.6354685789510048e-61,2.9270695577186033e-39,4.9077727294343864e-59,3.7682603954417562e-46,2.3576728458552837e-26,3.5693303552369561e-35,2.0378985061201149e-30,1.8176398622793698e-22,6.038448052028059e-46,6.2187393840028699e-69,3.9907268686481231e-49,1.6334863902948358e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7945949406872471e-22,1.794592728482922e-22,1.8178660753434566e-22,5.4102100004332658e-23,4.6102831254088216e-23,2.3051415627043905e-23
1.31071e-10,0.004499392570942467,3.9055426123319292e-27,1.3485877912627791e-32,1.3489517592706622e-32,4.9475073158539814e-48,1.4906377004997317e-37,0.0,0.0,1.6158501664253758e-22,8.7787900225047895e-31,2.3068725093246474e-49,2.7344337717346057e-49,5.577558891239839e-48,4.238690985222635e-83,7.0705426028074564e-57,6.009326458012337e-47,2.6639936531503912e-28,5.5149775443507786e-36,3.2960852906967002e-84,9.8074572829419259e-86,1.4364850695706208e-50,4.5815513339163837e-48,1.140136386383412e-50,1.0422239481203179e-60,5.0021875086850377e-39,9.0754092773584597e-59,6.4366521873395674e-46,3.6585567606620846e-26,6.0997841231524831e-35,3.1623409035339118e-30,2.3823421278783926e-22,1.0867475443679163e-45,1.1500044160181684e-68,7.1819317076108271e-49,2.9402862218980559e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.352192000063586e-22,2.3521885672013385e-22,2.3826931574704167e-22,7.0912115724437325e-23,6.0427401273225924e-23,3.0213700636612698e-23
2.62143e-10,0.004499392570942467,7.7969656645646174e-27,5.3856602963666059e-32,5.3896055317184534e-32,3.9571820505922085e-47,1.1912319209949387e-36,0.0,0.0,3.2324232737833392e-22,3.5121955162035111e-30,2.8112267829376883e-48,2.7726537564502526e-48,8.7906507125508638e-47,1.2646892208145034e-81,5.6140118245003301e-56,2.3948707242136671e-46,1.0656016967876327e-27,4.4120027548917836e-35,4.138317138084077e-82,5.5501804509936185e-84,2.2611334071935228e-49,3.5386765472857262e-47,5.9166980762433283e-50,3.3324486075587717e-59,4.001623949742141e-38,2.8781474848966645e-57,5.1011505805585095e-45,1.4632467424500493e-25,4.8798500558895796e-34,1.264780429808733e-29,4.7639892764570746e-22,1.7250508778413925e-44,3.6570898732246374e-67,1.1386624632113144e-47,4.6965269298538721e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.7043975716086351e-22,4.7043838401319007e-22,4.7653932186572287e-22,1.4182462119170022e-22,1.2085513503781521e-22,6.0427567518907074e-23
5.24287e-10,0.004499392570942467,1.5537681662685603e-26,2.1475371687178216e-31,2.1509002361786825e-31,3.1647628122686359e-46,9.5094648930124703e-36,0.0,0.0,6.4677108059900626e-22,1.4054130120963091e-29,4.8599394117103313e-47,3.0736160035220278e-47,1.3653615951703922e-45,3.5544163512097182e-80,4.424760621148802e-55,9.5694633635462937e-46,4.2624145388136689e-27,3.5296101082725202e-34,5.1039387016620038e-80,3.1901189717896309e-82,3.5064997644385242e-48,2.6474390166963678e-46,2.9917620161348966e-49,1.0646713412573704e-57,3.2010745925809554e-37,9.0479913644433631e-56,4.0058518236828203e-44,5.8515439054116549e-25,3.9038885326394738e-33,5.0578437048006249e-29,9.5251607725145077e-22,2.7170833328398912e-43,1.1559226592519712e-65,1.7892853430513272e-46,7.4898692257264267e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.4088109735637357e-22,9.4087560477715924e-22,9.5307750980561208e-22,2.8364964202579696e-22,2.417106121243302e-22,1.2085530606216407e-22
9.999999999999999e-10,0.004499392570942467,2.9433694332412951e-26,7.9452297405798951e-31,7.970331137991431e-31,2.3259269608582072e-45,6.9615847175862967e-35,0.0,0.0,1.2346555346885966e-21,5.2348834452156902e-29,1.0156501990284172e-45,3.3113861811304745e-46,1.883655117676001e-44,8.2540135577670712e-79,3.1603965859957521e-54,3.622284858148115e-45,1.5864935786539881e-26,2.5947788699470701e-33,5.5339531170525262e-78,1.6343259803348104e-80,4.837886156763529e-47,1.7244506125210799e-45,1.337772258805434e-48,3.0913164187937292e-56,2.352920933344036e-36,2.5460468891082746e-54,2.8414533282062732e-43,2.1769216009855831e-24,2.8699277992967901e-32,1.8816228922844894e-28,1.8157566253922799e-21,3.8504198599869111e-42,3.2862100033396719e-64,2.5243524125733016e-45,1.0872705592901139e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.794592325414107e-21,1.7945718818951778e-21,1.8178452532164468e-21,5.4101969647000075e-22,4.610272116321832e-22,2.3051360581608953e-22
1.0485750000000002e-09,0.004499392570942467,3.0852614596168643e-26,8.5372314657339324e-31,8.5645525615294808e-31,2.5311117398385866e-45,7.5753302993529258e-35,0.0,0.0,1.2946843490312824e-21,5.6259102329822114e-29,1.1143956460701575e-45,3.6181267873600828e-46,2.0620532345922346e-44,9.0605358330518266e-79,3.4379231397109427e-54,3.8944422696464751e-45,1.7049667903611109e-26,2.8236906350380934e-33,6.0938128106839724e-78,1.7979493923589029e-80,5.2960773297166116e-47,1.8735010977497985e-45,1.4438231833715045e-48,3.3960990377315107e-56,2.5604912845930564e-36,2.7967845520124983e-54,3.0906900952992081e-43,2.3394567687176784e-24,3.1231132373729959e-32,2.0221096063256245e-28,1.9039020189929193e-21,4.2158416845105116e-42,3.6099614177321926e-64,2.763843376425198e-45,1.1906437347995513e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.881764681231385e-21,1.8817427110737122e-21,1.9061465885513683e-21,5.6729972328160203e-22,4.8342160451422347e-22,2.4171080225710957e-22
2.0971510000000003e-09,0.004499392570942467,6.0832268549805638e-26,3.3734369910374848e-30,3.3953815151921793e-30,2.0255077065993698e-44,6.0099522722947345e-34,0.0,0.0,2.5939278251617428e-21,2.2537623400959478e-28,2.8569525049276816e-44,4.2858346553260404e-45,2.9565384241931278e-43,2.0061392076771469e-77,2.6002473815317433e-53,1.6836677153919231e-44,6.8198645064962223e-26,2.2589525459270256e-32,6.8821548158303059e-76,9.6549461719071489e-79,7.6615643991231792e-46,1.2152492969656151e-44,6.9213531561578492e-48,1.0799712949318397e-54,2.0478001898531401e-35,8.377821050263809e-53,2.307621666515842e-42,9.3485397344325923e-24,2.4984899799532116e-31,8.0802148457035382e-28,3.8032865653954851e-21,6.3599143577883874e-41,1.1014399772562662e-62,4.1351585951177566e-44,1.8807788897479383e-49,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.7635354624213089e-21,3.7634475831987674e-21,3.8122555579537475e-21,1.1346000440584944e-21,9.6684374206183624e-22,4.8342187103091379e-22
4.194303e-09,0.004499392570942467,1.1831110747183508e-25,1.3174530468024788e-29,1.3350327596791067e-29,1.6236165817341056e-43,4.7314010297845904e-33,0.0,0.0,5.2060338455110219e-21,9.0421509975376091e-28,7.1583043278593933e-43,4.8441948945769346e-44,3.8698941475168827e-42,3.7196904236910518e-76,1.874590848887123e-52,8.1869781741293923e-44,2.7279415867927757e-25,1.8071604808040936e-31,7.1093655598986885e-74,4.8417229677277924e-77,1.0397826847507109e-44,7.0225927224710814e-44,3.5631809964335139e-47,3.4145593145750095e-53,1.6372909426304119e-34,2.3758010390410845e-51,1.6271490819146702e-41,3.7320044634499654e-23,1.9987892201271204e-30,3.2255234672636553e-27,7.5885548775465272e-21,9.129096825071311e-40,3.2166797686837576e-61,5.8518838044508712e-43,2.934486284504703e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.527091474592464e-21,7.5267399692364893e-21,7.6243567479774991e-21,2.2692013179954706e-21,1.9336886274351558e-21,9.6684431371756867e-22
