Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216)
1.179789466652979e-14,0.011238088213921799,3.2156755040475937e-16,1.0235854758740881e-22,9.1720694604581786e-24,4.1734048525304216e-23,6.0310128012858897e-32,0.0,0.0,2.0671675818892518e-17,3.131198076170346e-27,2.3455099339424231e-34,2.5260283266112003e-34,3.0859913690822348e-37,2.4987607280993191e-55,1.315887953681556e-35,1.5172111489723493e-27,4.9328648234262673e-19,8.2010573613639756e-29,2.5209031473700261e-65,5.4257648593522677e-58,4.5900122394746626e-38,2.2472085622756587e-31,3.8378732347782998e-30,5.3972112024603998e-47,7.8153520849811015e-30,3.7489793268316116e-48,1.6476145778089892e-33,1.3951485799937547e-18,8.0252502285895557e-28,1.7211797393089863e-23,1.3583289633762557e-13,1.3737113861515341e-37,2.103495975743958e-48,1.3403947746108456e-40,4.8862143051946893e-40,0.88168480800000004,0.0,0.009459999999669606,0.10884999999999999,1.9421897558588325e-13,1.942185791079826e-13,1.3583202548676878e-13,1.5713453538986783e-16,1.2339113431174027e-16,6.1695567054263347e-17,3.1785983597372163e-23,7.0262187059157127e-21,3.6791447404478177e-23,4.1814453734601513e-21,1.9907341311302958e-21,9.8466837221242708e-21,4.3346588463069591e-27,1.5994550449543892e-23,2.5181226216037278e-22
2.3606039458747267e-14,0.011238088213925515,6.4344891209123045e-16,2.2316766439858492e-22,3.6714192978619702e-23,1.670526190144385e-22,4.8287241905397241e-31,0.0,0.0,4.1362840176445482e-17,1.2533349494413913e-26,1.8778348565207625e-33,2.0234501774493903e-33,4.9415911480749438e-36,8.0063947669331854e-54,1.0535092312303957e-34,6.0727796129385245e-27,1.9744313047640774e-18,6.565833113737211e-28,1.7915508507917613e-63,1.7381595089521812e-56,7.3499787704983417e-37,1.7991278932292934e-30,1.536212465609645e-29,2.0045642715586774e-45,6.2570225257820454e-29,1.2006810223668014e-46,1.3190912708064012e-32,5.5842213438799034e-18,6.4250793736449366e-27,6.8892211463923348e-23,2.7178457232019421e-13,2.1997217850933969e-36,6.7364172173302604e-47,2.1463746824350732e-39,4.2423304664661669e-39,0.88168480800000004,0.0,0.009459999999338926,0.10884999999999997,3.8860665713038193e-13,3.8860507019449891e-13,2.7178108665660606e-13,3.1440556435508794e-16,2.468894556210026e-16,1.2344472740386591e-16,1.272192109891219e-22,2.8122901471617904e-20,1.4725154090093955e-22,1.6736639107886083e-20,7.9681357189211109e-21,3.9412074900626923e-20,3.4703459878174205e-26,6.4016056237247262e-23,1.0079401780764168e-21
4.7222329043182224e-14,0.011238088213932945,1.2873149720573789e-15,5.1990503260123749e-22,1.4692069596413082e-22,6.6848939527763853e-22,3.8648419870460807e-30,0.0,0.0,8.2749757301896524e-17,5.0152900902231989e-26,1.5028397844542002e-32,1.6211222914868554e-32,7.909713470602817e-35,2.563876504604839e-52,8.4312557048779945e-34,2.4298876984138826e-26,7.9002957039731844e-18,5.2546629910008249e-27,1.3208975894882816e-61,5.5673559634864224e-55,1.1764684944729506e-35,1.4398405341128981e-29,6.1473549590592193e-29,6.4471008732046281e-44,5.0075017132579483e-28,3.84378351438192e-45,1.0556703755083093e-31,2.2344088432087872e-17,5.1420154033394338e-26,2.7565991576752783e-22,5.4369022537399964e-13,3.520967418294033e-35,2.1564576030868711e-45,3.4355864570244499e-38,3.9229604059402793e-38,0.88168480800000004,0.0,0.0094599999986775644,0.10884999999999993,7.7738192000966638e-13,7.7737557027084469e-13,5.4367627825411655e-13,6.289475430243333e-16,4.9388604902807697e-16,2.4694302288737165e-16,5.0898206455607604e-22,1.1252596332089038e-19,5.8911691691835307e-22,6.6968040433423819e-20,3.1883011413340706e-20,1.5769706593271944e-19,2.7773175970356387e-25,2.5611697640464797e-22,4.0333527975843342e-21
9.445490821205214e-14,0.01123808821394781,2.5754604449579393e-15,1.3339283905874428e-21,5.8790728799122483e-22,2.6748835462477816e-21,3.0930930587409101e-29,0.0,0.0,1.6554194562774402e-16,2.0066968568235938e-25,1.202502074226936e-31,1.2999401142221271e-31,1.2657954904465929e-33,8.2085256567488006e-51,6.7462536003604196e-33,9.7210117415188409e-26,3.1606316525663352e-17,4.2045303744308187e-26,1.067447661799219e-59,1.7837896976200087e-53,1.8827109357876624e-34,1.1520774715074165e-28,2.4597455764534045e-28,2.064485788128094e-42,4.0067334687204914e-27,1.2302618262473613e-43,8.4469102894161101e-31,8.9390337408479412e-17,4.1143922804401362e-25,1.1028298328493109e-21,1.0875107357047102e-12,5.6346301853812288e-34,6.9017393608543299e-44,5.4980221117187035e-37,3.9834223844924226e-37,0.88168480800000004,0.0,0.0094599999973548413,0.10884999999999985,1.5549320446880863e-12,1.554906642172493e-12,1.0874549387415002e-12,1.2580311839290928e-15,9.8787903949956771e-16,4.9393951324519359e-16,2.035775849687042e-21,4.501589289142237e-19,2.3562030169289361e-21,2.6791323644419024e-19,1.2755352320402117e-19,6.3087038518082763e-19,2.2222589629058871e-24,1.0243896549892632e-21,1.6138271207963774e-20
1.8892006654979197e-13,0.01123808821397754,5.1534048553938897e-15,3.8447462770229946e-21,2.3528513322326891e-21,1.0704330782594622e-20,2.4757211415676557e-28,0.0,0.0,3.3119974204769174e-16,8.0294749084156844e-25,9.6209610634178013e-31,1.0445246759936852e-30,2.025427032498059e-32,2.6281511891569701e-49,5.3974641809436343e-32,3.8886241540979176e-25,1.2643547024988556e-16,3.363946262385745e-25,9.6737911187923238e-58,5.7206510709833216e-52,3.0125745684377094e-33,9.2172754017202228e-28,9.8430092001864678e-28,6.6103394397856766e-41,3.2056451796976122e-26,3.9372035340755571e-42,6.7580792317404856e-30,3.5758592308228831e-16,3.2918242858831161e-24,4.411763729928306e-21,2.1751885722059775e-12,9.0161206024515684e-33,2.2085930751568999e-42,8.7976191059968384e-36,4.538905092986564e-36,0.88168480800000004,0.0,0.0094599999947093949,0.10884999999999968,3.1100306877940904e-12,3.1099290740572194e-12,2.1749653709737692e-12,2.5161972048888273e-15,1.975864239094972e-15,9.8793209355187983e-16,8.139897716878952e-21,1.8006366913608466e-18,9.4203966289232504e-21,1.0717199052953202e-18,5.10261350766088e-19,2.5235224032067768e-18,1.7779506991031275e-23,4.0959330776798333e-21,6.4576206690477251e-20
2.833852248875318e-13,0.011238088214007272,7.7330027832247351e-15,7.2389120361214504e-21,5.0014427705111855e-21,2.2753013575630988e-20,7.0808500674060505e-28,0.0,0.0,4.9693096170431505e-16,1.706603046485649e-24,2.7510657894282711e-30,2.9941090957898117e-30,7.4549940450389218e-32,1.2295912899223755e-48,1.5433666461512704e-31,8.2633816796803171e-25,2.6868167998401635e-16,9.6190226377821715e-25,5.3551303228017524e-57,2.6143112587536994e-51,1.108840383941186e-32,2.6355928991715735e-27,2.0921632991987891e-27,2.9227494783028802e-40,9.1662897227391708e-26,1.797614433547648e-41,1.9324206843587232e-29,7.598816250535137e-16,9.4127861875399772e-24,9.3753477253962009e-21,3.2629032234945689e-12,3.3185701762739301e-32,1.0083509341042928e-41,3.2381619946393511e-35,1.5757367429117565e-35,0.88168480800000004,0.0,0.0094599999920639485,0.10884999999999952,4.6651277227191636e-12,4.6649117951089465e-12,3.2624289165514915e-12,3.7743619698806687e-15,2.9638486613637647e-15,1.4819242754763434e-15,1.7292017986205559e-20,3.8262307594404977e-18,2.0011214954837113e-20,2.2774295542936416e-18,1.0843397444433825e-18,5.3623718424795841e-18,5.0839108552378784e-23,8.7011903589719637e-21,1.3725396462230924e-19
4.723155415630114e-13,0.011238088214066744,1.2898813130519144e-14,1.7565248951539421e-20,1.3838627780202006e-20,6.2947935686143485e-20,3.2564950476873576e-27,0.0,0.0,8.2868712171087718e-16,4.7204933730424554e-24,1.2643304763653266e-29,1.3862239407121597e-29,5.7358653255998647e-31,1.797752539764391e-47,7.0928223146172958e-31,2.2845326396338564e-24,7.4284187398532472e-16,4.4206755252176214e-24,2.4792320688800961e-55,3.4207522545980511e-50,8.5314445299135216e-32,1.21120454646725e-26,5.7877247858629928e-27,4.7181469543500323e-39,4.2124997535896953e-25,2.340122141177025e-40,8.8807335018782139e-29,2.1008497236808268e-15,4.3258836361708316e-23,2.592156430371355e-20,5.4384797768013287e-12,2.5533172118707597e-31,1.3125056670556098e-40,2.4914968635627729e-34,1.1034996490520517e-34,0.88168480800000004,0.0,0.0094599999867730558,0.10884999999999916,7.7753153444072022e-12,7.7747184025643594e-12,5.4371684777907659e-12,6.2906865149959937e-15,4.9398144287292745e-15,2.4699070619932587e-15,4.7767998842831964e-20,1.0577120084178597e-17,5.5272229286903779e-20,6.296354398262054e-18,2.9980088895202945e-18,1.4823996914513554e-17,2.3363858425257295e-22,2.4036303960601031e-20,3.7966252557363285e-19
6.423528265709431e-13,0.011238088214120274,1.7553385642945734e-14,2.9720111078303057e-20,2.4655439501364672e-20,1.1214106920133578e-19,7.3332859612505218e-27,0.0,0.0,1.1275049403592147e-15,8.4083836009633441e-24,2.8460297281383288e-29,3.1331498895853322e-29,1.579661690499562e-30,6.4400148132943291e-47,1.596586757209596e-30,4.067989324415453e-24,1.322791052267428e-15,9.9509917696500836e-24,1.2985818287981778e-54,1.1218821749129844e-49,2.3495710189975216e-31,2.7263709031265237e-26,1.0310292417031381e-26,1.7505350904666087e-38,9.4822477668996964e-25,7.6504948851714842e-40,1.9990369558948059e-28,3.7409655638465139e-15,9.7376010277365882e-23,4.6160058823730414e-20,7.3966176114268837e-12,7.0318708091239123e-31,4.2907473037890528e-40,6.8616789252829993e-34,3.0638749310918997e-34,0.88168480800000004,0.0,0.009459999982011252,0.10884999999999882,1.0574478984299945e-11,1.057341605583209e-11,7.3942826164386542e-12,8.5553746070132795e-15,6.7181811568050333e-15,3.3590903073774961e-15,8.5013659990623226e-20,1.8833072464738883e-17,9.8360406976875021e-20,1.1211783003373636e-17,5.3386801029674175e-18,2.6395329564243366e-17,5.2591574374708269e-22,4.2777735927939035e-20,6.7629272732765725e-19
8.123901115788748e-13,0.0112380882141738,2.2213614190071674e-14,4.4907464488675331e-20,3.8507751243260024e-20,1.7513110577274611e-19,1.3866186657280245e-26,0.0,0.0,1.4265739334897233e-15,1.3129632236291626e-23,5.3792315494541733e-29,5.9471678866639367e-29,3.557812947812717e-30,1.7021751255397008e-46,3.0176415847548476e-30,6.3500321606473788e-24,2.0649041986777442e-15,1.8808146401969394e-23,4.0409433773898448e-54,2.9759341479184753e-49,5.2918626946250886e-31,5.1529245062028828e-26,1.610086763179116e-26,4.5803678793335378e-38,1.7921910343741959e-24,2.0258906297693688e-39,3.7782818632632061e-28,5.8396412226052724e-15,1.8404795361855746e-22,7.205852690696645e-20,9.354881330739756e-12,1.5837659095798477e-30,1.1361507907675372e-39,1.5454484682073829e-33,6.7987997094310729e-34,0.88168480800000004,0.0,0.0094599999772494482,0.10884999999999848,1.3373637085902208e-11,1.3371977920668606e-11,9.3512364454538509e-12,1.0820058500443168e-14,8.4965453062101864e-15,4.2482722305094766e-15,1.3263315150333762e-19,2.9396006914153988e-17,1.5344228302867306e-19,1.7501444944212237e-17,8.3339083935573014e-18,4.1200487473002044e-17,9.9400686668597529e-22,6.6738985321791637e-20,1.0560553558490801e-18
9.824273965868064e-13,0.011238088214227343,2.687918576219001e-14,6.2962616199542486e-20,5.523127253881088e-20,2.5116847387450548e-19,2.3185802809048958e-26,0.0,0.0,1.7258802073137118e-15,1.8827758930118526e-23,8.9912463617520214e-29,9.9798742971897951e-29,6.8379130465621869e-30,3.8579017490637436e-46,5.0438482057003148e-30,9.103006321778337e-24,2.9601980784636613e-15,3.1437249291585306e-23,1.1873446518384785e-53,6.5176784077510753e-49,1.017067814713686e-30,8.612758484039185e-26,2.3090415439670505e-26,1.0562501159247353e-37,2.9955506405833632e-24,4.4253137175352603e-39,6.3152024699485357e-28,8.3714582937295822e-15,3.0763019724512017e-22,1.0330375935168238e-19,1.1313263955482661e-11,3.0439144423905858e-30,2.4816645822076708e-39,2.9702971209067592e-33,1.3134394033306131e-33,0.88168480800000004,0.0,0.0094599999724876444,0.10884999999999814,1.6172789945004256e-11,1.6170411525127375e-11,1.1308038856929755e-11,1.308473845555241e-14,1.027490704262062e-14,5.1374529161423031e-15,1.9003746087696614e-19,4.2137586281387638e-17,2.1983425746856938e-19,2.5089140111576886e-17,1.1947456659271143e-17,5.9059721054455032e-17,1.6614296226534875e-21,9.562363150321527e-20,1.5144121184808522e-18
1e-12,0.011238088214334434,2.7361583583329951e-14,6.4953004539127863e-20,5.708422183318223e-20,2.5959286540146932e-19,2.4295373446569983e-26,0.0,0.0,1.7568224751397991e-15,1.9459013911361788e-23,9.4211688402598514e-29,1.0461193413595754e-28,7.2583122885620226e-30,4.1819696486741032e-46,5.285016711459172e-30,9.4079217672043972e-24,3.059361433387324e-15,3.2940433873828764e-23,1.3462308773265649e-53,7.0093729824166719e-49,1.0795980219115295e-30,9.0245600523202164e-26,2.3864782774555338e-26,1.1488013149308388e-37,3.1387796187510992e-24,4.7569679831182761e-39,6.6171579549200391e-28,8.6518814046667451e-15,3.2233961507994055e-22,1.0676455724228965e-19,1.1515659314721386e-11,3.2310570135922738e-30,2.6676379077044724e-39,3.1529168494021568e-33,1.3975858832700411e-33,0.88168480800000004,0.0,0.0094599999719955346,0.10884999999999811,1.6462069818813728e-11,1.645961173661396e-11,1.1510259193553845e-11,1.3318782970805353e-14,1.0458692780840516e-14,5.2293457650456384e-15,1.9639322003803567e-19,4.3548762726629398e-17,2.2718469043039432e-19,2.5929546233918274e-17,1.234769947734027e-17,6.1037720889055059e-17,1.7408691437619918e-21,9.882170873089333e-20,1.5651911215663624e-18
1.3225019666026698e-12,0.011238088214334434,3.6222514445470824e-14,1.0562238147171837e-19,9.5237200350834027e-20,4.3303985708559478e-19,4.9530095875430907e-26,0.0,0.0,2.3250339263408607e-15,3.2453964658709078e-23,1.9195476765019365e-28,2.1442236203217215e-28,1.7682159120885869e-29,1.3498831617920964e-45,1.0767933684972233e-29,1.5682800597419773e-23,5.1001107561673365e-15,6.7115324714640981e-23,6.8550587870628272e-53,2.0213923876397937e-48,2.630044104008172e-30,1.838667203368399e-25,3.9807225806713536e-26,3.8695983719166522e-37,6.3950480153343431e-24,1.3627605391490541e-38,1.3482038168446634e-27,1.4422814550565105e-14,6.5675773213605216e-22,1.7798834499620672e-19,1.5230300349290314e-11,7.8712866901755518e-30,7.6416264959673702e-39,7.6810402873066418e-33,3.5630143802063481e-33,0.88168480800000004,0.0,0.0094599999629640386,0.10884999999999745,2.1771083676020546e-11,2.1766986256479625e-11,1.5221298409332074e-11,1.7614089464378887e-14,1.3831625078535412e-14,6.9158114985202709e-15,3.2711875538993684e-19,7.2587533308913713e-17,3.7835526652948358e-19,4.3224452404793994e-17,2.0584682464456178e-17,1.017411755671214e-16,3.5469038834914975e-21,1.6459966449598784e-19,2.6105508461141744e-18
