Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259)
1e-12,0.0018986235914028172,2.2108204607519982e-25,5.7653465197846078e-32,5.6201623993612733e-32,5.7316931561622598e-31,2.2166609798122028e-38,0.0,0.0,7.3231885506151434e-22,3.4802585369129298e-31,5.671302007706795e-47,6.704062384961229e-48,1.777086333465817e-49,2.1984406336375072e-80,3.225164601333195e-54,1.0267384844144823e-43,6.8501937817429723e-28,9.3376980679545861e-37,3.9099041181603232e-86,2.9482501044855299e-84,1.3804130420755924e-51,3.515072234384349e-47,2.182264787990434e-44,5.4505598311443439e-61,3.118027046040384e-39,1.6787096264302705e-60,9.7017457152564089e-46,1.2536233147968143e-26,9.452457555792031e-36,3.462411031663852e-30,4.0286332875543362e-21,6.3443831708090134e-47,1.324853294620199e-62,2.3088434866323077e-50,3.9963038795572153e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.4074100360597904e-21,4.4073527720927958e-21,4.0286127228481092e-21,3.2407261978126578e-22,2.7215471161493331e-22,1.3607772653310564e-22,8.3096114975009672e-26,1.5395705420761312e-25,9.9218197705183576e-26,1.1342944183337924e-25,1.2419579010219677e-25,1.6931238401064662e-25,1.7688250304671207e-32,4.1176400479865158e-26,4.860996104679534e-28,3.6803356656869857e-28,3.1044493599334374e-28,2.5319597361287888e-29,1.2148835221970513e-31
1.023e-12,0.0018986235914028172,2.2616561422611302e-25,5.9647094810794081e-32,5.8161887092691385e-32,5.9316089985820911e-31,2.3073723570304308e-38,0.0,0.0,7.4915751187508101e-22,3.6016459034690928e-31,5.9032973726391271e-47,6.9784538800535503e-48,1.8552236750267746e-49,2.2984695678704227e-80,3.3571435551397669e-54,1.0625536943090458e-43,7.089117659048253e-28,9.7198171887430253e-37,4.0922351380645398e-86,3.0825292723910461e-84,1.4411085161869975e-51,3.6589096056193338e-47,2.2582986475325677e-44,5.6985708761969696e-61,3.2456235421787366e-39,1.7550909286091594e-60,1.0098758332969913e-45,1.297347918641549e-26,9.839272886739228e-36,3.5831750186183697e-30,4.1212637910763086e-21,6.6233424610135834e-47,1.3851340724454663e-62,2.4103624171525538e-50,4.1717024217823735e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.5087501637276737e-21,4.5086909024842702e-21,4.1212425091067521e-21,3.3152298196769587e-22,2.7841149384121798e-22,1.3920613057549358e-22,8.599426861399068e-26,1.5932685350574147e-25,1.0267864220205245e-25,1.1738570432387413e-25,1.2852756308599365e-25,1.7521775442839531e-25,1.8412092355630174e-32,4.2612515569811927e-26,5.0305374751504607e-28,3.8087000224567938e-28,3.2127277031900377e-28,2.6202673102942591e-29,1.2645989109674079e-31
2.047e-12,0.0018986235914028172,4.5251235889802093e-25,2.3574952379281334e-31,2.3278375188203353e-31,2.3739939238250676e-30,1.8471343107692388e-37,0.0,0.0,1.4988613367455898e-21,1.4414340307197266e-30,4.7016871123978279e-46,5.5986058668247135e-47,2.9692726239535262e-48,7.3512408203184881e-79,2.6867066710200055e-53,4.2550705562301598e-43,2.8369733619709328e-27,7.7802077777184503e-36,5.1195611219580004e-84,1.0452713568613901e-82,2.3060491780042559e-50,2.9268196108556856e-46,8.9826949453667154e-44,1.8258695843516148e-59,2.5979469089129598e-38,5.619069339934093e-59,8.082397432579627e-45,5.1919664212593653e-26,7.8758257859767704e-35,1.4339810736212481e-29,8.2451262765055377e-21,1.0601540532023808e-45,4.4343674010333884e-61,3.8583906798253159e-49,6.5920511564867064e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.0204125954461055e-21,9.0201754394596069e-21,8.24504110946999e-21,6.6307199202481429e-22,5.568451869308064e-22,2.7842412806150826e-22,3.4406432877441459e-25,6.3762053371828718e-25,4.1081803107169752e-25,4.6977880213475336e-25,5.1436526814314306e-25,7.0121497632884805e-25,1.4737917712740633e-31,1.7049371155726641e-25,2.0129872075125639e-27,1.5241991405373639e-27,1.2856977474597336e-27,1.0483794359010875e-28,1.01215949145182e-30
4.095e-12,0.0018986235914028172,9.0527561170571867e-25,9.3737857158025892e-31,9.3149144083246706e-31,9.4993007730935064e-30,1.4783260893812579e-36,0.0,0.0,2.998339135086471e-21,5.7674012154613119e-30,3.7249664081390943e-45,4.4999898274494094e-46,4.7490761031331547e-47,2.3464349732560651e-77,2.1489741511283654e-52,1.7045279426074709e-42,1.1349566928593409e-26,6.2254049254503236e-35,6.4719507031569449e-82,3.717601619645411e-81,3.6869232499366206e-49,2.3388119066916166e-45,3.5505634911526602e-43,5.8466438093833926e-58,2.078761848372336e-37,1.7980459910931058e-57,6.4653923848066415e-44,2.0772108646506813e-25,6.3019144583915111e-34,5.7370956951272891e-29,1.6492016820167091e-20,1.6959141870311609e-44,1.41879049749054e-59,6.1731273902307438e-48,1.0481282641619847e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.804303233090766e-20,1.8042083565947302e-20,1.6491676107062543e-20,1.3255543141691314e-21,1.1131965312938939e-21,5.5660439901236902e-22,1.3758715618077301e-24,2.5509785335179303e-24,1.6428057675254416e-24,1.8795232706619346e-24,2.0578809164384698e-24,2.8054026852104596e-24,1.1792674329285214e-30,6.8178699020203768e-25,8.0517857114028683e-27,6.0977483098904753e-27,5.1435943083765839e-27,4.1923954891717927e-28,8.0975103543363688e-30
8.191e-12,0.0018986235914028172,1.8110808916824093e-24,3.7387642275894698e-30,3.727352473780031e-30,3.8008866070603768e-29,1.1831078955763136e-35,0.0,0.0,5.9975752698587498e-21,2.3073858314622635e-29,2.922320141070358e-44,3.6316874229468415e-45,7.5891689480015301e-46,7.465171688386647e-76,1.7177657006131319e-51,6.8347245037188666e-42,4.5393812259634061e-26,4.9800202631040325e-34,8.2190853035161101e-80,1.4264882072780744e-79,5.8873977889088351e-48,1.8659798751771972e-44,1.386796213953131e-42,1.8716339935668389e-56,1.6628931916050633e-36,5.7504642988100891e-56,5.1691014461730112e-43,8.3089717929222092e-25,5.0412240017694406e-33,2.2948733445251742e-28,3.2982460873692272e-20,2.711066946004468e-43,4.5364987288565807e-58,9.8711963224773213e-47,1.6717945827019677e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.6085451730254649e-20,3.6081657034085093e-20,3.2981098197289873e-20,2.6480608661338385e-21,2.2238389663129718e-21,1.1119439669224498e-21,5.4982437726643652e-24,1.0203874364820546e-23,6.5649175154046234e-24,7.518402390857768e-24,8.2316467722957583e-24,1.122154197925565e-23,9.4335541401553062e-30,2.7245764564063106e-24,3.2193197764443639e-26,2.4389022649257671e-26,2.0572719000949155e-26,1.6754032565130736e-27,6.47541369951189e-29
1e-11,0.0018986235914028172,2.2113758958350817e-24,6.2117239939371351e-30,6.1984339439826443e-30,6.3202806823680044e-29,3.0130275464871296e-35,0.0,0.0,7.3224367804368453e-21,3.8363238055574172e-29,7.2474944343843538e-44,9.3531115285531339e-45,3.2654984577562504e-45,5.7945130950699439e-75,4.3673701206659208e-51,1.1388402331974993e-41,7.5450373455320354e-26,1.2674931182812434e-33,2.3706931529347271e-78,1.4503608116535384e-78,2.5301665959602809e-47,4.7318463554822584e-44,2.249991566571279e-42,1.4687832527330733e-55,4.2322709246726355e-36,4.5059125163774265e-55,1.3145957986279964e-42,1.3812248570892281e-24,1.2830703729723132e-32,3.8148348913727695e-28,4.0262525518915356e-20,1.1671911216462566e-42,3.5532136501934511e-57,4.2518814776546631e-46,7.2007137962420953e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.4051403112017461e-20,4.404509582245387e-20,4.0260260649736516e-20,3.2299834371608704e-21,2.7125416954047037e-21,1.3563114597304455e-21,9.1305108821980621e-24,1.6961852427810217e-23,1.0901773158542711e-23,1.2498402909859187e-23,1.3683701781703939e-23,1.8653472317866027e-23,2.4009836515157955e-29,4.5245409743786743e-24,5.3490271967359644e-26,4.0538457150949618e-26,3.4195157180176044e-26,2.7822883456899285e-27,1.647319788047105e-28
1.6383e-11,0.0018986235914028172,3.6238043156838973e-24,1.4937485292221899e-29,1.49175677329839e-29,1.5209883989547979e-28,9.4698418813482283e-35,0.0,0.0,1.1997169241476079e-20,9.2311336942524779e-29,2.2508736841362362e-43,2.9540977789517723e-44,1.2109893215273529e-44,2.3606209058107115e-74,1.371641656245528e-50,2.7455912325208186e-41,1.8150401088598124e-25,3.9826184029964825e-33,1.0445602041966749e-77,6.0645817282256433e-78,9.3804304839392487e-47,1.4843966722418234e-43,5.2957494083411155e-42,5.9909388768908881e-55,1.3298240007132728e-35,1.8375850730919513e-54,4.1292047149078561e-42,3.3230388799628025e-24,4.0315639663127426e-32,9.1779717368831056e-28,6.5950006243326027e-20,4.3289970353186713e-42,1.4489927630600098e-56,1.5771491681763247e-45,2.6709332558003625e-49,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.2159013764196572e-20,7.2143840867317239e-20,6.5944558015113473e-20,5.2832790540019663e-21,4.4369140114868042e-21,2.218554525840691e-21,2.1946851932586982e-23,4.0807166952997072e-23,2.6204232843534637e-23,3.0070179202167671e-23,3.292110759986446e-23,4.4876806398214308e-23,7.5441793618331998e-29,1.0875659558246883e-23,1.2863633312668121e-25,9.7521232399318689e-26,8.2261504829709036e-26,6.6878978118125725e-27,5.1750067104938868e-28
3.2767e-11,0.0018986235914028172,7.2536847935304666e-24,5.9746132399186557e-29,5.9729528423022123e-29,6.0884133266532507e-28,7.5829549039629492e-34,0.0,0.0,2.4000840393601165e-20,3.6933629845820678e-28,1.6775137341172473e-42,2.4372696372972287e-43,1.9269450930006812e-43,7.3774609898505288e-73,1.0930942047185024e-49,1.1060351564654021e-40,7.2537602154272137e-25,3.1834978092904418e-32,1.323883037971623e-75,2.8813658745552591e-76,1.4882565027005092e-45,1.1741747772084193e-42,1.9406917919175006e-41,1.9177418403427861e-53,1.0629540142299509e-34,5.8631849808325446e-53,3.2933023203039498e-41,1.3286455801394486e-23,3.2226219467070537e-31,3.6696120413400978e-27,1.3183176918086643e-19,6.8978213180082242e-41,4.6190682019784565e-55,2.5159823681842297e-44,4.271075628158984e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.442610589287226e-19,1.442004203511992e-19,1.318099982031134e-19,1.0514833117373396e-20,8.8304724404826533e-21,4.4156229726102695e-21,8.7412065511698548e-23,1.6314606305221753e-22,1.0436587868399328e-22,1.2024148750384776e-22,1.3162770514615164e-22,1.7941478188046964e-22,6.0303984609834602e-28,4.3318297991622831e-23,5.134096773080135e-25,3.8976886856962669e-25,3.2877968235049729e-25,2.6639916227678192e-26,4.1310609558526992e-27
6.5535e-11,0.0018986235914028172,1.4531038308471803e-23,2.3922574038439203e-28,2.3937800396278536e-28,2.4387919986950951e-27,6.0772908558401339e-33,0.0,0.0,4.80260867847525e-20,1.4779995472100096e-27,1.1849989114680703e-41,2.0583228624231365e-42,3.0494409441697487e-42,2.2542766161103813e-71,8.6773913909163695e-49,4.4686115214635871e-40,2.8962602728124057e-24,2.5425121964653908e-31,1.6654112523831423e-73,1.5008829207581573e-74,2.3418349543123605e-44,9.1859896158474014e-42,6.6334018494424686e-41,6.1401305607262406e-52,8.4887133003547997e-34,1.8652487478449386e-51,2.618519637954246e-40,5.3097679899365388e-23,2.5737581969456451e-30,1.466513173898959e-26,2.6338232848509658e-19,1.0945354861597766e-39,1.4667719269298298e-53,4.0016500669693509e-43,6.8340795119630903e-47,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.882850586213761e-19,2.8804293945338698e-19,2.6329542393761967e-19,2.0824754973886191e-20,1.7489174102848637e-20,8.7461078360378568e-21,3.4666445358086796e-22,6.5189242595489208e-22,4.1387824974886524e-22,4.8062884866661008e-22,5.2603179676195705e-22,7.16885515697588e-22,4.8161586931448336e-27,1.7180753541482001e-22,2.0445566645060833e-24,1.5564880421385483e-24,1.3129384349880824e-24,1.0567177464861944e-25,3.2905040011459725e-26
9.999999999999999e-11,0.0018986235914028172,2.2221689290153953e-23,6.1793296999869369e-28,6.189423899751714e-28,6.3005404579036749e-27,2.8539640535711968e-32,0.0,0.0,7.3333102625931332e-20,3.8124835484773992e-27,4.6603896852975212e-41,1.0430390952151995e-41,2.6555211892173418e-41,3.5812422835475278e-70,4.0063925507335575e-48,1.1613750198258435e-39,7.4435845952246865e-24,1.1866035752018166e-30,1.0929079779745097e-71,4.40379126707968e-73,2.0187539106599061e-43,4.1359490010534542e-41,1.3896207309962728e-40,1.0634605602926927e-50,3.9612165901585438e-33,3.1909257400202177e-50,1.2124106360033863e-39,1.3666420633558683e-22,1.2011857122014308e-29,3.7745418328477823e-26,4.0129912541114606e-19,9.5781428454531116e-39,2.500349552286122e-52,3.5170880735234274e-42,6.0782404140721891e-46,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.3938993054865626e-19,4.3876766026257872e-19,4.0107586885902293e-19,3.1355936093306494e-20,2.6334132138400812e-20,1.3170879624282734e-20,8.8131609448822774e-22,1.6774362603690663e-21,1.0521000232323616e-21,1.2374683947049678e-21,1.3539057335060321e-21,1.8446213929230108e-21,2.2476916302604566e-26,4.3683451666795255e-22,5.2327562236685298e-24,4.001310782591852e-24,3.3752210337465199e-24,2.6873555275038761e-25,1.5285160482147978e-25
