Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41)
1e-12,0.0018711691619915554,6.916600131356564e-24,3.1530230698945038e-30,3.0588026313937399e-30,2.1555843748932821e-44,1.5940907436120438e-36,0.0,0.0,6.3988354766593194e-21,5.7601829041483536e-30,1.7781795431869036e-44,4.3263695206906262e-45,4.8552887099838097e-47,1.7186203023211871e-75,7.9426544360157061e-51,6.3052294764876833e-41,3.9493568758373542e-26,9.0835813872118465e-35,1.3392558248573968e-81,1.5431503172970074e-79,7.3448259792225024e-49,1.8961037853398415e-44,5.9373717531676584e-42,5.5710640908322278e-58,4.9480964719846239e-37,1.5719555413708503e-57,2.047488186077355e-43,3.141091553223506e-25,8.9550218600364743e-34,1.1369143288571687e-28,7.8138840151836134e-20,2.3844324495512958e-44,5.9068445487603713e-65,5.2547236395186562e-48,4.3025194006066934e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.8881005483128266e-20,8.8879799912903244e-20,7.8138272056213211e-20,2.8443127241553119e-21,2.3728113769561028e-21,1.1867782882521833e-21,7.4519955010649407e-25,3.0517945187192955e-24,8.9548668207598821e-25,2.2688888898511165e-24,2.3399408679795611e-24,3.4484685440503496e-24,9.8934571143158091e-31
1.023e-12,0.0018711691619915554,7.0756347384259748e-24,3.2618753573201244e-30,3.1654900597059246e-30,2.2437960236412233e-44,1.6593247470710095e-36,0.0,0.0,6.545969142332249e-21,5.9610918976703248e-30,1.8509222607939826e-44,4.503435181126542e-45,5.068772109880136e-47,1.7968172748285989e-75,8.2676802434087889e-51,6.5251544464216256e-41,4.0871044038349929e-26,9.455301749538437e-35,1.4017118246845611e-81,1.613437660633788e-79,7.6677700724498318e-49,1.9736925976449019e-44,6.1442376797281864e-42,5.8245582680842362e-58,5.1505835209749795e-37,1.6434795332169614e-57,2.1312750369248045e-43,3.2506483855052198e-25,9.3214812797417822e-34,1.1765682950973294e-28,7.9935490227148956e-20,2.4892746323057172e-44,6.1753155982911293e-65,5.4857717593928164e-48,4.4912920277060336e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.0924657657205663e-20,9.0923410038610789e-20,7.9934902317287522e-20,2.9097025899591309e-21,2.4273615952473197e-21,1.214066392563755e-21,7.7118988210790243e-25,3.1582366668245127e-24,9.2671855640536406e-25,2.3480246036218178e-24,2.4215546976062782e-24,3.5687461170464992e-24,1.0298319370318479e-30
2.047e-12,0.0018711691619915554,1.4155902308528065e-23,1.28610282318026e-29,1.2668745280521457e-29,1.7961301807783415e-43,1.3282875148036244e-35,0.0,0.0,1.3096940992420417e-20,2.3857563504238611e-29,1.4749613771651862e-43,3.610540474026551e-44,8.1119692013749778e-46,5.7460915772591435e-74,6.6164597909523406e-50,2.6118661431547428e-40,1.6356225325877061e-25,7.5685466842987931e-34,1.7574793724410522e-79,5.4884066559527847e-78,1.2268745296599565e-47,1.5787642102589613e-43,2.4437996284462707e-41,1.8662230857608828e-56,4.1227931942921454e-36,5.2617424750827161e-56,1.7057377955146454e-42,1.3009053344261716e-24,7.4614291811865506e-33,4.7086126067149176e-28,1.5992156568928573e-19,3.9843110931372373e-43,1.9452722886125848e-63,8.7813667705427876e-47,7.0787524853252651e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.8190807095626309e-19,1.8190307815084524e-19,1.599192129736256e-19,5.8195827006840442e-21,4.8548750996010564e-21,2.4289802910747917e-21,3.0854825636459665e-24,1.2639133299351397e-23,3.7077269280348894e-24,9.3968177149392591e-24,9.6910313491129731e-24,1.4281983937217712e-23,8.2433382870271447e-30
4.095e-12,0.0018711691619915554,2.8315518568809616e-23,5.1069549560986886e-29,5.0689356642636678e-29,1.4373212176271719e-42,1.0629765738288935e-34,0.0,0.0,2.6200185246259318e-20,9.5460676261611505e-29,1.1698117185796732e-42,2.8982019098539668e-43,1.2972537271092734e-44,1.8336400077407683e-72,5.2920014437595726e-49,1.0453548723488961e-39,6.5435838286135527e-25,6.0561539001210486e-33,2.2238339535247432e-77,1.9623880047673593e-76,1.9611650335811246e-46,1.2615475006442109e-42,9.6583446596651128e-41,5.9757808988174634e-55,3.2989215690868178e-35,1.6837089893826876e-54,1.3644827871390785e-41,5.2046912528982515e-24,5.9704409527854566e-32,1.8838333440908293e-27,3.1987807615042667e-19,6.373316254514442e-42,6.1733017192479239e-62,1.4049543550360526e-45,1.1239287333388626e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.6386075598759832e-19,3.6384078184598544e-19,3.1986866408971043e-19,1.1633786913657597e-20,9.7052784763882323e-21,4.8588082360204047e-21,1.2337995773037149e-23,5.056621181326168e-23,1.482605071065589e-23,3.7595425014678043e-23,3.8772098554796498e-23,5.7138941969988167e-23,6.5960944079587416e-29
8.191e-12,0.0018711691619915554,5.6631075524333037e-23,2.0351766767321319e-28,2.0279273318290148e-28,1.1499883251062576e-41,8.5054549026843376e-34,0.0,0.0,5.2411874967895571e-20,3.8193600898076442e-28,9.1971654805747107e-42,2.3329841042195812e-42,2.0724766463383349e-43,5.8308707152744576e-71,4.2297958022191822e-48,4.1844502735813385e-39,2.617279605725197e-24,4.8448059371737609e-32,2.8244032821603738e-75,7.5887612105576573e-75,3.1304780601819995e-45,1.0064434155573636e-41,3.7715351163523336e-40,1.9129243730727674e-53,2.6390251877994459e-34,5.3848203594081801e-53,1.0909137999853915e-40,2.0819140919764565e-23,4.7762367390933735e-31,7.5354778047732773e-27,6.397285475004563e-19,1.0187240514059035e-40,1.9658100926107789e-60,2.246616176010343e-44,1.7911037743461461e-47,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.2770956864153082e-19,7.2762968012184398e-19,6.3969090447194567e-19,2.3240017107042093e-20,1.9387628255825718e-20,9.7184647174057907e-21,4.9301179947666201e-23,2.0226276982911394e-22,5.9242125008774755e-23,1.5038782171252931e-22,1.5509121742864309e-22,2.2855397685333643e-22,5.276731648733831e-28
1e-11,0.0018711691619915554,6.9133405606061795e-23,3.379874569175304e-28,3.3716514779229802e-28,2.9275771254225568e-41,2.1655343745774124e-33,0.0,0.0,6.3992870441619494e-20,6.3505786934983318e-28,2.2876564343490683e-41,5.9882682132368332e-42,8.913520886728173e-43,4.5220135743792721e-70,1.0752993965357699e-47,6.9605432153096545e-39,4.3504377600154574e-24,1.2331417478749771e-31,8.1406943453332972e-74,7.7824932832067859e-74,1.3445314574904884e-44,2.5519810430885042e-41,6.1178158699354022e-40,1.5011180309181222e-52,6.7169039036093939e-34,4.2194397960753972e-52,2.7744102323008068e-40,3.4608367232920737e-23,1.2156887486643744e-30,1.2526496241492523e-26,7.8093540471362398e-19,4.3851484836634949e-40,1.5369241782214981e-59,9.6770660684151576e-44,7.7095266684337521e-47,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.8835359731964943e-19,8.8822081266779835e-19,7.8087283983199235e-19,2.8346403735389285e-20,2.3647604831685276e-20,1.1864734422827828e-20,8.1864016414907537e-23,3.3621817619887363e-22,9.83690264834213e-23,2.500008144472096e-22,2.5781345453333807e-22,3.7992261271036545e-22,1.343073462353558e-27
1.6383e-11,0.0018711691619915554,1.1324748681760113e-22,8.1245990840811964e-28,8.1129401592484473e-28,9.1997436883959835e-41,6.8054315821750919e-33,0.0,0.0,1.0485605126460447e-19,1.5281904479765684e-27,7.1143895986383239e-41,1.8885824027419865e-41,3.3051931824488432e-42,1.8420392716282648e-69,3.3769894946735879e-47,1.675590045524986e-38,1.0465832176176169e-23,3.8747692475919272e-31,3.5868298210042777e-73,3.256510707315146e-73,4.9840893056649563e-44,8.0053622904800279e-41,1.439659422821109e-39,6.1227967285510804e-52,2.1105571589079195e-33,1.7207584286367826e-51,8.7145748135441926e-40,8.3263221603775262e-23,3.8199283131538137e-30,3.0137148912348743e-26,1.2791793901153095e-18,1.6263471950274988e-39,6.2662831873283848e-59,3.5895176440565476e-43,2.8592497001745608e-46,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.4551810351595777e-18,1.4548616081574754e-18,1.2790288892533174e-18,4.6364129467141687e-20,3.8678799128927703e-20,1.9437780044557432e-20,1.9676096786344341e-22,8.0887564378216539e-22,2.3642707629694742e-22,6.0148214812629397e-22,6.2026565986184429e-22,9.1402211667687456e-22,4.2201879448388833e-27
3.2767e-11,0.0018711691619915554,2.2642149615463489e-22,3.2459019924730894e-27,3.2458406306966798e-27,7.3582955320999622e-40,5.4454276141338207e-32,0.0,0.0,2.0982752730274095e-19,6.1157317795364203e-27,5.3473792353216678e-40,1.5448820748607367e-40,5.2535807141356184e-41,5.7457781973804419e-68,2.6903844347007688e-46,6.7122604804427197e-38,4.1832953045603487e-23,3.0977410900984095e-30,4.5371025083910264e-71,1.560380506351577e-71,7.8958235894055391e-43,6.3308589544756634e-40,5.2727319513093775e-39,1.959756809477936e-50,1.6871925161803501e-32,5.4905306163113382e-50,6.9505662629261656e-39,3.3291354929114051e-22,3.0538964254871744e-29,1.2049869569974448e-25,2.5570814600203917e-18,2.5903478804998442e-38,1.9956746687687603e-57,5.7263693513879063e-42,4.5671273068200938e-45,0.88168480800000004,0.0,0.0094599999999999945,0.10885,2.9092198994471011e-18,2.9079433323937211e-18,2.5564800850210949e-18,9.2261857392338966e-20,7.6969400494224836e-20,3.887642014368621e-20,7.8343985429082042e-22,3.2337828384122522e-21,9.4131287266842761e-22,2.4051397266803816e-21,2.4800260740435531e-21,3.654180726395538e-21,3.3738495780440403e-26
6.5535e-11,0.0018711691619915554,4.5253424091848766e-22,1.2970004683781716e-26,1.2988015422450924e-26,5.8829604194853201e-39,4.3578164147397375e-31,0.0,0.0,4.2010246220686287e-19,2.4485460789377288e-26,3.8402870555592372e-39,1.2867038731436133e-39,8.2964769852428073e-40,1.7491616882641629e-66,2.134438301472643e-45,2.6879991153098532e-37,1.6708099603153086e-22,2.4747374147549819e-29,5.6842432723135225e-69,8.1689086434615873e-70,1.2388223244266057e-41,4.9506240959620285e-39,1.8013540167645899e-38,6.2734614970020066e-49,1.3476749330071114e-31,1.7467628880245834e-48,5.526649964691029e-38,1.3304756859275658e-21,2.4397085529436183e-28,4.815724573407472e-25,5.1088934088493425e-18,4.1069531334829768e-37,6.3351566696068081e-56,9.1080979498453973e-41,7.2934090285610894e-44,0.88168480800000004,0.0,0.0094599999999999893,0.10885,5.8136858787143753e-18,5.8085889705454368e-18,5.1064930433829557e-18,1.8267811210399824e-19,1.5240233236655173e-19,7.7753738020733216e-20,3.1051441598757281e-21,1.2920761230095357e-20,3.7303619564927112e-21,9.6137826354009429e-21,9.9113359040741684e-21,1.4600768289763152e-20,2.6952498162446273e-25
9.999999999999999e-11,0.0018711691619915554,6.8986199341515542e-22,3.3394143887973622e-26,3.3497660555779665e-26,2.7498573486934564e-38,2.0411812526405872e-30,0.0,0.0,6.4196339324638365e-19,6.3209056712791264e-26,1.5511116226434098e-38,6.405427929789989e-39,7.197777739004213e-39,2.759689093688756e-65,9.8443061742956398e-45,6.9182158257204946e-37,4.296213321273106e-22,1.1555605133471405e-28,3.7002532860598555e-67,2.3962432202535796e-68,1.062219259078997e-40,2.2273062212744183e-38,3.7757381809978086e-38,1.0861849840954901e-47,6.2912164913219517e-31,2.988447965879893e-47,2.5590991741639894e-37,3.4245301257049427e-21,1.1392023330965014e-27,1.2395437501064389e-24,7.7844878552892957e-18,3.5884746600710968e-36,1.080089485857428e-54,8.0057757290523553e-40,6.4636081392201121e-43,0.88168480800000004,0.0,0.0094599999999999823,0.10885,8.86099070252875e-18,8.847891979114063e-18,7.7783221065475595e-18,2.7496841643616042e-19,2.2940248933770106e-19,1.1864452611463861e-19,7.8865651274732939e-21,3.324468782400489e-20,9.4724688869891706e-21,2.4752332036674026e-20,2.551096895708181e-20,3.7568477267673486e-20,1.2584714502271736e-24
1.31071e-10,0.0018711691619915554,9.0381848834694045e-22,5.1806980946248599e-26,5.1987583200133582e-26,4.698555197579908e-38,3.4884863830209112e-30,0.0,0.0,8.4197618849747744e-19,9.8119280096989631e-26,2.6032640473300569e-38,1.1020076853743555e-38,1.2938795249166755e-38,5.0899220705753883e-65,1.6794931581998627e-44,1.0731854688600781e-36,6.6630755823588385e-22,1.9742218825281592e-28,6.9848730053120033e-67,4.4828676651074615e-68,1.9081519372921878e-40,3.7889643519186618e-38,5.5556914775853726e-38,2.0088493223835356e-47,1.0747934313994242e-30,5.5251286500079366e-47,4.367946304155512e-37,5.3123689621570792e-21,1.9462743553448778e-27,1.9228725195108439e-24,1.0196598548611096e-17,6.4533167341179312e-36,1.9967023942068443e-54,1.4402052721288571e-39,1.1633183572299062e-42,0.88168480800000004,0.0,0.0094599999999999771,0.10885,1.1608206956140717e-17,1.1587894409963789e-17,1.0187038219171598e-17,3.5817027472441265e-19,2.9881992375669367e-19,1.5550852370250269e-19,1.2197127462718443e-20,5.1567180880710636e-20,1.464911198687182e-20,3.840008681534677e-20,3.9574401383891636e-20,5.8274401702684423e-20,2.1500297187881731e-24
2.62143e-10,0.0018711691619915554,1.8026211702922872e-21,2.0671508979258745e-25,2.0822518442236654e-25,3.7439262278101624e-37,2.7942402824792798e-29,0.0,0.0,1.6909866715751233e-18,3.9388490487666873e-25,1.6968577727825532e-37,9.791273497366655e-38,1.9710312611403316e-37,1.3689562409934651e-63,1.3004651711286788e-43,4.2475214144015383e-36,2.649169975641046e-21,1.5705015286867649e-27,8.2775812035490417e-65,2.4571221533479008e-66,2.8416188159205474e-39,2.7875607593490816e-37,1.5157082289197643e-37,6.4370430773862934e-46,8.5450278689398947e-30,1.7279498106589328e-45,3.411501807773446e-36,2.1173342783094377e-20,1.5482639855094085e-26,7.6641941233298549e-24,2.0308731356132916e-17,9.9647449761062104e-35,6.2032800091477584e-53,2.2512388397615477e-38,1.8504260073871126e-41,0.88168480800000004,0.0,0.0094599999999999546,0.10885,2.3139893092533085e-17,2.3059239909264279e-17,2.0270816710634241e-17,6.8911736835424183e-19,5.7494968866013198e-19,3.1101868872702008e-19,4.7087718314090553e-20,2.0534510685873267e-19,5.6525060998648562e-20,1.5315987576644886e-19,1.5773096732683848e-19,2.3207173595127852e-19,1.710188802074517e-23
5.24287e-10,0.0018711691619915554,3.5851615659496141e-21,8.2289976482429655e-25,8.3498858948529331e-25,2.9698836835019564e-36,2.2406412799971947e-28,0.0,0.0,3.409803807366835e-18,1.5866828913601177e-24,1.1744705542073507e-36,9.0191241059119128e-37,2.8789626343775329e-36,3.2492571068300138e-62,9.7657715785985686e-43,1.6543493423524311e-35,1.0469775153998483e-20,1.2423663150698649e-26,9.2097073632965302e-63,1.2822682387718402e-64,3.9960955130062287e-38,1.9168287843050816e-36,3.699203269296607e-37,2.0658095722071519e-44,6.7517620233656209e-29,5.2874724034583143e-44,2.6043661814757675e-35,8.4090087255919141e-20,1.2247668288584761e-25,3.0440389858996966e-23,4.0283028231608427e-17,1.4885807846288264e-33,1.8744225432507698e-51,3.4418516844983053e-37,2.9267044829204432e-40,0.88168480800000004,0.0,0.0094599999999999095,0.10885,4.5976118789733962e-17,4.5658210148311663e-17,4.013393899768869e-17,1.2802192192222805e-18,1.068086392682026e-18,6.2204134857848301e-19,1.75996526135939e-19,8.1407848240365581e-19,2.1107414016718525e-19,6.0913997861919341e-19,6.2643192233984822e-19,9.2017477462911966e-19,1.3526010378248326e-22
