Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17)
1e-12,0.23068266396716416,89.099999999999994,0.0,0.0,0.0,0.99999999999992362,11.0,3.233073106290476e-14,4.684766973333824e-16,3.2330235466211539e-14,3.1164896433919629e-14,3.1165087798147984e-14,1.2392248388971924e-14,1.2394048813206276e-14,2.1029951907494677e-16,1.7203359716163816e-16,8.6016798580814062e-17,5.097410079564134e-20,7.0351676335330918e-19,4.1701017556402448e-20,2.0850508778200168e-20,4.0191127078806267e-19,2.6840561681193735e-19,2.6709924713793048e-19,2.2038674032313602e-18,4.6068516059797864e-22,8.2302974991977644e-19
1.023e-12,0.23068266396716416,89.099999999999994,0.0,0.0,0.0,0.99999999999992184,11.0,3.3074732337897548e-14,4.7925753924006926e-16,3.3074219448349849e-14,3.1882065451757567e-14,3.188226349315988e-14,1.2677394068246449e-14,1.2679257312526056e-14,2.1513837042156838e-16,1.7599197518818515e-16,8.7995987594087374e-17,5.2752594682244581e-20,7.2806442704170354e-19,4.3155985005275811e-20,2.1577992502636807e-20,4.1593516141346004e-19,2.7777111086785734e-19,2.7641913831233605e-19,2.2807619409702544e-18,4.7954048948947077e-22,8.5174767352065597e-19
2.047e-12,0.2306826639671643,89.099999999999994,0.0,0.0,0.0,0.99999999999984357,11.0,6.6198921660696349e-14,9.5925999646889602e-16,6.6196867832340647e-14,6.3811135118336468e-14,6.3811928093064434e-14,2.5368995392261276e-14,2.5376455129260131e-14,4.3049323841988896e-16,3.5216104098972629e-16,1.7608052049480802e-16,2.1114358236492831e-19,2.9153798788022586e-18,1.7274174230679061e-19,8.6370871153373892e-20,1.665582648160846e-18,1.1123259237309983e-18,1.1068984252889678e-18,9.1296896516218437e-18,3.8389234397762598e-21,3.4107248940205025e-18
4.095e-12,0.2306826639671647,89.099999999999994,0.0,0.0,0.0,0.99999999999968714,10.999999999999998,1.3244713489006119e-13,1.9193474205701685e-15,1.3243891523863516e-13,1.2766710552330042e-13,1.276702785574117e-13,5.0737886342016163e-14,5.0767729149175806e-14,8.6088668132741514e-16,7.042403393398397e-16,3.5212016966909603e-16,8.4421864542858713e-19,1.1666873734334593e-17,6.9074651116809714e-19,3.45373255583421e-19,6.6658564090909981e-18,4.4517491754858315e-18,4.4299186688855888e-18,3.6510436757937518e-17,3.0692679593433032e-20,1.3649817032328057e-17
8.191e-12,0.2306826639671654,89.099999999999994,0.0,0.0,0.0,0.99999999999937417,10.999999999999996,2.6494289971836998e-13,3.8398523444033339e-15,2.6491001406259359e-13,2.5537037145184579e-13,2.5538306199552107e-13,1.0141849488484468e-13,1.0153779663213332e-13,1.7204127342312191e-15,1.4073667856319934e-15,7.0368339280297752e-16,3.3712016610328165e-18,4.6671074864241124e-17,2.758906478190691e-18,1.3794532390755766e-18,2.6669205918207746e-17,1.781158385267463e-17,1.7723370539639289e-17,1.458527425190461e-16,2.45002428410199e-19,5.4608687012567811e-17
1e-11,0.23068266396716683,89.099999999999994,0.0,0.0,0.0,0.99999999999923594,10.999999999999996,3.2345912165276904e-13,4.6883357157321836e-15,3.2340444981313418e-13,3.117629076722441e-13,3.1178399787653033e-13,1.237512335287433e-13,1.2394940309114777e-13,2.0989166701871939e-15,1.7169967439943718e-15,8.5849837194146177e-16,5.5933256826845949e-18,7.7578518317162514e-17,4.5784215118576862e-18,2.2892107557752694e-18,4.433720973868972e-17,2.9612811669020807e-17,2.9464617125781997e-17,2.4209046378739523e-16,6.2161654974148327e-19,9.0781977880224578e-17
1.6383e-11,0.23068266396716683,89.099999999999994,0.0,0.0,0.0,0.99999999999874833,10.999999999999993,5.2993178312721275e-13,7.6821827910179998e-15,5.2980023941827532e-13,5.1074221043332879e-13,5.1079293857773633e-13,2.0255160432144925e-13,2.0302805650623306e-13,3.4344559864984083e-15,2.8095163814886005e-15,1.404758190537893e-15,1.3434020890093819e-17,1.866344672171056e-16,1.0998523479738516e-17,5.499261739243559e-18,1.0667820939935104e-16,7.1253075434492113e-17,7.0893238993857651e-17,5.8166225751645658e-16,1.9504877141735372e-18,2.1841830491629586e-16
2.4575e-11,0.23068266396716824,89.099999999999994,0.0,0.0,0.0,0.9999999999981225,10.999999999999989,7.9491802056001999e-13,1.1525834132983522e-14,7.9463850414135312e-13,7.6607936318790816e-13,7.6618710459235503e-13,3.0345719017935634e-13,3.0446848838122831e-13,5.1435246274971632e-15,4.2075878305507146e-15,2.103793914518691e-15,2.8471450664569541e-17,3.9650302957276391e-16,2.3316287995163626e-17,1.1658143994736623e-17,2.2668061567070463e-16,1.5141425895244552e-16,1.5063939287747756e-16,1.2334059796400905e-15,5.5613005241614694e-18,4.6408899154718806e-16
3.2767e-11,0.23068266396716966,89.099999999999994,0.0,0.0,0.0,0.99999999999749667,10.999999999999986,1.0599016122863694e-12,1.5370806666679085e-14,1.0594248198888034e-12,1.0213818363630698e-12,1.0215655398236849e-12,4.041358348279239e-13,4.0585913930689967e-13,6.8476526652802739e-15,5.6016061287287647e-15,2.8008030624521942e-15,4.8449482427881163e-17,6.7622698529380404e-16,3.9687204616672076e-17,1.9843602299885979e-17,3.866675248726375e-16,2.5829300429097345e-16,2.5695515444505994e-16,2.0999008068324698e-15,1.1699953409170467e-17,7.9158999318647713e-16
4.9151e-11,0.2306826639671725,89.099999999999994,0.0,0.0,0.0,0.99999999999624489,10.999999999999975,1.5898625872557866e-12,2.306385340946017e-14,1.5888755664684695e-12,1.531905412479737e-12,1.5322854286172537e-12,6.0496230689924095e-13,6.0852375410030114e-13,1.0244418031774026e-14,8.380207167387782e-15,4.1901035770471202e-15,9.9896250109371944e-17,1.3994669890214082e-15,8.186460045846801e-17,4.093230019247456e-17,8.0045492299856633e-16,5.3474836977394753e-16,5.3192321148917532e-16,4.3332576385783316e-15,3.1817908892376931e-17,1.6385475531943718e-15
6.5535e-11,0.23068266396717535,89.099999999999994,0.0,0.0,0.0,0.99999999999499312,10.999999999999966,2.1198138352271369e-12,3.0761761107156156e-14,2.1181353749339139e-12,2.0423015146178029e-12,2.042947302612061e-12,8.0495904848435278e-13,8.1100569681385562e-13,1.3623294186868626e-14,1.114410875644735e-14,5.5720543616977315e-15,1.6923221874201947e-16,2.3791773183449125e-15,1.3874145631649722e-16,6.9370728051659859e-17,1.3612056934518958e-15,9.0943604654683531e-16,9.0454174184610253e-16,7.3466116651615652e-15,6.6317684924209655e-17,2.7861696937499443e-15
8.1919e-11,0.23068266396717815,89.099999999999994,0.0,0.0,0.0,0.99999999999374134,10.999999999999954,2.6497546631685747e-12,3.8464878951354627e-14,2.6471906847060155e-12,2.552561081898637e-12,2.5535468840582388e-12,1.0040706479616656e-12,1.0132922329699027e-12,1.6983225475760334e-14,1.3892424607062236e-14,6.9462122686460923e-15,2.5751303633273274e-16,3.6333455391565868e-15,2.1120406781673672e-16,1.0560203365082718e-16,2.0793577725071663e-15,1.3893583941685196e-15,1.3817411786582738e-15,1.1187936548057518e-14,1.2025647208713e-16,4.2557281294894522e-15
9.999999999999999e-11,0.23068266396718387,89.099999999999994,0.0,0.0,0.0,0.99999999999236,10.999999999999941,3.2345726485524621e-12,4.6972039399215165e-14,3.2308016429099398e-12,3.1155099490984926e-12,3.1169584984373936e-12,1.2227666530272077e-12,1.2363001894948551e-12,2.0669286665506815e-14,1.6907352959389997e-14,8.4536764036057479e-15,3.7681820380355567e-16,5.3417904219559849e-15,3.0922103240836891e-16,1.5461051549064463e-16,3.058263532917624e-15,2.043658684371993e-15,2.0321822493332853e-15,1.6388423289991185e-14,2.13062097058028e-16,6.2584708181344457e-15
1.1468700000000001e-10,0.23068266396718387,89.099999999999994,0.0,0.0,0.0,0.9999999999912379,10.999999999999931,3.7096044160087838e-12,5.3887085768991461e-14,3.7046754900041299e-12,3.5726623363210451e-12,3.5745543577956539e-12,1.3996087011923269e-12,1.4172689298224071e-12,2.3646535939966506e-14,1.9342407501381975e-14,9.6712036249574157e-15,4.9062667456196946e-16,6.9800536206650599e-15,4.0277820797959887e-16,2.0138910268234662e-16,3.99735028102422e-15,2.6714208931595971e-15,2.6561499022200273e-15,2.1355120292789712e-14,3.1414905131643635e-16,8.179499337155582e-15
1.47455e-10,0.23068266396718953,89.099999999999994,0.0,0.0,0.0,0.99999999998873446,10.999999999999904,4.7694118730233346e-12,6.9330483639795806e-14,4.7613308917682087e-12,4.5922097200761078e-12,4.5953068357865555e-12,1.7916091067855182e-12,1.8204566892843774e-12,3.023614582018445e-14,2.4731487224782541e-14,1.2365743290267242e-14,7.9744068060360468e-16,1.14364937388464e-14,6.5525573471053134e-16,3.2762786320344936e-16,6.5537363917647084e-15,4.3806823737649605e-15,4.3546445725518105e-15,3.4771816760491815e-14,6.4507807614971189e-16,1.3407766509490331e-14
1.80223e-10,0.23068266396719514,89.099999999999994,0.0,0.0,0.0,0.99999999998623101,10.999999999999874,5.8291770535249267e-12,8.4795088455020211e-14,5.8171576889308109e-12,5.6112036975163925e-12,5.61580315146151e-12,2.1801066002672284e-12,2.222858441506356e-12,3.6753971490962465e-14,3.0061085831768477e-14,1.5030542234889153e-14,1.1760385620838021e-15,1.6999535415480532e-14,9.6721471106051219e-16,4.8360734517057349e-16,9.7479054265854056e-15,6.5169675531727523e-15,6.4767729103407382e-15,5.1370877068064553e-14,1.1467635519797806e-15,1.9938551829680737e-14
2.45759e-10,0.2306826639672065,89.099999999999994,0.0,0.0,0.0,0.99999999998122413,10.999999999999805,7.9485806684247232e-12,1.1578801585386654e-13,7.9263295045798465e-12,7.6475337477794098e-12,7.6560208680178141e-12,2.9467794340970623e-12,3.0253196462177878e-12,4.9584360213099331e-14,4.0549358246572269e-14,2.0274676826533339e-14,2.1384950838977428e-15,3.1428739093834063e-14,1.7620593191351089e-15,8.8102961094704547e-16,1.8046509434925611e-14,1.2069830921359417e-14,1.1989626329594902e-14,9.3761675736358518e-14,2.8372596844046924e-15,3.6897457337797923e-14
3.0474139999999995e-10,0.2306826639672166,89.099999999999994,0.0,0.0,0.0,0.99999999997671785,10.999999999999732,9.8558994869971894e-12,1.4375436527423285e-13,9.8217579061604356e-12,9.4783424916331396e-12,9.4913285547884553e-12,3.6251574886802527e-12,3.7448763893159789e-12,6.0905078711625205e-14,4.9799465622752113e-14,2.489972765090666e-14,3.2313343688578465e-15,4.8167997896336734e-14,2.666760192777178e-15,1.3333799649578979e-15,2.7690668034054983e-14,1.8526392967666182e-14,1.8395678930502371e-14,1.421333792347433e-13,5.2672105397870933e-15,5.6595841156159198e-14
3.6372379999999993e-10,0.23068266396722678,89.099999999999994,0.0,0.0,0.0,0.99999999997221156,10.999999999999648,1.1763081556509475e-11,1.7178972151696656e-13,1.1714513513097675e-11,1.1307364996982633e-11,1.1325787253116446e-11,4.2927355422521744e-12,4.4619332009836409e-12,7.2022244688484355e-14,5.8878576768684218e-14,2.9439278355104269e-14,4.5277219676078895e-15,6.8443110310923434e-14,3.7424614947935616e-15,1.8712304487688928e-15,3.9392163610266632e-14,2.6364286773794639e-14,2.6167505500011358e-14,1.9979317199788021e-13,8.7444720418560496e-15,8.0484365275282913e-14
4.227061999999999e-10,0.23068266396723694,89.099999999999994,0.0,0.0,0.0,0.99999999996770528,10.999999999999558,1.3670126945636571e-11,1.9989418959540166e-13,1.3604600438586937e-11,1.3134603613606274e-11,1.3159390504944068e-11,4.9496995803307169e-12,5.1765062530669026e-12,8.2945219379137392e-14,6.7793758479480929e-14,3.3896861667630254e-14,6.0182952043686147e-15,9.2236940563080207e-14,4.98209786708564e-15,2.4910483371809046e-15,5.3147852974855016e-14,3.5582755585355581e-14,3.5302750181423306e-14,2.6640900113612616e-13,1.3422152686117336e-14,1.08552789251624e-13
4.816885999999999e-10,0.23068266396724704,89.099999999999994,0.0,0.0,0.0,0.99999999996319899,10.999999999999455,1.5577035721014208e-11,2.2806787890943959e-13,1.5492022959960834e-11,1.4960060785617234e-11,1.4992131709753443e-11,5.5962397085264649e-12,5.888612290184092e-12,9.3683314237658542e-14,7.6552074224949043e-14,3.8276008554758904e-14,7.6937409531993896e-15,1.1953174165577392e-13,6.3786075078755078e-15,3.1893026677571895e-15,6.895446699034473e-14,4.6181012219593417e-14,4.5798963045115108e-14,3.4164926751152377e-13,1.9448957664917664e-14,1.4079056989129026e-13
5.996533999999999e-10,0.23068266396726725,89.099999999999994,0.0,0.0,0.0,0.99999999995418654,10.99999999999922,1.9390443644004682e-11,2.8462331350004258e-13,1.9258890095993475e-11,1.8605639545136096e-11,1.8655004973597802e-11,6.8587110808429722e-12,7.3054828347186671e-12,1.1463602858133698e-13,9.3621920660468774e-14,4.6810896397033846e-14,1.1568079065455944e-14,1.8456115363868439e-13,9.6184405373494661e-15,4.8092173268062211e-15,1.067087681646328e-13,7.1514069205334885e-14,7.0865526688350221e-14,5.168863831932524e-13,3.6029042564275173e-14,2.177370341482251e-13
7.176181999999999e-10,0.2306826639672874,89.099999999999994,0.0,0.0,0.0,0.99999999994517408,10.999999999998945,2.3203305775090454e-11,3.4145689864318057e-13,2.3015148975718656e-11,2.2244120746663381e-11,2.2314356494711233e-11,8.0816066672161808e-12,8.7126768213875647e-12,1.3494761626537901e-13,1.1013965426321275e-13,5.5069703868911666e-14,1.6083491920078531e-14,2.6339137591182777e-13,1.3410438197302501e-14,6.7052124753169867e-15,1.5262903024017017e-13,1.0235717924091817e-13,1.0134769122285112e-13,7.2308831324978443e-13,5.9499429982889734e-14,3.1124163754636556e-13
8.355829999999998e-10,0.23068266396730744,89.099999999999994,0.0,0.0,0.0,0.99999999993616162,10.999999999998625,2.7015622513868498e-11,3.9856955536362194e-13,2.6760835439994303e-11,2.5875524894560926e-11,2.5970134904879098e-11,9.2664085809937001e-12,1.0110331907292953e-11,1.5468280504050521e-13,1.261553826507067e-13,6.3077476587620666e-14,2.1175233125223172e-14,3.5587634523316251e-13,1.7704511468481749e-14,8.8522425389120314e-15,2.0668784187539766e-13,1.3870372165658931e-13,1.3722492891002546e-13,9.5790771413399917e-13,9.0782018382705009e-14,4.212196135408174e-13
9.535477999999998e-10,0.23068266396732753,89.099999999999994,0.0,0.0,0.0,0.99999999992714916,10.999999999998264,3.0827394161144412e-11,4.5596218717555977e-13,3.0495984558292319e-11,2.9499872066861512e-11,2.9622292184316981e-11,1.041450474645653e-11,1.1498581220832501e-11,1.7389788802695087e-13,1.4171326589835419e-13,7.0856285920158454e-14,2.6786989294910419e-14,4.6187470311572715e-13,2.2456520494602186e-14,1.1228236197219707e-14,2.6885837077716053e-13,1.8054720183117232e-13,1.7847715462740999e-13,1.2192765432879361e-12,1.3061023612622915e-13,5.4759005082011375e-13
9.999999999999999e-10,0.23068266396734746,89.099999999999994,0.0,0.0,0.0,0.99999999992360022,10.999999999998112,3.2328244741051679e-11,4.7863929115782938e-13,3.1963928003819756e-11,3.0925135816433042e-11,3.1059435898390418e-11,1.0856810887650467e-11,1.2042693021148855e-11,1.8133225817392594e-13,1.4772242228281439e-13,7.3860798907180684e-14,2.9128906779259407e-14,5.0729349024613517e-13,2.4445026569959696e-14,1.2222483412322593e-14,2.9556023265441448e-13,1.9853143259873019e-13,1.9619221866003405e-13,1.3290898277395168e-12,1.4876260049905242e-13,6.0183393674131253e-13
1.0715125999999997e-09,0.23068266396734746,89.099999999999994,0.0,0.0,0.0,0.99999999991813671,10.999999999997861,3.4638620922859309e-11,5.1363567090707393e-13,3.4220630277776712e-11,3.3117181713846857e-11,3.3270783965079897e-11,1.1527180623370418e-11,1.2877552104818867e-11,1.9264118068290605e-13,1.5685172461685439e-13,7.8425333446109577e-14,3.2870423968264305e-14,5.8125113512059873e-13,2.7628065619282789e-14,1.3813991919023637e-14,3.3911463262654194e-13,2.2788131633886029e-13,2.250849268742236e-13,1.5053940201383762e-12,1.7954899262229585e-13,6.902765396648827e-13
1.2362779183701449e-09,0.2306826639673753,89.099999999999994,0.0,0.0,0.0,0.99999999990554866,10.999999999997225,3.9960974983207494e-11,5.9466185860474023e-13,3.9405448524573373e-11,3.8157854191481975e-11,3.8360537645390506e-11,1.302431752851552e-11,1.4788311651073646e-11,2.1811237222083816e-13,1.7735957755376812e-13,8.8678906853634175e-14,4.2075312128416629e-14,7.7012963766290325e-13,3.5488090334741057e-14,1.7743966924003681e-14,4.5072907871982269e-13,3.0317281119961651e-13,2.9911123991793691e-13,1.9433695305529864e-12,2.6400819197418304e-13,9.1674133278834041e-13
1.40104323674029e-09,0.23068266396740295,89.099999999999994,0.0,0.0,0.0,0.99999999989296062,10.999999999996506,4.5282266482804173e-11,6.7624001837012535e-13,4.4569933040280071e-11,4.3184887450545482e-11,4.3442948045120734e-11,1.4457955506366307e-11,1.6681549268292245e-11,2.4285438560549935e-13,1.9720370569495325e-13,9.8600481572017658e-14,5.2009060126223926e-14,9.8449102276861039e-13,4.4012157428331393e-14,2.2005941350360894e-14,5.7799746865967506e-13,3.891465230681967e-13,3.8349560508704618e-13,2.4223533673469936e-12,3.6812964433398135e-13,1.1746947067043096e-12
1.565808555110435e-09,0.23068266396743045,89.099999999999994,0.0,0.0,0.0,0.99999999988037258,10.999999999995699,5.0602495372814985e-11,7.5837252263053576e-13,4.9714175009867174e-11,4.8198333851856832e-11,4.8517910840676749e-11,1.5831150732948873e-11,1.8557595421488304e-11,2.6696100035525502e-13,2.1646125581879049e-13,1.08228608989314e-13,6.257782985289146e-14,1.223983373902449e-12,5.312317857670076e-14,2.6561363945444191e-14,7.208499227597602e-13,4.8578538521766132e-13,4.7818580779911603e-13,2.9386894389781535e-12,4.9263233194508296e-13,1.4639448020692754e-12
1.7305738734805802e-09,0.23068266396745793,89.099999999999994,0.0,0.0,0.0,0.99999999986778454,10.999999999994811,5.5921661396746235e-11,8.4106175475799464e-13,5.4838265793044441e-11,5.3198245899094063e-11,5.3585326614131369e-11,1.7146830840080933e-11,2.0416777021409266e-11,2.9051512981857629e-13,2.3520138326973624e-13,1.1759784566742623e-13,7.3698649611966775e-14,1.4882582734402191e-12,6.2752056648352516e-14,3.1375678282372884e-14,8.7921639663943165e-13,5.9307224778314617e-13,5.8312953592318534e-13,3.489079512402028e-12,6.3800129694733423e-13,1.7843039839000638e-12
1.8953391918507253e-09,0.23068266396748519,89.099999999999994,0.0,0.0,0.0,0.9999999998551965,10.99999999999384,6.1239764074605506e-11,9.2431008721552356e-13,5.9942296054173851e-11,5.8184675744663851e-11,5.8645102240422942e-11,1.8407757073204303e-11,2.2259413789588203e-11,3.1358817904391712e-13,2.5348455882031785e-13,1.2673840747752546e-13,8.530005780991541e-14,1.7769746403564731e-12,7.283837728476858e-14,3.6418668621048738e-14,1.0530273440885569e-12,7.109900332283229e-13,6.9827487839250276e-13,4.0706119374668716e-12,8.0449525417744207e-13,2.1355910166796059e-12
2.0601045102208704e-09,0.23068266396751239,89.099999999999994,0.0,0.0,0.0,0.99999999984260846,10.999999999992784,6.6556802731472923e-11,1.0081198947757491e-12,6.5026356293713842e-11,6.3157675490481501e-11,6.3697149566350454e-11,1.9616561610644672e-11,2.4085820659468921e-11,3.3624263444579649e-13,2.7136448223622298e-13,1.3567712617243723e-13,9.7319513175875051e-14,2.0897962056104612e-12,8.3328495449243105e-14,4.1663503336008534e-14,1.2422133129328811e-12,8.3952164164893891e-13,8.2357002060393794e-13,4.6806742002777357e-12,9.9219809245662462e-13,2.517629300424769e-12
2.2248698285910156e-09,0.2306826639675395,89.099999999999994,0.0,0.0,0.0,0.99999999983002041,10.999999999991646,7.187277649438346e-11,1.092493539063943e-12,7.0090536237890371e-11,6.8117296840577212e-11,6.8741386188391469e-11,2.0775726449606176e-11,2.5896305331101912e-11,3.5853223026416425e-13,2.8888804154234004e-13,1.444374294556878e-13,1.097032294412334e-13,2.4263940998890791e-12,9.4175575024515163e-14,4.7086754844762424e-14,1.4467054105885532e-12,9.7865006039180713e-13,9.5896359414726363e-13,5.3169533213140814e-12,1.2010387216161202e-12,2.9302482181747471e-12
2.5544004653313058e-09,0.2306826639675933,89.099999999999994,0.0,0.0,0.0,0.99999999980484444,10.999999999989127,8.250152500762249e-11,1.2629417881238738e-12,8.0159613058999162e-11,7.7996610758472752e-11,7.8806119515237335e-11,2.2954509599356535e-11,2.9470715202454699e-11,4.022012331931552e-13,3.2302944579845692e-13,1.6150442103144086e-13,1.3537885922093667e-13,3.1696272593848497e-12,1.1677743538497295e-13,5.8386877455072682e-14,1.9013331007135767e-12,1.2886292148053506e-12,1.2598411964369576e-12,6.6599615743276426e-12,1.6813321490727545e-12,3.8465661381540329e-12
2.8331356458184315e-09,0.23068266396763842,89.099999999999994,0.0,0.0,0.0,0.99999999978354914,10.999999999986747,9.1488570216683012e-11,1.4088983036345448e-12,8.8615319683339506e-11,8.631176806604105e-11,8.7294372995618063e-11,2.4662776802153024e-11,3.2447116918676182e-11,4.3837257188317593e-13,3.5112973766886535e-13,1.7555058035851251e-13,1.5786074277166144e-13,3.8696614524248294e-12,1.3667601110067554e-13,6.8335192564871358e-14,2.3330588871985814e-12,1.5837630794658753e-12,1.5454128135344011e-12,7.8608024714553869e-12,2.1510787885523901e-12,4.7156680427887779e-12
