Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302)
2.047e-12,0.21637287469450184,89.099999999999994,0.0,0.0,0.0,0.99999999999998557,11.0,6.1694444572440335e-15,1.8830291439051755e-16,6.1693624042639731e-15,5.9599985466861098e-15,5.9600193335554737e-15,2.2020126077377189e-15,2.2023873450508606e-15,8.4189033235130475e-17,6.9339217912528267e-17,3.4669608957079292e-17,4.4037169085857153e-20,2.3839461648842507e-19,3.6271138554170918e-20,1.8135569277426664e-20,1.5930993198730851e-19,1.0649059823719615e-19,1.0605552691306765e-19,5.283066006868508e-19,2.3690733228848255e-22,1.3613395887715441e-19,1.024560537939145e-19,3.7855388238806054e-20,6.8655316768475752e-25,3.155444921136534e-21,2.8736511081466267e-28
4.095e-12,0.21637287469450187,89.099999999999994,0.0,0.0,0.0,0.99999999999997102,11.0,1.2343369167385707e-14,3.7675879860614057e-16,1.2343040782714687e-14,1.1924153916347361e-14,1.1924237079563229e-14,4.4045083713893976e-15,4.4060076601733076e-15,1.6835191963680816e-16,1.3865779436085981e-16,6.9328897186928543e-17,1.7612438244738916e-19,9.5402507607265856e-19,1.4507161887007621e-19,7.2535809440479095e-20,6.3757999514398192e-19,4.2619567462386138e-19,4.2444994082740159e-19,2.1129151806251488e-18,1.8948100957606588e-21,5.4481808613210001e-19,4.1004241321648823e-19,1.5147171122886826e-19,5.4928997613839276e-24,1.2639634022512822e-20,4.5975072053912716e-27
8.191e-12,0.21637287469450192,89.099999999999994,0.0,0.0,0.0,0.99999999999994194,11.0,2.4690816304939501e-14,7.5370697973601423e-16,2.4689502489056661e-14,2.3851562002581996e-14,2.3851894501669741e-14,8.8060107391058983e-15,8.8120055670023784e-15,3.3641099301529124e-16,2.7707792408260258e-16,1.3853896209284332e-16,7.0371176021811598e-19,3.8164633060512292e-18,5.7969568672250889e-19,2.8984784344755941e-19,2.5508971019154513e-18,1.7052151273462198e-18,1.6981944509634096e-18,8.4420767563634968e-18,1.5136461149772202e-20,2.1796974244026141e-18,1.6405357226522311e-18,6.0577849916780874e-19,4.3907727206024309e-23,5.0658750637734902e-20,7.34722002431869e-26
1e-11,0.21637287469450203,89.099999999999994,0.0,0.0,0.0,0.99999999999992906,11.0,3.0143715841559267e-14,9.2021845581060908e-16,3.0141531653016357e-14,2.911850938942312e-14,2.911906176675971e-14,1.0746859431626652e-14,1.0756819359059053e-14,4.1039991548432193e-16,3.3802040069038044e-16,1.6901020047477818e-16,1.1682601499678269e-18,6.3440011414474648e-18,9.6247521311112941e-19,4.8123760692226331e-19,4.2408762754989488e-18,2.8350091181037652e-18,2.8232733362480769e-18,1.4014755876707293e-17,3.8443482903220024e-20,3.6236353353798054e-18,2.7273879723995221e-18,1.0066760667968638e-18,1.116165197799179e-22,8.4376623624963692e-20,3.1608517463269131e-25
1.6383e-11,0.21637287469450203,89.099999999999994,0.0,0.0,0.0,0.99999999999988376,11.0,4.9384101547608977e-14,1.5077489985326326e-15,4.9378846276319124e-14,4.7702768742771317e-14,4.7704096953641524e-14,1.7595083425192144e-14,1.7619034082496169e-14,6.7146751754060868e-16,5.5305402600129587e-16,2.7652701340561856e-16,2.8074046340874531e-18,1.5262339451748273e-17,2.3131008167255929e-18,1.1565504097188549e-18,1.0203915006833084e-17,6.8214519279464431e-18,6.7930790436952998e-18,3.3677780102884433e-17,1.2068158121845355e-19,8.7185251561467489e-18,6.562312190275122e-18,2.4212306130523951e-18,3.5052487964678505e-22,2.0334908535933692e-19,1.1721374773016827e-24
3.2767e-11,0.21637287469450228,89.099999999999994,0.0,0.0,0.0,0.99999999999976752,10.999999999999998,9.8764236690699934e-14,3.0164157082220876e-15,9.874321996219591e-14,9.5390753892326937e-14,9.5396051407458686e-14,3.5117696495595992e-14,3.5213250643093411e-14,1.3373750809084906e-15,1.1015807971139491e-15,5.5079040167997786e-16,1.1168190528511716e-17,6.1008456344398509e-17,9.2053397329155917e-18,4.6026698873681557e-18,4.0809695193479776e-17,2.7284802944469836e-17,2.7169014371841421e-17,1.3396450199335952e-16,9.587100469232648e-19,3.4864671887913121e-17,2.6245086460139894e-17,9.6678657053805159e-18,2.7918214514295484e-21,8.1889598240654017e-19,1.8640843065212109e-23
6.5535e-11,0.21637287469450275,89.099999999999994,0.0,0.0,0.0,0.99999999999953504,10.999999999999995,1.9749877190260464e-13,6.0360801837267123e-15,1.9741474865979169e-13,1.9070908539081791e-13,1.907301517768637e-13,6.9942347675515405e-14,7.0322550995147974e-14,2.6526900056841074e-15,2.1851777242819233e-15,1.0925888853170699e-15,4.41842171093752e-17,2.4368175053617749e-16,3.6446402799066223e-17,1.8223201709795073e-17,1.6317396480986349e-16,1.0911970566292932e-16,1.0863823812212778e-16,5.2992356907064601e-16,7.5626543843682744e-18,1.3936892518686382e-16,1.0493604830348554e-16,3.8531722876417281e-17,2.2137039378471885e-20,3.3185626753064231e-18,2.9464725239052853e-22
9.8303e-11,0.21637287469450328,89.099999999999994,0.0,0.0,0.0,0.99999999999930256,10.999999999999991,2.9620757832968148e-13,9.0580760832425755e-15,2.9602909553981158e-13,2.8596985196010918e-13,2.8601443717860201e-13,1.0454796536328617e-13,1.0535294702663849e-13,3.9518203045390026e-15,3.2555587688693014e-15,1.6277794478118003e-15,9.3181666092577495e-17,5.1730038031875875e-16,7.6903307025455729e-17,3.8451654612824478e-17,3.4664472982432332e-16,2.3184750443476067e-16,2.3079752117874473e-16,1.1174690810597934e-15,2.145062978078189e-17,2.9602340529446862e-16,2.2292098354413768e-16,8.1674475057991531e-17,6.2976867575686046e-20,7.1141666406126218e-18,1.0781796894870091e-21
9.999999999999999e-11,0.21637287469450378,89.099999999999994,0.0,0.0,0.0,0.99999999999929057,10.999999999999991,3.0131821045319378e-13,9.2147009639970401e-15,3.0113320844313599e-13,2.9090027058372291e-13,2.9094647105108527e-13,1.0632886831144836e-13,1.0716303821277423e-13,4.018277948534432e-15,3.3103198314105154e-15,1.6551599824427189e-15,9.653091244460325e-17,5.361683662597439e-16,7.9670684192607885e-17,3.9835343279044947e-17,3.5930858717492459e-16,2.4032035460946737e-16,2.3922980408985289e-16,1.1576261520261229e-15,2.2665870548630204e-17,3.0683386931388861e-16,2.3106456900650001e-16,8.4643530806339831e-17,6.6563235920399094e-20,7.3792386179547401e-18,1.163213334894903e-21
1.31071e-10,0.21637287469450378,89.099999999999994,0.0,0.0,0.0,0.99999999999907008,10.999999999999988,3.9489066225617016e-13,1.2082403774793704e-14,3.9458629743500018e-13,3.811731268325756e-13,3.8124890148828547e-13,1.3893607838943735e-13,1.4030466652416132e-13,5.2350755069209953e-15,4.3129603583510335e-15,2.1564803074381646e-15,1.5785350136846492e-16,8.8162929211263086e-16,1.303396152241836e-16,6.516981030799991e-17,5.9117583039268099e-16,3.9545289896910958e-16,3.9361958743165777e-16,1.8928768014043403e-15,4.4916162768910121e-17,5.0476664924753588e-16,3.8016848409257083e-16,1.3900506949634043e-16,1.3222737901914968e-19,1.2232539388724957e-17,2.720125766520525e-21
1.96607e-10,0.21637287469450475,89.099999999999994,0.0,0.0,0.0,0.99999999999860512,10.999999999999977,5.921964804489268e-13,1.8136532873179599e-14,5.9156669960799736e-13,5.7144497180720853e-13,5.7160088523697431e-13,2.0720652793901537e-13,2.1002416052916815e-13,7.7652650592434589e-15,6.398018453212599e-15,3.199009552963096e-15,3.230545118486216e-16,1.8224520690557657e-15,2.6695717265343628e-16,1.3347859521290509e-16,1.2233999206231872e-15,8.1855345745369468e-16,8.1461224014770477e-16,3.8733272422435755e-15,1.2120077544662113e-16,1.0443126643441899e-15,7.8671301619712016e-16,2.8668428620040542e-16,3.584177248277026e-19,2.5654936440082694e-17,9.4285325604271908e-21
2.62143e-10,0.2163728746945057,89.099999999999994,0.0,0.0,0.0,0.99999999999814015,10.999999999999968,7.8940775996238647e-13,2.4199239861612354e-14,7.8833726491850303e-13,7.6150599865831937e-13,7.617696125360205e-13,2.7468965526699279e-13,2.7945621554882228e-13,1.0239562434748088e-14,8.4372497944284675e-15,4.2186255367138884e-15,5.4342962141633754e-16,3.0949059797331721e-15,4.4940124083471279e-16,2.247006415299137e-16,2.0797819617555911e-15,1.3918484767467615e-15,1.3849101201157218e-15,6.5147297500300833e-15,2.5088022518420105e-16,1.7749009307043693e-15,1.3373795487126012e-15,4.8579002490167613e-16,7.4491032375606034e-19,4.4157027757151194e-17,2.3388020682577607e-20
3.2767900000000004e-10,0.21637287469450667,89.099999999999994,0.0,0.0,0.0,0.99999999999767519,10.999999999999956,9.8651778992457245e-13,3.0271139909259662e-14,9.8488325068166225e-13,9.5134162471441548e-13,9.5174195938061554e-13,3.4133916558271111e-13,3.4858180804607386e-13,1.2655914493726323e-14,1.042886868814942e-14,5.2144354302419622e-15,8.209962659742238e-16,4.7211227730861019e-15,6.7945747028328977e-16,3.3972877764296213e-16,3.1760258861931809e-15,2.1259639602014333e-15,2.1149959641756685e-15,9.8410078914208589e-15,4.5176183725617269e-16,2.7097724420978176e-15,2.0422532716801335e-15,7.3940106386570731e-16,1.3469052920734244e-18,6.826957301878375e-17,4.9255545418468931e-20
4.5875100000000005e-10,0.21637287469450858,89.099999999999994,0.0,0.0,0.0,0.99999999999674516,10.999999999999927,1.3804280244641328e-12,4.2443113342018012e-14,1.3772890381573082e-12,1.3303256565513613e-12,1.3310849861188403e-12,4.721506139007287e-13,4.8590447824063892e-13,1.7323494126133893e-14,1.4275792997541121e-14,7.1378988474014714e-15,1.5390444316174889e-15,9.0466168613206952e-15,1.2758825762378279e-15,6.3794141852588088e-16,6.1010907817003879e-15,4.0860663369672381e-15,4.063338190385046e-15,1.8443149312241738e-14,1.1583703997696333e-15,5.2024910252734804e-15,3.922895094711751e-15,1.409622875711867e-15,3.4924370572838492e-18,1.3474706304645539e-16,1.762427603153227e-19
5.898230000000001e-10,0.21637287469451053,89.099999999999994,0.0,0.0,0.0,0.99999999999581513,10.999999999999893,1.7739276609369723e-12,5.4652461886537187e-14,1.7687863860078947e-12,1.7084011250493395e-12,1.7096300289959678e-12,5.9972067373118954e-13,6.2200488692935056e-13,2.1782423023027489e-14,1.7949943423480646e-14,8.9749756742770277e-15,2.4628957800607729e-15,1.4785758353525398e-14,2.0450807206824956e-15,1.0225406484303407e-15,9.9957471838101655e-15,6.697805566803556e-15,6.6579263131563772e-15,2.950718304427658e-14,2.339173155102884e-15,8.5189248459839161e-15,6.4267099455334702e-15,2.2925391006503718e-15,7.124867843721923e-18,2.263203776436976e-16,4.4889651182641756e-19
7.208950000000001e-10,0.21637287469451244,89.099999999999994,0.0,0.0,0.0,0.99999999999488509,10.999999999999854,2.1670171235547698e-12,6.6899204208390182e-14,2.1593776262485882e-12,2.0855721745289614e-12,2.0873770171513398e-12,7.2413418314780209e-13,7.5689660286872102e-13,2.604757684485791e-14,2.1462869507989658e-14,1.0731440409424135e-14,3.5777936617727474e-15,2.1924520254396749e-14,2.9755028947815776e-15,1.4877519695934112e-15,1.4857107053786849e-14,9.960179726754792e-15,9.8970361938892368e-15,4.2855372022293664e-14,4.092843959540519e-15,1.2655423032720116e-14,9.5517326842110135e-15,3.3830220399896844e-15,1.2589853662197889e-17,3.4427008509828961e-16,9.4397646094266868e-19
8.519670000000002e-10,0.2163728746945143,89.099999999999994,0.0,0.0,0.0,0.99999999999395506,10.99999999999981,2.5596968182297544e-12,7.9183362298493756e-14,2.5490650895532268e-12,2.4618428986768568e-12,2.4643258783324424e-12,8.4547586728545268e-13,8.9059337247228223e-13,3.0133239408739283e-14,2.4825712279078275e-14,1.241286318236932e-14,4.8695681996999681e-15,3.0448699933116358e-14,4.0560088598920693e-15,2.0280052536629329e-15,2.0682276990809566e-14,1.387220533949305e-14,1.3778942832334861e-14,5.8317376733732696e-14,6.5108426209323849e-15,1.7608339116493771e-14,1.3295990683148241e-14,4.6759327904347299e-15,2.0224429608895267e-17,4.8982768082299495e-16,1.7539022038688903e-18
9.999999999999999e-10,0.21637287469451819,89.099999999999994,0.0,0.0,0.0,0.99999999999290468,10.999999999999753,3.0026978332983285e-12,9.3102135378546735e-14,2.9880948481573849e-12,2.8857257884270579e-12,2.8890929992072155e-12,9.7891968559069797e-13,1.0401695621980762e-12,3.4546641313345422e-14,2.8454932586608332e-14,1.4227473947641364e-14,6.5264296211306482e-15,4.1725675000061624e-14,5.4451180635735541e-15,2.7225602301793852e-15,2.8416887700584084e-14,1.9070527824693521e-14,1.8934150449814933e-14,7.814508365296536e-14,1.0130072108975617e-14,2.4179785385365101e-14,1.8267121119781967e-14,6.3738276751225354e-15,3.1815665221970257e-17,6.8870137979220159e-16,3.1760270316605278e-18
1.1141110000000003e-09,0.21637287469451819,89.099999999999994,0.0,0.0,0.0,0.99999999999209499,10.999999999999703,3.3438283561622598e-12,1.038640113716675e-13,3.325737185024353e-12,3.2116978494510939e-12,3.2158291907426558e-12,1.0792436881863833e-12,1.1544520213454251e-12,3.7813540779968195e-14,3.1138426201590886e-14,1.5569220126611925e-14,7.9366742833778058e-15,5.1601706043235628e-14,6.6299979044674105e-15,3.3150004316117441e-15,3.5213501344870358e-14,2.364164641245289e-14,2.3464852702267908e-14,9.5018628462258407e-14,1.3625226933385779e-14,2.99503167928851e-14,2.263501191096902e-14,7.8507466104951355e-15,4.314988340899263e-17,8.678573502373893e-16,4.7290192090375087e-18
1.3762550000000004e-09,0.21637287469452185,89.099999999999994,0.0,0.0,0.0,0.99999999999023492,10.999999999999574,4.1263254125391045e-12,1.2869459414322611e-13,4.0988210300093221e-12,3.9579967706720784e-12,3.9641402186866101e-12,1.3016600517154984e-12,1.4136880635966021e-12,4.4921063148413126e-14,3.6965112916037793e-14,1.84825560204284e-14,1.1567253490466587e-14,7.8133969908913004e-14,9.6900297873055874e-15,4.8450166832402791e-15,5.3566666015004109e-14,3.5998421884356814e-14,3.5702062953523512e-14,1.3845022971361095e-13,2.4252314526508889e-14,4.5516796362003045e-14,3.4428230582507465e-14,1.1778107745289558e-14,7.8293173495108066e-17,1.3688324035137168e-15,1.0322461598130989e-17
1.6383990000000006e-09,0.2163728746945256,89.099999999999994,0.0,0.0,0.0,0.99999999998837485,10.999999999999421,4.9071912637467374e-12,1.5367530649312913e-13,4.8683358329423886e-12,4.7007705762025068e-12,4.7092600891955148e-12,1.5133578445299706e-12,1.668411996064969e-12,5.1545019839555063e-14,4.2376774142255683e-14,2.1188366404413885e-14,1.5672796964017756e-14,1.0993126402324525e-13,1.3165115272785998e-14,6.5825584865670159e-15,7.5718019291988788e-14,5.0934454095939329e-14,5.0476349952999463e-14,1.875566829940371e-13,3.8860820752745132e-14,6.4279102466429298e-14,4.8659401934773085e-14,1.6419071775147096e-14,1.2792113463143801e-16,2.0004348178786185e-15,1.9697164761520825e-17
1.9005430000000007e-09,0.21637287469452923,89.099999999999994,0.0,0.0,0.0,0.99999999998651479,10.999999999999249,5.6864291288435726e-12,1.7880634357790451e-13,5.6343004969404385e-12,5.440048163939994e-12,5.4511909857169808e-12,1.7149196542412362e-12,1.9187303344261302e-12,5.775797161071784e-14,4.7431993553807158e-14,2.3715937325660994e-14,2.0181312898324538e-14,1.4688341544241465e-13,1.6996685253254959e-14,8.4983398162397501e-15,1.0164425699760196e-13,6.8441773386374339e-14,6.7773715569766266e-14,2.414841022862388e-13,5.7765813343639011e-14,8.6209876352811972e-14,6.5312561599303045e-14,2.1737485931802983e-14,1.9399153346088383e-16,2.7689079680563341e-15,3.4190194926632345e-17
2.162687000000001e-09,0.2163728746945329,89.099999999999994,0.0,0.0,0.0,0.99999999998465472,10.999999999999051,6.4640421232065044e-12,2.0408789558210235e-13,6.3967333088161215e-12,6.1758561943708814e-12,6.1899360395162858e-12,1.9068712419352995e-12,2.1647438411056941e-12,6.3617178820099533e-14,5.2177727628412243e-14,2.6088741433045552e-14,2.5035986534583148e-14,1.8888613605465557e-13,2.1137798543849124e-14,1.056888804623615e-14,1.3132290012769025e-13,8.8512644006532119e-14,8.7580617976857377e-14,2.995622786498623e-13,8.1152375039818033e-14,1.1128347580921942e-13,8.4372286098341751e-14,2.7700464595085355e-14,2.7816950094521046e-16,3.6791793800891563e-15,5.5247858323723801e-17
2.6869750000000006e-09,0.21637287469453995,89.099999999999994,0.0,0.0,0.0,0.9999999999809347,10.999999999998591,8.0144058420545186e-12,2.5510329534149078e-13,7.9110755687095593e-12,7.6371656676307402e-12,7.6578843697951423e-12,2.2638960067262403e-12,2.6442452271029337e-12,7.446894620916812e-14,6.0901481221510567e-14,3.0450401144995994e-14,3.5590730062818784e-14,2.8764053314320339e-13,3.0187971363770308e-14,1.5093933354899286e-14,2.0184886725004778e-13,1.3631437184648966e-13,1.34669574966969e-13,4.2589623613495527e-13,1.4184593413563567e-13,1.7076073112714511e-13,1.2965060265408059e-13,4.1437448040501069e-14,5.0688390558758872e-16,5.9419016600515815e-15,1.2305466483958082e-16
3.1225184339251494e-09,0.21637287469454572,89.099999999999994,0.0,0.0,0.0,0.99999999997784428,10.999999999998142,9.2974289812699056e-12,2.9794294419116103e-13,9.1585044827829464e-12,8.8407882080795881e-12,8.8677063487041051e-12,2.5353430744029022e-12,3.0303252405671079e-12,8.2783024974319201e-14,6.7520037807924706e-14,3.3759386940076008e-14,4.5039571186739978e-14,3.8417487281267683e-13,3.8335107685216612e-14,1.9167428673309224e-14,2.7165807427079664e-13,1.8375540201646975e-13,1.813046395516056e-13,5.3909790681203499e-13,2.0651029992121124e-13,2.295192313151409e-13,1.744523163353017e-13,5.4552034775756428e-14,7.6426535260468602e-16,8.2853269996129649e-15,2.1294336002968134e-16
3.558061867850298e-09,0.2163728746945515,89.099999999999994,0.0,0.0,0.0,0.99999999997475386,10.999999999997637,1.0576006181160744e-11,3.4120049274214543e-13,1.0396414030519742e-11,1.0035145878720138e-11,1.00687972544519e-11,2.7860078010727277e-12,3.405727837365936e-12,9.0614135041204791e-14,7.3698477577462573e-14,3.6848196344158977e-14,5.4954240117487808e-14,4.9340108560747803e-13,4.6922700254195511e-14,2.3461100890416699e-14,3.5154415666138398e-13,2.3817480822242185e-13,2.3469674060297797e-13,6.5801124463037761e-13,2.8400794191049491e-13,2.9665044362603646e-13,2.257035492292061e-13,6.9082390967443849e-14,1.0886766597831058e-15,1.1062889697195985e-14,3.413167170315413e-16
3.993605301775446e-09,0.21637287469455704,89.099999999999994,0.0,0.0,0.0,0.99999999997166344,10.999999999997074,1.1850151476794666e-11,3.8487679787007065e-13,1.1624885471055993e-11,1.1220342600692291e-11,1.1261187476087146e-11,3.0176284920435774e-12,3.7708560080495208e-12,9.8072721588453911e-14,7.953240907928464e-14,3.9764622800690272e-14,6.522513230531571e-14,6.1490068729928908e-13,5.5855194751673815e-14,2.7927156644453146e-14,4.414082097806641e-13,2.9953760811280724e-13,2.9478570811016597e-13,7.8135608549367633e-13,3.7402571237974591e-13,3.7205417162426451e-13,2.8333605601997596e-13,8.4917350045592693e-14,1.4850380058565865e-15,1.4284267581851581e-14,5.1586742822396586e-16
