Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8)
1.31071e-10,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.812130616595944e-18,3.0042367292651547e-18,1.8121270215719219e-18,1.7676257351817524e-18,1.7686830971499241e-18,4.5291239911152494e-19,4.5205829016134284e-19,1.2670233047039116e-18,1.0732494095890229e-18,5.3662470436222732e-19,5.608518854440644e-20,2.3163743378103991e-21,4.750916183046539e-20,2.3751495644915491e-20,3.115099604592905e-21,2.1202695360020478e-21,2.1088723860808026e-21,8.927132492972048e-22,3.375187999074455e-23,3.9996496316350663e-23,2.0582856532335925e-21,5.2723772302991463e-22,4.3884349640163113e-26,1.5232197831799909e-23,1.5463192414608948e-27,1.8766106248343772e-26,1.8320645546231981e-26,6.4552870541757586e-28,9.1291641471599885e-29,3.1127583984146712e-30,3.0857465930755023e-24,3.3081445787665389e-23
2.62143e-10,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6200457664884213e-18,6.0085337130890389e-18,3.6200314142359684e-18,3.5290466975133186e-18,3.5332644345372105e-18,9.0293050071398303e-19,8.995378522822759e-19,2.4298309267131913e-18,2.0582250913804529e-18,1.0291125388380847e-18,2.1637880922349989e-19,9.2252365488082166e-21,1.8329815883137591e-19,9.1625349801409851e-20,1.2441559824184981e-20,8.4726169758502584e-21,8.4269874117814949e-21,3.4348515712510354e-21,2.6035985631491814e-22,1.5979809180762802e-22,8.2247767070118157e-21,2.1031738928070067e-21,3.3860920590632078e-25,5.9805550020930325e-23,2.3886194911930713e-26,1.4901641360303743e-25,1.4150223924747301e-25,9.9812059840602281e-27,1.3647097511945938e-27,9.3151245053213369e-29,2.3736709145030911e-23,5.3569173764510452e-23
5.24287e-10,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.223250692909133e-18,1.201723942917179e-17,7.2231935061947131e-18,7.0333578803573773e-18,7.0501363512171022e-18,1.7943737682738211e-18,1.7809910505153719e-18,4.4845943481962439e-18,3.7987274473450015e-18,1.8993636251706851e-18,8.0778025675161181e-19,3.658253460328892e-20,6.8432516076154288e-19,3.4198656790192525e-19,4.9615873529671678e-20,3.3822760607774183e-20,3.3639918075240519e-20,1.2754084569358277e-20,1.9425133358571273e-21,6.3769106408252195e-22,3.2832150031005843e-20,8.3667908694815287e-21,2.5283221241080519e-24,2.3104524705819719e-22,3.5737352678135768e-25,1.1746447609118004e-24,1.058489112010543e-24,1.4959695388970101e-25,1.9172526761071696e-26,2.6220889683967654e-27,1.7611146608397162e-22,7.6231177064829169e-23
9.999999999999999e-10,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.371648755154413e-17,2.2921605524441662e-17,1.3716276301923733e-17,1.3326086212385933e-17,1.338788171747902e-17,3.3814918446720322e-18,3.3330083005906268e-18,7.436550034615285e-18,6.2990091360087301e-18,3.1495034317842369e-18,2.6577147108031662e-18,1.3390551673068239e-19,2.2517492439868495e-18,1.1247479365164375e-18,1.8359013681731185e-19,1.2540095363168173e-19,1.2471808292339647e-19,4.1527463632139727e-20,1.2576059972412872e-20,2.362697353595659e-21,1.217190949102151e-19,3.0813474439333083e-20,1.6408356890012144e-23,8.1014683344985364e-22,4.6208651060512311e-24,8.3904100913805422e-24,6.8901227755761311e-24,1.9399901293813256e-24,2.208083270437991e-25,6.0362029626284254e-26,1.127810369891576e-21,9.2413155857905979e-23
1.0485750000000002e-09,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4379511224237954e-17,2.4035049098776896e-17,1.4379284243271857e-17,1.3968635982369704e-17,1.4035028171677612e-17,3.5435522898586124e-18,3.4914846044175268e-18,7.7379738919994758e-18,6.5543126131616384e-18,3.2771550643993928e-18,2.8466113062410773e-18,1.4384315530023625e-19,2.4117987377838864e-18,1.2046756103038896e-18,1.9727023351258226e-19,1.3475199244318434e-19,1.3401806391508518e-19,4.4465510076055739e-20,1.3661850202805355e-20,2.5388375484465486e-21,1.3079533068158907e-19,3.3105502730352138e-20,1.7825645651836596e-23,8.692788301768191e-22,5.0562097433914669e-24,9.1272110636632454e-24,7.4855902217205506e-24,2.1228069716780597e-24,2.4139733553995865e-25,6.6257848360388444e-26,1.2249882360681461e-21,9.4065495860961831e-23
2.0971510000000003e-09,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,2.8494213341639855e-17,4.8072153347060682e-17,2.8493319331024963e-17,2.7551913766130889e-17,2.7811943531189088e-17,6.9121502889431795e-18,6.7149605785594999e-18,1.200774044298233e-17,1.0169440723749011e-17,5.0847074617747932e-18,9.1609528841975524e-18,5.5639722491592735e-19,7.7627885078978984e-18,3.8737401076319571e-18,7.7969475002287344e-19,5.347425277243866e-19,5.3178681056454674e-19,1.4007538821641887e-19,8.7371078793998056e-20,1.0061359575948174e-20,5.1895940407326171e-19,1.296157173196385e-19,1.14834032217888e-22,3.1536085866916462e-21,6.5503387555521554e-23,6.8990594490424061e-23,4.8440281432631028e-23,2.7621430103651791e-23,2.5509825994982447e-24,1.4092072546865611e-24,7.6668106363494629e-21,1.0430716728916095e-22
4.194303e-09,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,5.5953961136787112e-17,9.6152031749298958e-17,5.595049294333083e-17,5.3616145995758124e-17,5.4614725124899159e-17,1.3167694311173673e-17,1.2458352152878346e-17,1.6207347713736225e-17,1.3719444426851568e-17,6.8596195493260694e-18,2.6128943250420118e-17,2.0870678422241301e-18,2.2145024134785419e-17,1.1031411763912925e-17,3.0461644992151608e-18,2.1055906862468479e-18,2.0936138320526814e-18,3.8301190666159315e-19,4.8902433666762814e-19,3.9515642157230022e-20,2.0427795284476867e-18,4.9730707636873272e-19,6.5535385421191361e-22,1.1020572515989618e-20,7.532937067086096e-22,4.9554495602212595e-22,2.7797348833038685e-22,3.1935966636553181e-22,2.1167227224055061e-23,2.3628559463462937e-23,4.1200503797438638e-20,1.1134767299381671e-22
8.388607e-09,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.0795858553715957e-16,1.9233306537237738e-16,1.079455223054309e-16,1.0168028029166799e-16,1.0537412555051624e-16,2.4009917520162296e-17,2.1686172929325422e-17,1.9048893295481804e-17,1.6103520352606761e-17,8.0511628276197285e-18,6.5621738285401025e-17,7.4147554686372009e-18,5.5625449196422399e-17,2.7630170522335342e-17,1.1640448969601959e-17,8.1666831872761109e-18,8.1176227696141959e-18,8.8646445450225321e-19,2.33442441673288e-18,1.5255261739518657e-19,7.9177791941278857e-18,1.8380973857521616e-18,3.2718014651268958e-21,3.7549994547451954e-20,7.5775274571096695e-21,3.258082832223042e-21,1.395355068824412e-21,3.2298880106002828e-21,1.3301900945443521e-22,3.0116657968421005e-22,1.8313335911649802e-19,1.2100536002770955e-22
9.999999999999999e-09,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,0.99999999999999944,11.0,1.2592455985406128e-16,2.2929900315299656e-16,1.2590506653306852e-16,1.174760486247253e-16,1.2290853985935436e-16,2.7195132099365364e-17,2.4067607053952081e-17,1.9326726563766361e-17,1.6328333009850448e-17,8.1631959820776983e-18,8.1607983924939325e-17,1.0630197683270918e-17,6.9179297316907369e-17,3.431537319545799e-17,1.7609912480698852e-17,1.2511783813432581e-17,1.2432878615247025e-17,1.0485680626378213e-18,3.6968225879604839e-18,2.3287157477692098e-19,1.2122651049586825e-17,2.7088161640979038e-18,5.4159451622905735e-21,5.4524006612598407e-20,1.8997452339981333e-20,6.2149607713218188e-21,2.3153535588652737e-21,8.1236288405022487e-21,2.30322653806439e-22,8.0737705718922203e-22,2.7521167103843048e-19,1.2413267563999692e-22
1.6777215e-08,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,2.0148605889875192e-16,3.8477076455191034e-16,2.0143952183522584e-16,1.8391007066858489e-16,1.9665497891554521e-16,4.0591543790612467e-17,3.4083469770826048e-17,2.0495240882320018e-17,1.7273852639674939e-17,8.6343862968487484e-18,1.4884311759001278e-16,2.4153741107282859e-17,1.2618422584140298e-16,6.2432074604938502e-17,4.2716349984993947e-17,3.0786457428185185e-17,3.0582030712755537e-17,1.7303452607580165e-18,9.4268123061833504e-18,5.7067795891279116e-19,2.9807548906220296e-17,6.3708951016298717e-18,1.4433809101486754e-20,1.259134995408237e-19,6.7027502250258454e-20,1.8651031625563674e-20,6.1846936681261966e-21,2.8705779661887276e-20,6.3956342750786746e-22,2.9364028387981381e-21,6.6247568219647847e-19,1.3728557519791243e-22
3.3554431e-08,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,0.99999999999999822,10.999999999999998,3.5430684758163045e-16,7.6988985091922392e-16,3.5415680647779749e-16,3.0686154150833887e-16,3.4577514274561338e-16,6.1124046242530307e-17,4.6652993309854227e-17,2.1602952549190806e-17,1.8097444044693488e-17,9.0405067554684007e-18,3.1706911380900325e-16,6.9932337915912227e-17,2.6881929996773014e-16,1.3245149608206038e-16,1.4634658802804488e-16,1.1030848109417689e-16,1.0943821741688788e-16,2.8672023913548467e-18,3.2170510628997899e-17,2.0226954819398218e-18,1.0650645984495616e-16,2.0017529789603981e-17,5.7197681126126622e-20,4.0946649702419672e-19,5.2638165788555633e-19,8.8395928672282103e-20,2.4616038887822416e-20,2.2643394888306189e-19,2.4434985900223977e-21,2.2560503605217224e-20,1.9658738951150505e-18,1.6220388855011805e-22
