Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56)
1e-12,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.1793011556157471e-21,8.5158791746535727e-21,3.1793012126317261e-21,3.1066226337008717e-21,3.1066365545218935e-21,7.6428987716565396e-22,7.6427061096455408e-22,3.743588559570297e-21,3.1795624230142441e-21,1.5897812115070961e-21,1.295906114290967e-24,2.8880620188391284e-26,1.1006591379204847e-24,5.5032956896023344e-25,4.1680516052563448e-26,2.8444463150522312e-26,2.8283119101372452e-26,9.5445035970024876e-27,2.8486797583939739e-30,3.4287641041849309e-28,2.7636693008252557e-26
1.023e-12,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.2524038576521439e-21,8.7116884511823703e-21,3.252403916656764e-21,3.1780540503785876e-21,3.1780684567389003e-21,7.8186340955467294e-22,7.8184347137745895e-22,3.8296511028212222e-21,3.2526583907428227e-21,1.6263291953713848e-21,1.3411033625404253e-24,2.9887934600053175e-26,1.1390467687389629e-24,5.6952338436947228e-25,4.3134277672641193e-26,2.9436569302241319e-26,2.9269597783918799e-26,9.8773861199753932e-27,2.9652519282850065e-30,3.5483549580199257e-28,2.8600625184120677e-26
2.047e-12,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.507019101565307e-21,1.7429458113350799e-20,6.5070193377039981e-21,6.3582402609380367e-21,6.3582979155154666e-21,1.5642527630629886e-21,1.5641729719320312e-21,7.6592929514593404e-21,6.5053089206260644e-21,3.2526544603129792e-21,5.3656143398346298e-24,1.196105901655112e-25,4.5572076690899079e-24,2.2786038345449168e-24,1.7262569026722374e-25,1.1780718317597191e-25,1.1713895366951476e-25,3.9517962906506185e-26,2.3729638918604356e-29,1.4200753694800801e-27,1.1446167973885999e-25
4.095e-12,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3016072850671489e-20,3.4864997970610829e-20,1.3016073795444076e-20,1.2718353938670517e-20,1.2718584608456921e-20,3.1289719880541251e-21,3.1286527675066287e-21,1.5310536120965019e-20,1.3003780868560068e-20,6.5018904342799258e-21,2.1455164064981987e-23,4.7853639180239459e-25,1.8222641302275489e-23,9.1113206511375948e-24,6.9066763216683586e-25,4.7134489417215619e-25,4.6867133358002016e-25,1.5801472736620437e-25,1.8978439427417295e-28,5.6816954027868776e-27,4.5795960287764849e-25
8.191e-12,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.6033473432438411e-20,6.9736079816715509e-20,2.6033477211785882e-20,2.5437546404954279e-20,2.5438469133229471e-20,6.2581725294325847e-21,6.2568957009817734e-21,3.0580928012279904e-20,2.5973465759477982e-20,1.2986732879738747e-20,8.5728711211692763e-23,1.9141454034829361e-24,7.2812513518792366e-23,3.6406256759395525e-23,2.7629035797674084e-24,1.8855677941296886e-24,1.8748726147897687e-24,6.3135450564237522e-25,1.5167369981182386e-27,2.2728999923546041e-26,1.8320214537241726e-24
1e-11,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.178198913234155e-20,8.5136908618203481e-20,3.1781995415213162e-20,3.1054068756714905e-20,3.1055602696694522e-20,7.6399750604501572e-21,7.6378526806468564e-21,3.7296872537693024e-20,3.1677555309375036e-20,1.5838777654687127e-20,1.4234516679865327e-22,3.1818877965561684e-24,1.2089900036756647e-22,6.0449500183781731e-23,4.5931922407052107e-24,3.1347158827431858e-24,3.1169356080006019e-24,1.0482619654061077e-24,3.8552435138004026e-27,3.7786384071348874e-26,3.0456965439890005e-24
1.6383e-11,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.2065447237638232e-20,1.3947825203439896e-19,5.2065462354116585e-20,5.087179245560272e-20,5.0875483036991596e-20,1.2515622133686841e-20,1.2510516252345153e-20,6.0993873038362949e-20,5.1804257131924996e-20,2.5902128565961589e-20,3.4211456205104065e-22,7.6550772354651958e-24,2.905706673414331e-22,1.4528533367071208e-22,1.1051308615921344e-23,7.5422958991168399e-24,7.4995160865327978e-24,2.5193069160262866e-24,1.2106590716453383e-26,9.0915893753728873e-26,7.3281111936077905e-24
3.2767e-11,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.041180878737489e-19,2.7896263056474805e-19,1.0411814832643872e-19,1.0172373442590835e-19,1.0173849265013404e-19,2.5026716674327821e-20,2.5006306603946422e-20,1.2131268427680876e-19,1.0303515652245577e-19,5.1517578261219353e-20,1.3619650774372831e-21,3.0605279187895353e-23,1.1567703293626923e-21,5.7838516468126998e-22,4.4198452098579988e-23,3.0166421010142696e-23,2.9995325787214083e-23,1.0027682225770832e-23,9.6407635457878103e-26,3.6362704417226594e-25,2.9309771502161596e-23
6.5535e-11,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0817816091263817e-19,5.5793152395008668e-19,2.0817840260580406e-19,2.0336146098788309e-19,2.0342045820061472e-19,5.0033697034983773e-20,4.9952168238272741e-20,2.3995563378543891e-19,2.0380278266697382e-19,1.0190139133336531e-19,5.3963390762713358e-21,1.2229505485975848e-22,4.5833422901484857e-21,2.2916711450721221e-21,1.7673090762821556e-22,1.2063767283993204e-22,1.1995351764892788e-22,3.9717693429515893e-23,7.6418766771992894e-25,1.4541447100186978e-24,1.1721195710632533e-22
9.999999999999999e-11,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.1753231503435054e-19,8.5134803700452243e-19,3.1753293753591431e-19,3.101238498462839e-19,3.1027577295608701e-19,7.6303796153370666e-20,7.6094112660505146e-20,3.6068387568894011e-19,3.0634141424611024e-19,1.5317070712203667e-19,1.3698674401519782e-20,3.1470271464153369e-22,1.1634952341637632e-20,5.8174761707843887e-21,4.5528269757596185e-22,3.1084163082896228e-22,3.0907907997606309e-22,1.0076735593374753e-22,3.5192616938160191e-24,3.7467204249207305e-24,3.0201510913859391e-22
1.31071e-10,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.1611763123094787e-19,1.1158698555774045e-18,4.161185970401492e-19,4.0637262931006962e-19,4.0660832727981491e-19,9.998690219449643e-20,9.9661684259030703e-20,4.6952319686067052e-19,3.9878237817459857e-19,1.9939118908547227e-19,2.1183423012887684e-20,4.8816270004932532e-22,1.7992142996209502e-20,8.996071498041197e-21,7.0640362215064436e-22,4.8231492775851866e-22,4.7958017810652653e-22,1.5580504819166083e-22,6.0030250788394242e-24,5.8135308133646907e-24,4.6861945374310919e-22
2.62143e-10,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.3127512403668178e-19,2.2317486947293689e-18,8.3127897953459088e-19,8.11340577270881e-19,8.1228103668920468e-19,1.9965092045827868e-19,1.9835720049828434e-19,8.9973618969556521e-19,7.6417550519577011e-19,3.8208775257146163e-19,8.167972415590328e-20,1.944534259209636e-21,6.9375808448159447e-20,3.4687904222239341e-20,2.8214284771207734e-21,1.9273525862514853e-21,1.9164286643877574e-21,5.9993137777259825e-22,4.6342733421630036e-23,2.3229492515334764e-23,1.8726303825940769e-21
5.24287e-10,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6587143251594841e-18,4.4635150484866535e-18,1.658729685404245e-18,1.617080808382425e-18,1.6208240615147171e-18,3.9801436605824347e-19,3.9289605982092344e-19,1.6582275332104388e-18,1.4083750982540163e-18,7.0418754877752697e-19,3.0460696796076124e-19,7.713909182318424e-21,2.5872980097175193e-19,1.293649004370429e-19,1.1252295845732468e-20,7.6941484855144303e-21,7.6505732586671691e-21,2.2311739520425588e-21,3.4632075197186946e-22,9.2720973300290669e-23,7.475737097223106e-21
9.999999999999999e-10,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.1499038945331759e-18,8.5135351455640933e-18,3.1499606215082747e-18,3.0641879742970982e-18,3.077987024286654e-18,7.5451916497961427e-19,7.3586964634449568e-19,2.7433212875374708e-18,2.3299054639346748e-18,1.1649527283583084e-18,1.0004945771755843e-18,2.8255907183536009e-20,8.4985003466304203e-19,4.2492501632118313e-19,4.164093013334407e-20,2.8527762171273303e-20,2.8366441734914168e-20,7.2894536182418323e-21,2.2499133628581982e-21,3.4369017623737609e-22,2.7718270676015885e-20
1.0485750000000002e-09,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.3021690908434043e-18,8.9270822342825819e-18,3.3022300417706048e-18,3.2119519214339342e-18,3.2267777676900241e-18,7.9092182920700711e-19,7.708906400221598e-19,2.8541200866378441e-18,2.4240028241349182e-18,1.212001408125598e-18,1.0715515813306321e-18,3.0353448249071637e-20,9.1020925409062675e-19,4.5510462593679635e-19,4.4743910103453663e-20,3.0655080080991443e-20,3.0481736694761185e-20,7.8059539762005831e-21,2.4442889865510636e-21,3.6931661283395642e-22,2.978523346364176e-20
2.0971510000000003e-09,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.5440113560598345e-18,1.7854352755291677e-17,6.5442513036936013e-18,6.3366148744869624e-18,6.3947652146070464e-18,1.5617594569689076e-18,1.485007117045719e-18,4.4117499683130063e-18,3.7465142841402734e-18,1.8732571075447852e-18,3.4395959534078575e-18,1.1757437237526185e-19,2.9219122318650126e-18,1.4609560962752364e-18,1.7688788366850559e-19,1.2165869768006145e-19,1.2097287976328329e-19,2.4784105220014625e-20,1.5753144251423476e-20,1.4648807546549092e-21,1.1820934250054167e-19
4.194303e-09,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.2852309149442039e-17,3.5709424667447763e-17,1.285323909240349e-17,1.2336053159688666e-17,1.255980393401115e-17,3.0458002571138481e-18,2.7633585910942405e-18,5.9224238522438595e-18,5.0278651953755651e-18,2.5139323831704654e-18,9.7802699517930624e-18,4.4216328884435614e-19,8.3089908208925388e-18,4.1544951606501889e-18,6.9138413473950427e-19,4.7910809447047139e-19,4.7642362978177056e-19,6.8953250480484185e-20,8.9654664928728389e-20,5.7628357869588525e-21,4.6554524278322552e-19
8.388607e-09,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,2.4804356485782117e-17,7.1421587943760718e-17,2.4807852492310469e-17,2.3412384005713284e-17,2.4242091445056755e-17,5.8000419143443885e-18,4.8345978056591462e-18,6.9119146139761436e-18,5.8632281185581011e-18,2.9316131457990279e-18,2.4493471281590516e-17,1.5777855281153098e-18,2.0810490568485953e-17,1.0405243080874953e-17,2.6441634858165966e-18,1.8587576556543129e-18,1.8484655099746093e-18,1.654015437323658e-19,4.4267614952685686e-19,2.2314134274232328e-20,1.8062964990166016e-18
9.999999999999999e-09,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,2.8936706522365669e-17,8.5143109997805287e-17,2.894191400045812e-17,2.7060297888023569e-17,2.8282253910137619e-17,6.7159840164766038e-18,5.3765555248423459e-18,6.9984740229225805e-18,5.9344806907642305e-18,2.9672390662724898e-18,3.0439663501060181e-17,2.2685051335992898e-18,2.5863077605970286e-17,1.2931534301192843e-17,4.002742414529512e-18,2.8483883498228304e-18,2.8327821264164804e-18,1.9983621982635778e-19,7.2278034321448192e-19,3.4140443483432977e-20,2.7682069164030965e-18
1.6777215e-08,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,4.6316591288642183e-17,1.4285324345842094e-16,4.6328996893297408e-17,4.2402735568900628e-17,4.527441514006912e-17,1.0568263723352571e-17,7.6559274619267045e-18,7.3625265691995774e-18,6.2341555690490201e-18,3.1170749676457448e-18,5.5448226342448439e-17,5.1735415034234845e-18,4.7113305613194123e-17,2.3556638638065804e-17,9.7166691191615425e-18,7.0105883748814625e-18,6.9726321429544173e-18,3.4466197204468327e-19,1.9008457456474595e-18,8.3879669213737723e-20,6.8138206862084927e-18
3.3554431e-08,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,8.151620953356317e-17,2.8574097069206457e-16,8.1555870873488564e-17,7.0899838039259973e-17,7.9705104060351277e-17,1.7845465626031383e-17,1.0573532209490777e-17,7.6292707098706626e-18,6.4361951632560645e-18,3.2180905244948813e-18,1.1799214486095772e-16,1.5100200290062672e-17,1.0025882232694075e-16,5.0129337894718624e-17,3.3361376811493135e-17,2.514087981548246e-17,2.501019219001855e-17,6.3111339823570747e-19,7.1430902144260747e-18,2.9930797005053016e-19,2.4442038553897738e-17
6.7108863e-08,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,0.999999999999999,11.0,1.3026090753191382e-16,5.7158697111692512e-16,1.3036752946243506e-16,1.0514360503906343e-16,1.274216669134711e-16,2.6825554976092534e-17,1.2619654876053354e-17,8.0238527264596315e-18,6.7220426732493179e-18,3.3610053098957682e-18,2.4321860119379247e-16,3.8766859605454821e-17,2.0666837417892945e-16,1.0333385295918389e-16,1.0344954945769554e-16,8.3058060690386885e-17,8.2654827421410315e-17,1.0154467195911575e-18,2.3377121420051726e-17,9.8348685505733291e-19,8.0784025535190694e-17
