Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120)
2.62143e-10,0.35912581801968607,89.099999999999994,0.0,0.0,0.0,0.99999999999911837,10.999999999999988,3.7660500445220129e-13,8.5987436800612834e-15,3.7660656013294577e-13,3.6385358300789916e-13,3.6444447289812711e-13,1.2886398830873154e-13,1.3082228986372275e-13,3.7233583658735618e-15,3.0725002722197537e-15,1.5362501065775629e-15,1.1896123773743854e-16,8.4030197273219234e-16,9.84491320953058e-17,4.9224565557661421e-17,5.9088989022798114e-16,3.953772356311456e-16,3.938215548866341e-16,2.7351127671103357e-15,6.3490760613045733e-17
3.93215e-10,0.35912581801968757,89.099999999999994,0.0,0.0,0.0,0.9999999999986775,10.99999999999998,5.6464060445625415e-13,1.2898140623504104e-14,5.6464398717236487e-13,5.4538121229598087e-13,5.4666777331655251e-13,1.9144420211704331e-13,1.9566785667575983e-13,5.5087344803005811e-15,4.5453500989937909e-15,2.2726749173658162e-15,2.5475596112060286e-16,1.8264154583664338e-15,2.1108344599463881e-16,1.0554171972867431e-16,1.2865610205717634e-15,8.6106870092681596e-16,8.5768598481593358e-16,5.8538318759654391e-15,1.9623814111745034e-16
5.24287e-10,0.35912581801968907,89.099999999999994,0.0,0.0,0.0,0.99999999999823663,10.999999999999972,7.5249185169624372e-13,1.7197537566945015e-14,7.5249777923734174e-13,7.2663375957566708e-13,7.2889107373489758e-13,2.5278267288667282e-13,2.6012677905159353e-13,7.2446522132173182e-15,5.9769253202752595e-15,2.988462286982708e-15,4.4000877706034681e-16,3.1991733801749584e-15,3.6499265399979e-16,1.8249631540959424e-16,2.2573141592304737e-15,1.5111129302023646e-15,1.5051853891041961e-15,1.0105088563884474e-14,4.3819098121109875e-16
7.864310000000001e-10,0.3591258180196921,89.099999999999994,0.0,0.0,0.0,0.99999999999735489,10.99999999999995,1.1276399496948441e-12,2.5796331453821094e-14,1.1276531086017663e-12,1.0883125723073867e-12,1.0933376745713441e-12,3.7185831174423427e-13,3.8789322563561703e-13,1.0579720013638203e-14,8.7252455365175297e-15,4.3626210005843295e-15,9.4728012970244232e-16,7.0960873913477138e-15,7.8764323869417569e-16,3.9382153468441287e-16,5.0251022639571471e-15,3.3655978698804999e-15,3.3524389629580776e-15,2.1730614152278278e-14,1.4003871304521545e-15
9.999999999999999e-10,0.3591258180196952,89.099999999999994,0.0,0.0,0.0,0.99999999999663658,10.999999999999929,1.432728010923819e-12,3.2801778122921851e-14,1.4327491556405075e-12,1.382160406509714e-12,1.3902527139923332e-12,4.6542359463377251e-13,4.9086038131940755e-13,1.3170655120603783e-14,1.0857901366566412e-14,5.428946405427325e-15,1.486699905996698e-15,1.1395213823236331e-14,1.2383837180461928e-15,6.1919160628143435e-16,8.0923074826193838e-15,5.421948244755958e-15,5.4008035280676733e-15,3.4076501159465011e-14,2.7554993494063546e-15
1.0485750000000002e-09,0.3591258180196952,89.099999999999994,0.0,0.0,0.0,0.99999999999647315,10.999999999999924,1.5020501078569903e-12,3.4395125340689503e-14,1.5020733313995777e-12,1.4488925432228282e-12,1.4577842754074647e-12,4.8627258968054178e-13,5.1413873502855401e-13,1.3744137230698066e-14,1.1329625253097777e-14,5.6648076055498671e-15,1.6251980402364692e-15,1.2513938593489218e-14,1.3542383437881195e-15,6.7711886731920181e-16,8.8917321846367613e-15,5.9580226456758227e-15,5.9347991030885217e-15,3.7244780240473517e-14,3.1353037010278522e-15
1.3107190000000003e-09,0.3591258180196982,89.099999999999994,0.0,0.0,0.0,0.99999999999559142,10.999999999999892,1.8757238488671554e-12,4.2993919227550238e-14,1.875759939307075e-12,1.8083773706322383e-12,1.8222308762432586e-12,5.9621984139618756e-13,6.388830839729291e-13,1.6753716760597667e-14,1.3802494606822076e-14,6.9012361542596619e-15,2.4579472968746807e-15,1.943295024407431e-14,2.0523501453412043e-15,1.02617426365494e-15,1.385350561102069e-14,9.2868645731136202e-15,9.2507741331944128e-15,5.6276508902091234e-14,5.8196839187245137e-15
1.5728630000000004e-09,0.3591258180197012,89.099999999999994,0.0,0.0,0.0,0.99999999999470968,10.999999999999854,2.2486629301783178e-12,5.1592713114403292e-14,2.2487146572746491e-12,2.1667711342970738e-12,2.1866774770787242e-12,7.0189216056528704e-13,7.6214674767816812e-13,1.962333004745098e-14,1.6155623237550823e-14,8.077790307823161e-15,3.4306537333286088e-15,2.7832647133676576e-14,2.8702117224661841e-15,1.4351040657835271e-15,1.990634278165053e-14,1.3350366199214683e-14,1.3298639102883676e-14,7.8478235098910643e-14,9.6089991476468042e-15
2.0971510000000007e-09,0.3591258180197071,89.099999999999994,0.0,0.0,0.0,0.99999999999294631,10.999999999999764,2.9923438856391695e-12,6.8790300888086328e-14,2.9924350747067844e-12,2.8803009176913361e-12,2.9155706787486649e-12,9.0107666592396453e-13,1.004306893080216e-12,2.4990433434221487e-14,2.0540860722971787e-14,1.0270371962947689e-14,5.7481511012212978e-15,4.8999222920953393e-14,4.8269932991993813e-15,2.4134903675246882e-15,3.5269761057329119e-14,2.3674576611863945e-14,2.3583387544249071e-14,1.3128195874224853e-13,2.0947491334956136e-14
2.5690102000000005e-09,0.3591258180197125,89.099999999999994,0.0,0.0,0.0,0.99999999999135925,10.999999999999662,3.659162269804353e-12,8.4268129884374776e-14,3.6592981256491806e-12,3.5187874655634193e-12,3.5715745602504748e-12,1.0674573418439968e-12,1.2173857615390828e-12,2.9463964899537744e-14,2.4175774886572052e-14,1.2087769365506042e-14,8.1906978428621751e-15,7.2914403532068541e-14,6.8999586902656036e-15,3.4499641996311407e-15,5.2787094687054948e-14,3.546084173165407e-14,3.5324985886826707e-14,1.868220688346222e-13,3.6020754392532533e-14
