Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30)
1e-12,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6196481185316189e-18,7.7791926551335189e-19,3.619645716246037e-18,3.5168802676102113e-18,3.5168928218263287e-18,1.061350700141982e-18,1.061361557547512e-18,3.4479419359976211e-19,2.8875839915905725e-19,1.4437907984114397e-19,8.4825906110855937e-23,3.9011945331654203e-23,7.1040166760338706e-23,3.5519933263196622e-23,3.8948967629388129e-23,2.6229271248478645e-23,2.6118263522289197e-23,4.1140276485817637e-23,8.72660439045126e-27,3.750479283404681e-24,2.5376819073099595e-23,7.658426876479418e-24,1.645790087981503e-29,3.4014075373338394e-25,3.2680063701623286e-33,8.6102642131723082e-30,6.1897939193847607e-30,1.2290903637282497e-33,1.3629620991981719e-33,2.6230362167777022e-37,1.2469429924483873e-28,2.0476391479550506e-22,2.4760443953689317e-32,1.9542752577170866e-39,3.9914662634693299e-35,3.2793086760485137e-42,3.9914662634693299e-35,3.6195100608983343e-25
1.023e-12,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.7028759466620758e-18,7.9580631076036635e-19,3.7028734605880959e-18,3.5977449497444598e-18,3.5977579418344859e-18,1.085754209351236e-18,1.0857654454442171e-18,3.5272118555002672e-19,2.9539710108618692e-19,1.4769842662869061e-19,8.7784413466617877e-23,4.0372626009220918e-23,7.3517864231024334e-23,3.6758775855542092e-23,4.0307456819692363e-23,2.714411461552605e-23,2.7029234956835906e-23,4.2575134542232767e-23,9.0837109765963345e-27,3.8812911067333687e-24,2.6261929842781123e-23,7.9255414216237995e-24,1.7131385342798812e-29,3.52004357669296e-25,3.41169907064145e-33,8.9626139314429959e-30,6.4430907121776648e-30,1.2831329054411628e-33,1.4228904712037072e-33,2.7423838630642552e-37,1.2979690024729315e-28,2.0946824164220835e-22,2.5849139782330611e-32,2.0431919718556416e-39,4.166969284405063e-35,3.4310295750931032e-42,4.166969284405063e-35,3.7457524517494511e-25
2.047e-12,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.4082844896218892e-18,1.5921703346883055e-18,7.4082745403351578e-18,7.1979211310446135e-18,7.1979731256367478e-18,2.172164493055516e-18,2.1722094573417139e-18,7.0551274393284792e-19,5.9085332543493487e-19,2.9542616701159557e-19,3.5124296584928932e-22,1.6157017017300494e-22,2.9416028008970133e-22,1.4707888959129274e-22,1.6131287008793582e-22,1.08632792847964e-22,1.081729494303957e-22,1.7034612355658665e-22,7.2696017187976106e-26,1.553315915926739e-23,1.0510211399788859e-22,3.1717532121276295e-23,1.3710314993320668e-28,1.4086999709656881e-24,5.4610183216324662e-32,7.1737739429580229e-29,5.1564886802078984e-29,2.0538966961959176e-32,2.2771145065646654e-32,8.7776826544748922e-36,1.0385079931663469e-27,4.1840497146947897e-22,4.1365962227644447e-31,6.529135215889365e-38,6.6701016885601572e-34,2.1928697613359382e-40,6.6701016885601572e-34,1.4989762625099194e-24
4.095e-12,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4818945140539877e-17,3.1849050181046561e-18,1.4818905334806589e-17,1.4398033095974612e-17,1.439824112041617e-17,4.3446795578503854e-18,4.3448594326609068e-18,1.4105686387683616e-18,1.1813247941970362e-18,5.9066041544996858e-19,1.4047078806926798e-21,6.4640905160846627e-22,1.1764250455292533e-21,5.8820252236079673e-22,6.4540769397924433e-22,4.346396600561478e-22,4.3279913610045974e-22,6.8121255768308305e-22,5.8145418512674653e-25,6.2147665708719235e-23,4.2051254737578162e-22,1.268931461497269e-22,1.0966488923226138e-27,5.6358228058660113e-24,8.7363662553759526e-31,5.7396300257732105e-28,4.1246203709097937e-28,3.2858207311514345e-31,3.6413554714182271e-31,2.8073080880305976e-34,8.3025450347047818e-27,8.342569572025564e-22,6.6143724595621573e-30,2.08142075638229e-36,1.0671073887694193e-32,1.3981815479510901e-38,1.0671073887694193e-32,5.9965855131897071e-24
8.191e-12,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.9639640724987746e-17,6.3704008405521158e-18,2.963948149594322e-17,2.8797295503267485e-17,2.8798127642550252e-17,8.6884880456005338e-18,8.6892074033968579e-18,2.8185748581602782e-18,2.3605065607068458e-18,1.1802453662526689e-18,5.6145155422225392e-21,2.5856468122218963e-21,4.70212557753989e-21,2.3509828737238003e-21,2.5818657341945312e-21,1.7387431884330764e-21,1.7313747825961155e-21,2.7224062866787214e-21,4.6476793026095521e-24,2.4861318336072008e-22,1.6822217690524248e-21,5.0755721066527194e-22,8.7663514695697334e-27,2.2542615959076125e-23,1.3967279743091419e-29,4.5905743137284989e-27,3.2972715658165758e-27,5.2534062191871227e-30,5.8168285415911315e-30,8.9689186616748351e-33,6.6301793018365951e-26,1.65796096843925e-21,1.0564442585320884e-28,6.6071623232155988e-35,1.7061847207923438e-31,8.8772403718909558e-37,1.7061847207923438e-31,2.3982363565369197e-23
1e-11,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6184654062514388e-17,7.7772995332946407e-18,3.618438936490864e-17,3.5155886176827027e-17,3.5157269517122536e-17,1.0605854334496481e-17,1.0607049874975339e-17,3.438567345272091e-18,2.8797418455664317e-18,1.4398577891376511e-18,9.3254172866072475e-21,4.2981450730419048e-21,7.8100555090614996e-21,3.9048246515013259e-21,4.2922560151453477e-21,2.8906425444847396e-21,2.8783828809063998e-21,4.5211562574639008e-21,1.1816137651382682e-23,4.1331001341002454e-22,2.7966639588090281e-21,8.4368632176002241e-22,2.228952772346722e-26,3.7471456982600944e-23,6.0143229429233516e-29,1.16807309874999e-26,8.3842386910533479e-27,2.2622585406037109e-29,2.5013570450508672e-29,7.0146626671848286e-32,1.6834561222479432e-25,2.0148324147462931e-21,4.5418168742795716e-28,5.1087222562049678e-34,7.3478683937477684e-31,1.3037848093279771e-35,7.3478683937477684e-31,3.9858933500666147e-23
1.6383e-11,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,5.9278529205373734e-17,1.2741497629356297e-17,5.9277892365243769e-17,5.7591974772366326e-17,5.759530300821974e-17,1.73712214002913e-17,1.7374097136492991e-17,5.6261914719911042e-18,4.7118473310604811e-18,2.3558921148838312e-18,2.2419218190094018e-20,1.0340641700357608e-20,1.8776289203313814e-20,9.3875068336759706e-21,1.0327314701330559e-20,6.9550834453569108e-21,6.9255651316054309e-21,1.0867989349515747e-20,3.7109819044538477e-23,9.9443763430815032e-22,6.7289384182984676e-21,2.0297073920296687e-21,7.0005632769695863e-26,9.0147406265718072e-23,2.2307362569603554e-28,3.6698127365986816e-26,2.6333443312604639e-26,8.3909191680035673e-29,9.2748674709558193e-29,2.8601025863919871e-31,5.284040411881065e-25,3.2740421669728573e-21,1.6839845291259221e-27,2.0803372588127452e-33,2.7254373028614802e-30,5.5909181343709163e-35,2.7254373028614802e-30,9.5878914648814496e-23
3.2767e-11,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.1854629686196358e-16,2.548410657613906e-17,1.1854375035758179e-16,1.1516595548477393e-16,1.1517926455547859e-16,3.4717177160981488e-17,3.4728665446711333e-17,1.1208051723617861e-17,9.3866121042146632e-18,4.6931807012507237e-18,8.9358904664028965e-20,4.1342956315839708e-20,7.4841383203746203e-20,3.7415614710501948e-20,4.1304020202744956e-20,2.7818489217637498e-20,2.7700070165226527e-20,4.3295516229647888e-20,2.9570460285025629e-22,3.9772396215446798e-21,2.691352329336779e-20,8.1138657528303984e-21,5.5798920070684493e-25,3.6037064171698756e-22,3.5559195331704188e-27,2.9312886441577811e-25,2.0993156064278559e-25,1.3377569995352924e-27,1.4736157078764217e-27,9.0879615845419827e-30,4.1948588147520203e-24,6.3860594780773343e-21,2.6739724723205148e-26,6.4481128447210845e-32,4.345973079717054e-29,3.4667461895307529e-33,4.345973079717054e-29,3.8307582037134572e-22
6.5535e-11,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999944,11.0,2.3704180658115141e-16,5.0970947564536928e-17,2.3703162787599949e-16,2.3025244042236929e-16,2.3030564318003689e-16,6.9331232562166563e-17,6.9377066666356685e-17,2.2239941968465072e-17,1.862585165151807e-17,9.3124311540969029e-18,3.5489977607391844e-19,1.6520706134490374e-19,2.9726156424074661e-19,1.4859056792581107e-19,1.651660933457651e-19,1.1125374567642133e-19,1.1077732893024988e-19,1.7177666161320222e-19,2.3469079034426868e-21,1.5904095202935062e-20,1.0763097676195435e-19,3.2414238753204717e-20,4.4311218655522277e-24,1.4396739264039534e-21,5.647149814613677e-26,2.3376294055601831e-24,1.6677029490390433e-24,2.1251095468788697e-26,2.3249740129630728e-26,2.8673850129394151e-28,3.3047721795486616e-23,1.2167541750014989e-20,4.2138980789610366e-25,1.9402305385291704e-30,6.9064875925462811e-28,2.0873021736614991e-31,6.9064875925462811e-28,1.5287433961563912e-21
9.999999999999999e-11,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.6158985305883636e-16,7.7780985789245991e-17,3.6156364657588636e-16,3.5116988792473683e-16,3.5130688452567036e-16,1.0557490034543968e-16,1.0569254701911052e-16,3.3572659230603416e-17,2.8117224919831273e-17,1.4057364828421983e-17,9.0434200725840046e-19,4.2515164206463899e-19,7.5755156001206384e-19,3.7859081643424386e-19,4.2552715851513108e-19,2.8668610251080551e-19,2.854465686249969e-19,4.3698475766832369e-19,1.0831744810371095e-20,4.0974465853139462e-20,2.773357503844522e-19,8.3379175727533636e-20,2.0472669581487599e-23,3.7034541658769262e-21,4.9495522921866905e-25,1.0881014241183745e-23,7.7099040990739255e-24,1.8636004369985556e-25,2.012878714076347e-25,4.8280443237193925e-27,1.5054256680398173e-22,1.745400887444092e-20,3.6404687612762015e-24,3.0025790019246266e-29,6.0609743150538219e-27,6.367154289236274e-30,6.0609743150538219e-27,3.9258400288609802e-21
1.31071e-10,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999889,11.0,4.738728169964007e-16,1.0195085950692873e-16,4.7383216109856696e-16,4.6017978234940138e-16,4.603923210511362e-16,1.3824941076743531e-16,1.3843179814461218e-16,4.3789367718980048e-17,3.6673918923015941e-17,1.8335033019193911e-17,1.3996769721541803e-18,6.5949773426086415e-19,1.1725137088184066e-18,5.8594139590343052e-19,6.6024872114032694e-19,4.4484245705022678e-19,4.4291495529424078e-19,6.7607603149767749e-19,1.8481022847080009e-20,6.3575988745131373e-20,4.3032855529449524e-19,1.2932525310253361e-19,3.4934498366684992e-23,5.7443047627335851e-21,8.9025852265127183e-25,1.8583074598870086e-23,1.3157089125411774e-23,3.3520960500806622e-25,3.6179339228211212e-25,8.9221372646328191e-27,2.5646690538686155e-22,2.2219882079809791e-20,6.5425433923649312e-24,5.5345575849084104e-29,1.0902447848906624e-26,1.1919116985800229e-29,1.0902447848906624e-26,6.0868784584203679e-21
2.62143e-10,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999767,11.0,9.4689555415188112e-16,2.0393403542680824e-16,9.4673339510179351e-16,9.1905417018012342e-16,9.1990215290824402e-16,2.7485782321770091e-16,2.7557989247143663e-16,8.4929551709303392e-17,7.1130301475448266e-17,3.5557838046520592e-17,5.4453816424454111e-18,2.6273754180025562e-18,4.5627697692526702e-18,2.2789562248311904e-18,2.6376445710558001e-18,1.7779691159429592e-18,1.7700852003992926e-18,2.6195382475498015e-18,1.4332081453558001e-19,2.5397889258189286e-19,1.7197325475140802e-18,5.1466127525781499e-19,2.7158218246234769e-22,2.28651802302183e-20,1.3836186384042221e-23,1.4680653028771049e-22,1.0242004160539382e-22,5.215468693690441e-24,5.4807409737745515e-24,2.7020656731596006e-25,1.9331748859678906e-21,3.782730392776696e-20,9.8694477759051832e-23,1.4449008461408759e-27,1.6988790088623982e-25,6.2336266927571033e-28,1.6988790088623982e-25,2.4130637423848085e-20
5.24287e-10,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999534,11.0,1.8903899927236144e-15,4.0798629125263379e-16,1.8897449464831446e-15,1.8328993617307809e-15,1.8362741505104023e-15,5.4325489096074513e-16,5.4608514093851497e-16,1.6009289587377503e-16,1.3407972266656219e-16,6.7013400655146697e-17,2.0644616308801845e-17,1.04254767876342e-17,1.7306625492466411e-17,8.6352577419387529e-18,1.0523826755057943e-17,7.1006486106351789e-18,7.067732236814917e-18,9.8514295234477426e-18,1.0794793108351151e-18,1.0133276439551695e-18,6.8662700574403986e-18,2.03783145336442e-18,2.0562914813890262e-21,9.0613561811109289e-20,2.0933688764459029e-22,1.1456838436552247e-21,7.7739859789238584e-22,7.9068048478465125e-23,7.8897484428425092e-23,7.7728029033146177e-24,1.3795669994966207e-20,5.8377190846364923e-20,1.4103031002442353e-21,3.3117531244896215e-26,2.5833817120428165e-24,2.8652276904511934e-26,2.5833817120428165e-24,9.4907149290083028e-20
9.999999999999999e-10,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999112,11.0,3.5933368230697188e-15,7.7856824440103406e-16,3.5909603718292188e-15,3.4772136012623109e-15,3.4896535694379835e-15,1.013460101437803e-15,1.0235972052762277e-15,2.7499635462880865e-16,2.3027459031620627e-16,1.1505495231551387e-16,6.9694089088917012e-17,3.82077681162939e-17,5.8472442363874552e-17,2.91200160237003e-17,3.8977567098653747e-17,2.634771878345393e-17,2.6215319544918472e-17,3.2750081122599802e-17,7.0937117120943425e-18,3.7531255968879429e-18,2.5465134640404602e-17,7.4382212178521357e-18,1.3668778371241791e-20,3.3173600926214799e-19,2.7580958145210313e-21,8.0308997845846297e-21,5.1896590631854148e-21,1.0453285712942863e-21,9.4678457509585988e-22,1.8549798964698177e-22,8.2327029597487549e-20,7.9340200552394494e-20,1.6735906298093174e-20,5.8679528383727188e-25,3.4359556304513197e-23,1.0167230872854775e-24,3.4359556304513197e-23,3.4300479317036775e-19
1.0485750000000002e-09,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,0.99999999999999067,11.0,3.7672245290690563e-15,8.1640832523587286e-16,3.7646712842621061e-15,3.6451143401221794e-15,3.6584799527287656e-15,1.0614727016798045e-15,1.0723559075299072e-15,2.867291336552927e-16,2.4009703724551341e-16,1.1996046965874887e-16,7.4702525142365432e-17,4.104461470507675e-17,6.2675879214514882e-17,3.1211712348031511e-17,4.1882975269526053e-17,2.8313034916594452e-17,2.8170477494125529e-17,3.5088259817377578e-17,7.7078242944521279e-18,4.0328860523804575e-18,2.7364262574931286e-17,7.989654398803661e-18,1.4854528078890313e-20,3.5635699478269145e-19,3.0183492969211845e-21,8.7339483965221807e-21,5.6401944744556774e-21,1.1439933227216782e-21,1.0354044266222445e-21,2.0364548813046592e-22,8.9324758885298677e-20,8.1480731074937278e-20,1.8300801887104864e-20,6.4333125580393e-25,3.7604217856392709e-23,1.1176148846806626e-24,3.7604217856392709e-23,3.683380152002154e-19
2.0971510000000003e-09,0.227428544162812,89.099999999999994,0.0,0.0,0.0,0.99999999999998124,10.999999999999998,7.4806848214742042e-15,1.6344586213470151e-15,7.4706657310765304e-15,7.2087277466190324e-15,7.2611693894693977e-15,2.028761687053836e-15,2.0691455604630343e-15,4.724755466848049e-16,3.9530918674220425e-16,1.9739675252462541e-16,2.5025321092649489e-16,1.5914858185541751e-16,2.102371306637848e-16,1.043176241372764e-16,1.658607496239993e-16,1.1254123083945285e-16,1.118860249130609e-16,1.1401754343946466e-16,5.0257913486287487e-17,1.5972511686936603e-17,1.0865864206050665e-16,3.073718947886819e-17,9.9457465702653872e-20,1.3848665318139048e-18,4.0220009259976614e-20,6.3767265464198398e-20,3.8020374723778342e-20,1.5322465409767077e-20,1.1639864728333369e-20,4.560806707507472e-21,4.9432762780536304e-19,1.0830175469493998e-19,2.031486378588451e-19,1.0386313341323927e-23,5.0975294229438284e-22,3.6279304167799866e-23,5.0975294229438284e-22,1.4024252846769306e-18
3.1457270000000003e-09,0.227428544162812,89.099999999999994,0.0,0.0,0.0,0.9999999999999718,10.999999999999996,1.1154350813535952e-14,2.4536900424162043e-15,1.1133324475502256e-14,1.0712585857155343e-14,1.0822573974779145e-14,2.9316564508954386e-15,3.0132152934001938e-15,6.1010363948764335e-16,5.0992097074404595e-16,2.5451122437629802e-16,4.7385434749408375e-16,3.3106760348780202e-16,3.9839924244517369e-16,1.9717756470657927e-16,3.5003196595368529e-16,2.3811296236018283e-16,2.3659820964146895e-16,2.1116443979690441e-16,1.283256379324961e-16,3.3713046170184887e-17,2.2973657983639088e-16,6.3604042207076594e-17,2.5843017233834392e-19,2.8910223557987969e-18,1.3622937178608101e-19,1.7320155878492317e-19,9.9135797442577218e-20,5.2008859537161822e-20,3.62595259885376e-20,1.8054631654494894e-20,1.1511150571797041e-18,1.2976066532021252e-19,6.3035498169016798e-19,3.6987801134724199e-23,1.7408518109591965e-21,1.6149732215214813e-22,1.7408518109591965e-21,2.8939847500856133e-18
