Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92)
1e-12,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.6287724544350961e-22,2.1429454119389414e-21,7.6287724544350961e-22,7.4625639307505257e-22,7.4625639307505257e-22,1.7630226201635105e-22,1.762980759783474e-22,9.4083805278669408e-22,8.0107460435564194e-22,4.0062992850102511e-22,2.1757364911781289e-25,4.1860380036774988e-27,1.8525264646211887e-25
1.023e-12,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.8041841032731499e-22,2.19221907822317e-21,7.8041841032731499e-22,7.6341538754592992e-22,7.6341538754592992e-22,1.8035605581592726e-22,1.8035172377464527e-22,9.6246856144600603e-22,8.1949185599070315e-22,4.0984178489757798e-22,2.2516208437409177e-25,4.3320412819928615e-27,1.9171380450857174e-25
2.047e-12,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.5613815773280402e-21,4.3859683945297013e-21,1.5613815773280402e-21,1.5273636631189057e-21,1.5273636631189057e-21,3.6083800584923264e-22,3.6082066894347088e-22,1.9251584976292762e-21,1.6391722009464552e-21,8.1996965229184765e-22,9.0094002453078149e-25,1.733690576184402e-26,7.6710363759051295e-25
4.095e-12,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.1233079113294902e-21,8.7734670271427638e-21,3.1233079113294902e-21,3.0552602142648574e-21,3.0552602142648574e-21,7.2180190591584345e-22,7.2173254297930125e-22,3.8491876104999034e-21,3.2773827888295948e-21,1.6402253870797181e-21,3.6032554010936722e-24,6.9362936542378944e-26,3.0679853324522837e-24
8.191e-12,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.247160579332391e-21,1.7548464292368886e-20,6.247160579332391e-21,6.1110533165567606e-21,6.1110533165567606e-21,1.4437297060490651e-21,1.4434522408544822e-21,7.6918503949613885e-21,6.5492100220363242e-21,3.2807368566501107e-21,1.4403327436671405e-23,2.7746519458277241e-25,1.2263691284392048e-23
1e-11,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.6268113304108215e-21,2.1423945262289314e-20,7.6268113304108215e-21,7.4606455338531603e-21,7.4606455338531603e-21,1.7625694009809493e-21,1.7621081462334341e-21,9.3842114999250956e-21,7.9901673545846067e-21,4.0052693880012364e-21,2.3925598308543306e-23,4.6125474751491102e-25,2.037142146983083e-23
1.6383e-11,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.2494865915338193e-20,3.5098458822821136e-20,1.2494865915338193e-20,1.2222639521140567e-20,1.2222639521140567e-20,2.8875853063155083e-21,2.8864755558707207e-21,1.5355654801740096e-20,1.3074540297456734e-20,6.5617597957481873e-21,5.752463367347326e-23,1.1097504447873485e-24,4.8979294202642191e-23
3.2767e-11,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.4990276587349793e-20,7.0198447883725624e-20,2.4990276587349793e-20,2.444581193030818e-20,2.444581193030818e-20,5.7752965068483952e-21,5.7708588228271549e-21,3.0597661075310779e-20,2.6052314408313003e-20,1.3123805673603945e-20,2.2936978630379458e-22,4.4376840212407777e-24,1.9529694019410153e-22
6.5535e-11,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.9981097931372993e-20,1.403984260055346e-19,4.9981097931372993e-20,4.8892156748643406e-20,4.8892156748643406e-20,1.1550718907914168e-20,1.1532979574467311e-20,6.0743077371785859e-20,5.1719562913916202e-20,2.6247897426612467e-20,9.116563435730021e-22,1.7739333446855834e-23,7.7623194964709852e-22
9.999999999999999e-11,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.6266152180083904e-20,2.1423394376579294e-19,7.6266152180083904e-20,7.4604536941634235e-20,7.4604536941634235e-20,1.762524079062693e-20,1.7579563219751364e-20,9.1753103458621018e-20,7.8122970653312965e-20,4.0051663964096222e-20,2.3258483669249471e-21,4.5677570875568269e-23,1.9803573228378226e-21
1.31071e-10,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.9962740619419393e-20,2.8079838224915255e-19,9.9962740619419393e-20,9.7784846385313865e-20,9.7784846385313865e-20,2.3101563710045713e-20,2.303069916760051e-20,1.1970936402859218e-19,1.0192625752030258e-19,5.249608091132263e-20,3.6007754047188919e-21,7.0864542445204843e-23,3.0659043842162935e-21
2.62143e-10,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.9992602599551219e-19,5.6159829473638846e-19,1.9992602599551219e-19,1.9557022565865477e-19,1.9557022565865477e-19,4.6203253314308805e-20,4.5920538214289115e-20,2.3257217450123115e-19,1.9802285287520625e-19,1.049924477151754e-19,1.4048776447532798e-20,2.827151000196946e-22,1.1962043197242937e-20
5.24287e-10,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.998525967476978e-19,1.1231981197108605e-18,3.998525967476978e-19,3.9114098420533658e-19,3.9114098420533658e-19,9.2406632522834994e-20,9.1281680078240862e-20,4.3969505693116823e-19,3.7437567578362934e-19,2.0998518007100869e-19,5.3547517624937383e-20,1.124952444594132e-21,4.5594689300116804e-20
