Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399)
3.2767900000000004e-10,0.23564895224662258,89.099999999999994,0.0,0.0,0.0,0.99999999999765743,10.999999999999956,9.9529502941120675e-13,2.7967122967477884e-14,9.9363432033079056e-13,9.5988762262699967e-13,9.6019124137253053e-13,3.4444562172790454e-13,3.5209580453833358e-13,1.1752098139949831e-14,9.6841150368455474e-15,4.8420585688615584e-15,6.9893478432551409e-16,4.379145314620043e-15,5.7844039225998997e-16,2.8922023358846283e-16,2.9417483023470446e-15,1.9695921623834025e-15,1.9589790231603479e-15,9.9807953933007179e-15,4.2036948822775427e-16,2.7364810833689292e-15,1.8920030059612268e-15,6.8516415607923273e-16,1.2540437141081127e-18,6.3873057305180379e-17,4.2088522756955322e-20,8.779672973768315e-19,4.187874900443777e-19,1.4041264145663963e-20
4.5875100000000005e-10,0.2356489522466247,89.099999999999994,0.0,0.0,0.0,0.99999999999672029,10.999999999999932,1.3928056197311995e-12,3.9212919194409938e-14,1.3896160819620856e-12,1.3424146455062498e-12,1.3429883470559472e-12,4.7646997717053836e-13,4.9100230169352472e-13,1.6114789958992649e-14,1.3280035645872354e-14,6.6400201459726491e-15,1.3118558423259713e-15,8.3937156020360952e-15,1.0875592903451698e-15,5.437797622066723e-16,5.6508576223711906e-15,3.7857041330940292e-15,3.7634584719558608e-15,1.8729366470014103e-14,1.0790227210950324e-15,5.2540113745585922e-15,3.6344462809101999e-15,1.3062661669247474e-15,3.2551255588350228e-18,1.264244101352107e-16,1.5074249999298119e-19,2.285425697885537e-18,1.090035574692556e-18,5.0416731412345551e-20
5.898230000000001e-10,0.23564895224662685,89.099999999999994,0.0,0.0,0.0,0.99999999999578315,10.999999999999899,1.7899580649414416e-12,5.0493409709899039e-14,1.7847335236543868e-12,1.7241058908784448e-12,1.7250309176962718e-12,6.0523589846736298e-13,6.2878847010570734e-13,2.029776656546457e-14,1.6727319414143019e-14,8.3636637331372146e-15,2.1018173833547584e-15,1.3722456167250761e-14,1.7453140318219867e-15,8.7265727930785429e-16,9.2578232502518285e-15,6.2057468530766018e-15,6.166341129412972e-15,3.0002087766009752e-14,2.1810051717477399e-15,8.6036739231855266e-15,5.954414504971338e-15,2.1245122378599737e-15,6.6469919595241511e-18,2.1288435877143626e-16,3.8424365521171611e-19,4.6781612819127388e-18,2.2313249157585951e-18,1.2877791120510689e-19
7.208950000000001e-10,0.2356489522466289,89.099999999999994,0.0,0.0,0.0,0.99999999999484601,10.999999999999865,2.1867526606689094e-12,6.1808617601223252e-14,2.1789887496684814e-12,2.1049651432554267e-12,2.1063186687374563e-12,7.3082853603227129e-13,7.6546587939705163e-13,2.4313202736675116e-14,2.0035373992401656e-14,1.0017692946938555e-14,3.056747774961337e-15,2.0353372634210005e-14,2.5422973621331387e-15,1.2711491688871375e-15,1.3759914098549828e-14,9.2288726173972386e-15,9.1659693043959766e-15,4.3625977980136013e-14,3.8195030456762109e-15,1.2781888364116304e-14,8.8501585716004028e-15,3.1351680108408456e-15,1.1755778471664687e-17,3.2459602975139794e-16,8.0859024024207161e-19,8.2917669335546496e-18,3.9554523406846764e-18,2.715125684368479e-19
8.519670000000002e-10,0.23564895224663104,89.099999999999994,0.0,0.0,0.0,0.99999999999390887,10.999999999999824,2.5831896843379711e-12,7.3158569201072655e-14,2.5723838600007964e-12,2.4849961347147817e-12,2.4868513103211114e-12,8.5333294701164206e-13,9.0104625392363858e-13,2.8172829794225598e-14,2.3213306093478576e-14,1.1606660834010011e-14,4.1650147858890487e-15,2.8274318952328329e-14,3.4694031900924578e-15,1.7347023852197752e-15,1.9154402623941899e-14,1.2854253058338494e-14,1.276068317384559e-14,5.9434658620329254e-14,6.0812594914791732e-15,1.7785081421348114e-14,1.231992434959473e-14,4.3334886613585183e-15,1.8900532548952981e-17,4.6285591367770971e-16,1.5033688540904781e-18,1.3358020464353547e-17,6.373785803217134e-18,5.057367009222872e-19
9.999999999999999e-10,0.2356489522466352,89.099999999999994,0.0,0.0,0.0,0.9999999999928505,10.999999999999771,3.030496852044092e-12,8.6019039285561689e-14,3.0156532797704894e-12,2.9132121225227612e-12,2.9157174360349005e-12,9.880706286801835e-13,1.0528652365610961e-12,3.2356832480907325e-14,2.6655608705061207e-14,1.3327813615767308e-14,5.5888926794442517e-15,3.8757630026612003e-14,4.663340353308177e-15,2.3316713739706497e-15,2.6316935232215039e-14,1.7672022351639476e-14,1.7534237665112711e-14,7.9742379226246157e-14,9.470635363050748e-15,2.4423689827231898e-14,1.6926925335349073e-14,5.9072408360326717e-15,2.9760359867736596e-17,6.5228911920392581e-16,2.7244138019809121e-18,2.107696420411235e-17,1.0061043007240831e-17,9.1841772309490049e-19
1.1141110000000003e-09,0.2356489522466352,89.099999999999994,0.0,0.0,0.0,0.99999999999203459,10.999999999999726,3.3749919987284044e-12,9.5962804803750815e-14,3.3566013882399757e-12,3.2425865005551051e-12,3.245650432448695e-12,1.0893782911031569e-12,1.1689585420414034e-12,3.5463842718409111e-14,2.9209443109879882e-14,1.4604731181167166e-14,6.8027022493075997e-15,4.7942127078410323e-14,5.6833454211406625e-15,2.84167424981031e-15,3.261068415416637e-14,2.1908780946858079e-14,2.1729311577444665e-14,9.7052173343873904e-14,1.274716872324076e-14,3.0253566763384812e-14,2.0975120430631933e-14,7.2762354003711726e-15,4.038959060039898e-17,8.2335282765688604e-16,4.0587424414144536e-18,2.8646760656289291e-17,1.3679632541942982e-17,1.3702593617072222e-18
1.3762550000000004e-09,0.2356489522466394,89.099999999999994,0.0,0.0,0.0,0.99999999999016032,10.999999999999607,4.1653671316860536e-12,1.1890633541293698e-13,4.1374026422034257e-12,3.9969049561688586e-12,4.0014267964531542e-12,1.3140106241725685e-12,1.4326169320381037e-12,4.2251714492956274e-14,3.4779196155739997e-14,1.7389603937100117e-14,9.9346504141354334e-15,7.263098047965722e-14,8.3236830338867578e-15,4.1618437222997582e-15,4.9605383054480338e-14,3.3362849666946845e-14,3.3059147775182495e-14,1.4171164409990585e-13,2.2724976136760013e-14,4.5981655439939544e-14,3.1906186192367946e-14,1.0916858412031957e-14,7.3394313860748018e-17,1.3033192861943486e-15,8.8697648860777021e-18,5.2214356794658042e-17,2.4961466916595499e-17,3.004393856686989e-18
1.6383990000000006e-09,0.23564895224664348,89.099999999999994,0.0,0.0,0.0,0.99999999998828604,10.999999999999467,4.9543172958868782e-12,1.4198939222245988e-13,4.9148049242693156e-12,4.7479794822313089e-12,4.7541796951404622e-12,1.5278658102333394e-12,1.6921159543043104e-12,4.8610852478560927e-14,3.9981504131322392e-14,1.9990743932453498e-14,1.3487074158977531e-14,1.0224290424386606e-13,1.1331487697282639e-14,5.6657459875281155e-15,7.0116426230589983e-14,4.7209666044031595e-14,4.6736511070779272e-14,1.9236565863668361e-13,3.6469052091222627e-14,6.4941289102743428e-14,4.5098681451815378e-14,1.5219395866955054e-14,1.2008875541098598e-16,1.9109794115831076e-15,1.6944071530044655e-17,8.5658683713211026e-17,4.1008889283016374e-17,5.7578015785744777e-18
1.9005430000000007e-09,0.23564895224664745,89.099999999999994,0.0,0.0,0.0,0.99999999998641176,10.999999999999305,5.741844660336484e-12,1.6521220502305477e-13,5.6888252651581887e-12,5.4958361099762698e-12,5.5039094930033261e-12,1.7315293943935597e-12,1.9475469170687745e-12,5.4602443609615878e-14,4.4865529596689238e-14,2.2432727290714956e-14,1.7399294739483045e-14,1.3668321327579489e-13,1.4657609418457706e-14,7.3288049404393586e-15,9.4122332438922337e-14,6.3442526446072915e-14,6.2747943464025007e-14,2.4815718998268034e-13,5.4291570641750542e-14,8.7105719413268137e-14,6.0538415188770781e-14,2.0150462136984317e-14,1.823657270715599e-16,2.6530981064186602e-15,2.9443845679152517e-17,1.3036978590772393e-16,6.2527715734808447e-17,1.0037806682207055e-17
