Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28),C4H8O(297)
1e-12,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.8105682966222595e-21,1.4226167507363523e-20,9.8105675522443791e-21,9.5778808242199739e-21,9.5779146110142081e-21,2.4334570468857688e-21,2.4334373120789548e-21,6.151831331106478e-21,5.2143040535225576e-21,2.6071517199308748e-21,1.6139775257659813e-24,7.3184138398477541e-26,1.3680107007457709e-24,6.8400463998549729e-25,9.9858070540715613e-26,6.7981843945140899e-26,6.7612149931751079e-26,3.6355437272612322e-26,8.2237618205133087e-30,1.4367008203063354e-27,6.6008752365800112e-26,1.6770855607495839e-26,1.0442907367044243e-32,4.8462132520849282e-28,2.2113273007024932e-36,4.2734814456722832e-33,4.3828856642252857e-33,9.2809296292525494e-37,1.5862027592312212e-37,3.2553840613852991e-41,6.4084496396121789e-31,2.929286188158306e-25,1.3570240326562241e-34,3.9424654938873122e-43,1.5868576386947637e-38,2.6416643507537056e-46,1.1349638983544413e-38,5.1205233274655835e-28,3.1242592878147837e-33,9.861228024568633e-34,2.4950436178773906e-22,6.9006075816227808e-44,9.882353693350355e-44,5.6244680522058821e-41,1.7195251792694618e-27,2.1305455106613208e-33,4.4627617289569798e-39
1.023e-12,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0036146113906201e-20,1.4553275914551991e-20,1.0036145343565773e-20,9.7981079739098013e-21,9.7981429391419506e-21,2.4894099394581967e-21,2.4893895163310164e-21,6.2932638417295637e-21,5.3341825337411536e-21,2.6670909493391861e-21,1.6702688321017366e-24,7.5736698624765612e-26,1.4157233320122003e-24,7.0786092654857726e-25,1.0334099029738567e-25,7.0352963609593105e-26,6.9970375102596437e-26,3.7623415603534869e-26,8.560291750691457e-30,1.4868110944114451e-27,6.8311053061518285e-26,1.7355800268538981e-26,1.0870248401875789e-32,5.0152395770080417e-28,2.3085583545819059e-36,4.4483616865758414e-33,4.5622406725911346e-33,9.6890079536383702e-37,1.6559468725141864e-37,3.4035034613605556e-41,6.6706894107205033e-31,2.996584160806807e-25,1.4166912879055025e-34,4.1218452525606496e-43,1.6566396706915303e-38,2.7638849999530548e-46,1.1848677562089997e-38,5.2991169132487357e-28,3.2521112687087951e-33,1.0264772093455381e-33,2.552413144702897e-22,7.2146035957758171e-44,1.031692397582546e-43,5.8803953416187827e-41,1.7795000519514674e-27,2.2177324237047303e-33,4.6589873374450733e-39
2.047e-12,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0079157926295748e-20,2.9116712922936245e-20,2.0079154843609427e-20,1.9602848505337769e-20,1.9602988437337586e-20,4.9804472960245408e-21,4.9803655641661858e-21,1.258757665523218e-20,1.0669256358863192e-20,5.3346269092426237e-21,6.6830521604396045e-24,3.0309795724905874e-25,5.6645710859141026e-24,2.8322796252945598e-24,4.1357721235995574e-25,2.8155791172299148e-25,2.8002673596522175e-25,1.5053540412454834e-25,6.850842077999512e-29,5.9503236628924463e-27,2.7338598831393795e-25,6.9458331740089365e-26,8.6995113571242884e-32,2.0069035520415342e-27,3.6952870134964962e-35,3.5606795011760803e-32,3.6512049710103905e-32,1.5509185641632574e-35,2.6501122470329843e-36,1.0893968789030728e-39,5.337328304274321e-30,5.9854583598774056e-25,2.2671667707453888e-33,1.3185719952414745e-41,2.6611953581742483e-37,1.768358659247293e-44,1.8966198618190899e-37,2.120491139687496e-27,2.6032627673254171e-32,8.216676858444768e-33,5.1065931159950368e-22,2.3178109624681202e-42,1.6524440711321384e-42,1.8838139872239922e-39,7.1217195898263236e-27,1.7752643102376506e-32,7.4576053459254352e-38
4.095e-12,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.0164761869164256e-20,5.8243594269692966e-20,4.016474953753272e-20,3.9211708881935207e-20,3.9212268737719641e-20,9.9621911114358061e-21,9.9618641266727614e-21,2.5166176211120989e-20,2.1330912413304521e-20,1.0665451129388326e-20,2.672697059013224e-23,1.2126463581470607e-24,2.2653862068272483e-23,1.1326883704364302e-23,1.6547121095709672e-24,1.1265132158580132e-24,1.1203867619641536e-24,6.0200133763402465e-25,5.4798036671918433e-28,2.3807185752964438e-26,1.0938170132795956e-24,2.7789557787776179e-25,6.9585044668220814e-31,8.0277541101486845e-27,5.911724342941052e-34,2.849106466110195e-31,2.9205357313506871e-31,2.4811882572804318e-34,4.2379069499326813e-35,3.4842790186947295e-38,4.2671769058108837e-29,1.1933958243427932e-24,3.6253620576841655e-32,4.2124605024109515e-40,4.287529707006769e-36,1.1299039990816159e-42,3.0342578138993581e-36,8.4820398816942028e-27,2.0832118361774848e-31,6.5750673594780756e-32,1.0214908417366745e-21,7.4678940368631101e-41,2.6434976181339224e-41,6.0275014775473281e-38,2.8494200362183334e-26,1.4206299957294722e-31,1.193071557272306e-36
8.191e-12,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.0334291086837306e-20,1.1649738616686552e-19,8.0334241772594381e-20,7.842694704807367e-20,7.842918661325134e-20,1.9924355333934414e-20,1.9923047450393414e-20,5.0283335295048097e-20,4.262031243835613e-20,2.1310135945977987e-20,1.0682404459083063e-22,4.8507150046594656e-24,9.0544526864466937e-23,4.5271885151816023e-23,6.6194728795836435e-24,4.5065342586577812e-24,4.482024068473268e-24,2.4059387958753743e-24,4.3804423369312775e-27,9.5238440917998016e-26,4.3757327826142374e-24,1.1116433843935505e-24,5.5624859218249008e-30,3.2099527639305997e-26,9.4517615429773279e-33,2.2791396513408633e-30,2.3346729068674883e-30,3.9670505328131168e-33,6.7700594051304064e-34,1.1132587694392384e-36,3.4078878021656178e-28,2.371511898005017e-24,5.7910067365877191e-31,1.3428649030198061e-38,6.9512394598438441e-35,7.2041512808187822e-41,4.8513590517620875e-35,3.3915441353580164e-26,1.666767216034085e-30,5.2604011660471495e-31,2.0431359681097599e-21,2.4210162136240194e-39,4.2235121615880863e-40,1.9261056852263287e-36,1.1399057416446498e-25,1.1366520949416795e-30,1.9075119411804855e-35
1e-11,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.8073696693537291e-20,1.4222522170779955e-19,9.8073614739993278e-20,9.5744179710561255e-20,9.5747902795540312e-20,2.4322980409052139e-20,2.432080640947483e-20,6.1341084180627364e-20,5.1992925324614795e-20,2.5996429025210636e-20,1.7742613898582672e-22,8.063582945179611e-24,1.5038741613958884e-22,7.5192746465434884e-23,1.100466706656155e-23,7.4920719717820075e-24,7.4513209038297373e-24,3.9957564898416729e-24,1.113787082581408e-26,1.5833219640321139e-25,7.274610957035092e-24,1.8479950774989318e-24,1.4143382074063262e-29,5.333888070646842e-26,4.0702061971478132e-32,5.8007435374613419e-30,5.9364242171557582e-30,1.708389141397466e-32,2.9114622740688909e-33,8.7080834456636443e-36,8.6537446630458507e-28,2.8817953091129143e-24,2.4900621081527074e-30,1.0461468658531316e-37,3.0611338008785476e-34,1.0663974993718437e-39,2.0892349189245211e-34,5.6355312945544061e-26,4.2432404453326707e-30,1.339090223483962e-30,2.4943299599222945e-21,1.9429844594435167e-38,1.8162163687464085e-39,1.5065570742372456e-35,1.8951109253906906e-25,2.8937251084906783e-30,8.2143747297624576e-35
1.6383e-11,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6066663532679648e-19,2.3300508586356614e-19,1.6066643820649796e-19,1.5684749429577855e-19,1.5685645193404254e-19,3.9843391605556506e-20,3.9838161542596264e-20,1.003580057597608e-19,8.5063897161535227e-20,4.2531867789578776e-20,4.2654342396275313e-22,1.9400087126683249e-23,3.6154118189033667e-22,1.8076757110049792e-22,2.6477687793747822e-23,1.8026448546061676e-23,1.7928392048152751e-23,9.6053785686624999e-24,3.4981246195929557e-26,3.8095654204285577e-25,1.7503212055613481e-23,4.44618902835114e-24,4.4420806142464267e-29,1.2828127464107188e-25,1.5096777100139554e-31,1.8226612860350787e-29,1.8645091222998766e-29,6.3366254788465593e-32,1.079567165885993e-32,3.5506185108648928e-35,2.7163586754255639e-27,4.6823143876655427e-24,9.2328298452310803e-30,4.2636177211007785e-37,1.1409525676936833e-33,4.5749515415143599e-39,7.74924818855165e-34,1.3553369899944431e-25,1.3334245764632208e-29,4.2079121318367694e-30,4.0863538680148352e-21,7.9444964304063404e-38,6.7344260254443857e-39,6.1427762815210297e-35,4.5598288291225749e-25,9.093502358619618e-30,3.0467943098761185e-34
3.2767e-11,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.2130447084395425e-19,4.660209418461461e-19,3.213036835280009e-19,3.1364888255945658e-19,3.1368470462331807e-19,7.9660307125510495e-20,7.9639400690010326e-20,1.9987282899598002e-19,1.6941364732235494e-19,8.4706502921984006e-20,1.7000154815967748e-21,7.7570565783398621e-23,1.4409537916088981e-21,7.2045284155292938e-22,1.0589872954483304e-22,7.2101210286388799e-23,7.1708897051441868e-23,3.8271499231234604e-23,2.7882630859372634e-25,1.5236988659533526e-24,7.0008225100691855e-23,1.7779936586422914e-23,3.540672456404087e-28,5.1214490174279906e-25,2.4068988295051711e-30,1.4569225905276929e-28,1.486296785944606e-28,1.0103435638937017e-30,1.7155271937127601e-31,1.128551901367004e-33,2.1570454870027025e-26,9.1291703764384293e-24,1.466666011908209e-28,1.3431271579467682e-35,1.916303583029148e-32,2.8827678153506527e-37,1.2356125050478584e-32,5.4106242474779328e-25,1.0666348039063716e-28,3.365290470233505e-29,8.1724953518578825e-21,2.6667789496794713e-36,1.0698429327409549e-37,1.9519356435573772e-33,1.8239162209578391e-24,7.2744257815275753e-29,4.8576419152052042e-33
6.5535e-11,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.4247276063798138e-19,9.3205442812556068e-19,6.4246962076184657e-19,6.2709291496963421e-19,6.2723612839838371e-19,1.5920960328823315e-19,1.5912609206108694e-19,3.9639657660582523e-19,3.3599065841940487e-19,1.6799406541761012e-19,6.7509642594519874e-21,3.1002906908849938e-22,5.7222684533454584e-21,2.8609434553043852e-21,4.2347801055426717e-22,2.8835403169694947e-22,2.8678416045967146e-22,1.5189069602497968e-22,2.2142673008382829e-24,6.0934784474379884e-24,2.7998218901743934e-22,7.1077737181830121e-23,2.8118068441434549e-27,2.0407153504349399e-24,3.8236124231906257e-29,1.1635453391400717e-27,1.1805594748194373e-27,1.6053112056401834e-29,2.7075346539901416e-30,3.5629200387892882e-32,1.7002845199465489e-25,1.7375524187723238e-23,2.3131816103783179e-27,4.1669678319739752e-34,3.3499943970056825e-31,1.7891619733254746e-35,1.9633412719000086e-31,2.1556506506902268e-24,8.5309131010904517e-28,2.6904168944004892e-28,1.6343562344661923e-20,9.3127960893398253e-35,1.6873689192599081e-36,6.1586563156728092e-32,7.2951686282723746e-24,5.8186059257793603e-28,7.7171877314732648e-32
9.999999999999999e-11,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.8004806444129917e-19,1.4222265537687267e-18,9.8004000976218173e-19,9.5643609959182837e-19,9.5680493712885152e-19,2.4270119002386645e-19,2.4248640964725135e-19,5.9795857424690455e-19,5.0684112252687785e-19,2.534173818270389e-19,1.7199073183888089e-20,7.9807779002910648e-22,1.4578598615540422e-20,7.2884199342688396e-21,1.0910785803875943e-21,7.4305660136230886e-22,7.3900747361850689e-22,3.8659109082235589e-22,1.0230470904974657e-23,1.5701201223327711e-23,7.2147750293101494e-22,1.830357479618189e-22,1.2991620986630775e-26,5.2277672026472042e-24,3.3532700870716162e-28,5.4300228821178692e-27,5.4564617459929423e-27,1.4082874877291181e-28,2.3455356667203637e-29,6.0062759644504176e-31,7.7526962780136956e-25,2.4874531413795028e-23,2.0013988107417579e-26,6.8004043987349734e-33,3.4345180773947708e-30,5.7576567912981447e-34,1.7225504635659229e-30,5.5210049218652803e-24,3.9916183543962278e-27,1.2578963577107816e-27,2.4935078805735027e-20,1.8622237577537901e-33,1.4599547522299517e-35,1.0369884172558256e-30,1.8802034129826141e-23,2.7229840579555005e-27,6.7684142033077666e-31
1.31071e-10,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.2843800610892868e-18,1.8641281384447408e-18,1.2843675756008419e-18,1.2533466491173239e-18,1.2539188920414981e-18,3.1797079952518268e-19,3.1763767695378601e-19,7.7967140838896103e-19,6.6086679408594634e-19,3.3042849060862488e-19,2.6618286658170819e-20,1.2380650759233647e-21,2.2562786471903688e-20,1.1279893071593796e-20,1.6929360388321415e-21,1.1529815554337548e-21,1.1466973202210946e-21,5.9817896161154145e-22,1.7457265107328389e-23,2.4362787016731735e-23,1.1194958084179934e-21,2.8396850156533064e-22,2.2168960467879105e-26,8.1009686562983663e-24,6.0316135867178265e-28,9.2763517298724956e-27,9.3112872056660032e-27,2.5331689061009979e-28,4.2160001314601196e-29,1.1099868061909196e-30,1.3209086405241447e-24,3.1635061038668861e-23,3.597167731877714e-26,1.2555465455527897e-32,6.228806299991511e-30,1.0787021334896146e-33,3.0984700279801489e-30,8.5549501578925584e-24,6.8210735638274506e-27,2.1493718661349787e-27,3.2680530944484566e-20,3.457104811119502e-33,2.6240177186452827e-35,1.9163359004623559e-30,2.9175741310988979e-23,4.6532567169645339e-27,1.2174574763601256e-30
2.62143e-10,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.56647952617386e-18,3.7283003236406122e-18,2.5664301556248586e-18,2.5033219502210731e-18,2.5056060367146155e-18,6.341495188137307e-19,6.3282439130256938e-19,1.5090398177067255e-18,1.2791213916104601e-18,6.3954218927680736e-19,1.0350780289222169e-19,4.9358664455224178e-21,8.7741515463413673e-20,4.3859153291669502e-20,6.7638661877985199e-21,4.6083963319938282e-21,4.5832223446948513e-21,2.3205772568370971e-21,1.3570314988853697e-22,9.7361057544844746e-23,4.47446824858677e-21,1.1331301342034644e-21,1.7235046850132163e-25,3.1927036269824009e-23,9.3856065212626319e-27,7.3702006580577506e-26,7.2441703327475644e-26,3.9443188978669643e-27,6.3950393747540142e-28,3.3697514760421553e-29,9.9765193062263051e-24,5.3382098103916077e-23,5.4428834887684273e-25,3.5850475702654295e-31,1.2510980876299223e-28,6.1658792426834454e-32,4.8255635368799182e-29,3.3698851730887404e-23,5.4509392296452781e-26,1.7147494822575711e-26,6.5331519515996517e-20,1.3859262842356341e-31,3.9704341003412527e-34,5.8045225306175242e-29,1.1665829524140594e-22,3.7199496294302269e-26,1.8947540716441387e-29
