Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493)
4.095e-12,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2847239194529421e-19,1.4834633280106866e-19,2.2847229662880616e-19,2.2274346886543065e-19,2.2274603974764317e-19,5.9495372597742377e-20,5.9495395663946954e-20,6.537957495100524e-20,5.5233231468042862e-20,2.7616615734025614e-20,5.4459129487385147e-23,6.1311080451283943e-24,4.600761635364749e-23,2.3003680391259675e-23,7.6568999797347398e-24,5.1943292033983358e-24,5.1680064992022479e-24,4.7482272448053608e-24,3.3900350921558e-27,2.2977338564075546e-25,5.038476443878185e-24,1.3457915949691928e-24,4.8436307898581398e-30,4.3022982826394807e-26,3.2275824149801521e-33,2.1309796509815939e-30,1.9685616235374851e-30,1.3117611320867636e-33,4.8265800467109094e-34,3.1124993610581646e-37,1.2770151198711831e-28,6.6286137801341875e-24,8.5096833018652063e-32
8.191e-12,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.5697433915840719e-19,2.9671870699411817e-19,4.5697395785737367e-19,4.4551049847411964e-19,4.4552078277436621e-19,1.1898888914602222e-19,1.1898898130821566e-19,1.3066173355436997e-19,1.1038419807061573e-19,5.5192099035337742e-20,2.1770738296748333e-22,2.4525482157710547e-23,1.8392171374042329e-22,9.195983533093507e-23,3.0630694460463753e-23,2.077963282090833e-23,2.0674315461635816e-23,1.8980059503573063e-23,2.710371806122761e-26,9.1918953051266696e-25,2.0156129042604316e-23,5.3833961197580319e-24,3.8725809484673266e-29,1.7205989982136105e-25,5.1611682874070798e-32,1.7046166994053852e-29,1.57396976458482e-29,2.0976970664303804e-32,7.7130356196417192e-33,9.9479380761663819e-36,1.0201962462796178e-27,1.3188425682163047e-23,1.3597320637762988e-30
1e-11,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.5788549374605045e-19,3.6224753402442822e-19,5.5788485984655305e-19,5.4388551558435452e-19,5.4390261256159381e-19,1.4525612218762666e-19,1.4525627520820176e-19,1.5942173618336646e-19,1.3468093377655872e-19,6.7340466888327412e-20,3.6166782859926576e-22,4.077061668659219e-23,3.0554176604343489e-22,1.5276828545046536e-22,5.092293575592352e-23,3.454611957255611e-23,3.4371003408994255e-23,3.1527944365526374e-23,6.893064223627161e-26,1.5281402972581834e-24,3.3509504068266784e-23,8.9492368296582626e-24,9.8489669917010058e-29,2.8595911962643395e-25,2.223153837124132e-31,4.3382933121364533e-29,4.0032373765250304e-29,9.0363408847427958e-32,3.3187962587914653e-32,7.7859600902172967e-35,2.5917934087083605e-27,1.6040067734696965e-23,5.8497014894430037e-30
1.6383e-11,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.1394735097818279e-19,5.9346395355702543e-19,9.1394582579289509e-19,8.9099869093793583e-19,8.9103982623316552e-19,2.3793923357765483e-19,2.3793960133512889e-19,2.6090050720651977e-19,2.2041120686170752e-19,1.1020560343096585e-19,8.6962776473396264e-22,9.8091066491927436e-23,7.3467432206893095e-22,3.6732900248361165e-22,1.2252347538495597e-22,8.3120738110846717e-23,8.2699339046356783e-23,7.5802764196288111e-23,2.1651563781908281e-25,3.6768040585277411e-24,8.0626470784023283e-23,2.1531194403617994e-23,3.093645848642767e-28,6.878489593255934e-25,8.2463806057871426e-31,1.3631138983259946e-28,1.2574832272608142e-28,3.3519128884902071e-31,1.2307544674407053e-31,3.174837821174299e-34,8.1371249110757812e-27,2.610199765251012e-23,2.1692418373926456e-29
3.2767e-11,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8277698609792106e-18,1.1869564132424991e-18,1.8277637609874677e-18,1.7817916471569058e-18,1.7819561569646368e-18,4.7569326302671206e-19,4.7569472681721375e-19,5.2008245147986905e-19,4.3937106200706624e-19,2.1968553100227693e-19,3.4685952231475094e-21,3.9223891908207399e-22,2.9303419716680309e-21,1.465105943978487e-21,4.9005139130457996e-22,3.3246797913559346e-22,3.3078151141798517e-22,3.0224545065758941e-22,1.7269215650460918e-24,1.4706140639492493e-23,3.2248987134514188e-22,8.6097217957770566e-23,2.4675941278449368e-27,2.7480137015663706e-24,1.3155985976709288e-29,1.0894404144327998e-27,1.0031745393117533e-27,5.3483727940214685e-30,1.9583696017878834e-30,1.0104102918392518e-32,6.4701069567621116e-26,5.1130915009635203e-23,3.4502420273526929e-28
6.5535e-11,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6549209606888242e-18,2.3739490023764559e-18,3.6548965679120684e-18,3.5626441510588406e-18,3.5633019073854532e-18,9.5061544486743223e-19,9.5062124239600449e-19,1.0333159694995226e-18,8.7295796076358852e-19,4.3647898033763885e-19,1.3795014194360391e-20,1.5678769729061636e-21,1.1654488775716141e-20,5.8267276710463497e-21,1.9597694669823583e-21,1.3296869256419348e-21,1.3229344172717479e-21,1.2012612492772239e-21,1.3731990275712553e-23,5.8813077173540221e-23,1.289768147431152e-21,3.4415174011414429e-22,1.9623468475165921e-26,1.0964668543381446e-23,2.0927007796281573e-28,8.6982579546546824e-27,7.9803100304614281e-27,8.5102469977226472e-29,3.0989302595358544e-29,3.1980840890300615e-31,5.1132864383045336e-25,9.8190984924139952e-23,5.4551709240891537e-27
9.999999999999999e-11,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.5756587300054591e-18,3.6224293574359497e-18,5.5755958846611573e-18,5.4341825385953041e-18,5.4358768045081468e-18,1.4489038046965078e-18,1.4489185108275081e-18,1.5625514600293979e-18,1.3200659757419847e-18,6.6003298738714471e-19,3.5229864955898459e-20,4.036878936661488e-21,2.9764069673116806e-20,1.4879645852655986e-20,5.0497289730888271e-21,3.426664183018406e-21,3.4092308129132472e-21,3.0644544119987475e-21,6.3590801252103699e-23,1.5155013128823946e-22,3.323741628978664e-21,8.8610060042831239e-22,9.0889999599680752e-26,2.8149394582501486e-23,1.8397414537161979e-27,4.0573237999291119e-26,3.698364338755859e-26,7.48594402296114e-28,2.6977401699333391e-28,5.4175724566175548e-30,2.3421488060890395e-24,1.4210859576652705e-22,4.741736598656555e-26
1.31071e-10,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.3072485524466956e-18,4.7479634677523159e-18,7.3071510412174014e-18,7.1214179727791282e-18,7.1240466762185559e-18,1.8981223634735053e-18,1.8981451009170269e-18,2.0396695777213685e-18,1.7231442619277892e-18,8.6157213008365428e-19,5.455388201702568e-20,6.2627416964421846e-21,4.6090278524506232e-20,2.3041062385973645e-20,7.8353994159797053e-21,5.3171380075924477e-21,5.2900755919347777e-21,4.7441664316975858e-21,1.0853968028438138e-22,2.3515474490779035e-22,5.1574160826320162e-21,1.3746801170051737e-21,1.5513843681337005e-25,4.3641825244375833e-23,3.3096493636547838e-27,6.9309274702233205e-26,6.3130823736851101e-26,1.3467478283538586e-27,4.8504399700376472e-28,1.0013325444475928e-29,3.9926758120816853e-24,1.8170134454017596e-22,8.5247261903762842e-26
2.62143e-10,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4604013884038747e-17,9.4961006946032497e-18,1.4603624322316168e-17,1.4227260419356025e-17,1.4237756621865504e-17,3.7838345852884948e-18,3.7839220508590539e-18,3.9750602263755213e-18,3.3582099114719208e-18,1.6791049408409657e-18,2.1335973091237279e-19,2.4980807329379216e-20,1.8026880954040408e-19,9.0102664793931569e-20,3.1311828214384414e-20,2.1255425000925208e-20,2.1146758497038604e-20,1.8504910038731408e-20,8.47895041124166e-22,9.398283832982304e-22,2.0616171401235286e-20,5.4833020194118039e-21,1.2124789650891898e-24,1.7288163942853138e-22,5.1756358503631074e-26,5.5008362276589057e-25,4.9400967548459792e-25,2.1085803893101411e-26,7.4312234178483286e-27,3.0694741781121899e-28,3.0453871338903399e-23,3.1505007694653256e-22,1.302086265382709e-24
5.24287e-10,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.9166053620119022e-17,1.8992761535458881e-17,2.9164499238508377e-17,2.8392280320034657e-17,2.8434117396167113e-17,7.5184326190284181e-18,7.518756661035023e-18,7.5597886176123315e-18,6.3866743635611695e-18,3.1933369534458146e-18,8.1691892765530033e-19,9.9365748519361733e-20,6.9029271406831269e-19,3.4490540904640877e-19,1.2500907011860303e-19,8.4916345363722464e-20,8.4478361187407313e-20,7.0476312188295234e-20,6.4757552385390453e-21,3.7529888224710972e-21,8.2356431110331788e-20,2.1810735263595892e-20,9.2707400191279789e-24,6.7880221128810373e-22,7.9215107689509462e-25,4.3318269887245227e-24,3.7860910470152724e-24,3.2345790598915854e-25,1.0927404315557734e-25,9.0343565671939032e-27,2.221386125878943e-22,4.9317719909594056e-22,1.9042885170334182e-23
9.999999999999999e-10,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,5.5478004553378152e-17,3.622759570796595e-17,5.5472246996544108e-17,5.392931379943256e-17,5.408397945061376e-17,1.4164640658732421e-17,1.41656852193344e-17,1.3171770151795243e-17,1.1127531979828878e-17,5.563763107175802e-18,2.8050973240837946e-18,3.6585959423511002e-19,2.3707337721978353e-18,1.1837585846982064e-18,4.6356926703333597e-19,3.1529997868490854e-19,3.1364589049237813e-19,2.3952449485595526e-19,4.3636060366590461e-20,1.3923197494391016e-20,3.0575098009338817e-19,8.0305747481037686e-20,6.265347550291526e-23,2.4438804481779527e-21,1.0650064839937053e-23,3.0885583696425897e-23,2.5692599763794286e-23,4.3662028195095618e-24,1.3616744806060696e-24,2.2466279332570041e-25,1.3759255638381641e-21,6.5893126901943505e-22,2.3525571832340319e-22
1.0485750000000002e-09,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,5.816471485261965e-17,3.7987442653350117e-17,5.8158528110044465e-17,5.6536897366124579e-17,5.670308393019442e-17,1.4843284201222588e-17,1.4844402333895898e-17,1.3744808944140494e-17,1.1611620408587825e-17,5.8058070505144015e-18,3.0081099926602574e-18,3.9307125032952529e-19,2.5423234163711965e-18,1.2694137864843388e-18,4.9813961000301154e-19,3.3882442512336346e-19,3.3704616068888114e-19,2.567859854460414e-19,4.7430494871418187e-20,1.4961676338228611e-20,3.2856177192975179e-19,8.6278666485694395e-20,6.8104380515233576e-23,2.6241123849905373e-21,1.1656655286361192e-23,3.3596984755628825e-23,2.7929470862371681e-23,4.7790070400674505e-24,1.4895569459773294e-24,2.4668058833139613e-25,1.4937386174166501e-21,6.7585639813411935e-22,2.5733318597808236e-22
2.0971510000000003e-09,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.1566469043622796e-16,7.5981731010817497e-17,1.1564018726443118e-16,1.1209419733214763e-16,1.1274992998252813e-16,2.8938158787741066e-17,2.8941557079247797e-17,2.3142073259133001e-17,1.954752814794788e-17,9.7737264097795414e-18,1.0362162163332002e-17,1.5382197030525138e-18,8.7603701341977516e-18,4.3684182980548361e-18,1.9775517845873963e-18,1.3486143909077752e-18,1.341293856305498e-18,8.6631586455490299e-19,3.2299678519210985e-19,5.9450057864099164e-20,1.3073822643392736e-18,3.3764135212032205e-19,4.6757220656812483e-22,9.9012447155566987e-21,1.6046236942340221e-22,2.5313901528649204e-22,1.9305227998888883e-22,6.6219356072617269e-23,1.7815193197958555e-23,5.9174121583252188e-24,8.7591210651200232e-21,8.1577851813262855e-22,3.0448100082096227e-21
4.194303e-09,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,0.99999999999999933,11.0,2.2870927052714245e-16,1.5198895177169898e-16,2.2861316863181444e-16,2.2035698944198442e-16,2.2291131226014642e-16,5.5073575546497577e-17,5.5082065521903717e-17,3.4726391274995232e-17,2.9315722063010182e-17,1.4657493985389113e-17,3.2277740104578055e-17,5.8963513816560649e-18,2.7300096977255111e-17,1.3578864941069847e-17,7.7927722371712211e-18,5.3417182897574046e-18,5.3108210470427156e-18,2.5909077200121502e-18,1.9618609862878827e-18,2.3471307473231521e-19,5.1753701746721795e-18,1.2943402165002999e-18,2.9020732918842287e-21,3.6225452631940563e-20,1.9982888610631755e-21,1.8095987311752095e-21,1.2096226334222695e-21,8.322796896994833e-22,1.7407171632359262e-22,1.1619169127632741e-22,4.1942631568492774e-20,9.1989223439038555e-22,2.9600547156592106e-20
8.388607e-09,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,0.99999999999999867,11.0,4.4723992589778116e-16,3.0407478823524904e-16,4.4687019091878794e-16,4.2605138783748454e-16,4.357603080227793e-16,1.0025312091454111e-16,1.002715125813996e-16,4.5346829450880768e-17,3.8214334163779693e-17,1.9104370481108443e-17,8.8652001847494521e-17,2.1757511448041884e-17,7.5017421505646898e-17,3.7128936932762989e-17,3.0271064285833255e-17,2.0956297202623429e-17,2.0820410383119964e-17,6.5833778958651543e-18,1.0191931096186355e-17,9.1540992906368018e-19,2.0279998416831616e-17,4.7769346616789404e-18,1.5884026935497439e-20,1.2879720158546621e-19,2.1911557433718069e-20,1.1841820465208626e-20,6.6936128057818998e-21,9.2245374691000592e-21,1.3019543830043437e-21,1.7493927069476797e-21,1.5666353118493233e-19,1.0477489786957404e-21,2.2583814409818886e-19
9.999999999999999e-09,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,0.99999999999999845,10.999999999999998,5.2576644708805132e-16,3.6255524080094767e-16,5.2520444088936506e-16,4.9755345790726378e-16,5.1216520572512536e-16,1.1346770514454384e-16,1.1349445573760443e-16,4.6746426114651989e-17,3.9356338615739171e-17,1.9672695380888786e-17,1.1298941153127156e-16,3.2026432885898541e-17,9.5626573296307285e-17,4.7160712668393854e-17,4.644136692384423e-17,3.2434843253691829e-17,3.220339817536394e-17,7.9847345094370287e-18,1.6693680487523805e-17,1.4101863411491172e-18,3.1353324924317726e-17,7.0323818865531004e-18,2.7540182487856189e-20,1.9029746350975055e-19,5.8039449998865227e-20,2.2610541057704945e-20,1.1671688780865846e-20,2.4614068605574979e-20,2.4457708739281109e-21,5.1762064537487216e-21,2.1513177434977541e-19,1.0896386419611391e-21,4.427717142803445e-19
1.6777215e-08,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,0.99999999999999734,10.999999999999998,8.5603418271090568e-16,6.0851299309045219e-16,8.5466352003042264e-16,7.9827767714363884e-16,8.33509793160845e-16,1.6904575374121658e-16,1.6910766040113405e-16,5.2632865675739983e-17,4.4159393923715908e-17,2.2062962705908086e-17,2.1534796588147609e-16,7.5215579420892698e-17,1.8230477821152081e-16,8.9352469112758192e-17,1.1445060960571492e-16,8.0711442739659365e-17,8.0078097649925884e-17,1.387857608740624e-17,4.4038811998715103e-17,3.4911226004177189e-18,7.7925647446776589e-17,1.6518367468050322e-17,7.6563774033667239e-20,4.4895596433306875e-19,2.0998655130246044e-19,6.7901748559707896e-20,3.2608537314698745e-20,8.933953362936805e-20,7.2564472759826875e-21,1.9588738670921234e-20,4.6103817620234784e-19,1.2658186639838287e-21,1.3551533901608159e-18
3.3554431e-08,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,0.99999999999999467,10.999999999999996,1.574367995156746e-15,1.2183283049410594e-15,1.5696267218574768e-15,1.4135285803894573e-15,1.5309881411799533e-15,2.5365887896512835e-16,2.5400629781250186e-16,5.8192405746428867e-17,4.8378628441177568e-17,2.4106714648557091e-17,4.7773949431004089e-16,2.355433960865502e-16,4.045528439432769e-16,1.9450749770044604e-16,4.1224768764675812e-16,3.0036822234971185e-16,2.9722994517692746e-16,2.4348289386529126e-17,1.5678319083423978e-16,1.280721328840992e-17,2.8867763109971798e-16,5.1734855590682923e-17,3.3135839273283576e-19,1.532727560502716e-18,1.7733713328859946e-18,3.2834087397233013e-19,1.4253701165871317e-19,7.6207660823859994e-19,3.0819130498164423e-20,1.6503296863900158e-19,1.143037953340761e-18,1.630721025860731e-21,6.70600349901483e-18
