Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13)
1e-11,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,0.99999999999999856,11.0,6.1190491691792463e-16,4.0605341259671622e-17,6.1189293236147744e-16,5.9310491580554908e-16,5.9311832449720507e-16,1.9460373433100288e-16,1.9469008501807048e-16,1.7491240964188847e-17,1.4552492814790783e-17,7.2760603356137959e-18,3.329711975006934e-20,6.3276583599838302e-20,2.7704542345764586e-20,1.3850799856814797e-20,5.3737504787022572e-20,3.6049753701281617e-20,3.5909279535374098e-20,1.3221287466739431e-19,2.4255435598436801e-22,1.8373754794275343e-20,3.480706525715319e-20,1.1420777753302244e-20,5.498945536736128e-25,7.1597334397656563e-22,1.0415387573698269e-27,3.239943825136291e-25,1.9621233364049844e-25,3.7162719107150053e-28,1.4245296987498424e-27,2.8042138016964778e-30,1.1281744575664729e-24,8.1436304973778449e-20,2.1365868923980429e-27,1.562304286140513e-32,2.6659156140879705e-29,6.2039765295675314e-34,2.6659156140879705e-29,7.7862231870343374e-22,4.9786673387420786e-26,6.5985255687020767e-26,1.2899976556648425e-18
1.6383e-11,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,0.99999999999999767,11.0,1.0024492445856856e-15,6.6525090710827267e-17,1.0024204095690742e-15,9.7163293514122054e-16,9.7166519442283085e-16,3.1870389501729313e-16,3.189115947539989e-16,2.8629854111691823e-17,2.3819854694975424e-17,1.1909480159577531e-17,8.0062376458227209e-20,1.5223689688252229e-19,6.6616731611811193e-20,3.3303745536218221e-20,1.2929517918759175e-19,8.673875710688051e-20,8.6400136328201045e-20,3.1786374594010586e-19,7.6180462003477587e-22,4.4207710397971588e-20,8.3747934616830399e-20,2.7473701875897141e-20,1.7272813849828994e-24,1.7233444241768976e-21,3.863270197569254e-27,1.017830355534616e-24,6.163489870145547e-25,1.3784621528997004e-27,5.2825985492825709e-27,1.1434144810328589e-29,3.5417657949063812e-24,1.3268164525356216e-19,7.922514567716521e-27,6.3573174797794629e-32,9.889024002391798e-29,2.6594005957996372e-33,9.889024002391798e-29,1.8732000722559635e-21,1.5645338327170407e-25,2.0733747094446533e-25,2.1134671755496456e-18
3.2767e-11,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,0.99999999999999534,11.0,2.0047954101397702e-15,1.3306612348320586e-16,2.0046800887119555e-15,1.9430573870595077e-15,1.9431863654512018e-15,6.3672172370186667e-16,6.3755134470567425e-16,5.7100416772442799e-17,4.7508254080270288e-17,2.3752347113820755e-17,3.1933127682481874e-19,6.0872151671147207e-19,2.6573027005959303e-19,1.328283476078785e-19,5.1713059512589434e-19,3.4694204011337921e-19,3.455768900569421e-19,1.2671313392106556e-18,6.0722602976243729e-21,1.7680550407387828e-19,3.3496539677819424e-19,1.0979430005810636e-19,1.3778160108562109e-23,6.9041942402289852e-21,6.1611031068290523e-26,8.1256071607365832e-24,4.9177166379099662e-24,2.1987874382115218e-26,8.4025031435088541e-26,3.6361591153405254e-28,2.8150461325448993e-23,2.6089254372838142e-19,1.2590853263803665e-25,1.9440410344150376e-30,1.5781895032307612e-27,1.6270527177660853e-31,1.5781895032307612e-27,7.4885913956164591e-21,1.2515235860119131e-24,1.6575413766734371e-24,4.2275690243981992e-18
6.5535e-11,0.3239160622133643,89.099999999999994,0.0,0.0,0.0,0.99999999999999056,11.0,4.0090474716757287e-15,2.6618637875916065e-16,4.0085863573941295e-15,3.885154196061057e-15,3.8856696163541625e-15,1.2706660934830671e-15,1.2739750284559041e-15,1.1356549432995206e-16,9.4491989754681756e-17,4.7238945192635787e-17,1.2699764825621248e-18,2.4329602794924126e-18,1.057021882502628e-18,5.2821942034321637e-19,2.0680203236941676e-18,1.3875961946513485e-18,1.3820505786989133e-18,5.0339895402051728e-18,4.8223574361136442e-20,7.0698503365159286e-19,1.3395852692997273e-18,4.3835395334284885e-19,1.0958347268114419e-22,2.770108487764914e-20,9.7933402957894624e-25,6.473017466898343e-23,3.9132093658237917e-23,3.4964268205325488e-25,1.3286282956478825e-24,1.1491140709175324e-26,2.2229524799550786e-22,5.0481722560066052e-19,1.9875616225516596e-24,5.7089469106351744e-29,2.5120854353060338e-26,9.5626445288460951e-30,2.5120854353060338e-26,2.991948589277926e-20,1.0009961592005355e-23,1.3241073921035079e-23,8.4573517332448357e-18
9.999999999999999e-11,0.3239160622133644,89.099999999999994,0.0,0.0,0.0,0.99999999999998557,11.0,6.1161706030356567e-15,4.0627801889659592e-16,6.114982739232526e-15,5.926248536607158e-15,5.9275750406041437e-15,1.9330737226210631e-15,1.9415630746783169e-15,1.7197350916153825e-16,1.4309805807668015e-16,7.1531144487092319e-17,3.2431107146678297e-18,6.2631908152194561e-18,2.7001771914235792e-18,1.3487467633887956e-18,5.3284842917193105e-18,3.5759875770907255e-18,3.5613358119320356e-18,1.283297298717409e-17,2.2280973034604091e-19,1.8213529628183628e-18,3.4517951740736058e-18,1.1264711076844652e-18,5.0767365844972255e-22,7.1750670644992535e-20,8.5980196087706262e-24,3.0072658246176331e-22,1.8144890687084691e-22,3.0718980189638866e-24,1.1550205839030995e-23,1.9407981335793687e-25,1.0168277522184956e-21,7.3809923545213247e-19,1.7225002440773883e-23,8.4981760900758215e-28,2.2112414348586587e-25,2.8049915998380615e-28,2.2112414348586587e-25,7.6976814763107661e-20,4.6839309386882077e-23,6.1821889213229863e-23,1.2909334460790399e-17
1.31071e-10,0.3239160622133644,89.099999999999994,0.0,0.0,0.0,0.99999999999998113,11.0,8.0157911692473027e-15,5.3257389444309968e-16,8.0139481238285182e-15,7.7663426104533176e-15,7.7684003252950258e-15,2.5302496241137859e-15,2.5434092427960191e-15,2.2462969453313892e-16,1.8691756043654708e-16,9.3431127782553204e-17,5.021937168338405e-18,9.7162328281477889e-18,4.181519962451663e-18,2.0884712687063413e-18,8.2678684771395718e-18,5.5488733639403969e-18,5.5260121932402148e-18,1.9863938159980453e-17,3.8020321511629966e-19,2.8259815984527954e-18,5.3560015849608602e-18,1.7468247447814729e-18,8.6656123024764806e-22,1.1146239788645858e-19,1.5466442055631639e-23,5.1348283914330883e-22,3.0975082775664341e-22,5.5260745915201109e-24,2.0765195998626436e-23,3.5868775323519412e-25,1.7331173050608709e-21,9.4840839918621309e-19,3.0961910134462636e-23,1.5644804854001874e-27,3.9782567247601251e-25,5.2475473728544741e-28,3.9782567247601251e-25,1.1940009244568346e-19,8.0041823976599615e-23,1.0561862537872485e-22,1.6922900551826761e-17
2.62143e-10,0.3239160622133644,89.099999999999994,0.0,0.0,0.0,0.99999999999996225,11.0,1.6022242131039601e-14,1.065900356475937e-15,1.6014881255904705e-14,1.5516723767260707e-14,1.5524923267958748e-14,5.0166672628881657e-15,5.0687054698778065e-15,4.3958812749378476e-16,3.6583472008230887e-16,1.8281090092376812e-16,1.9638348880551237e-17,3.8740176908410614e-17,1.6364623753412916e-17,8.1646652889517542e-18,3.3037469478467689e-17,2.2183137507246913e-17,2.2086278303894807e-17,7.7352035813018001e-17,2.9552336753227173e-18,1.1288225459218099e-17,2.1405067010485498e-17,6.935083965980195e-18,6.7764446707635608e-21,4.5089790720594386e-19,2.4119609117213671e-22,4.0396648097437987e-21,2.4268404531247218e-21,8.6306162950589402e-23,3.1722849606613255e-22,1.0928632903181558e-23,1.3181272497806768e-20,1.694959996814284e-18,4.7004585736508359e-22,3.8578248251394495e-26,6.2379723235506064e-24,2.593281656611118e-26,6.2379723235506064e-24,4.7543544507805027e-19,6.3972132531711044e-22,8.400150414078128e-22,3.3875380694130169e-17
5.24287e-10,0.3239160622133645,89.099999999999994,0.0,0.0,0.0,0.9999999999999245,10.999999999999998,3.2007041149812988e-14,2.1345657471830675e-15,3.197768711040569e-14,3.0969700617106843e-14,3.1002254673278317e-14,9.8621520006238051e-15,1.0065644807233198e-14,8.4299793473599603e-16,7.0166572506613031e-16,3.5043703728206812e-16,7.517535441828107e-17,1.5397105593456494e-16,6.2735226012087631e-17,3.1236114614195125e-17,1.3187863907657923e-16,8.8633282352996422e-17,8.8202751259451916e-17,2.9366769050391268e-16,2.2349171037229463e-17,4.5028668196843739e-17,8.5468834911217981e-17,2.7331755511668369e-17,5.1884287416130696e-20,1.8408470911395221e-18,3.6721214354560788e-21,3.1274467754477276e-20,1.8648214653626533e-20,1.3176489100756627e-21,4.6393631423326908e-21,3.1787358087108256e-22,9.5662839309646047e-20,2.8172990374492788e-18,6.79581904580327e-21,8.2816084857296428e-25,9.5991139424148707e-23,1.1168046419343898e-24,9.5991139424148707e-23,1.8853628533117591e-18,5.107977449313253e-21,6.6423115066364994e-21,6.7847089326479916e-17
7.864310000000001e-10,0.3239160622133646,89.099999999999994,0.0,0.0,0.0,0.99999999999988676,10.999999999999996,4.7963780714302278e-14,3.2051158443917128e-15,4.7901533480097243e-14,4.637508558657754e-14,4.6443912771905884e-14,1.4583814590479686e-14,1.5009559208024723e-14,1.2219089680272933e-15,1.0170996203111135e-15,5.0774923243444493e-16,1.5503320253906397e-16,3.2574587432107255e-16,1.2950461494420854e-16,6.4391113306551179e-17,2.7984538672516227e-16,1.8819992479743698e-16,1.8722201257743917e-16,6.0216034903941822e-16,6.1887642359224134e-17,9.5505323700678951e-17,1.8139941872489106e-16,5.7490804774591503e-17,1.4473368157573562e-19,3.9629942852901022e-18,1.3201205897741105e-20,8.7771040639078286e-20,5.2124957496786557e-20,4.7430964408097275e-21,1.6356327295036234e-20,1.3961568791625795e-21,2.587737905237362e-19,3.6951429174892172e-18,2.383093860539731e-20,3.2654578154151596e-24,3.4686663111154456e-22,5.4181380530745127e-24,3.4686663111154456e-22,3.9834195138291273e-18,1.4589594430351603e-20,1.8866510516049049e-20,1.0186826815974025e-16
9.999999999999999e-10,0.3239160622133648,89.099999999999994,0.0,0.0,0.0,0.999999999999856,10.999999999999995,6.0940929470766598e-14,4.0787606890046775e-15,6.0843049991654725e-14,5.8887251160415962e-14,5.8995220121664695e-14,1.8332462140327747e-14,1.8994677871552209e-14,1.5121612810487131e-15,1.2586795128402569e-15,6.2812709512399468e-16,2.3841418502967226e-16,5.1124285819816801e-16,1.9930801673312614e-16,9.8988240723087708e-17,4.4027400381639327e-16,2.9624405527228897e-16,2.9462338193261305e-16,9.2173006755900668e-16,1.1479755545272625e-16,1.5019978592306734e-16,2.8543595859213162e-16,8.9810613620571813e-17,2.7011886677887601e-19,6.3039158063186455e-18,2.9156142959474862e-20,1.6458358518285792e-19,9.7437738124166767e-20,1.0486581404373577e-20,3.5548509521936515e-20,3.5328720770746817e-21,4.7110823860981492e-19,4.2788717220956994e-18,5.1572538672155655e-20,7.6251000583076088e-24,7.6934390169697356e-22,1.4665056420831426e-23,7.6934390169697356e-22,6.2459407877155945e-18,2.7749878226284357e-20,3.5721746868407154e-20,1.2961271806559136e-16
1.0485750000000002e-09,0.3239160622133648,89.099999999999994,0.0,0.0,0.0,0.99999999999984901,10.999999999999995,6.3892504843808838e-14,4.2774660176201372e-15,6.378652102232354e-14,6.1733068871550096e-14,6.1849940397147284e-14,1.9185069750673215e-14,1.9901069431567234e-14,1.5781774449349306e-15,1.3136254239022709e-15,6.5550632469450784e-16,2.5737869403838294e-16,5.5343304493795692e-16,2.1518438569068411e-16,1.0685715177412168e-16,4.7676253948967268e-16,3.208180507389343e-16,3.1905118520194337e-16,9.9441430111860154e-16,1.2683160078944125e-16,1.626397163551644e-16,3.0909845138861077e-16,9.7161562094804998e-17,2.9863698210105569e-19,6.8363444962687898e-18,3.2784998588211822e-20,1.8205414201092813e-19,1.0774386082444167e-19,1.1792902930929941e-20,3.9913657327431176e-20,4.0188552522479567e-21,5.194024471128344e-19,4.4116373701240189e-18,5.7882200763764442e-20,8.6166747809897509e-24,8.6543384648618632e-22,1.6768213057392894e-23,8.6543384648618632e-22,6.7605378073159864e-18,3.0743106575845568e-20,3.9555370221121274e-20,1.3592302833616775e-16
1.5728630000000002e-09,0.323916062213365,89.099999999999994,0.0,0.0,0.0,0.99999999999977351,10.999999999999989,9.5684341140594991e-14,6.4262318790651138e-15,9.5465608018228485e-14,9.2338364401645455e-14,9.257851207611648e-14,2.8115160857881052e-14,2.9562997438944623e-14,2.2427897238651174e-15,1.8665006801641404e-15,9.307326634138186e-16,5.0969532408557643e-16,1.1380998763154075e-15,4.2672760734956661e-16,2.1146981987365253e-16,9.8494162404217622e-16,6.634228502355314e-16,6.5942534031202456e-16,1.9520488905349594e-15,3.3041214147320557e-16,3.3576454372904211e-16,6.3875168150329423e-16,1.9807566432780146e-16,7.8702401397486494e-19,1.4397564527001434e-17,1.107312698723326e-19,4.8372364102062878e-19,2.8475904552856384e-19,3.9904486579275158e-20,1.3090894841916493e-19,1.6580149558064923e-20,1.3083802278038285e-18,5.620523176693324e-18,1.8842526003921535e-19,3.1276388331904895e-23,2.9457040448905029e-21,7.6354094333850334e-23,2.9457040448905029e-21,1.3882720299224386e-17,8.3830453417169639e-20,1.0696116792762488e-19,2.040670244778982e-16
2.0971510000000003e-09,0.32391606221336516,89.099999999999994,0.0,0.0,0.0,0.99999999999969802,10.999999999999982,1.2737352754159001e-13,8.5812550015013027e-15,1.2700262956394484e-13,1.2277088295363436e-13,1.2317643578350842e-13,3.6629294280899931e-14,3.903726767949558e-14,2.837602332567036e-15,2.3607003962468083e-15,1.1763438899406796e-15,8.3140843759143038e-16,1.9232359515642997e-15,6.969600661184094e-16,3.4471476268533593e-16,1.6716903402206181e-15,1.1270312070909025e-15,1.1196856304380352e-15,3.1573382422155672e-15,6.6302681697041828e-16,5.6951144552704881e-16,1.0844178952244273e-15,3.3198339451442851e-16,1.5961307698157658e-18,2.4852266954504488e-17,2.6892892341726788e-19,9.8782155445856265e-19,5.7894357000964803e-19,9.705991355616065e-20,3.1023127796383661e-19,4.6143696549014311e-20,2.5485967449270332e-18,6.5860962793703545e-18,4.4383214148810245e-19,7.9449875108479827e-23,7.2001769799914279e-21,2.2671936973655444e-22,7.2001769799914279e-21,2.3435237904546283e-17,1.7514525898100504e-19,2.2182189265808245e-19,2.7222037061255858e-16
3.1457270000000003e-09,0.3239160622133656,89.099999999999994,0.0,0.0,0.0,0.99999999999954692,10.999999999999968,1.9041674261830194e-13,1.2911213414264645e-14,1.8961429177980251e-13,1.8307590074825122e-13,1.8394533998118676e-13,5.2412750196353662e-14,5.7393836427509662e-14,3.850715082480004e-15,3.1992807735030209e-15,1.5920515629829722e-15,1.6506709396109558e-15,4.1271085190374568e-15,1.387316191691725e-15,6.8324829190892962e-16,3.6245200752947563e-15,2.4489122864155842e-15,2.4300805676346465e-15,6.1499626865748146e-15,1.8715868089720147e-15,1.2330543087361346e-15,2.352707567951325e-15,6.9907397962903196e-16,4.6443263026453789e-18,5.5722944913228464e-17,1.1362886603260232e-18,2.9199499152738385e-18,1.6950538199894613e-18,4.119263743707173e-19,1.2124949698677069e-18,2.6721077247120195e-19,6.6894173169985511e-18,8.2928391630305111e-18,1.7059857609945303e-18,3.6362371263689862e-22,3.1067041530296612e-20,1.5739649919902606e-21,3.1067041530296612e-20,5.0250803387018948e-17,5.5076150916605162e-19,6.8314611699783972e-19,4.0812046003081269e-16
4.194303e-09,0.323916062213366,89.099999999999994,0.0,0.0,0.0,0.99999999999939582,10.999999999999947,2.5302012505544022e-13,1.7267203440777275e-14,2.5162056858846468e-13,2.4264981569129716e-13,2.4415369332286647e-13,6.6665781878246132e-14,7.4993622613624412e-14,4.6722014899310695e-15,3.8740816724931449e-15,1.9252568852096779e-15,2.66116962234229e-15,7.1421991121174464e-15,2.2415747645415481e-15,1.0995938965464708e-15,6.3340493451692838e-15,4.2883546240404496e-15,4.2506089482760708e-15,9.7344690465259922e-15,3.8700903268523469e-15,2.1521263707069657e-15,4.1139163737668663e-15,1.1886609379918645e-15,9.874693472693547e-18,1.0003092035898368e-16,3.0773787301039032e-18,6.280985088778818e-18,3.6222171638155713e-18,1.1191671631096138e-18,3.0896665894346203e-18,8.6167164950195635e-19,1.3015573647188064e-17,9.8609386979138614e-18,4.2956085536015017e-18,1.0251070505527878e-21,8.5512255524361659e-20,5.6238301401978992e-21,8.5512255524361659e-20,8.7011381378761593e-17,1.2482622791570593e-18,1.520816942699287e-18,5.4315374185630821e-16
