Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24)
1e-12,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.999999999999998,11.0,8.334888887976797e-16,3.6363743931768693e-17,8.334854410926324e-16,8.061071444776325e-16,8.0610922726566112e-16,2.8639240189066926e-16,2.864098877580457e-16,1.6282862813360329e-17,1.3457335836355307e-17,6.7286679181950861e-18,4.1354153510506599e-21,1.4106758100556648e-20,3.4178514905367737e-21,1.7089053146225318e-21,1.0224827551222399e-20,6.8409866545694751e-21,6.8143789921545083e-21,2.7332528666598058e-20,5.986420811747502e-24,5.7707351042345534e-21,6.590546112604995e-21,2.3415088877610978e-21,1.6009816073861147e-26,2.0230055040116029e-22,3.2828124446217771e-30,1.0522453000942839e-26,5.4382259504433667e-27,1.1151010384827076e-30,6.7340917112989575e-30,1.3383587446171635e-33,2.0427687592391185e-26,1.1477901823199371e-19,4.1887416710927002e-30,6.0481393837088925e-36,0.0
1.023e-12,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.999999999999998,11.0,8.526692488286335e-16,3.720056065155316e-17,8.5266568082280786e-16,8.2465733488254843e-16,8.2465949034454009e-16,2.9298256405030762e-16,2.9300066003878638e-16,1.6657517957718501e-17,1.376697828094442e-17,6.8834891404903536e-18,4.2797053499566433e-21,1.4598982987844816e-20,3.5371050712548114e-21,1.7685312687677607e-21,1.0581602635062187e-20,7.079689592285985e-21,7.0521533375628302e-21,2.8286191988113424e-20,6.2314429580784183e-24,5.9720933060759153e-21,6.8205102107637398e-21,2.4232100802881886e-21,1.6665097593546379e-26,2.0935968645442552e-22,3.4271705980247072e-30,1.0953139553262536e-26,5.6608130520264765e-27,1.164136460537553e-30,7.0302135213858418e-30,1.3992567516947782e-33,2.1263771297327024e-26,1.1741803450530256e-19,4.3729349729368344e-30,6.3233422970461154e-36,0.0
2.047e-12,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.999999999999996,11.0,1.7066041446806823e-15,7.4457957920243994e-17,1.7065898568558172e-15,1.6505287601307319e-15,1.6505373909974987e-15,5.863408988412303e-16,5.8641335375341506e-16,3.3331335269348197e-17,2.7547484628348253e-17,1.3773742314309393e-17,1.7132903556434934e-20,5.8459033617066063e-20,1.4160275979912231e-20,7.0799677115685462e-21,4.2373382167265597e-20,2.8350373270043731e-20,2.8239988136994103e-20,1.1323507319107996e-19,4.9898035727715552e-23,2.3914774506076961e-20,2.7312357860704371e-20,9.7028252990648609e-21,1.3345953924230066e-25,8.3854721180813434e-22,5.4893497348800377e-29,8.7723774774633842e-26,4.5335283262595153e-26,1.8646702739681375e-29,1.1257500120217041e-28,4.4812050113970998e-32,1.7022893786405877e-25,2.3461118499391844e-19,7.0018759587717329e-29,2.0252819752153921e-34,0.0
4.095e-12,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.99999999999999201,11.0,3.4144415775415347e-15,1.4897619111215129e-16,3.4143843959937924e-15,3.3022103632522885e-15,3.3022449007749838e-15,1.1728690526092744e-15,1.1731589521750263e-15,6.6653071896621627e-17,5.5087263321185576e-17,2.7543631661507463e-17,6.8528927340363515e-20,2.3394747061898814e-19,5.6640618133694441e-20,2.8318947218377543e-20,1.6958410930066452e-19,1.1346360351104203e-19,1.1302088347501234e-19,4.5290039400431896e-19,3.9914429891993937e-22,9.5709349727702962e-20,1.0930814324706771e-19,3.882586810571254e-20,1.067800155970554e-24,3.3574139106687894e-21,8.7832879798995829e-28,7.0199084393244905e-25,3.6275064549314078e-25,2.9837622095443452e-28,1.8003411062489677e-27,1.4331613309443426e-30,1.3610577746639494e-24,4.6780332927809139e-19,1.1196008053247076e-27,6.4784118417907818e-33,0.0
8.191e-12,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.99999999999998401,11.0,6.8299870131085949e-15,2.9802635186417954e-16,6.8297582373101897e-15,6.6053286099158323e-15,6.6054667562648487e-15,2.3451718325678167e-15,2.3463310948651338e-15,1.3319317000370631e-16,1.1008205376379122e-16,5.5041026886520152e-17,2.7386394719415487e-19,9.3589344331113152e-19,2.2636823256674879e-19,1.1317323821392659e-19,6.7849055124161672e-19,4.5396957878576509e-19,4.521907465592751e-19,1.8097609217071325e-18,3.1893855079341725e-21,3.8291741799537961e-19,4.3733452259768155e-19,1.5528937578447786e-19,8.5360089281132527e-24,1.3444150225176725e-20,1.4039552931157869e-26,5.6136269988010648e-24,2.9002537307588256e-24,4.7699319607183995e-27,2.8747793522466709e-26,4.5758781881547277e-29,1.086544754486187e-23,9.2947116386547272e-19,1.7872489173634693e-26,2.0692521608159652e-31,0.0
1e-11,0.2202046010689736,89.099999999999994,0.0,0.0,0.0,0.99999999999998046,11.0,8.3383496723851789e-15,3.6386640603975411e-16,8.3379693355418601e-15,8.0639357536263421e-15,8.064165360746471e-15,2.8622551664760465e-15,2.8641813890329584e-15,1.6248970043863971e-16,1.3429594722187533e-16,6.7147973613255324e-17,4.5474734965898228e-19,1.5557353941362525e-18,3.7590570060066156e-19,1.879252253517874e-19,1.1279942453671254e-18,7.5474818431319818e-19,7.5177752907264891e-19,3.0047723471560479e-18,8.1034349555030259e-21,6.3659002163373304e-19,7.2707564057971334e-19,2.5808229263601119e-19,2.1700889865862358e-23,2.2371121845948939e-20,6.042133520845869e-26,1.4278071180230682e-23,7.3747231356336132e-24,2.0532124847174084e-26,1.2351268235180258e-25,3.573897823782244e-28,2.7570746752379119e-23,1.1293045491442954e-18,7.6750890456443421e-26,1.6172559953710075e-30,0.0
1.6383e-11,0.2202046010689736,89.099999999999994,0.0,0.0,0.0,0.99999999999996791,11.0,1.3660560205366061e-14,5.9618098083394566e-16,1.3659645090109435e-14,1.3210585503932688e-14,1.321113782752712e-14,4.6867675602495268e-15,4.6913999781281629e-15,2.6586159306781592e-16,2.1973391402284318e-16,1.0986695700559948e-16,1.0929887857745119e-18,3.7428283582693353e-18,9.0354398609566667e-19,4.5168527725945215e-19,2.7140539908635988e-18,1.8160360997811928e-18,1.8088601342594171e-18,7.2213328383890056e-18,2.5442504952093398e-20,1.5316658806849269e-18,1.7494181259745759e-18,6.2078388924371524e-19,6.8152761079600595e-23,5.3869662396191629e-20,2.2407800534445146e-25,4.4850291860200399e-23,2.3162748680860679e-23,7.6148530150792965e-26,4.5788763282037644e-25,1.4569700345453273e-27,8.6514873254083127e-23,1.834410407759401e-18,2.8450149044990273e-25,6.593564101619934e-30,0.0
3.2767e-11,0.2202046010689737,89.099999999999994,0.0,0.0,0.0,0.99999999999993572,11.0,2.7319636208233881e-14,1.192703891123654e-15,2.7315976420150148e-14,2.6417182801245641e-14,2.6419389545976349e-14,9.357953794285168e-15,9.3764426437665395e-15,5.2956505104733793e-16,4.376974439271549e-16,2.1884872124227661e-16,4.3514352931312296e-18,1.4962211119861191e-17,3.5980853274669121e-18,1.7983539993165026e-18,1.0854669238002256e-17,7.2638795980378772e-18,7.234696791266425e-18,2.8738588701070392e-17,2.0233733649194305e-19,6.1253473040335182e-18,6.9968419846723717e-18,2.479632229891541e-18,5.4293983662050629e-22,2.1617290146628578e-19,3.5666844368955982e-24,3.5777874164289008e-22,1.846324533129731e-22,1.2126424693877265e-24,7.2584938969965572e-24,4.6147505071196483e-26,6.8548336539352423e-22,3.5742757794972821e-18,4.5046990772966828e-24,2.0915960856700427e-28,0.0
6.5535e-11,0.22020460106897383,89.099999999999994,0.0,0.0,0.0,0.99999999999987133,10.999999999999998,5.4629509357046849e-14,2.3865783509241692e-15,5.4614877124039573e-14,5.2814726597853464e-14,5.2823532403743584e-14,1.8652576383843086e-14,1.8726199498383348e-14,1.0505462393652178e-15,8.6834793337739839e-16,4.3417395045197716e-16,1.724193619952574e-17,5.976989172663463e-17,1.4263732639567215e-17,7.1264371207938636e-18,4.3401763074205354e-17,2.905034716339398e-17,2.8929799671245233e-17,1.1378470980258446e-16,1.5995312126623948e-18,2.4488320760250139e-17,2.797778868440455e-17,9.8895894756555351e-18,4.3070004700447939e-21,8.7007519330214974e-19,5.6474044862451638e-23,2.8456340770872736e-21,1.4663087804468749e-21,1.9218729868843825e-23,1.1399763810309016e-22,1.4467275224521113e-24,5.3793593227398506e-21,6.7998848876743183e-18,7.0585554378402236e-23,6.5770489375537978e-27,0.0
9.999999999999999e-11,0.2202046010689741,89.099999999999994,0.0,0.0,0.0,0.99999999999980371,10.999999999999996,8.3336311242277463e-14,3.6439339344641939e-15,8.3298624690784774e-14,8.0546495541729793e-14,8.056910532164696e-14,2.8329231281466815e-14,2.8517619482714787e-14,1.5854300585307669e-15,1.3105446799853269e-15,6.5527218118898575e-16,4.3771116640069485e-17,1.5373039049336368e-16,3.6238128498950634e-17,1.8094299169290958e-17,1.1180021360145017e-16,7.4857616322377379e-17,7.4530868698073999e-17,2.8850176475502352e-16,7.3306300493028029e-18,6.3065740088515085e-17,7.2074522228836612e-17,2.5370472598700675e-17,1.9862487108766022e-20,2.2646789598370527e-18,4.9223844760090686e-22,1.3182990570361111e-20,6.7756799534942952e-21,1.6780625862695546e-22,9.7862813308263869e-22,2.4062838823955583e-23,2.4339114848927895e-20,9.7485605680940395e-18,6.0339066848703443e-22,1.1003377274677234e-25,0.0
1.31071e-10,0.2202046010689741,89.099999999999994,0.0,0.0,0.0,0.99999999999974265,10.999999999999995,1.0921616156509774e-13,4.77746926991094e-15,1.0915769100868235e-13,1.0554733096477293e-13,1.05582385348694e-13,3.7052960987663447e-14,3.7344812586825108e-14,2.0676402760062573e-15,1.7091953433787681e-15,8.5459738435827625e-16,6.7687790525696513e-17,2.3843796795400607e-16,5.6048558028818683e-17,2.798208218710188e-17,1.7346300937490222e-16,1.1615393606817089e-16,1.156412942234649e-16,4.4601325799243057e-16,1.2497349096256356e-17,9.7844181868538899e-17,1.1182875428916011e-16,3.932684919861757e-17,3.3886120515169834e-20,3.5219467280078341e-18,8.8509020322216179e-22,2.2502358149137015e-20,1.1562201692004566e-20,3.0176137558744546e-22,1.7581126567881246e-21,4.4451789766912632e-23,4.1431775924053069e-20,1.2406860352406275e-17,1.0837268849521243e-21,2.0330241819799041e-25,0.0
1.96607e-10,0.22020460106897435,89.099999999999994,0.0,0.0,0.0,0.99999999999961398,10.999999999999991,1.6376974100262847e-13,7.1713588608548279e-15,1.6364557760521449e-13,1.5821757076016104e-13,1.582918156654473e-13,5.5266595375498935e-14,5.5882936221838925e-14,3.0606734250440305e-15,2.530221716486845e-15,1.2651097901634108e-15,1.4199586957940108e-16,5.057379507018733e-16,1.1765437228842322e-16,5.8708503611920075e-17,3.6839524090723303e-16,2.4675573177595809e-16,2.4562171403663105e-16,9.3466950263048583e-16,3.5253959030840105e-17,2.0775791354917167e-16,2.3751356398652302e-16,8.3231450725941294e-17,9.5976730945722103e-20,7.5437917630047022e-18,3.2256450240543437e-21,6.3915990175460243e-20,3.278956402114584e-20,1.1007158734415185e-21,6.3578079878835802e-21,1.99626473906321e-22,1.1592210200627769e-19,1.7312607858702514e-17,3.9106445050343422e-21,9.1525204838159557e-25,0.0
2.62143e-10,0.22020460106897463,89.099999999999994,0.0,0.0,0.0,0.9999999999994853,10.999999999999988,2.1829026896978049e-13,9.568128066278943e-15,2.1807859708212952e-13,2.1082556336848354e-13,2.1095183408100207e-13,7.3295561849822585e-14,7.434097946304966e-14,4.0304269019671084e-15,3.3320400279961785e-15,1.6660173070423594e-15,2.3938962114293314e-16,8.612511573627762e-16,1.9846819523829346e-16,9.8987454098822974e-17,6.2810270078016056e-16,4.2082330882786629e-16,4.1881876125486456e-16,1.5742395379284597e-15,7.3456580912821412e-17,3.541579507148906e-16,4.0497708367489123e-16,1.4145506174990134e-16,2.0071886104918628e-19,1.2960573311079774e-17,8.1084554195435664e-21,1.3400851165939334e-19,6.86519541172065e-20,2.7691100295943598e-21,1.5870508993227596e-20,5.8620131751695448e-22,2.3976671480453644e-19,2.163587329953679e-17,9.7430774249911731e-21,2.6936438103009555e-24,0.0
3.93215e-10,0.22020460106897516,89.099999999999994,0.0,0.0,0.0,0.99999999999922795,10.999999999999979,3.2725382112714586e-13,1.4368131604596476e-14,3.2681605265020758e-13,3.1589581758722635e-13,3.1615593971710472e-13,1.0892644236362449e-13,1.1107038287545277e-13,5.9176224614884626e-15,4.8924241975008791e-15,2.4462027408434592e-15,4.8604707226198096e-16,1.7780181143675134e-15,4.0334817347098998e-16,2.0101672972805727e-16,1.2992452917446298e-15,8.7086948968666946e-16,8.6647766033526308e-16,3.1911925846852398e-15,1.9661020280931933e-16,7.32368999247192e-16,8.377855304395648e-16,2.9105443341534465e-16,5.4055753709383682e-19,2.7141858976484983e-17,2.7936211939171492e-20,3.6238517941161154e-19,1.8523370312243752e-19,9.5530733095525144e-21,5.4040302268002134e-20,2.5011810730428231e-21,6.3401922533837712e-19,2.9207543322091969e-17,3.3069820813502632e-20,1.1537293467387113e-23,0.0
5.24287e-10,0.22020460106897574,89.099999999999994,0.0,0.0,0.0,0.9999999999989706,10.999999999999968,4.360960079112255e-13,1.9178001582059659e-14,4.3535224111330262e-13,4.207381242766288e-13,4.2117843749809879e-13,1.4389513556493792e-13,1.4750866990152428e-13,7.7253385037268855e-15,6.3869953903954582e-15,3.193474636131457e-15,8.1150715350340264e-16,3.0157290944689297e-15,6.7404095888039351e-16,3.3567450709414873e-16,2.2077985215958005e-15,1.4804858010081484e-15,1.4726260149644705e-15,5.3199818694684669e-15,4.0406079784521362e-16,1.2441655122541689e-15,1.423772519298254e-15,4.921014329229166e-16,1.1170867586833888e-18,4.6647233170610979e-17,6.89545812512307e-20,7.5156469146040339e-19,3.8342579744460718e-19,2.3605359991362152e-20,1.3209380772613954e-19,7.1446122001170314e-21,1.2890838982846393e-18,3.5357575789648936e-17,8.0620989995625719e-20,3.3054863407843323e-23,0.0
6.55359e-10,0.22020460106897624,89.099999999999994,0.0,0.0,0.0,0.99999999999871325,10.999999999999956,5.4480830232359346e-13,2.3998011969929525e-14,5.4367318693804625e-13,5.2533695953823238e-13,5.2600643966932807e-13,1.781676570608631e-13,1.8363773403030615e-13,9.4525733532512057e-15,7.8147411961410473e-15,3.9073225013609114e-15,1.2167510087660921e-15,4.594557229949049e-15,1.0115590143988803e-15,5.0338211950867871e-16,3.3700870996788299e-15,2.2608538535519868e-15,2.2482363925563522e-15,7.9643532549357153e-15,7.223360816765033e-16,1.8986213856754348e-15,2.1735128820290212e-15,7.4731577441870324e-16,2.0083758192357697e-18,7.200428331629409e-17,1.4449835262942015e-19,1.3560065474748072e-18,6.904937486709916e-19,4.9520537332080563e-20,2.7409257339220799e-19,1.7003448180341158e-20,2.279672656289476e-18,4.0413139400397724e-17,1.6684297245588677e-19,7.8906407345349087e-23,0.0
9.17503e-10,0.2202046010689773,89.099999999999994,0.0,0.0,0.0,0.99999999999819855,10.999999999999931,7.61836014338477e-13,3.3667409448527722e-14,7.5965853615133319e-13,7.3379390496572392e-13,7.3506738724109653e-13,2.4466699110307489e-13,2.5496668324570225e-13,1.2689067118733637e-14,1.0488176034362541e-14,5.2439228471976076e-15,2.2432477711335157e-15,8.7786480237112548e-15,1.8686524712845236e-15,9.2834767360979359e-16,6.4675598701531516e-15,4.3431083878453574e-15,4.3161381308420123e-15,1.4633124711043121e-14,1.8175088949330668e-15,3.6413663559072722e-15,4.1720686268406667e-15,1.4174028717502759e-15,5.1317627948095697e-18,1.4152681807941659e-16,5.0913206279705948e-19,3.4954672159092495e-18,1.7719293923248264e-18,1.7507697347475192e-19,9.3637201607818691e-19,8.1553821509984691e-20,5.5797822000690443e-18,4.8839777334813752e-17,5.6541119111417521e-19,3.8281931024402795e-22,0.0
9.999999999999999e-10,0.22020460106897838,89.099999999999994,0.0,0.0,0.0,0.99999999999803657,10.99999999999992,8.3002617513814528e-13,3.6718287418389534e-14,8.2744975572543697e-13,7.9919322923892127e-13,8.006959917612994e-13,2.6504855756737958e-13,2.771623576505797e-13,1.3652470182390445e-14,1.128329379585778e-14,5.6414194184222697e-15,2.6209004675980581e-15,1.0373608664221493e-14,2.1845961985158362e-15,1.0847328477603279e-15,7.6535788975966361e-15,5.1411893093034362e-15,5.1082111274896632e-15,1.7077988922350071e-14,2.3061995420016063e-15,4.3082561486286436e-15,4.9374665975960213e-15,1.6709628750582922e-15,6.5451278050082777e-18,1.6870755952226404e-16,7.0808559972803499e-19,4.470373933444267e-18,2.263068669789015e-18,2.4376171263185772e-19,1.2890926472926519e-18,1.2302344038177688e-19,7.017743167448905e-18,5.1177610511895354e-17,7.7637512519917349e-19,5.7966369082033131e-22,0.0
1.179647e-09,0.22020460106897838,89.099999999999994,0.0,0.0,0.0,0.99999999999768385,10.999999999999897,9.7833829880926813e-13,4.337503469514982e-14,9.7477568750948728e-13,9.4127292848746006e-13,9.4333990545490701e-13,3.085277181185261e-13,3.2507929234964619e-13,1.5659087701935486e-14,1.2938208202351368e-14,6.4686987537005518e-15,3.5337428907383848e-15,1.4307661682808145e-14,2.9491506293894214e-15,1.4627934464529501e-15,1.0586167159329807e-14,7.1156220797864158e-15,7.0670911563803607e-15,2.2975393670049173e-14,3.6089611493877232e-15,5.9566771079913457e-15,6.8302223208710724e-15,2.2938180574549709e-15,1.0335847750670391e-17,2.3667874421963795e-16,1.2808008767758287e-18,7.0929338834025054e-18,3.5823788886193789e-18,4.4165020584224795e-19,2.2961973807962361e-18,2.4836965900017986e-19,1.0810645376865181e-17,5.5748357957564907e-17,1.3774493643999509e-18,1.1759437350866046e-21,0.0
1.4417910000000002e-09,0.22020460106897938,89.099999999999994,0.0,0.0,0.0,0.99999999999716915,10.999999999999858,1.1943165010578478e-12,5.312006610588671e-14,1.1890283644328548e-12,1.1477805246428228e-12,1.1508251293895489e-12,3.6985837763522797e-13,3.9399915155612055e-13,1.8394299405008516e-14,1.5190187005508266e-14,7.5942712512932381e-15,5.0567588894422903e-15,2.1157418529187417e-14,4.2277063377929976e-15,2.0936990394135839e-15,1.5720161381943748e-14,1.0576353881057889e-14,1.0497871799266698e-14,3.2772451820867752e-14,6.2153282940701399e-15,8.8404530121849054e-15,1.0144595180935775e-14,3.3686421208487215e-15,1.8048469732490953e-17,3.5841123730430527e-16,2.6632025892813726e-18,1.2468709277700226e-17,6.2777055814810544e-18,9.2065709969303226e-19,4.6626523977946803e-18,5.9684131584027178e-19,1.8194276961034138e-17,6.1938254989094844e-17,2.7803139432035801e-18,2.848156484387082e-21,0.0
