Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182)
1e-12,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.187387232872397e-18,6.3670198081629142e-19,3.1873854837048946e-18,3.0972206590040644e-18,3.0972304192212509e-18,9.3119550984892473e-19,9.312073300971542e-19,2.8209172979161437e-19,2.3631317527085013e-19,1.18156587635439e-19,6.2054915137378802e-23,3.0426144338713518e-23,5.1984577065561527e-23,2.5992288532783211e-23,3.0592684527583819e-23,2.0605971113284303e-23,2.0518319209285037e-23,3.5353806473883991e-23,6.7055202890397966e-27,3.1336586198006206e-24,1.9937946547571754e-23,5.9944637339225001e-24,1.2541162575643821e-29,2.5363104673683581e-25,2.2267156583588122e-33,6.5262967502462791e-30
1.023e-12,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.2606759643266183e-18,6.5134194794143862e-19,3.2606741541504496e-18,3.168436026270584e-18,3.1684461269109193e-18,9.5260639399105323e-19,9.5261862650951673e-19,2.8857724788235748e-19,2.4174620803932912e-19,1.208731040196791e-19,6.4219238062645037e-23,3.1487365243155281e-23,5.3797671984252886e-23,2.6898835992128999e-23,3.1659717657401525e-23,2.1324681059034614e-23,2.1233971913306259e-23,3.6586853711422528e-23,6.9799213568815309e-27,3.2429565582676787e-24,2.0633356532240041e-23,6.2035417680245243e-24,1.3054368487529129e-29,2.624773334642781e-25,2.3246233712841352e-33,6.793366280430032e-30
2.047e-12,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.5235869968276266e-18,1.3031393221197254e-18,6.5235797524038856e-18,6.3390208918727906e-18,6.3390613149015239e-18,1.9057914727321756e-18,1.9058404248319594e-18,5.7722727907639076e-19,4.8355353482093602e-19,2.4177676741058833e-19,2.5695992635064504e-22,1.2601203963461296e-22,2.1526063453276897e-22,1.0763031726642723e-22,1.2670423158454157e-22,8.5343036841510297e-23,8.4979973638176718e-23,1.4639010929716032e-22,5.5860891454579397e-26,1.2978516445229904e-23,8.2576221011828388e-23,2.4826229190390056e-23,1.0447693628253091e-28,1.0504270954183234e-24,3.7210458254835358e-32,5.4374971015590168e-29
4.095e-12,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3049286062179686e-17,2.6067363782569069e-18,1.3049257077551895e-17,1.2680002077404628e-17,1.2680163805926272e-17,3.8119027896407631e-18,3.8120986200367353e-18,1.1541415607118148e-18,9.6684545095877631e-19,4.8342272548035623e-19,1.0276940087834733e-21,5.0415184264351944e-22,8.6092398372841719e-22,4.304619918648979e-22,5.0694070169295727e-22,3.4145782339150484e-22,3.4000490100977354e-22,5.8544082488954497e-22,4.4682018010397122e-25,5.1926705765933952e-23,3.3038713310206606e-22,9.9323208430399855e-23,8.3571810932067978e-28,4.2025416306765196e-24,5.9530730317352445e-31,4.3504809222482806e-28
8.191e-12,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.6100192213221686e-17,5.2139397213596428e-18,2.6100076264819695e-17,2.5361210313699877e-17,2.5361857264761514e-17,7.6230903632318167e-18,7.6238735529167338e-18,2.3064291796384678e-18,1.9321401379633818e-18,9.6607006898939849e-19,4.1079971565693896e-21,2.0166441572048007e-21,3.4413959430766779e-21,1.7206979715493224e-21,2.0279559678427095e-21,1.3659798469216073e-21,1.3601650843990741e-21,2.3398876767883662e-21,3.571852014799721e-24,2.0772630103496124e-22,1.3216870743586593e-21,3.9728300012982227e-22,6.6811229673344706e-27,1.6810226080871561e-23,9.5183166435880818e-30,3.4795607848525479e-27
1e-11,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,3.1863695480272505e-17,6.3654202493582468e-18,3.1863502721522964e-17,3.0961204841665713e-17,3.0962280335147517e-17,9.3053891075721797e-18,9.3066907727425034e-18,2.8139801772892034e-18,2.3573273893330669e-18,1.178663694685973e-18,6.8238353830610055e-21,3.3523369451943295e-21,5.7165865884616073e-21,2.85829329427767e-21,3.3714167852602822e-21,2.2709336570353735e-21,2.2612623358202163e-21,3.886295127964289e-21,9.0821411259311977e-24,3.4533828604944246e-22,2.1972880005058562e-21,6.6038704079630502e-22,1.6989654796286064e-26,2.7943785309774252e-23,4.0991806423213445e-29,8.8538676098879783e-27
1.6383e-11,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,5.2200036748147218e-17,1.0428383328526347e-17,5.2199572966485334e-17,5.0720610630502628e-17,5.0723198222529399e-17,1.5241327684202649e-17,1.524445877392985e-17,4.604858020298957e-18,3.8575873260343913e-18,1.9287936630780319e-18,1.6406585742207491e-20,8.0652872302894945e-21,1.3744525720297981e-20,6.872262860322467e-21,8.1117763195755729e-21,5.4640349118480688e-21,5.4407558437368259e-21,9.3427455209194588e-21,2.8525024153212688e-23,8.3089787717571841e-22,5.2868185210130714e-21,1.5887414308317714e-21,5.3362987391199286e-26,6.7228201317560757e-23,1.5204503210776214e-28,2.7816941387776923e-26
3.2767e-11,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.0439185596109613e-16,2.0857418207890799e-17,1.0439000111204009e-16,1.014273497058235e-16,1.0143769736307241e-16,3.0461270309251285e-17,3.0473780112332889e-17,9.1772683723901981e-18,7.6880274784261756e-18,3.8440137396862218e-18,6.5417611843487451e-20,3.2247675651251946e-20,5.4805008407763093e-20,2.7402504206582122e-20,3.2443541391398003e-20,2.1854919037922408e-20,2.1761651785292426e-20,3.7233512465226098e-20,2.2738109311238459e-22,3.3232069094666556e-21,2.1145760747758916e-20,6.3512208213218741e-21,4.2548602829803628e-25,2.6878520814938277e-22,2.4245244948626135e-27,2.2219801287503177e-25
6.5535e-11,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,2.0874402465022993e-16,4.1716078476297844e-17,2.0873660783783142e-16,2.0279260611964915e-16,2.0283397307665186e-16,6.0835181324527768e-17,6.0885102056053854e-17,1.8225393465033985e-17,1.5267996903166195e-17,7.6339984551550983e-18,2.6000277262205013e-19,1.2887673131868588e-19,2.1783684920607352e-19,1.0891842464388436e-19,1.2973930514431468e-19,8.7405625801476383e-20,8.7031367841378311e-20,1.4783727152520909e-19,1.8059585808917908e-21,1.3289102145304006e-20,8.4566792094817707e-20,2.5373735081588522e-20,3.381231479275971e-24,1.0740740772556959e-21,3.853029353298733e-26,1.7721047745470659e-24
9.999999999999999e-11,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.1843425963761392e-16,6.3656215477648424e-17,3.1841515269509757e-16,3.0930606464278259e-16,3.0941259418112921e-16,9.2643967888142961e-17,9.2772150173214438e-17,2.7543198810974391e-17,2.3074046297609148e-17,1.1537023163812091e-17,6.6329931242074087e-19,3.3171838417456309e-19,5.5578580877610973e-19,2.7789290471311819e-19,3.3427353296480878e-19,2.2524036069372451e-19,2.2427066504577902e-19,3.7654071190755006e-19,8.3457788927290248e-21,3.4238756386011434e-20,2.179136553021162e-19,6.5273567596334217e-20,1.5641075054611952e-23,2.764134740955253e-21,3.381368893003495e-25,8.249746132848296e-24
1.31071e-10,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.999999999999999,11.0,4.1732256056008629e-16,8.3435759849299789e-17,4.1729291469306999e-16,4.053304276131084e-16,4.0549570273581416e-16,1.2132032962666286e-16,1.2151906652453597e-16,3.5943417290699165e-17,3.0111381586590353e-17,1.5055690818612077e-17,1.0268805336041189e-18,5.1458485728888092e-19,8.6045466479817862e-19,4.3022733298037965e-19,5.1866590182047612e-19,3.4950158361080106e-19,3.4799508702279732e-19,5.8272218865554712e-19,1.4241579180240842e-20,5.3125357486055553e-20,3.3812895739740046e-19,1.0124419565568904e-19,2.6693609502001024e-23,4.2877637814835853e-21,6.0823921157186298e-25,1.4089490645942088e-23
2.62143e-10,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.999999999999998,11.0,8.3397704556676859e-16,1.6688455633649365e-16,8.3385863435691591e-16,8.0963686457700268e-16,8.1029642668976809e-16,2.4124960033885377e-16,2.4203707508461363e-16,6.9932045345418277e-17,5.8586217771229901e-17,2.9293109040532718e-17,4.0060648150986127e-18,2.0509752285877734e-18,3.3576232947013443e-18,1.6788116545386148e-18,2.0723123510298479e-18,1.3970227976498773e-18,1.3909213318405584e-18,2.2643332690768556e-18,1.1074949167165321e-19,2.1225132141542977e-19,1.3513950584977957e-18,4.0298065558229381e-19,2.0806165645031642e-22,1.7084236053839967e-20,9.4776673424497439e-24,1.113396523115806e-22
5.24287e-10,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999999589,11.0,1.6652806085548828e-15,3.3381980771168511e-16,1.6648083405590103e-15,1.6151853032708133e-15,1.6178114004076828e-15,4.7701959991783115e-16,4.8011130241523669e-16,1.3260003794873674e-16,1.1108672189348616e-16,5.5543361549626145e-17,1.526635527894336e-17,8.145532531325641e-18,1.2801128347302129e-17,6.400564232135267e-18,8.2704636367045005e-18,5.580204148471119e-18,5.5551972352995506e-18,8.5616063405862162e-18,8.3848981859657483e-19,8.4701349701086819e-19,5.3966045631576874e-18,1.5961757973676208e-18,1.5830182342728962e-21,6.7826593127253158e-20,1.4408680793887214e-22,8.6939694814636016e-22
9.999999999999999e-10,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999999212,11.0,3.1666053370606724e-15,6.3689351424094358e-16,3.1648574708372472e-15,3.0659816361109416e-15,3.0756701123637402e-15,8.9055714516363829e-16,9.0166349401393107e-16,2.300071035067078e-16,1.9266514936285925e-16,9.6332572626588149e-17,5.1994192967713941e-17,2.9902771070876513e-17,4.3632569100461736e-17,2.1816284250362072e-17,3.064770346538798e-17,2.0712720040234724e-17,2.0615318437877083e-17,2.8726736062528533e-17,5.5601664668787806e-18,3.1383613389465521e-18,2.0021558402718349e-17,5.8299642246304751e-18,1.0610617240039026e-20,2.4906095143829868e-19,1.9142885747680886e-21,6.1008636033468143e-21
1.0485750000000002e-09,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999999178,11.0,3.319905433310237e-15,6.678403357376419e-16,3.3180273158977479e-15,3.21412228366043e-15,3.2245318986366945e-15,9.3278341659266217e-16,9.447081400650306e-16,2.3995332782573731e-16,2.0099511325773879e-16,1.0049755430264796e-16,5.5744468271798636e-17,3.2124400208736295e-17,4.6780763988103524e-17,2.3390381657591582e-17,3.2932640863941955e-17,2.2257899506514649e-17,2.2153105690727455e-17,3.0785795151187777e-17,6.0422963291913717e-18,3.3723306049157955e-18,2.1514910765921928e-17,6.262275876517841e-18,1.1532424341600457e-20,2.6756677102901642e-19,2.0950436746365592e-21,6.635048064936815e-21
2.0971510000000003e-09,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,0.99999999999998357,10.999999999999998,6.5975374100567672e-15,1.3364766918552046e-15,6.5901115392374979e-15,6.3641216004025686e-15,6.4050345213394549e-15,1.7854601763897607e-15,1.8299441596715498e-15,4.0184500178796377e-16,3.3636728254658912e-16,1.6818356593047714e-16,1.894395486548286e-16,1.2497807517526903e-16,1.5918483234477014e-16,7.959239049495653e-17,1.3055462759426659e-16,8.8532054854119397e-17,8.8075412692626441e-17,1.0156626315590496e-16,3.9983535381212709e-17,1.3366847159267249e-17,8.5492931985664131e-17,2.4122576597494723e-17,7.8228377622844039e-20,1.0446436819131364e-18,2.8285139793080359e-20,4.8543350400907319e-20
3.1457270000000003e-09,0.2543468493613998,89.099999999999994,0.0,0.0,0.0,0.99999999999997535,10.999999999999996,9.8438601975873696e-15,2.0057036113706419e-15,9.8282061553808679e-15,9.4669952523154072e-15,9.5529034386135806e-15,2.5832132989610503e-15,2.6733614615803072e-15,5.2495745066151077e-16,4.3901946909007511e-16,2.1950947070934152e-16,3.6185580207865612e-16,2.6057471453184073e-16,3.0430924082658783e-16,1.521545063920134e-16,2.7572235283909501e-16,1.8740159563076678e-16,1.8637699298504504e-16,1.8989281008585911e-16,1.0288760927828719e-16,2.8228487954232469e-17,1.8084643857937998e-16,4.995965653599594e-17,2.0461224939379433e-19,2.1864110399319443e-18,9.6345695846446916e-20,1.3200594158061269e-19
4.194303e-09,0.2543468493613998,89.099999999999994,0.0,0.0,0.0,0.99999999999996714,10.999999999999995,1.3059179263901458e-14,2.6755164208766674e-15,1.3032671425032238e-14,1.2523477642946001e-14,1.2668446637151723e-14,3.3296787263020105e-15,3.4769944836977481e-15,6.1959627404462114e-16,5.1758334644739904e-16,2.5879106838224021e-16,5.6270079763759303e-16,4.3686606190093425e-16,4.7352249073625118e-16,2.3676092970897477e-16,4.6769734073889502e-16,3.1854629827492582e-16,3.1671431004350207e-16,2.894559513802195e-16,1.9796313973078109e-16,4.7882875902726353e-17,3.0721356241355723e-16,8.3258688892967072e-17,3.9995243314702104e-19,3.6818900533285024e-18,2.285875541942009e-19,2.6632459603801307e-19
6.291455e-09,0.2543468493613998,89.099999999999994,0.0,0.0,0.0,0.99999999999995071,10.999999999999991,1.9417989469795639e-14,4.0165028337865292e-15,1.9363778561106192e-14,1.8529790818401503e-14,1.8824628455153859e-14,4.7125123268416653e-15,4.9968146960471576e-15,7.6387908716440168e-16,6.3652117423958455e-16,3.1825887784366802e-16,1.009308059185478e-15,8.789892806543081e-16,8.5014065816648652e-16,4.250691632544204e-16,9.5926061161631843e-16,6.5560240517072597e-16,6.5152342897534735e-16,5.0204096250557714e-16,4.6779004904747121e-16,9.821791320279071e-17,6.3162768414790321e-16,1.6590323242636891e-16,9.717607415927513e-19,7.4744792810029603e-18,7.1949070989659351e-19,6.7710764880634529e-19
8.388607e-09,0.25434684936139984,89.099999999999994,0.0,0.0,0.0,0.99999999999993427,10.999999999999984,2.5665282481852561e-14,5.3596058452621822e-15,2.5574156282609916e-14,2.4371417708628616e-14,2.4864514905692659e-14,5.9333348341496163e-15,6.3858314839615005e-15,8.547819343551992e-16,7.1004834998655808e-16,3.5502067182653118e-16,1.5091954524624751e-15,1.4551521848394662e-15,1.2721726764138488e-15,6.3608341416646753e-16,1.6170003084131956e-15,1.1087307219356067e-15,1.1013380657660798e-15,7.2599537236846081e-16,8.6325751035155823e-16,1.6559132574512158e-16,1.0671402088021362e-15,2.7218373222957521e-16,1.842413844751298e-18,1.2495641427814784e-17,1.6532643880446401e-18,1.3308401301592614e-18
9.999999999999999e-09,0.25434684936139995,89.099999999999994,0.0,0.0,0.0,0.99999999999992162,10.999999999999979,3.0385329516128345e-14,6.3931416007240734e-15,3.0259464120501852e-14,2.8743819326590453e-14,2.9421806827674009e-14,6.7750369685597083e-15,7.3708018682495242e-15,9.0962277354341988e-16,7.536757458202998e-16,3.7683253405475678e-16,1.9082581818998042e-15,1.9824575718286505e-15,1.6093223711626053e-15,8.046557436135898e-16,2.2395977488400522e-15,1.5403556811420101e-15,1.5294282729900617e-15,8.9392997877824982e-16,1.2526845798564688e-15,2.2942413765459818e-16,1.4811739719274036e-15,3.6793551198590999e-16,2.7559874576873828e-18,1.7207649150263202e-17,2.9461059817064318e-18,2.0480928985713265e-18
1.2582911e-08,0.25434684936139995,89.099999999999994,0.0,0.0,0.0,0.9999999999999013,10.99999999999997,3.7805731322915772e-14,8.0525809249913346e-15,3.7612626160737021e-14,3.5541818859939728e-14,3.6575182477294564e-14,7.9495483177638391e-15,8.8003976058325902e-15,9.7032301755078372e-16,8.0027695369523433e-16,4.0012936651152398e-16,2.5750443328563795e-15,2.981042560514116e-15,2.1730768225392872e-15,1.0865268177547533e-15,3.4500455985870473e-15,2.3834998956201853e-15,2.3651143964561677e-15,1.1555977310953579e-15,2.0320094357823747e-15,3.5361420845799492e-16,2.2887687162831869e-15,5.4695763334349933e-16,4.6637638252302781e-18,2.6308530941098366e-17,6.0614491115119631e-18,3.5874430462069125e-18
1.6777215e-08,0.25434684936139995,89.099999999999994,0.0,0.0,0.0,0.99999999999986833,10.999999999999952,4.9491150330194286e-14,1.0754303763754323e-14,4.9160977602116453e-14,4.6062934567709402e-14,4.7811993651833224e-14,9.4907398111154952e-15,1.0792346553677084e-14,1.0401847013131625e-15,8.5115936210258531e-16,4.2556282320960241e-16,3.686373381027628e-15,4.9423516441529362e-15,3.1133481512085557e-15,1.556645471732659e-15,5.9384471072655752e-15,4.1316796455137798e-15,4.095740095162218e-15,1.5465953862314053e-15,3.6406273205651532e-15,6.093913106137461e-16,3.9586952068156544e-15,8.9127043610464972e-16,8.9534385038103609e-18,4.4883204528520046e-17,1.4909583508910407e-17,7.1625088370256284e-18
2.0971519e-08,0.2543468493614,89.099999999999994,0.0,0.0,0.0,0.99999999999983535,10.999999999999934,6.0736641018474864e-14,1.3464558848619236e-14,6.0237002451089094e-14,5.5969833756171638e-14,5.8591375617000417e-14,1.0662218229425451e-14,1.2433274438574534e-14,1.0993437929595083e-15,8.926423493734078e-16,4.4629509572261234e-16,4.8082486784942896e-15,7.2668181633917536e-15,4.0630418892922753e-15,2.0314653234878459e-15,9.0469873634710302e-15,6.3374286730921008e-15,6.2762474756220553e-15,1.8916932259648739e-15,5.6072619858447532e-15,9.297727474543086e-16,6.0589031633228558e-15,1.2897887487974638e-15,1.4762069991599878e-17,6.7968141229028194e-17,2.9752473237329412e-17,1.2108651839696252e-17
2.5165823e-08,0.2543468493614,89.099999999999994,0.0,0.0,0.0,0.99999999999980238,10.999999999999911,7.1558373423764349e-14,1.6183113224090119e-14,7.0859584841939884e-14,6.5298352621467035e-14,6.8931005430485894e-14,1.1550888645019294e-14,1.3786143833853035e-14,1.1589856087507596e-15,9.3442402148765379e-16,4.6717575080574135e-16,5.9294983925684807e-15,9.8907984085387716e-15,5.0124608071464472e-15,2.5061368067893037e-15,1.2739707743813311e-14,8.9837954245858597e-15,8.8886284590673074e-15,2.1962638000020171e-15,7.8530199475809012e-15,1.3116074193538552e-15,8.5703829992324893e-15,1.729831002229723e-15,2.2119390873061045e-17,9.533372477436942e-17,5.2124046509613386e-17,1.8419792261841456e-17
3.3554431e-08,0.25434684936140006,89.099999999999994,0.0,0.0,0.0,0.99999999999973654,10.999999999999863,9.1988970087097644e-14,2.1644287104036902e-14,9.0812160158610869e-14,8.2344384980916589e-14,8.835520678160454e-14,1.2703295553084783e-14,1.5805821007512915e-14,1.2803940310482204e-15,1.0197157346689241e-15,5.0979916428001077e-16,8.1694448090737736e-15,1.5856824490830302e-14,6.9096423614596139e-15,3.4546177127429713e-15,2.1753234926805371e-14,1.5537175091423697e-14,1.5344417556724117e-14,2.7153729773579317e-15,1.2961354521295508e-14,2.2490312731971353e-15,1.4759164120816882e-14,2.7018311908202372e-15,4.1550320720242181e-17,1.6219895826758569e-16,1.2470158256959671e-16,3.4950036556830746e-17
4.1943039e-08,0.2543468493614001,89.099999999999994,0.0,0.0,0.0,0.99999999999967071,10.999999999999803,1.1090605918148297e-13,2.7136085326285561e-14,1.0916117868516827e-13,9.7458966077822408e-14,1.0622008117319114e-13,1.3363196275075401e-14,1.7193466433127975e-14,1.4092524367710867e-15,1.1114919760650897e-15,5.5566295567421062e-16,1.0401375592777868e-14,2.2493433758112834e-14,8.8004361105882108e-15,4.3998582980431469e-15,3.2720456555970244e-14,2.3662807837957424e-14,2.3327245537635377e-14,3.160038542655026e-15,1.8558348905189275e-14,3.3998090827931227e-15,2.2382090986225842e-14,3.7466029929588311e-15,6.7392335719594167e-17,2.4405434576919021e-16,2.4355870044781128e-16,5.6311506296144736e-17
5.033164700000001e-08,0.2543468493614001,89.099999999999994,0.0,0.0,0.0,0.99999999999960487,10.999999999999739,1.2843079475506417e-13,3.2656835946278526e-14,1.2604590536920485e-13,1.1088496727728076e-13,1.2265930632448241e-13,1.3788542719654455e-14,1.8194482387142568e-14,1.5390560288527834e-15,1.2041866744600961e-15,6.0198409692787402e-16,1.2631787681745584e-14,2.9550600422392211e-14,1.069040760128728e-14,5.3446415904720004e-15,4.53979392284108e-14,3.323377766365199e-14,3.2704312164759629e-14,3.5708864116828286e-15,2.4385249442282302e-14,4.7438063760765687e-15,3.1299697550731036e-14,4.8264435273878241e-15,9.9764568552016888e-17,3.3969095325449041e-16,4.1897578521173286e-16,8.1934842496657027e-17
