Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715)
1e-12,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5067461022457007e-20,3.6196789524293862e-20,3.5067456660159792e-20,3.4201148711925622e-20,3.420128024180343e-20,9.0138497837405134e-21,9.01378067732482e-21,1.5649278734743877e-20,1.3232553744100574e-20,6.6162756761826787e-21,4.3455112813266513e-24,3.0338726283271965e-25,3.6744331678162561e-24,1.8372140107456162e-24,3.8804761006424735e-25,2.634862434738592e-25,2.6212487186709563e-25,1.6505406687531039e-25,3.951667897106786e-29,7.8214884160957223e-27,2.556502706917353e-25,6.7377580380212677e-26,5.471560230401742e-32,2.0873921036129486e-27,1.2262967697695173e-35,2.360526834240284e-32,2.2429092608740463e-32,5.0268482423144039e-36,1.1913940736084908e-36,2.5879254615601351e-40,2.2863390797221064e-30,1.2957434591696446e-24,5.124224550017758e-34,2.8359493141955315e-42,7.0968532120567186e-38,2.314439419311744e-45,7.0672558409197701e-38,2.2064842458170539e-27,1.5335886991590441e-32,5.3463265277912986e-33,6.9011441080119178e-22,3.4255752916971591e-43,4.9325702236038803e-43,2.9631626889863239e-40
1.023e-12,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5873779143972656e-20,3.7029077953952627e-20,3.5873774629525832e-20,3.4987545835327412e-20,3.4987681952789143e-20,9.22110634157934e-21,9.2210348248381297e-21,1.6009057646777017e-20,1.3536771881791852e-20,6.7683847033215543e-21,4.4970709573247872e-24,3.1396897991999959e-25,3.8025874673992699e-24,1.9012910552395696e-24,4.0158220457264674e-25,2.7267630550200632e-25,2.712674506990748e-25,1.7081068488654226e-25,4.1133764803953491e-29,8.0942918195401691e-27,2.6456702362513995e-25,6.9727617453512991e-26,5.6954652766105334e-32,2.1601962755630684e-27,1.2802164519591709e-35,2.4571247163759803e-32,2.3346927603855022e-32,5.2478763985570596e-36,1.2437787008205467e-36,2.7056755555833535e-40,2.3798980018288728e-30,1.3255099986101213e-24,5.3495323373929304e-34,2.9649828935212263e-42,7.4089439087743702e-38,2.4215203545069739e-45,7.3779997884978193e-38,2.2834420397144991e-27,1.5963467239116127e-32,5.5651104266793584e-33,7.0598254575634208e-22,3.5814496877962409e-43,5.1494753205505744e-43,3.0979934773427029e-40
2.047e-12,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.1772058311843903e-20,7.408401508535126e-20,7.1772040245879325e-20,6.999871059413633e-20,6.9999255339824594e-20,1.8448166565159435e-20,1.84478803619722e-20,3.2020285576043193e-20,2.707538604232388e-20,1.3537688070753317e-20,1.7993351944050563e-23,1.2564986845964783e-24,1.5214643906265702e-23,7.6073005186897985e-24,1.6071561679811347e-24,1.0912708027474793e-24,1.085632253370389e-24,6.8342058816273053e-25,3.2918997716329009e-28,3.2393904740123409e-26,1.0588165652941449e-24,2.7905064312888764e-25,4.5580408405321307e-31,8.6443106873353677e-27,2.0491994221477916e-34,1.9667833821159578e-31,1.8684504338896335e-31,8.4001477519461981e-35,1.9904373230591097e-35,8.6601029869699127e-39,1.9041358422282913e-29,2.6472426977645523e-24,8.5607240897355255e-33,9.4833107752770874e-41,1.1908937450634233e-36,1.5490474476664784e-43,1.1809814430437419e-36,9.1374397084558587e-27,1.2778488827490829e-31,4.4547103871335743e-32,1.4124643759545741e-21,1.1512991815131319e-41,8.2472016210718926e-42,9.923815011496568e-39
4.095e-12,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4356699310126863e-19,1.4819392441087046e-19,1.4356692082890031e-19,1.400186289066015e-19,1.4002080838013714e-19,3.6900838420617244e-20,3.6899693419681024e-20,6.4015744690101121e-20,5.4129808118665252e-20,2.7064884272397548e-20,7.1957271785879344e-23,5.0270188080402241e-24,6.0845000172108839e-23,3.0422328660104983e-23,6.430180993476763e-24,4.3661704209723807e-24,4.3436089421344301e-24,2.7329522955867492e-24,2.6330139486646677e-27,1.2960747955061788e-25,4.2363188187721666e-24,1.1164449417083428e-24,3.6457467497169777e-30,3.4578217651044269e-26,3.2782135137059046e-33,1.5737125155648615e-30,1.4944987112859958e-30,1.3438319000624182e-33,3.1828099798917272e-34,2.7696487003538424e-37,1.5222551413107963e-28,5.276682660102555e-24,1.3688356666637839e-31,3.0286115952642498e-39,1.9210230603291078e-35,9.8943822854970798e-42,1.8893103776191014e-35,3.6550348118077561e-26,1.022572827280492e-30,3.5646841698159528e-31,2.8254474632200621e-21,3.7138922955857172e-40,1.3192344332827609e-40,3.1749821632961554e-37
8.191e-12,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.8715036874487296e-19,2.9641388270586255e-19,2.8715007970088065e-19,2.8004882138036312e-19,2.8005753977405634e-19,7.3800388713827562e-20,7.3795809005006352e-20,1.2789885965240778e-19,1.0814758201599494e-19,5.4073712008690865e-20,2.8758713829978424e-22,2.0108363715760723e-23,2.4317596360627674e-22,1.2158661181646766e-22,2.5723064597994318e-23,1.7466514656546783e-23,1.7376245961068373e-23,1.0921683335101149e-23,2.1046369267226247e-26,5.1848102682684646e-25,1.6947035182823927e-23,4.4659633278950887e-24,2.9141641692915011e-29,1.3826636454169995e-25,5.240948286963608e-32,1.2588494942845629e-29,1.1946327144648594e-29,2.1484615715441303e-32,5.0839578795030385e-33,8.8482544835687149e-36,1.2155637641249715e-27,1.0480063750989508e-23,2.1862501901258594e-30,9.6481637680506373e-38,3.1219034729180211e-34,6.3043003945034036e-40,3.020580288710268e-34,1.4614870893714565e-25,8.1815277833684594e-30,2.8519038862698327e-30,5.6514910730156153e-21,1.2068269913952245e-38,2.1074526345247121e-39,1.0144386690689168e-35
1e-11,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5055828702898226e-19,3.6187540748332244e-19,3.505578066305625e-19,3.4188469308189526e-19,3.4189918656919185e-19,9.0091973860231943e-20,9.008436152135762e-20,1.5601796306461423e-19,1.3192438293997473e-19,6.5962060410373072e-20,4.7763053512391714e-22,3.3426686315677101e-23,4.0387252093798395e-22,2.0193277834656885e-22,4.2763640261354521e-23,2.903786280480611e-23,2.8887768723461629e-23,1.8137301414408452e-23,5.3508321747881702e-26,8.6196240883040693e-25,2.8174201889966305e-23,7.4241047455290495e-24,7.4090596205176027e-29,2.297585915883717e-25,2.2566860267908776e-31,3.2038142695809112e-29,3.03738028527704e-29,9.2513518940997904e-32,2.1859449150361104e-32,6.9198028117330494e-35,3.0861810588592906e-27,1.2730159329645418e-23,9.3986949345451066e-30,7.5072055373098682e-37,1.3799263405580553e-33,9.3201549590805163e-39,1.3006943367625803e-33,2.4285055237997839e-25,2.0828367085732491e-29,7.2597080333845076e-30,6.8996822565938328e-21,9.7244238175776142e-38,9.0606896984752659e-39,7.932924803365113e-35
1.6383e-11,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.7429114629237079e-19,5.9285435311877099e-19,5.7428999070582991e-19,5.6007063507795893e-19,5.6010550580266305e-19,1.4757632321871678e-19,1.4755801033941738e-19,2.5523534121835308e-19,2.1582008238594651e-19,1.0790972644018932e-19,1.1481927252446683e-21,8.0419971641971277e-23,9.7088530449148621e-22,4.8543171751828563e-22,1.0289077926590294e-22,6.9867003341201469e-23,6.9505817254338403e-23,4.3597384443827188e-23,1.6804930720063109e-25,2.0739257373703319e-24,6.7788908961104915e-23,1.786181434683229e-23,2.3269157832334184e-28,5.525860571709619e-25,8.3700799557224958e-31,1.0066561732663597e-28,9.5394575348592065e-29,3.4313678554615396e-31,8.105124615527372e-32,2.8214031949615925e-34,9.6865957588532937e-27,2.0669551302315772e-23,3.4847580950923233e-29,3.0591821353507857e-36,5.147399444493096e-33,3.9981577934204554e-38,4.8243513590244812e-33,5.8405998670590458e-25,6.5452344568866589e-29,2.2812507298742683e-29,1.130388586343726e-20,3.9778498191000604e-37,3.359496951008188e-38,3.2344587045052554e-34
3.2767e-11,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.148468822455556e-18,1.1857374727860752e-18,1.1484642052539325e-18,1.1199600202987873e-18,1.120099466739119e-18,2.9503558856015688e-19,2.9496239185591471e-19,5.0820094921870039e-19,4.2972269558778436e-19,2.1486009877833178e-19,4.5751684875731538e-21,3.2154053611796267e-22,3.8686915386065989e-21,1.934258701453592e-21,4.1151090397945026e-22,2.7944814623962759e-22,2.7800265402797259e-22,1.7366160212529732e-22,1.3391219413100339e-24,8.2949020038536722e-24,2.7113517304547593e-22,7.1423945117083234e-23,1.8542948932489177e-27,2.2063131148560649e-24,1.3341363384832138e-29,8.0455615850186119e-28,7.6026820446516417e-28,5.4698772377652232e-30,1.287388601885258e-30,8.9636086926837713e-33,7.6882542421341712e-26,4.0215620657532386e-23,5.5329176398330528e-28,9.6115906585519946e-35,8.7166549316189493e-32,2.5127151960987707e-36,7.6907188724080124e-32,2.3317556162537352e-24,5.2356076051160945e-28,1.8243560347736416e-28,2.2609888484402109e-20,1.3461311588244112e-35,5.3343026095831744e-37,1.0272821903697606e-32
6.5535e-11,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2964087875365367e-18,2.3715121590392499e-18,2.2963903603989603e-18,2.2391221644439717e-18,2.2396796317012704e-18,5.8958418893261998e-19,5.8929185453631077e-19,1.007394598855784e-18,8.5183573761099894e-19,4.2591295162685968e-19,1.816047790459509e-20,1.2849857539596827e-21,1.5356488903123961e-20,7.6775544218380502e-21,1.6455453772631969e-21,1.117578858675091e-21,1.1117912039712716e-21,6.8885243543489301e-22,1.062889504470804e-23,3.3171575829334471e-23,1.0843238396046248e-21,2.8549547158934274e-22,1.4719000013958541e-26,8.7929074266685725e-24,2.1184213010547333e-28,6.4238117862556346e-27,6.036086039734676e-27,8.6869680466992255e-29,2.0299888942662449e-29,2.8272965855945457e-31,6.0542921550216304e-25,7.6242525160200191e-23,8.7178137298817323e-27,2.9667638121143443e-33,1.5448328283490437e-30,1.5516209189093172e-34,1.2214985467955693e-30,9.2910706522059732e-24,4.1873188877387813e-27,1.4583709873670816e-27,4.5226609813629942e-20,4.7650510335912889e-34,8.4050817759684677e-36,3.238107866568335e-31
9.999999999999999e-11,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5029253902311243e-18,3.6187129414604261e-18,3.502878063934913e-18,3.4149481652757858e-18,3.4163837745690741e-18,8.9861082298448201e-19,8.9785919226318283e-19,1.5186438539467574e-18,1.284152239019459e-18,6.4206376589208934e-19,4.6233717255656944e-20,3.3072827565122651e-21,3.9096293308542201e-20,1.9544969917306437e-20,4.2395144255131595e-21,2.8798070847900376e-21,2.8648648381442734e-21,1.7517551286771045e-21,4.9062584684343204e-23,8.5470314840933002e-23,2.7940748327111082e-21,7.3506099931875566e-22,6.7952319968278247e-26,2.2531565578499324e-23,1.8562175544917806e-27,2.9964953591717494e-26,2.7876485413286244e-26,7.6143022442466084e-28,1.7556296791195983e-28,4.757886997215769e-30,2.7557898641460111e-24,1.0864201700945228e-22,7.5291261349374577e-26,4.7972238875649515e-32,1.6140919950743749e-29,4.9470648523886202e-33,1.0708327297059711e-29,2.3800831226001074e-23,1.9591608653696016e-26,6.8174820059623167e-27,6.9023976879608035e-20,9.7135083189562967e-33,7.2591218816752231e-35,5.442306162002996e-30
1.31071e-10,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.5906282006858918e-18,4.7430934872491511e-18,4.5905548211252694e-18,4.4749826835362039e-18,4.4772099583220271e-18,1.1772055291102734e-18,1.1760398320575147e-18,1.9795469615902118e-18,1.673895631309094e-18,8.3692875791399433e-19,7.1542396201742632e-20,5.130430592470812e-21,6.049827974930095e-20,3.0243721313206581e-20,6.5780379217607914e-21,4.4684968632208374e-21,4.4453015387793922e-21,2.7099866557836991e-21,8.3711450803394547e-23,1.3261884580943377e-22,4.3354551636790921e-21,1.1403547904715366e-21,1.1594339741788419e-25,3.4917285800043886e-23,3.3386602880216508e-27,5.1187841072857945e-26,4.7566113991136852e-26,1.3695622616017602e-27,3.1553624882462608e-28,8.7923455397775096e-30,4.6943900589527144e-24,1.3785091331724607e-22,1.3530877450722351e-25,8.8545722575028655e-32,2.9299632354049309e-29,9.2670767679964475e-33,1.926092431140636e-29,3.6881718235674302e-23,3.347893455876079e-26,1.1648845373400953e-26,9.0477857399178775e-20,1.8040881796740126e-32,1.30456515900582e-34,1.0056748924439691e-29
2.62143e-10,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.1724332764041546e-18,9.4863730578040092e-18,9.1721422994448699e-18,8.93687048157716e-18,8.9457588494464361e-18,2.3465754298355802e-18,2.3419416987167468e-18,3.8243386400322934e-18,3.2339224833661841e-18,1.6168895906812406e-18,2.7773380833242461e-19,2.0445767998802192e-20,2.348748500136893e-19,1.1739562262324485e-19,2.627874150281473e-20,1.7859234377095432e-20,1.7766099865131223e-20,1.0491634199534278e-20,6.4942250562758618e-22,5.2993010982040289e-22,1.7326903037625408e-20,4.5484007170119503e-21,8.9983043531796007e-25,1.3771327914245357e-22,5.1859977288018352e-26,4.0628673741016805e-25,3.6944304484936913e-25,2.1288066083447487e-26,4.7698290832285818e-27,2.6599943180072491e-28,3.5325068131240636e-23,2.3006327317604094e-22,2.0398413084047086e-24,2.4865604547701462e-30,6.0225852891474401e-28,5.2103266051248874e-31,2.9948311707046972e-28,1.4535557338465727e-22,2.6751434127600638e-25,9.2900526513566904e-26,1.8104353938411786e-19,7.4011790589278473e-31,1.9667036595219657e-33,3.0351552975016703e-28
5.24287e-10,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8309575834284815e-17,1.8973347951413125e-17,1.8308430888500803e-17,1.7821486998288658e-17,1.7856876384506538e-17,4.6620659934584107e-18,4.6437615602319501e-18,7.1550141181369204e-18,6.0505922337262852e-18,3.0250417972878865e-18,1.0487480612720207e-18,8.1181219110894628e-20,8.8701240506575621e-19,4.4319419595757539e-19,1.0484801871319694e-19,7.1318714665530343e-20,7.0943402006115784e-20,3.940140165070457e-20,4.8960250419985025e-21,2.1153597048768594e-21,6.9188114405100557e-20,1.809020278853752e-20,6.7909627672787405e-24,5.363784273429194e-22,7.8384685609371753e-25,3.1998272141922476e-24,2.79214410306088e-24,3.2216334611360583e-25,6.8399731293893548e-26,7.6389754335355239e-27,2.5126316092809129e-22,3.4132669321467638e-22,2.9114707733103948e-23,6.3050742443308612e-29,1.3183439053998068e-26,2.6474312782958728e-29,4.5351603288475646e-27,5.6537604949801152e-22,2.1350432382307171e-24,7.3858878518053948e-25,3.6236977087969007e-19,3.2352649675650709e-29,2.8070900353352125e-32,8.6806313748261556e-27
9.999999999999999e-10,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,3.479519586470327e-17,3.6190718504194106e-17,3.4791055203132061e-17,3.3803536732543868e-17,3.3934092030299411e-17,8.7813180249029383e-18,8.7148292246661242e-18,1.2129833293280252e-17,1.0257584435517948e-17,5.1280301257637061e-18,3.516655770339329e-18,2.9788020976666044e-19,2.9748720989436518e-18,1.4854129649294461e-18,3.8832494058571108e-19,2.6459654053281668e-19,2.6318008551415316e-19,1.3072880969047733e-19,3.2256432006266066e-20,7.8420129202692707e-21,2.5665746142148567e-19,6.6594086916338469e-20,4.4870564794036489e-23,1.90566826069796e-21,1.0311122819625697e-23,2.281877826023852e-23,1.8493638677950517e-23,4.2468337239190907e-24,8.1567180018011506e-25,1.8194049073492658e-25,1.4903452428976841e-21,4.3212153252339064e-22,3.4484419776359943e-22,1.2513241727563552e-27,2.641379899881866e-25,1.0518185481903269e-27,5.98599222314719e-26,2.0040440967586038e-21,1.5622508165226424e-23,5.3636408572809429e-24,6.9178586948091312e-19,1.2932463819477655e-27,3.3248151693046656e-31,2.0557131413866244e-25
