Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450)
5.24287e-10,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999623,11.0,1.4818887553433818e-15,4.1272205353796583e-16,1.4815102827268433e-15,1.4366084964366066e-15,1.439828664907496e-15,4.2325167756692446e-16,4.2394382299599003e-16,1.5825359214753954e-16,1.3260766050304048e-16,6.6303830540295482e-17,2.4541531658068005e-17,9.5931849617409736e-18,2.0582514778187776e-17,1.0291257431171365e-17,9.8352757809481345e-18,6.64049674800764e-18,6.60999857622539e-18,7.2348009867936832e-18,9.5141848250862299e-19,7.4075143189876455e-19,6.4227149386362906e-18,1.8937891341154877e-18,1.7826597736157009e-21,7.8489878053465114e-20,2.1763892506156619e-22,1.0016618444618028e-21,6.7880134050516644e-22,8.2852677999207217e-23,6.2681709065383397e-23,7.4055198168171208e-24
9.999999999999999e-10,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999278,11.0,2.8148333874383298e-15,7.8741769519754636e-16,2.8134352524612479e-15,2.7225659438650863e-15,2.7344202602719037e-15,7.8963525118205434e-16,7.9209388497444654e-16,2.6701856888137552e-16,2.2370209194447906e-16,1.1185104010051236e-16,8.1601198335771398e-17,3.5058854677190407e-17,6.8485476619740961e-17,3.4242737011094052e-17,3.6394574100556093e-17,2.4625027134841896e-17,2.4504320460838652e-17,2.3680892360430051e-17,6.1639769752849148e-18,2.7421111843300288e-18,2.3806671346985028e-17,6.9128469254065478e-18,1.1678407301795885e-20,2.8465493514791541e-19,2.8282539596202663e-21,7.023279240166735e-21,4.4748034685902803e-21,1.083282987109209e-21,7.3132283236585466e-22,1.7197411402087554e-22
1.0485750000000002e-09,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999245,11.0,2.9509402113090513e-15,8.2567782429558294e-16,2.9494379587250016e-15,2.8538749116856816e-15,2.866610859950337e-15,8.2704663596312e-16,8.2968564568017389e-16,2.7812454821102621e-16,2.3300373391614669e-16,1.1650186045729796e-16,8.7427554371594396e-17,3.7659151298110929e-17,7.3376842572433995e-17,3.6688419850526129e-17,3.9106541013116745e-17,2.6461425474892473e-17,2.6331507621048895e-17,2.5360200868867685e-17,6.696230726573213e-18,2.9464697996597537e-18,2.558174514680876e-17,7.4253423422060992e-18,1.2688860949649436e-20,3.0570642553889275e-19,3.0948235620984197e-21,7.6381459034623974e-21,4.8624128115591201e-21,1.1854368115054704e-21,7.9959770096166897e-22,1.8877819434548764e-22
2.0971510000000003e-09,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.9999999999999849,10.999999999999998,5.8511024465788076e-15,1.6522790646904069e-15,5.8451850639697192e-15,5.6317437469261076e-15,5.6815821891047288e-15,1.5808603407603828e-15,1.5905340202128588e-15,4.4504892212455999e-16,3.7251161662861603e-16,1.8625570176438704e-16,2.8594168807542878e-16,1.4521840996220832e-16,2.4025002574577214e-16,1.2012496340325253e-16,1.5458374769292449e-16,1.0504948998037523e-16,1.0446779138780699e-16,8.0391486019838665e-17,4.2706369197517287e-17,1.1657019644579904e-17,1.0146387839511591e-16,2.8568930543826918e-17,8.3057067728869569e-20,1.1709925212271748e-18,4.0379650308953503e-20,5.5784713644921712e-20,3.2136751206384203e-20,1.5612892624726659e-20,8.6031319172840587e-21,4.0534658486999654e-21
3.1457270000000003e-09,0.1898385730232327,89.099999999999994,0.0,0.0,0.0,0.99999999999997735,10.999999999999996,8.7138216285152799e-15,2.4795616283444923e-15,8.7013799923267052e-15,8.3541137892185983e-15,8.4584506145783538e-15,2.2845633285457053e-15,2.3039715684046408e-15,5.6268341797097568e-16,4.7043890412315291e-16,2.3521911576764081e-16,5.3369224864235785e-16,3.0096472572378629e-16,4.4870426993823031e-16,2.2435193459070655e-16,3.2582463676564163e-16,2.2207079861447846e-16,2.2074517097492383e-16,1.4664016029688178e-16,1.0781800950389857e-16,2.4585877738082528e-17,2.1435477824509998e-16,5.9120620641838765e-17,2.1336146150380688e-19,2.4249897593439821e-18,1.355557282274657e-19,1.5153438766072627e-19,8.295887402414072e-20,5.2623591880372958e-20,2.6267513317217779e-20,1.5788850183207766e-20
4.194303e-09,0.1898385730232327,89.099999999999994,0.0,0.0,0.0,0.9999999999999698,10.999999999999995,1.1539588849485343e-14,3.3075172862709352e-15,1.1518571100937054e-14,1.1022124058580127e-14,1.119770814792107e-14,2.9415477635646323e-15,2.9730167841306111e-15,6.4695374426586534e-16,5.4015432148464275e-16,2.700764406078751e-16,8.1476837047606742e-16,5.018641050780134e-16,6.8537103494379765e-16,3.4268499540353447e-16,5.5168418927634383e-16,3.7701911688295351e-16,3.7461920715178571e-16,2.1910513522493801e-16,2.0427799120376958e-16,4.1654733315985888e-17,3.6370682660506844e-16,9.8453546323831407e-17,4.1110785920724174e-19,4.0505859186338315e-18,3.1786814860063252e-19,3.0541344168154627e-19,1.6046950876820588e-19,1.2379847360112447e-19,5.6686435481650075e-20,4.0983756728354791e-20
6.291455e-09,0.1898385730232327,89.099999999999994,0.0,0.0,0.0,0.9999999999999547,10.999999999999988,1.7105897516977611e-14,4.9649833478488164e-15,1.7063085051491395e-14,1.6234002151031531e-14,1.6589475413969838e-14,4.1554504423288397e-15,4.215539283568309e-15,7.6778743357094254e-16,6.3913011978629055e-16,3.1956319469965016e-16,1.4245653726734467e-15,1.0009693439047178e-15,1.1991615937635272e-15,5.9957901403407843e-16,1.1281358892854709e-15,7.7438371041434712e-16,7.6894516183769515e-16,3.6938801397801219e-16,4.7224246942973473e-16,8.5275012977347573e-17,7.4631371491386498e-16,1.95946852479925e-16,9.7892742324426524e-19,8.1335998289248273e-18,9.8369601439833666e-19,7.7512331542289885e-19,3.8420706347623103e-19,3.8491912674410013e-19,1.5370849895066556e-19,1.4349261601136148e-19
8.388607e-09,0.1898385730232327,89.099999999999994,0.0,0.0,0.0,0.9999999999999396,10.999999999999982,2.2540307489753883e-14,6.6248583216825327e-15,2.2468613881245521e-14,2.1255088941322629e-14,2.1847000853065061e-14,5.2223471463178023e-15,5.3171917393655448e-15,8.3584946030924645e-16,6.9326668019228201e-16,3.4662976054646152e-16,2.0870569056988797e-15,1.6436179007031195e-15,1.7577949172725134e-15,8.7889322341694172e-16,1.8962863404513876e-15,1.3071096750917912e-15,1.2971140460920712e-15,5.2175892024367886e-16,8.5616901762700507e-16,1.4350236994414247e-16,1.2585604682595636e-15,3.2111331700991109e-16,1.8266781153023651e-18,1.3483693450436168e-17,2.2316770460878316e-18,1.5209629908969954e-18,7.2005918146709187e-19,8.7637569332272933e-19,3.1192106151664138e-19,3.5230889335533066e-19
9.999999999999999e-09,0.1898385730232327,89.099999999999994,0.0,0.0,0.0,0.99999999999992806,10.999999999999977,2.6622187020939242e-14,7.9019804479698489e-15,2.652351716855055e-14,2.4980885313609583e-14,2.5791380980155785e-14,5.9552543000427546e-15,6.0795056178607955e-15,8.7660840354172963e-16,7.2498854777726847e-16,3.6248907765302262e-16,2.6076030479642828e-15,2.2234328373737825e-15,2.1969115734144067e-15,1.0984483356948118e-15,2.6194196904491856e-15,1.8126527145341412e-15,1.7977103215051061e-15,6.3356179431211374e-16,1.2260709915644461e-15,1.9846873038263967e-16,1.7437645260835795e-15,4.3365647526886916e-16,2.6987254182029496e-18,1.8463231114374752e-17,3.9227147589695319e-18,2.3359046580671582e-18,1.0675031342038194e-18,1.5464959043707509e-18,4.8254118094495853e-19,6.5927820370104989e-19
1.2582911e-08,0.1898385730232327,89.099999999999994,0.0,0.0,0.0,0.99999999999990941,10.999999999999966,3.2995064385096666e-14,9.9522059265694175e-15,3.2844480019686103e-14,3.0713204962248638e-14,3.1940984080663388e-14,6.9725585868309683e-15,7.1488433284115858e-15,9.2102433436949674e-16,7.5793343793739452e-16,3.7895838852679964e-16,3.462848476648026e-15,3.3087668899605768e-15,2.9186823510618138e-15,1.4593261561560168e-15,4.019477886262418e-15,2.7974081529182152e-15,2.771916562340184e-15,8.032090120373438e-16,1.9547786197712458e-15,3.0511308708312367e-16,2.68757330525825e-15,6.437267887311688e-16,4.4965595712903108e-18,2.8019747085362203e-17,7.9605271258448317e-18,4.0806363944733799e-18,1.7864647517313016e-18,3.1508946904152672e-18,8.449571984773228e-19,1.4169426370681541e-18
