Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394)
1e-12,0.2795626292626971,89.099999999999994,0.0,0.0,0.0,0.99999999999997791,11.0,9.406707896265451e-15,1.5998401676972859e-16,9.4066148594792539e-15,9.0780860009138889e-15,9.0780811979934179e-15,3.4741002832726523e-15,3.474525446026415e-15,7.2549746854898837e-17,5.9562435600834632e-17,2.9781217800730784e-17,1.4511868450994922e-20,1.5249921922035377e-19,1.1914442072570012e-20,5.9570976380065178e-21,9.4629657833668337e-20,6.3218397237508183e-20,6.2941392514734267e-20,4.9996860299834256e-19,8.624509308769245e-23,1.537504824305501e-19,6.0742913323397203e-20,2.3246337676186578e-20,2.6806127019782017e-25,3.308536985110415e-21,4.3291161261480268e-29,1.952368515566057e-25,8.6986834165557349e-26,1.4047997529538679e-29,2.3830527662758212e-28,3.7302173380262937e-32,1.2339562412393764e-25,1.9481125201538894e-18,1.9928308381447832e-29,1.3126789267704059e-34,1.9057005579030159e-30,7.5847233948801847e-37,1.9057005579030159e-30
1.023e-12,0.2795626292626971,89.099999999999994,0.0,0.0,0.0,0.99999999999997735,11.0,9.6231768242379534e-15,1.6366569553381923e-16,9.6230805411187736e-15,9.2869918062281589e-15,9.2869868356923718e-15,3.5540405820619873e-15,3.5544805796015117e-15,7.4219100395324827e-17,6.0932957379376237e-17,3.0466478690014368e-17,1.5018201100400086e-20,1.5782035402653228e-19,1.2330150723615266e-20,6.1649469129735108e-21,9.7931571458978887e-20,6.5424281089087826e-20,6.513760729629191e-20,5.1741306366695284e-19,8.9775047505160505e-23,1.5911529137478463e-19,6.2862416001950176e-20,2.405745519614642e-20,2.7903303167547752e-25,3.4239941669285265e-21,4.5194838687123531e-29,2.0322790816068629e-25,9.0547217129051403e-26,1.4665741933595548e-29,2.4878437259909346e-28,3.899949214124535e-32,1.2844606303832407e-25,1.9929212739471505e-18,2.0804620286191143e-29,1.3724026206537364e-34,1.9895020426800619e-30,7.9356355944015396e-37,1.9895020426800619e-30
2.047e-12,0.27956262926269715,89.099999999999994,0.0,0.0,0.0,0.9999999999999547,11.0,1.9260721833781644e-14,3.2759259180449003e-16,1.9260336274734591e-14,1.858770785094232e-14,1.85876879281427e-14,7.1122801486608286e-15,7.114041798150647e-15,1.4851852528856381e-16,1.2193244867152453e-16,6.0966224338229859e-17,6.0118604930659638e-20,6.3196604242047385e-19,4.9360023867976369e-20,2.4678983641600057e-20,3.9216055082552845e-19,2.6198977135997342e-19,2.608393591833722e-19,2.0712916018216557e-18,7.1879440261866531e-22,6.371610642771196e-19,2.5172812795267596e-19,9.632463777250379e-20,2.2346367904247969e-24,1.371969718280804e-20,7.2383849816523053e-28,1.627557505842144e-24,7.2516795443935376e-25,2.3489012373603614e-28,3.9834714382674906e-27,1.248766428611152e-30,1.0282480330214445e-24,3.9850621566853593e-18,3.3307664616358345e-28,4.3699230865921649e-33,3.1869965613480306e-29,5.0540099216122358e-35,3.1869965613480306e-29
4.095e-12,0.2795626292626973,89.099999999999994,0.0,0.0,0.0,0.99999999999990941,11.0,3.8535699323800565e-14,6.5549494382863496e-16,3.8534156270053534e-14,3.718860511746136e-14,3.7188525234954841e-14,1.4225394820925336e-14,1.4232442834135985e-14,2.9702509832837639e-16,2.4385742784038426e-16,1.2192871393757619e-16,2.4043609040934604e-19,2.5290875621294918e-18,1.9742315664771105e-19,9.8703356909288767e-20,1.5694769001719758e-18,1.0485369772067401e-18,1.0439133035655687e-18,8.2843369973106518e-18,5.7485677965636444e-21,2.5499550024493568e-18,1.0074459687095036e-18,3.8540866072061987e-19,1.7879956362225372e-23,5.4976266017414296e-20,1.1580125375947414e-26,1.3022642499353349e-23,5.8025974052115328e-24,3.7579595321167769e-27,6.3694942665404857e-26,3.992374802385036e-29,8.220705776193098e-24,7.9581130761746083e-18,5.3245026544092794e-27,1.3816878598922012e-31,5.1006070562347187e-28,3.1963247286721026e-33,5.1006070562347187e-28
8.191e-12,0.27956262926269754,89.099999999999994,0.0,0.0,0.0,0.9999999999998187,11.0,7.7085204162782996e-14,1.3114934140383897e-15,7.7079030598700553e-14,7.4388260888983822e-14,7.438794009790986e-14,2.8438180604622336e-14,2.8466360272289645e-14,5.9367005554616255e-16,4.8741204142802638e-16,2.437060208152977e-16,9.6063047291969362e-19,1.0117628238209295e-17,7.8889394255813681e-19,3.9438134295992856e-19,6.2793050351515719e-18,4.1952435365788872e-18,4.1765880856707098e-18,3.3102892762865483e-17,4.5914932209642341e-20,1.0201727288799028e-17,4.0306621441939941e-18,1.5412189519394231e-18,1.4294524237045763e-22,2.2049939979962329e-19,1.850462626299293e-25,1.0411387712967143e-22,4.6395331592544553e-23,6.005520593774897e-26,1.0167537338722072e-24,1.2738277976841765e-27,6.5617018672912541e-23,1.5859768096319793e-17,8.4951954347528297e-26,4.313609358459221e-30,8.1569182757598706e-27,1.9961819990353529e-31,8.1569182757598706e-27
1e-11,0.279562629262698,89.099999999999994,0.0,0.0,0.0,0.99999999999977873,11.0,9.4110210379568152e-14,1.6013857327662622e-15,9.4099946889726195e-14,9.0815615155292796e-14,9.0815079744328439e-14,3.4703413461958673e-14,3.475022918328506e-14,7.2435980912906377e-16,5.9471832978438403e-16,2.9735916501755188e-16,1.5947088772246761e-18,1.68188102956125e-17,1.3098187200195507e-18,6.5474284393873892e-19,1.0439328127663802e-17,6.9748673631436379e-18,6.9435760198067411e-18,5.4959860720972027e-17,1.1659052426093964e-19,1.6959704389343772e-17,6.7009319266301342e-18,2.560934033075912e-18,3.6345093961331571e-22,3.6753987056922921e-19,7.9598794151013496e-25,2.6472356458633863e-22,1.1798250652315658e-22,2.5836184663598121e-25,4.3661270738923513e-24,9.9366455487615977e-27,1.6646764167460571e-22,1.9311101377040951e-17,3.6450241889389852e-25,3.2404648566837069e-29,3.5132087500160735e-26,2.8446407287804195e-30,3.5132087500160735e-26
1.6383e-11,0.279562629262698,89.099999999999994,0.0,0.0,0.0,0.9999999999996374,10.999999999999998,1.5418241307815289e-13,2.6242617252704131e-15,1.5415771841300798e-13,1.4877902161292136e-13,1.4877772892237687e-13,5.681009191877338e-14,5.6922664373381068e-14,1.1854945228491627e-15,9.7334521678196855e-16,4.8667260860129321e-16,3.8320347228182087e-18,4.0463721888981565e-17,3.1478855273916921e-18,1.5734202683432414e-18,2.5117839680734873e-17,1.6782683219950043e-17,1.6706806524831768e-17,1.3208148950847558e-16,3.6596714342259274e-19,4.0805015518573766e-17,1.6122895454153556e-17,6.158966848385034e-18,1.1414984053408787e-21,8.8636757920515744e-19,2.9516765740653305e-24,8.3142983049894567e-22,3.7057561740325383e-22,9.5808063468286641e-25,1.6184286294096087e-23,4.0503127420031446e-26,5.2231591509627931e-22,3.1489023063521393e-17,1.3508875019229093e-24,1.3152300305388832e-28,1.3031312960040986e-25,1.2177520110660539e-29,1.3031312960040986e-25
3.2767e-11,0.27956262926269904,89.099999999999994,0.0,0.0,0.0,0.9999999999992748,10.999999999999995,3.0836962626960891e-13,5.2528555124782672e-15,3.0827086510466069e-13,2.9752637337789854e-13,2.9752112789885857e-13,1.1334018111029988e-13,1.1378921147479742e-13,2.3633395543376629e-15,1.940549595265757e-15,9.7027478988608534e-16,1.5241701892897215e-17,1.6176661600703462e-16,1.2527826920099582e-17,6.2597745392874969e-18,1.0045522158542402e-16,6.7130292672076573e-17,6.6816813379334353e-17,5.2559555020320565e-16,2.9055769827321528e-18,1.6317073087964476e-16,6.4480003678707856e-17,2.4583588555809523e-17,9.0970092541237856e-21,3.5794437085910743e-18,4.6926913663322978e-23,6.6262412955951722e-21,2.9545623419685041e-21,1.5236348540533078e-23,2.5623151422084657e-22,1.279368935249056e-24,4.136093664617708e-21,6.2079938257279033e-17,2.1345106253991306e-23,3.8417804715342502e-27,2.0781916454424959e-24,7.1192537534849933e-28,2.0781916454424959e-24
4.9151e-11,0.27956262926270004,89.099999999999994,0.0,0.0,0.0,0.9999999999989122,10.999999999999991,4.6254963323097486e-13,7.8844793272390894e-15,4.6233979728950535e-13,4.4623958883354342e-13,4.4622833325901618e-13,1.6965744012201736e-13,1.7060975939531038e-13,3.5354379927931408e-15,2.9031338576451275e-15,1.4515668913986973e-15,3.2261592781403666e-17,3.4361495806207638e-16,2.6527863989952616e-17,1.3252164380577403e-17,2.1343774111343384e-16,1.4264725607172797e-16,1.4196648874468412e-16,1.1128751462398361e-15,8.2717667098289253e-18,3.4665586500789329e-16,1.3699919715317844e-16,5.2162102120502663e-17,2.5953985918668793e-20,7.655710428676482e-18,1.7219078493781256e-22,1.8905199466452628e-20,8.4315848683164284e-21,5.5915118073981515e-23,9.3831291585524389e-22,5.8102432980888465e-24,1.175728585364956e-20,9.2030703039928326e-17,7.8090748702791851e-23,1.691717044588505e-26,7.6369516642107425e-24,3.7932450457234964e-27,7.6369516642107425e-24
6.5535e-11,0.27956262926270103,89.099999999999994,0.0,0.0,0.0,0.9999999999985496,10.999999999999988,6.1672243236955888e-13,1.05191071649307e-14,6.1636452939286845e-13,5.9491870113557662e-13,5.948993301811495e-13,2.2576276791673251e-13,2.2738436997463543e-13,4.7018465786914804e-15,3.8611394844962937e-15,1.9305696344102588e-15,5.4835635106483642e-17,5.8594357256521982e-16,4.5106510069980782e-17,2.2528561404201596e-17,3.6405024900621692e-16,2.4333019731599781e-16,2.4214593520849346e-16,1.8921465074011013e-15,1.7378213279773603e-17,5.9122081282031344e-16,2.3366992537262286e-16,8.8859422061033428e-17,5.4634059357100131e-20,1.3136819229067709e-17,4.3549717597088544e-22,3.9796701962207644e-20,1.7752877358771624e-20,1.4143578007070104e-22,2.3688346018564807e-21,1.7235467589341738e-23,2.4667610772097746e-20,1.2136762926468971e-16,1.9697574976950821e-22,4.8832149591172672e-26,1.9341036533339314e-23,1.2687608530639177e-26,1.9341036533339314e-23
9.8303e-11,0.279562629262703,89.099999999999994,0.0,0.0,0.0,0.9999999999978243,10.99999999999998,9.2505110938004479e-13,1.5795336648931773e-14,9.2431030344352593e-13,8.9219698973278843e-13,8.9215629953641908e-13,3.3747880582614194e-13,3.408259705216919e-13,7.0214838209971612e-15,5.7665321797820818e-15,2.8832656658000927e-15,1.1284721294151518e-16,1.2123424473520811e-15,9.2882280802861326e-17,4.637427027610545e-17,7.5354365003078761e-16,5.0374861635818764e-16,5.0121748214788952e-16,3.8958478105682985e-15,4.7151754029023286e-17,1.2235788832668068e-15,4.8366084989219131e-16,1.8354708445979789e-16,1.4872237712951204e-19,2.7462507164314314e-17,1.5158102630020369e-21,1.0833470197563169e-19,4.83445866662783e-20,4.9239181249295929e-22,8.219888815069441e-21,7.4821558614577438e-23,6.6780156679539398e-20,1.7867824288309891e-16,6.825181275834689e-22,2.0262306282263149e-25,6.7472118353755748e-23,6.5112162363992823e-26,6.7472118353755748e-23
9.999999999999999e-11,0.279562629262705,89.099999999999994,0.0,0.0,0.0,0.99999999999778666,10.999999999999979,9.410182144280594e-13,1.6068879162048843e-14,9.4025387730632674e-13,9.0758912773505116e-13,9.0754711187711245e-13,3.4324336893092474e-13,3.4669633475051792e-13,7.1410567174942898e-15,5.8647599579323327e-15,2.9323795280331337e-15,1.1639533589310962e-16,1.2508251955696259e-15,9.5805831963909403e-17,4.7833049778296132e-17,7.7748021946936978e-16,5.1975494766353314e-16,5.1713894578575087e-16,4.0184503149363653e-15,4.9269794904797324e-17,1.2624360918326854e-15,4.9902393777569284e-16,1.893562008055551e-16,1.5543185630474347e-19,2.83499314703175e-17,1.6038082723295872e-21,1.132222056191255e-19,5.0526708431278979e-20,5.2098343366928501e-22,8.6954973103839497e-21,8.009693175482058e-23,6.977104955093781e-20,1.8159031963734869e-16,7.2194677275238692e-22,2.1631843543980885e-25,7.1398764247412714e-23,7.0340385405489067e-26,7.1398764247412714e-23
1.31071e-10,0.279562629262705,89.099999999999994,0.0,0.0,0.0,0.99999999999709899,10.999999999999972,1.2333532673978229e-12,2.1082412362887134e-14,1.2320936577929071e-12,1.1893501411877471e-12,1.1892799961826499e-12,4.4842290314169955e-13,4.5409915562982555e-13,9.3206606640498614e-15,7.6554268136754675e-15,3.8277122822896787e-15,1.9082562037844511e-16,2.0606086420994646e-15,1.5715596954517841e-16,7.8439130084827034e-17,1.2812904622462847e-15,8.5668326645059072e-16,8.5225026435205326e-16,6.5910870247445196e-15,9.8078777408284227e-17,2.080221865738531e-15,8.2237802164968035e-16,3.1147852975277262e-16,3.1025296174657145e-19,4.7131315555631163e-17,3.7729247472135835e-21,2.260016244404996e-19,1.0088688386947444e-19,1.2258014984203823e-21,2.040804689836505e-20,2.1660337000456961e-22,1.3863197456959139e-19,2.3393474048108418e-16,1.6925004364857697e-21,5.6683292362058921e-25,1.6825633150865164e-22,2.098159993718431e-25,1.6825633150865164e-22
1.6383900000000002e-10,0.2795626292627069,89.099999999999994,0.0,0.0,0.0,0.99999999999637368,10.999999999999963,1.5416270015218601e-12,2.638095833391754e-14,1.5397030873468356e-12,1.4863694339735553e-12,1.4862608042765014e-12,5.5854583506279876e-13,5.6719230717942794e-13,1.1598282429361514e-14,9.5269139673368735e-15,4.7634545037214171e-15,2.8983459530618653e-16,3.146156042709944e-15,2.3883695140494891e-16,1.1916764075580169e-16,1.9570652376682957e-15,1.3087198841691521e-15,1.3017468761709211e-15,1.0015788258750708e-14,1.7748480651189213e-16,3.1769079360360506e-15,1.256088638267643e-15,4.7479709156115521e-16,5.6310242953115351e-19,7.2665247788599349e-17,7.9732606415129431e-21,4.1018968963107049e-19,1.8317050724242017e-19,2.5909260032125174e-21,4.3017640850730926e-20,5.2249985156547622e-22,2.5036689651087306e-19,2.8714315869073139e-16,3.5632465628415456e-21,1.3219823718227356e-24,3.562494846736907e-22,5.5550369163686062e-25,3.562494846736907e-22
2.2937500000000002e-10,0.27956262926271086,89.099999999999994,0.0,0.0,0.0,0.99999999999492317,10.999999999999943,2.158087339974135e-12,3.7012289619585071e-14,2.1543898991317217e-12,2.0799994746692301e-12,2.0797841437045144e-12,7.763160910211527e-13,7.928299783640501e-13,1.608991367600904e-14,1.3218343282529622e-14,6.6091621024800934e-15,5.4988663321270611e-16,6.0410715022661022e-15,4.5374315135881851e-16,2.2622295042912137e-16,3.7613181794336299e-15,2.5161711091597569e-15,2.5018693786442525e-15,1.9024080030692916e-14,4.6109335898298391e-16,6.1037271100673506e-15,2.4139809340993568e-15,9.0827258054342734e-16,1.4747021084865956e-18,1.4262047971138915e-16,2.8842282412200356e-20,1.0742011788999058e-18,4.8014804975706795e-19,9.3777209267462908e-21,1.5433195695571674e-19,2.6358353481706285e-21,6.4696207734923123e-19,3.8819297498980684e-16,1.2733857674315659e-20,5.950288614511804e-24,1.296644973790404e-21,3.6090870001869858e-24,1.296644973790404e-21
3.60447e-10,0.2795626292627188,89.099999999999994,0.0,0.0,0.0,0.99999999999202216,10.999999999999892,3.3906612118070976e-12,5.8407163135876785e-14,3.3816520604858219e-12,3.265643253993141e-12,3.2650850053998626e-12,1.2022331086320719e-12,1.2419399237192566e-12,2.4833159721155093e-14,2.0405815457060191e-14,1.0202846562246441e-14,1.3038839619576385e-15,1.4691917074143484e-14,1.0789384144612061e-15,5.3707558235483485e-16,9.1657311495973864e-15,6.1362913463660183e-15,6.0967208880659939e-15,4.5220019117160124e-14,1.7190698099756336e-15,1.4863352832481977e-14,5.8818367295057999e-15,2.1913828188905007e-15,5.599484346143884e-18,3.6258748682102204e-16,1.7746953780499007e-19,4.0775459975119735e-18,1.8269257288943662e-18,5.7780271879559602e-20,9.3125107966199998e-19,2.6780594982710088e-20,2.3838132362434106e-18,5.7294428919385142e-16,7.6133283129806258e-20,4.8240114750993182e-23,8.0964723183622253e-21,5.1456428834182097e-23,8.0964723183622253e-21
4.784118e-10,0.2795626292627259,89.099999999999994,0.0,0.0,0.0,0.99999999998941125,10.999999999999837,4.4995815626436396e-12,7.7810024804209356e-14,4.4837826850445677e-12,4.3308864030346355e-12,4.3298604117185956e-12,1.5747992320824521e-12,1.6436843309517994e-12,3.2440961174818906e-14,2.6661075469762389e-14,1.3330362178348238e-14,2.2367641692187651e-15,2.5725035767004317e-14,1.8550746816223697e-15,9.2224541456750384e-16,1.6074876479976691e-14,1.0768636051534176e-14,1.069249293587109e-14,7.7729578991877983e-14,3.827421452826087e-15,2.6052646996682105e-14,1.0314613446961019e-14,3.8123080738675785e-15,1.2627491093094219e-17,6.5683628758164298e-16,5.059033809660343e-19,9.1924130377833978e-18,4.1258173738842971e-18,1.648384797848871e-19,2.6250588458925616e-18,9.3202131611946527e-20,5.2646283036624204e-18,7.2288426259594072e-16,2.1347051170395164e-19,1.5221895141385855e-22,2.3274860273696267e-20,1.9923816309175666e-22,2.3274860273696267e-20
5.963765999999999e-10,0.279562629262733,89.099999999999994,0.0,0.0,0.0,0.99999999998680034,10.999999999999769,5.6081260607683224e-12,9.734848412354625e-14,5.5836408111002096e-12,5.3944018157655697e-12,5.3927410149111665e-12,1.9374973252834873e-12,2.0431278790698356e-12,3.9819522196139004e-14,3.2727660285415879e-14,1.6363431854419027e-14,3.3926200830694734e-15,3.9808628026872525e-14,2.8198819599424818e-15,1.4001641057227054e-15,2.4915288086262898e-14,1.6701250523625813e-14,1.6572865918242084e-14,1.181327314148701e-13,7.1196976473977496e-15,4.0358064352178885e-14,1.5985618616679176e-14,5.861991866860026e-15,2.379117604230163e-17,1.0493170148351646e-15,1.1495189808003891e-18,1.7311698045903093e-17,7.7842819613428842e-18,3.7484120773163492e-19,5.897022157427255e-18,2.4988160503740201e-19,9.7163607055811858e-18,8.6155965731780577e-16,4.7696478376475765e-19,3.7239618684325437e-22,5.3341284105121686e-20,5.8355408779709158e-22,5.3341284105121686e-20
