Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527)
1e-12,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,0.99999999999999678,11.0,1.4242299622630414e-15,4.6891290488134554e-17,1.4242227826647408e-15,1.3767993411354944e-15,1.3768016887546181e-15,4.9720405712129897e-16,4.9724142221787929e-16,2.1043740241544298e-17,1.7367230194917298e-17,8.6836150974894993e-18,4.717643952141249e-21,2.2206671990957622e-20,3.8934961486143038e-21,1.9467217992572111e-21,1.5563991396711812e-20,1.0408877909572854e-20,1.0367741277467152e-20,5.1935334942830568e-20,1.0040742274043743e-23,1.1884925304003265e-20,1.0022515668711818e-20,3.6194911836825359e-21,2.7768180955356421e-26,3.4901350162143371e-22,5.0260066478257636e-30,1.8668042144511218e-26,9.3376642907114004e-27,1.6900937856491528e-30,1.3761930962646154e-29,2.4142878069478995e-33,2.6272202240197124e-26,2.1453054106531841e-19,4.7552863474462459e-30,1.0304842366881889e-35,0.0,4.4164445597363951e-38
1.023e-12,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,0.99999999999999667,11.0,1.4570045593166618e-15,4.797037373667903e-17,1.4569971292005722e-15,1.4084823619482675e-15,1.4084847914812787e-15,5.0864514578351527e-16,5.0868381463136581e-16,2.1527946561320963e-17,1.776684230119413e-17,8.8834211506291725e-18,4.882248924570659e-21,2.29815264202457e-20,4.0293459254746816e-21,2.0146456122664861e-21,1.6107066085515146e-20,1.0772075536073738e-20,1.0729503211156774e-20,5.3747423660063737e-20,1.0451706411022908e-23,1.2299625853998787e-20,1.0372231567730011e-20,3.7457842582377032e-21,2.8904733895115247e-26,3.6119226665452925e-22,5.2470199340190991e-30,1.9432129029970976e-26,9.7198564292609481e-27,1.7644139408018286e-30,1.4367092121174702e-29,2.5241427538123796e-33,2.7347497930740246e-26,2.1946379510140302e-19,4.9643926405613672e-30,1.0773700348925256e-35,0.0,4.620776977469508e-38
2.047e-12,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,0.99999999999999323,11.0,2.9161757865433412e-15,9.6014475369353897e-17,2.9161460331369679e-15,2.8190425649118449e-15,2.819052292705226e-15,1.0179338337146179e-15,1.0180886602567963e-15,4.3078238352062239e-17,3.5552214771869785e-17,1.7776107386175969e-17,1.9545242240919262e-20,9.2025800735678499e-20,1.6131092237591819e-20,8.0653271325170824e-21,6.4499811070041656e-20,4.313644409536863e-20,4.2965750616790707e-20,2.151648916502297e-19,8.3691648285767162e-23,4.9252857366828362e-20,4.1535028700263522e-20,1.4998456897724729e-20,2.3148329353240872e-25,1.4468079529418621e-21,8.4042718632639614e-29,1.5563040106425847e-25,7.7844412792320541e-26,2.8261920509963156e-29,2.3006524819507384e-28,8.0837628496544465e-32,2.1893867677776686e-25,4.3863513363415109e-19,7.949000328575779e-29,3.4359958969372088e-34,0.0,2.9475378365631884e-36
4.095e-12,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,0.99999999999998634,11.0,5.8344749100375831e-15,1.9210842302657825e-16,5.8343558331308205e-15,5.640071038859599e-15,5.6401099618411872e-15,2.0361574387240427e-15,2.0367769118399783e-15,8.6149189350562669e-17,7.1098768857272497e-17,3.554938443030435e-17,7.8179356552057216e-20,3.6828135860658652e-19,6.4525437948309176e-20,3.2260967603689568e-20,2.5813750536261874e-19,1.7264058784781076e-19,1.7195572654484961e-19,8.6061257965865722e-19,6.6946640064037844e-22,1.9711476432154538e-19,1.662293849721217e-19,6.0015425962828028e-20,1.8521571683574641e-24,5.7938081606460282e-21,1.3447473838857581e-27,1.2453725816988464e-24,6.2290160448669915e-25,4.5224096051173135e-28,3.679435981531218e-27,2.5853439133609252e-30,1.7506093025174079e-24,8.7512554658180653e-19,1.2710753233064868e-27,1.0898319506985405e-32,0.0,1.8699678010294381e-34
8.191e-12,0.24946165311581567,89.099999999999994,0.0,0.0,0.0,0.99999999999997269,11.0,1.1670899838307513e-14,3.8431921229028502e-16,1.1670423425045302e-14,1.1281760307815328e-14,1.1281915963277669e-14,4.0711906569176361e-15,4.0736678008991565e-15,1.7217280110103837e-16,1.4209529771289471e-16,7.1047648865614969e-17,3.1244180393561032e-19,1.4733115874589517e-18,2.578934218543861e-19,1.2893272198865885e-19,1.0327876628940124e-18,6.907400407561009e-19,6.8798619042229595e-19,3.4391828316488063e-18,5.3494141481511868e-21,7.8862258597657801e-19,6.6507245665488342e-19,2.4003256808881308e-19,1.4807383633448522e-23,2.320832813293766e-20,2.1495404694451631e-26,9.9584759419379947e-24,4.9806668902113386e-24,7.2298614225045961e-27,5.8757824173950095e-26,8.2548016052985985e-29,1.3976787713543007e-23,1.7407809889772909e-18,2.0291448022507151e-26,3.4233700163224743e-31,0.0,1.174967223842014e-32
1e-11,0.24946165311581575,89.099999999999994,0.0,0.0,0.0,0.99999999999996658,11.0,1.4248406104211869e-14,4.6922926028090338e-16,1.4247614069130168e-14,1.3773089892502761e-14,1.3773348543910984e-14,4.9687168174831848e-15,4.9728327696257568e-15,2.100610993845889e-16,1.7336595784211584e-16,8.6682978929731164e-17,5.1882572706938045e-19,2.4491262496812557e-18,4.2827900097041496e-19,2.141039773111063e-19,1.7170205241517522e-18,1.148395815876633e-18,1.1437931766564807e-18,5.7105300899965752e-18,1.3591544079207111e-20,1.3110618357959294e-18,1.1056933841267166e-18,3.9890780550869682e-19,3.7648726973062222e-23,3.8632982374642862e-20,9.2511756802265291e-26,2.5327552456770442e-23,1.2666392738186732e-23,3.1122282100848861e-26,2.524814407477572e-25,6.4474842643463136e-28,3.5470992855384867e-23,2.1167720463634554e-18,8.7145274529415289e-26,2.5985822347565563e-30,0.0,1.6926890396359978e-31
1.6383e-11,0.24946165311581575,89.099999999999994,0.0,0.0,0.0,0.99999999999994527,11.0,2.3343056460910311e-14,7.6883171264359911e-16,2.3341150764096276e-14,2.2563668521059904e-14,2.2564290590446337e-14,8.1356098428507277e-15,8.145508278405128e-15,3.4374877652328601e-16,2.8370350544013589e-16,1.4185175272699688e-16,1.2470449539145182e-18,5.8922578079814022e-18,1.0294791952753411e-18,5.1462809158594418e-19,4.1313148046427153e-18,2.7632199245523399e-18,2.7520938914894265e-18,1.3724907950711776e-17,4.267364211675819e-20,3.1544724115819541e-18,2.6604105649187061e-18,9.5949411863811505e-19,1.1824369354948793e-22,9.3058393112511415e-20,3.4309073718047109e-25,7.9556858921212369e-23,3.9785236346604036e-23,1.1542594223897559e-25,9.3602917131194192e-25,2.6284550154153062e-27,1.1131262437576984e-22,3.4434447491251419e-18,3.2303691333184446e-25,1.0559673071148183e-29,0.0,7.2507059335100768e-31
3.2767e-11,0.24946165311581583,89.099999999999994,0.0,0.0,0.0,0.99999999999989042,11.0,4.6684597097766008e-14,1.5382153979962876e-15,4.6676975562801281e-14,4.5121606766027114e-14,4.5124090120467173e-14,1.6241928695439108e-14,1.6281433266440846e-14,6.8503091490232644e-16,5.6539217037454081e-16,2.8269608419585048e-16,4.9654977731634532e-18,2.3556178988668337e-17,4.1003998856595308e-18,2.0493145372254492e-18,1.6523100594982377e-17,1.1052634221723479e-17,1.10072545849335e-17,5.4635271535718579e-17,3.3937269286643411e-19,1.2615098707253537e-17,1.0640371495954831e-17,3.8320943144683555e-18,9.4229685920155574e-22,3.7394456926939723e-19,5.4614612176775707e-24,6.3453161093389762e-22,3.1724879548268806e-22,1.8383259529150253e-24,1.4842764641911257e-23,8.3259360793368575e-26,8.8234276517627016e-22,6.7391899401470614e-18,5.1157787496709926e-24,3.1494465333533278e-28,0.0,4.3274988323373422e-29
6.5535e-11,0.24946165311581617,89.099999999999994,0.0,0.0,0.0,0.99999999999978073,10.999999999999998,9.3356590555695534e-14,3.0783808444215038e-15,9.3326117633876726e-14,9.0213995284512664e-14,9.0223888596873113e-14,3.2365040186062458e-14,3.2522333081884191e-14,1.3602354376336995e-15,1.1227502940523316e-15,5.6137512284449502e-16,1.9680785444658053e-17,9.4112200673875024e-17,1.6261437235580078e-17,8.1237405051470929e-18,6.6068226572498522e-17,4.4203927262692648e-17,4.4015429047194603e-17,2.1643175565799288e-16,2.6828391801338319e-18,5.0432851953092501e-17,4.2546857012990195e-17,1.527994472620611e-17,7.4798259500860903e-21,1.5091252121398407e-18,8.6488863243781264e-23,5.0451235032464551e-21,2.521362041936136e-21,2.914126628783409e-23,2.3325814431426128e-22,2.6105930650897784e-24,6.9301147240140341e-21,1.2929042058590077e-17,8.0189067965522195e-23,8.8560614412053407e-27,0.0,2.4362331271243029e-27
9.8303e-11,0.24946165311581645,89.099999999999994,0.0,0.0,0.0,0.99999999999967104,10.999999999999996,1.4001749881390362e-13,4.6199107804864247e-15,1.3995276416340794e-13,1.3528292040656297e-13,1.3530388488811715e-13,4.8399173364503681e-14,4.8732356267876018e-14,2.0281977903052849e-15,1.67417962899833e-15,8.3708971928085646e-16,4.1557748229332657e-17,1.9982064447989429e-16,3.4351248950441325e-17,1.7155841863247607e-17,1.403575697713937e-16,9.3922332464961614e-17,9.3511534806514592e-17,4.5684721196148995e-16,7.6189160478473154e-18,1.0712797416750416e-16,9.0389340848189244e-17,3.2398582789723967e-17,2.1292203595298532e-20,3.2262293368907259e-18,3.1676586424132975e-22,1.4374915415425891e-20,7.1823791544774233e-21,1.0678124072038176e-22,8.5116201131240538e-22,1.1820637245113294e-23,1.9607703839311454e-20,1.8750870277774562e-17,2.9224915173440411e-22,3.8435034805201511e-26,0.0,1.2821597994205224e-26
9.999999999999999e-11,0.24946165311581692,89.099999999999994,0.0,0.0,0.0,0.99999999999966538,10.999999999999996,1.4243284170585067e-13,4.6998794909448852e-15,1.4236515279126812e-13,1.3761453953551191e-13,1.3763645127452251e-13,4.9220450159092594e-14,4.9568663360656772e-14,2.0620639160788299e-15,1.7021413253526907e-15,8.5107054969373495e-16,4.3409087001068198e-17,2.0892045895691537e-16,3.5883996025307145e-17,1.7920432893175368e-17,1.4676423674429292e-16,9.8212023620788334e-17,9.7780567600012185e-17,4.7716921558548642e-16,8.3098955849961794e-18,1.1201544184537647e-16,9.4515436045283115e-17,3.3865969368238865e-17,2.3241074910267155e-20,3.3771332785536331e-18,3.7058071033358677e-22,1.5695204126636061e-20,7.8415344598711398e-21,1.249573078987882e-22,9.9361378899502246e-22,1.5363744263525101e-23,2.1361097352031361e-20,1.9020140227446575e-17,3.4091760441249724e-22,4.8191299353623878e-26,0.0,1.8631834968079472e-26
1.6383900000000002e-10,0.24946165311581692,89.099999999999994,0.0,0.0,0.0,0.99999999999945166,10.999999999999993,2.3329499543537839e-13,7.7082015339370405e-15,2.3311617083132055e-13,2.2532711088081037e-13,2.2538465725079472e-13,8.0115847501321535e-14,8.1029481566921574e-14,3.3360648608386198e-15,2.7540250811370519e-15,1.3770117593152845e-15,1.130541169650205e-16,5.5124400427132891e-16,9.3544008112732121e-17,4.6683383252373397e-17,3.8777496914436358e-16,2.595847953926349e-16,2.5837619783224392e-16,1.2416573648797256e-15,3.4303674413544954e-17,2.9587581255114718e-16,2.4973393415210553e-16,8.9067202005725194e-17,9.6555156157340876e-20,9.0539492666611909e-18,2.3950273571713222e-21,6.5362800493723508e-20,3.2638125821703809e-20,8.0871803424074391e-22,6.3524700267562153e-21,1.4865096226493618e-22,8.7321550185577337e-20,2.9149736171531489e-17,2.1717634208631954e-21,4.1520966853850468e-25,0.0,2.3720562293223035e-25
2.2282140000000002e-10,0.24946165311581742,89.099999999999994,0.0,0.0,0.0,0.99999999999925426,10.999999999999989,3.172089577172653e-13,1.0491748032313434e-14,3.1689069924192282e-13,3.062913655034793e-13,3.0639335433336647e-13,1.0837991748710743e-13,1.099980226709693e-13,4.4911175229073531e-15,3.7077878091444321e-15,1.8538917317520868e-15,1.9917868677579e-16,9.801847937398736e-16,1.649155915290297e-16,8.2261113491238673e-17,6.9018935334118851e-16,4.6214448167529546e-16,4.5990642181687285e-16,2.186209293279792e-15,7.6344385369121809e-17,5.265111086745034e-16,4.4450504702416029e-16,1.5800913594646039e-16,2.1575101522724891e-19,1.6278122620065464e-17,6.5435894907952083e-21,1.4626605759048576e-19,7.3013137620277374e-20,2.2112424052196239e-21,1.7252400367718768e-20,4.7975084135817146e-22,1.9316132730289453e-19,3.7643849428580139e-17,5.8865178852445097e-21,1.268232361570412e-24,0.0,8.4764366086913125e-25
2.818038e-10,0.2494616531158179,89.099999999999994,0.0,0.0,0.0,0.99999999999905687,10.999999999999986,4.0108506079050448e-13,1.3279475289288504e-14,4.0058853122058786e-13,3.8717585126689885e-13,3.8733430297443767e-13,1.3635027887531734e-13,1.3886241466120441e-13,5.6235995525506226e-15,4.6429703392422113e-15,2.3214802730364364e-15,3.0761495501107771e-16,1.5278537236019532e-15,2.548672812878837e-16,1.2706732428558696e-16,1.0768862712234701e-15,7.2125697378328447e-16,7.1762820153984773e-16,3.3743536086925852e-15,1.4259528319223528e-16,8.2133181523757763e-16,6.9356758280392709e-16,2.4572642547395385e-16,4.0467729465756056e-19,2.5650853579043484e-17,1.4608609047051043e-20,2.7475518595079037e-19,1.3711150458651111e-19,4.9407928950565935e-21,3.82621001757506e-20,1.2508591944970402e-21,3.5852622706354322e-19,4.5365660490970501e-17,1.3026633241987088e-20,3.1134673590648961e-24,0.0,2.437734268769291e-24
3.4078620000000005e-10,0.2494616531158184,89.099999999999994,0.0,0.0,0.0,0.99999999999885947,10.999999999999979,4.8492541667715921e-13,1.6071052536107029e-14,4.842139833346782e-13,4.679851196007368e-13,4.6821125051325133e-13,1.6404615680106071e-13,1.6762883826556926e-13,6.7353529117579745e-15,5.5610603907370458e-15,2.7805208194920662e-15,4.3653969799663132e-16,2.1872498837454108e-15,3.619113615022789e-16,1.8035168621644857e-16,1.5430995955736733e-15,1.0337591305358699e-15,1.0283725703288952e-15,4.7858094172501852e-15,2.3573158108272377e-16,1.1766765605888303e-15,9.938543043076215e-16,3.5100578915067895e-16,6.7163213380270121e-19,3.7095567038545181e-17,2.7852804082573283e-20,4.5662215620398709e-19,2.2781107633314397e-19,9.4273667422852738e-21,7.2511514588397842e-20,2.6946758906198772e-21,5.8926317102218538e-19,5.2457295721200392e-17,2.4638288798661313e-20,6.3718235183520262e-24,0.0,5.6564122517063936e-24
4.5875100000000005e-10,0.24946165311581933,89.099999999999994,0.0,0.0,0.0,0.99999999999846456,10.999999999999966,6.5252465048995284e-13,2.1662744130873098e-14,6.5130002294254613e-13,6.2943250255918858e-13,6.298191788817221e-13,2.1882037519694324e-13,2.24939453248533e-13,8.9132433763086909e-15,7.359546441163973e-15,3.6797492419945504e-15,7.3946995660853528e-16,3.7596149239174236e-15,6.1369338262343612e-16,3.0558524119792746e-16,2.6565817152860539e-15,1.7804296726707739e-15,1.7706159579836835e-15,8.0990214626366297e-15,4.9438336596441977e-16,2.0250864645047813e-15,1.711071080625587e-15,6.0112015930451485e-16,1.4176329965201197e-18,6.4828536502026714e-17,7.1118344375279182e-20,9.6586396049399017e-19,4.8169936310099912e-19,2.4100669541063292e-20,1.8338441229141818e-19,8.1196676172609606e-21,1.2243210041118849e-18,6.5446673848881031e-17,6.2116715085141122e-20,1.7803981689281476e-23,0.0,1.8783556672129173e-23
5.767158000000001e-10,0.24946165311582022,89.099999999999994,0.0,0.0,0.0,0.99999999999806966,10.999999999999952,8.1999187313556953e-13,2.7268007604886339e-14,8.1811908988096783e-13,7.9060294890771352e-13,7.9119049738752691e-13,2.7260440533588019e-13,2.818913823743912e-13,1.1019274895058084e-14,9.0985526979358056e-15,4.5492262440536579e-15,1.1134066216613009e-15,5.7414182577945426e-15,9.2495491538393375e-16,4.6023045708422327e-16,4.0631722385263223e-15,2.7241935842521109e-15,2.7083787007746688e-15,1.2183169057757542e-14,8.8404668293459959e-16,3.0963348224400295e-15,2.6171302473700268e-15,9.147159943006424e-16,2.5504991421823645e-18,1.0056079067431849e-16,1.4889121820340797e-19,1.7411043673257218e-18,8.6807542272361198e-19,5.0511704236370689e-20,3.805960369899216e-19,1.9329545584390636e-20,2.1701814664253284e-18,7.6767327589621293e-17,1.2855172610887223e-19,3.980860265389237e-23,0.0,4.8037066254561454e-23
6.946806000000001e-10,0.2494616531158212,89.099999999999994,0.0,0.0,0.0,0.99999999999767475,10.999999999999936,9.8731823308953222e-13,3.2887343948752223e-14,9.8465354570014219e-13,9.5147855897242777e-13,9.5230913687285383e-13,3.2535072364146317e-13,3.384631063897002e-13,1.3052302250038376e-14,1.0776950920937759e-14,5.3883821533759537e-15,1.5594646950871015e-15,8.1575348688370539e-15,1.2968242617919698e-15,6.4477168382389784e-16,5.782084937215673e-15,3.8782086897620723e-15,3.8545340614810564e-15,1.7047959211925086e-14,1.4377920393381988e-15,4.4048189862276402e-15,3.7244284086277867e-15,1.2949414392444239e-15,4.1740264426704964e-18,1.4510038451486907e-16,2.7844781220662209e-19,2.8548678217850629e-18,1.4230236228408419e-18,9.4567933246670605e-20,7.055281027176512e-19,4.0493032836409612e-20,3.4984874402442974e-18,8.6726802508721538e-17,2.3762288621984226e-19,7.8598394670398193e-23,0.0,1.0705886142932024e-22
9.306102000000001e-10,0.24946165311582308,89.099999999999994,0.0,0.0,0.0,0.99999999999688505,10.999999999999901,1.3215410833244913e-12,4.4167314741008477e-14,1.3168555919230401e-12,1.2723341376014506e-12,1.2737741136322859e-12,4.2779294870435412e-13,4.5046230391640394e-13,1.6917099763217499e-14,1.396564550973521e-14,6.9825542322897728e-15,2.6503014756796122e-15,1.429883859220821e-14,2.2086651225515652e-15,1.0963467381159424e-15,1.0170236632775385e-14,6.8274903832710938e-15,6.7812814070606745e-15,2.8914763231120475e-14,3.1819942492848616e-15,7.7423539447136184e-15,6.5514482818692547e-15,2.2518548518848337e-15,9.3816336713790187e-18,2.6264351017943211e-16,8.1720243814632258e-19,6.4442797818274845e-18,3.211263247448182e-18,2.7837877581776851e-19,2.0208055045225235e-18,1.5304470239279135e-19,7.5826299278401096e-18,1.0420670520716155e-16,6.7537437455471525e-19,2.5529051869657976e-22,0.0,4.6759251922156897e-22
