Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67)
1e-12,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,0.99999999999999822,11.0,7.4699473080269405e-16,2.4544914346398655e-17,7.4699169868774549e-16,7.2252403680919807e-16,7.2252488831745116e-16,2.5584214361851063e-16,2.5586014613384566e-16,1.0955154074711373e-17,9.0567341650495285e-18,4.5283670825246472e-18,2.0292039270501801e-21,9.1409637929293841e-21,1.6775846539861267e-21,8.3879232699304209e-22,6.6708255054050808e-21,4.4635511944174391e-21,4.446237989187682e-21,2.3972648055297096e-20,3.8293505238722246e-24,4.9204750896317189e-21,4.30060641907092e-21,1.5228411964621288e-21
1.023e-12,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,0.99999999999999822,11.0,7.6418469524583743e-16,2.5109748431340915e-17,7.6418155733122502e-16,7.391508385185796e-16,7.3915171973821639e-16,2.6172932751920052e-16,2.617479581843667e-16,1.1207232281133972e-17,9.2651297096983357e-18,4.6325648548490477e-18,2.100006264721508e-21,9.4599186462822818e-21,1.736118534927001e-21,8.6805926746347849e-22,6.9035909092278093e-21,4.6192981941047574e-21,4.601380790277246e-21,2.4809090658888456e-20,3.9860852768527322e-24,5.092165243205031e-21,4.4506677057057396e-21,1.5759770262885351e-21
2.047e-12,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,0.99999999999999645,11.0,1.5295071473148121e-15,5.0257320712803415e-17,1.529494581710074e-15,1.4793953340274217e-15,1.4793988626046489e-15,5.2379648752456818e-16,5.2387108443008061e-16,2.2427037201408427e-17,1.8540653208761431e-17,9.2703266043802762e-18,8.4074760123350807e-21,3.7881008423555253e-20,6.9507244487964866e-21,3.4753622243980974e-21,2.7645129165591475e-20,1.8497857316693305e-20,1.8426046955140477e-20,9.9322037488602906e-20,3.1920487195363328e-23,2.0391217769356169e-20,1.7822532804885647e-20,6.3104244260267214e-21
4.095e-12,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,0.99999999999999289,11.0,3.0601334095563691e-15,1.0055317128393949e-16,3.060083120139279e-15,2.9598457952020842e-15,2.9598599153490685e-15,1.0477688397642289e-15,1.048067319185112e-15,4.4854036546759419e-17,3.7081274036418898e-17,1.8540637018205428e-17,3.3632910699493339e-20,1.5159973941938708e-19,2.7806106751102733e-20,1.3903053375548956e-20,1.1064057785419481e-19,7.4032248470906092e-20,7.3744363566407792e-20,3.973048807024326e-19,2.55371338991847e-22,8.160808278413039e-20,7.1329074474961817e-20,2.5251350931181257e-20
8.191e-12,0.3019288409263062,89.099999999999994,0.0,0.0,0.0,0.99999999999998568,11.0,6.1213113682460765e-15,2.0114769653480812e-16,6.1211101637815875e-15,5.9205926080652458e-15,5.9206490878492298e-15,2.0950661173259957e-15,2.0962597651787014e-15,8.9657676407048313e-17,7.4120875968359757e-17,3.7060437984121632e-17,1.3444261039199475e-19,6.0649455010861264e-19,1.111565948239784e-19,5.5578297411921289e-20,4.4267057660458424e-19,2.9620648715401936e-19,2.9505076540444405e-19,1.5880177055554003e-18,2.0410864966204284e-21,3.2650347273786256e-19,2.8538787493010837e-19,1.0099766956358457e-19
1e-11,0.30192884092630623,89.099999999999994,0.0,0.0,0.0,0.99999999999998257,11.0,7.4732159486161158e-15,2.4557780257773341e-16,7.472881443167072e-15,7.2280714869406519e-15,7.2281653608214078e-15,2.5570342797768503e-15,2.5590177712217609e-15,1.094008858684921e-16,9.0442764628994505e-17,4.5221382314249562e-17,2.2330083758141392e-19,1.0082260042590105e-18,1.8463437197390842e-19,9.2317185986431439e-20,7.3595587528310625e-19,4.9246294115073249e-19,4.9053462118313075e-19,2.6373347022668758e-18,5.1877456362465945e-21,5.4280848105413545e-19,4.7447082618907994e-19,1.6785503013539904e-19
1.6383e-11,0.30192884092630623,89.099999999999994,0.0,0.0,0.0,0.99999999999997136,11.0,1.2243369036787455e-14,4.023480440768996e-16,1.2242564182977757e-14,1.1841469874923904e-14,1.1841695692707201e-14,4.1870745124599913e-15,4.1918449423510277e-15,1.7906418381895959e-16,1.4803403899097982e-16,7.4017019494573798e-17,5.3683431693468222e-19,2.4257228930605509e-18,4.4389841373620974e-19,2.219492068659772e-19,1.7708038915711127e-18,1.1849477094542254e-18,1.1802933008046649e-18,6.3398169521338456e-18,1.629063413167711e-20,1.3060339471032057e-18,1.1416441141304924e-18,4.037591387754718e-19
3.2767e-11,0.30192884092630634,89.099999999999994,0.0,0.0,0.0,0.99999999999994271,11.0,2.4486291493175811e-14,8.0479393216945968e-16,2.4483072467111754e-14,2.3680759605619853e-14,2.368166187781189e-14,8.3607749541270421e-15,8.3798194685376561e-15,3.5707937870131396e-16,2.9520032039692201e-16,1.4760016018395612e-16,2.1394376475372583e-18,9.6988120099024029e-18,1.7694267147741493e-18,8.8471335731978209e-19,7.0826992569562364e-18,4.7397685136975666e-18,4.7209026421392848e-18,2.5256471966710371e-17,1.2968781830682852e-19,5.2231996138516779e-18,4.5663573046249094e-18,1.6128492925364198e-18
6.5535e-11,0.3019288409263065,89.099999999999994,0.0,0.0,0.0,0.99999999999988531,11.0,4.8967365800006733e-14,1.6098665191511708e-15,4.8954494161315758e-14,4.734948491185645e-14,4.7353085660434061e-14,1.6667135344040768e-14,1.6743009410668284e-14,7.0996009333899468e-16,5.8692524844744987e-16,2.9346262399577742e-16,8.4943190581690373e-18,3.8758587120978209e-17,7.0281184553626968e-18,3.5140592255695585e-18,2.8323691369702566e-17,1.8956902990663937e-17,1.8879462524100584e-17,1.0020210786071138e-16,1.0272978208843445e-18,2.0883141229353746e-17,1.8261755816840164e-17,6.4332992547704317e-18
9.999999999999999e-11,0.30192884092630684,89.099999999999994,0.0,0.0,0.0,0.99999999999982492,10.999999999999998,7.4706242582061132e-14,2.4570129833522052e-15,7.4673083781584963e-14,7.2223266258878918e-14,7.2232512619734114e-14,2.5318270795254243e-14,2.5512576661572733e-14,1.0746608586129526e-15,8.8840634733149501e-16,4.4420317170608991e-16,2.1633358370130708e-17,9.9749279054930214e-17,1.7910928174916145e-17,8.9554640522505846e-18,7.2976483880326388e-17,4.8853650811958103e-17,4.8645734559732504e-17,2.5488846991559604e-16,4.7248783667269859e-18,5.378741002995979e-17,4.705553428520756e-17,1.6506813998262967e-17
1.31071e-10,0.30192884092630684,89.099999999999994,0.0,0.0,0.0,0.99999999999977052,10.999999999999996,9.7910439317741169e-14,3.220735246204094e-15,9.7858991168539398e-14,9.4647559316570358e-14,9.4661895328348992e-14,3.311747084181319e-14,3.3418545733177323e-14,1.4034470903792998e-15,1.1601985778095501e-15,5.8009928538394051e-16,3.3478508245713506e-17,1.5473380797063667e-16,2.7722034537784136e-17,1.386101720384804e-17,1.1323201604622204e-16,7.5806265103425729e-17,7.5480721892363286e-17,3.9434182710135908e-16,8.0583333250869665e-18,8.3451374512873785e-17,7.3013796022931155e-17,2.5588322096190044e-17
1.96607e-10,0.3019288409263071,89.099999999999994,0.0,0.0,0.0,0.99999999999965572,10.999999999999995,1.4683444506068692e-13,4.8323278360481585e-15,1.467251748809916e-13,1.4190629788385316e-13,1.419366639132621e-13,4.9407175587391098e-14,5.0043430636092679e-14,2.0849755752578011e-15,1.7235432089344335e-15,8.6177159172586497e-16,7.0421197371308486e-17,3.2836672561050976e-16,5.8344661067828291e-17,2.9172330241524755e-17,2.4052425945321653e-16,1.6105584830083777e-16,1.6034091752313817e-16,8.2864427504628731e-16,2.2783375543389097e-17,1.7721423992031418e-16,1.5510443467032178e-16,5.4163537173935357e-17
2.62143e-10,0.3019288409263075,89.099999999999994,0.0,0.0,0.0,0.99999999999954092,10.999999999999993,1.9573939034334615e-13,6.4446445981835386e-15,1.9555307835645141e-13,1.8912574094154513e-13,1.8917738858603583e-13,6.5537982296241972e-14,6.6617855527340022e-14,2.7548533348038205e-15,2.2772009370213679e-15,1.1386004366856062e-15,1.1901459135735472e-16,5.5946010641492863e-16,9.8654211085600418e-17,4.9327104683450083e-17,4.1015804318105355e-16,2.7469078674494384e-16,2.7343486790668472e-16,1.3991357483640455e-15,4.7569045631205619e-17,3.021183882423907e-16,2.6451102782769612e-16,9.2066026101038124e-17
3.93215e-10,0.30192884092630823,89.099999999999994,0.0,0.0,0.0,0.99999999999931144,10.999999999999988,2.9350456983959409e-13,9.6709786697778665e-15,2.9311914636933761e-13,2.8347252783410662e-13,2.8357893155285658e-13,9.7431962833840588e-14,9.964886964336632e-14,4.0681892002580677e-15,3.3625089350502284e-15,1.6812543590497648e-15,2.4262095238289484e-16,1.1558941173934602e-15,2.012808497631338e-16,1.0064042120954783e-16,8.4866732336751145e-16,5.6853326449601846e-16,5.6580763386695647e-16,2.8478440123277161e-15,1.2774740218771425e-16,6.2484930205018531e-16,5.4736284870387862e-16,1.89477215367637e-16
5.24287e-10,0.3019288409263088,89.099999999999994,0.0,0.0,0.0,0.99999999999908196,10.999999999999982,3.9119971789314981e-13,1.2899978349295984e-14,3.9054471849746724e-13,3.7767514551519155e-13,3.7785526447447826e-13,1.2875570379491428e-13,1.3249590376305084e-13,5.3411247493750875e-15,4.4141191489599999e-15,2.2070593091156969e-15,4.0662746068803667e-16,1.9620029735120511e-15,3.3760544143427323e-16,1.6880271021629038e-16,1.4425301340782416e-15,9.666354157005784e-16,9.617971166895814e-16,4.765914461619732e-15,2.6331471237779738e-16,1.0616598908389997e-15,9.3047708772350936e-16,3.204306305188416e-16
6.55359e-10,0.30192884092630945,89.099999999999994,0.0,0.0,0.0,0.99999999999885247,10.999999999999973,4.8881988100461631e-13,1.6131836101538854e-14,4.8781997964346755e-13,4.7172356479174889e-13,4.7199743262332645e-13,1.5947958344965554e-13,1.6514707954463054e-13,6.5726595576269927e-15,5.4311128032767321e-15,2.7155558505857389e-15,6.1203443599381959e-16,2.9914615566490861e-15,5.0854686626656442e-16,2.5427340811454495e-16,2.2025608604287036e-15,1.4763451337959694e-15,1.4686366815640569e-15,7.1626733795681628e-15,4.7212715962282979e-16,1.6203501557149341e-15,1.4208640187813484e-15,4.8672312944769568e-16
9.17503e-10,0.30192884092631084,89.099999999999994,0.0,0.0,0.0,0.99999999999839351,10.999999999999956,6.8383087173266195e-13,2.2604319311532441e-14,6.8191161627772163e-13,6.5934993644603829e-13,6.5987081992637943e-13,2.1916245200357311e-13,2.2985800803594868e-13,8.92068169097856e-15,7.3683973543948428e-15,3.6841967907838421e-15,1.1378942035742813e-15,5.7257406924730195e-15,9.4713413782785958e-16,4.7356694845275394e-16,4.2296569586406474e-15,2.8369262636705655e-15,2.8206948245061581e-15,1.3272275211951704e-14,1.1970673326609793e-15,3.1087138141863118e-15,2.7291689477153519e-15,9.2362363119493272e-16
9.999999999999999e-10,0.30192884092631206,89.099999999999994,0.0,0.0,0.0,0.99999999999824907,10.999999999999948,7.4513819012969507e-13,2.4643624561314646e-14,7.4286685723999761e-13,7.1826743470954019e-13,7.1888205004894152e-13,2.3747342728748539e-13,2.5006191842344561e-13,9.6300247829511264e-15,7.95311252543253e-15,3.9765536641815344e-15,1.3329642018085631e-15,6.769887803657229e-15,1.1101090441280584e-15,5.5505434013290001e-16,5.0063240565063312e-15,3.3585665312442359e-15,3.3388037820931602e-15,1.5530933344620012e-14,1.5226682853323061e-15,3.6784531127866842e-15,3.2305525441553165e-15,1.0890318410866243e-15
1.179647e-09,0.30192884092631206,89.099999999999994,0.0,0.0,0.0,0.99999999999793454,10.999999999999934,8.7853804176963035e-13,2.908844173330173e-14,8.7539607245722291e-13,8.4635406097953333e-13,8.471992833099207e-13,2.7656712470753229e-13,2.9379217067289962e-13,1.1125705014847927e-14,9.1850723452610352e-15,4.5925315399064405e-15,1.8067496446653961e-15,9.3478598608889039e-15,1.5063341022210223e-15,7.5316668325505149e-16,6.9274084766940517e-15,4.6493099833888839e-15,4.6204509447172851e-15,2.1005899770089556e-14,2.3931343169476632e-15,5.0869995201516168e-15,4.4708817548659034e-15,1.49546537643595e-15
1.4417910000000002e-09,0.3019288409263134,89.099999999999994,0.0,0.0,0.0,0.99999999999747557,10.999999999999909,1.0729418661607513e-12,3.5584220929815262e-14,1.0682754136881536e-12,1.0327384398736622e-12,1.0339829591346178e-12,3.3178473019530567e-13,3.5696081144765182e-13,1.3201327670687684e-14,1.0892012858433203e-14,5.4459970110783187e-15,2.6050011190005015e-15,1.3846211354902283e-14,2.1752731740805978e-15,1.0876357010182822e-15,1.0293183947872572e-14,6.9125434878059059e-15,6.8663332361286027e-15,3.0191848334523734e-14,4.147634171644487e-15,7.5521532851096498e-15,6.6445723369268718e-15,2.1972663312787149e-15
1.7039350000000003e-09,0.3019288409263147,89.099999999999994,0.0,0.0,0.0,0.99999999999701661,10.999999999999881,1.2670428107873906e-12,4.2091675806283165e-14,1.260551717119406e-12,1.218505595294544e-12,1.2202220144578282e-12,3.8490505088455081e-13,4.1937530088335997e-13,1.5160299034004782e-14,1.2499467107215001e-14,6.2497166183447323e-15,3.5198975348723224e-15,1.9209059398177031e-14,2.9437048544453397e-15,1.4718505895551049e-15,1.4324331021147015e-14,9.6256796529444351e-15,9.5567599879383707e-15,4.0670198208465381e-14,6.5373749830651355e-15,1.0501134867374958e-14,9.2487998557191327e-15,3.0240948067629374e-15
2.228223e-09,0.3019288409263173,89.099999999999994,0.0,0.0,0.0,0.99999999999609868,10.99999999999981,1.654337745612292e-12,5.5141683619622415e-14,1.6433027985402163e-12,1.5881974522906735e-12,1.5910671836301278e-12,4.8516481052756953e-13,5.4198295416127986e-13,1.8769080110345857e-14,1.544896926535946e-14,7.7244417925225005e-15,5.6588259130377413e-15,3.2485784073604361e-14,4.7460006302115899e-15,2.3729944352284288e-15,2.4373047742810814e-14,1.6398210543645079e-14,1.6265467207744764e-14,6.4997870114920644e-14,1.3441096550979196e-14,1.7839762553248551e-14,1.5743583721901987e-14,5.035631841976191e-15
2.7525110000000004e-09,0.30192884092631983,89.099999999999994,0.0,0.0,0.0,0.99999999999518074,10.999999999999726,2.0404264852963024e-12,6.8238618494942708e-14,2.0236656951115245e-12,1.9554495155742986e-12,1.9597371232202775e-12,5.7799926867719401e-13,6.6170321357845029e-13,2.203472749763963e-14,1.8100797586371543e-14,9.0503107031377771e-15,8.140839894385105e-15,4.9087075544415124e-14,6.8460182769050205e-15,3.4229945965226601e-15,3.7052647081456743e-14,2.4959447819532985e-14,2.4734097437074525e-14,9.2967676124045963e-14,2.3521644593772622e-14,2.707984489281382e-14,2.3943813373875572e-14,7.4938552822375487e-15
3.3742583198404e-09,0.3019288409263228,89.099999999999994,0.0,0.0,0.0,0.99999999999409217,10.999999999999606,2.4967267412893573e-12,8.3831174149167524e-14,2.4716621780893253e-12,2.3878361387239331e-12,2.394124612648599e-12,6.7931325699501147e-13,8.0005948995595289e-13,2.5554614214235255e-14,2.0935644475171539e-14,1.0467647599564161e-14,1.1436954494029709e-14,7.295548466961354e-14,9.6464191885063877e-15,4.8231745551368798e-15,5.5468944183044574e-14,3.7419658880817327e-14,3.7039956207761963e-14,1.29746603702113e-13,3.9921930379583284e-14,4.0470414609687803e-14,3.586219425432148e-14,1.0940474057305224e-14
3.9960056396807994e-09,0.30192884092632555,89.099999999999994,0.0,0.0,0.0,0.9999999999930036,10.99999999999946,2.9513421863232567e-12,9.949021254840892e-14,2.9163517744110793e-12,2.8168542107221308e-12,2.8254657636762157e-12,7.7196355584171761e-13,9.3462213839399376e-13,2.8775514691302784e-14,2.3504131160325972e-14,1.1751761064570705e-14,1.5031935160575716e-14,1.0122327787906822e-13,1.271330034603833e-14,6.3565780754954835e-15,7.7519263079296457e-14,5.237173070723705e-14,5.1781474845230843e-14,1.6944577071659114e-13,6.1348368158958491e-14,5.6467255547828204e-14,5.0142653974374014e-14,1.4915117882349224e-14
4.617752959521199e-09,0.3019288409263284,89.099999999999994,0.0,0.0,0.0,0.99999999999191502,10.999999999999295,3.4042788407828535e-12,1.152159889177807e-13,3.3577614440424074e-12,3.2425363046144403e-12,3.2537695940092663e-12,8.5675782341896415e-13,1.0655250550893289e-12,3.1764872692507164e-14,2.586338478082275e-14,1.293120815395288e-14,1.8858311847672274e-14,1.3375184695157337e-13,1.598956086455517e-14,7.9946481304466674e-15,1.0316931851356657e-13,6.9803254996660068e-14,6.8938117619395242e-14,2.1128341078611833e-13,8.783730437525096e-14,7.5037152444292138e-14,6.6766105984138629e-14,1.9371750029635429e-14
5.2395002793615985e-09,0.30192884092633115,89.099999999999994,0.0,0.0,0.0,0.99999999999082645,10.999999999999108,3.8555426882413036e-12,1.3100875644981764e-13,3.7959178819692792e-12,3.6649146140715921e-12,3.6790465874496969e-12,9.3441878401406529e-13,1.1928969825355016e-12,3.4573936137914901e-14,2.8057518211137092e-14,1.4028040445569546e-14,2.2864812531888785e-14,1.7040779095987533e-13,1.9431111946615865e-14,9.7153331684614383e-15,1.3238521396170101e-13,8.9701890484945741e-14,8.8489550831405867e-14,2.5468266581139862e-13,1.1929898905232259e-13,9.614862724564986e-14,8.5713563953426659e-14,2.4268861313965101e-14
5.861247599201998e-09,0.3019288409263339,89.099999999999994,0.0,0.0,0.0,0.99999999998973788,10.999999999998904,4.3051396940644983e-12,1.4686876696051241e-13,4.2308475907864376e-12,4.0840210436144015e-12,4.1013085034718741e-12,1.0055983762065657e-12,1.3168621371874561e-12,3.7242274100532593e-14,3.0121097302247342e-14,1.5059537522457178e-14,2.7011846575159898e-14,2.1106227559935754e-13,2.3003409282682671e-14,1.1501353630121481e-14,1.6513334711612553e-13,1.1205533139800833e-13,1.1041558752294015e-13,2.9921143672380153e-13,1.5556450762760218e-13,1.1977165468176121e-13,1.0696610199222704e-13,2.956878179483243e-14
6.4829949190423976e-09,0.3019288409263365,89.099999999999994,0.0,0.0,0.0,0.9999999999886493,10.999999999998678,4.7530758091962416e-12,1.627962710561707e-13,4.6625769037847975e-12,4.4998872448373899e-12,4.5205680869644568e-12,1.0708937151668848e-12,1.4375409221817632e-12,3.9801672987953545e-14,3.2082221047092356e-14,1.6039746688391282e-14,3.1267608319916157e-14,2.5559031542519004e-13,2.6678373108656836e-14,1.3338662232787332e-14,2.0138037324207733e-13,1.368513043362044e-13,1.346961698515756e-13,3.4453208734776392e-13,1.9642122498114298e-13,1.4587736357456285e-13,1.3050485488330671e-13,3.5236859775417921e-14
7.104742238882797e-09,0.30192884092633915,89.099999999999994,0.0,0.0,0.0,0.99999999998756073,10.999999999998433,5.1993569650516838e-12,1.7879151766430612e-13,5.0911319228953684e-12,4.9125445281976106e-12,4.9368392312571299e-12,1.1308371137115001e-12,1.5550488881337004e-12,4.2275794784575305e-14,3.396215455963131e-14,1.6979299550397175e-14,3.5608419442464957e-14,3.0387182554104331e-13,3.0434754631865845e-14,1.5216627387442027e-14,2.4109329565538017e-13,1.6407758404541827e-13,1.6131141639446167e-13,3.9040393553332961e-13,2.4161948005227427e-13,1.7443828033048965e-13,1.5631105138801858e-13,4.1242048470280445e-14
8.348236878563597e-09,0.3019288409263442,89.099999999999994,0.0,0.0,0.0,0.99999999998538358,10.999999999997888,6.086978041656165e-12,2.1098622631775881e-13,5.9388224343084368e-12,5.728356055740401e-12,5.7604757156926256e-12,1.2365672420190729e-12,1.7809946988478191e-12,4.7040865612527833e-14,3.7544520077724752e-14,1.8769470426800725e-14,4.4472476777631333e-14,4.112349990995857e-13,3.8125756055895425e-14,1.9061493348903055e-14,3.3078640462442091e-13,2.2577240255979485e-13,2.2146717918249665e-13,4.8309053158038173e-13,3.4400239898408268e-13,2.388210391348232e-13,2.1465119030213951e-13,5.4152604990621207e-14
9.467382054276317e-09,0.3019288409263486,89.099999999999994,0.0,0.0,0.0,0.99999999998342415,10.999999999997337,6.8802362212848051e-12,2.4019560852127369e-13,6.6911453155776038e-12,6.4519197209323378e-12,6.4916837089987995e-12,1.3178119171709925e-12,1.974578619451898e-12,5.1184428002803139e-14,4.0626036100978563e-14,2.0309112192810441e-14,5.2594231177064174e-14,5.1957723484137327e-13,4.5191167856173976e-14,2.2593385718389664e-14,4.2303900409356682e-13,2.8948772568713148e-13,2.833957823888642e-13,5.6702024618050774e-13,4.4832557022180087e-13,3.0490815109370604e-13,2.7472572669070985e-13,6.6667313577841136e-14
9.999999999999999e-09,0.3019288409263534,89.099999999999994,0.0,0.0,0.0,0.99999999998249156,10.999999999997057,7.2559065371273579e-12,2.5417512382059044e-13,7.0457052490582379e-12,6.7927785568822191e-12,6.8363574697690026e-12,1.3524818781343117e-12,2.0636342405951335e-12,5.3123589662780608e-14,4.2059728958042077e-14,2.102536090507706e-14,5.6492003651386936e-14,5.7485325904626617e-13,4.8586863304423135e-14,2.4290756378824231e-14,4.7072325117521251e-13,3.2251453254898951e-13,3.1542594727164278e-13,6.0700662095785352e-13,5.0157103187890772e-13,3.390277373023496e-13,3.0580186601767642e-13,7.2883746634556047e-14
