Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97)
1.023e-12,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.4304266561926065e-22,2.0171680730097531e-21,7.4304266561926065e-22,7.2688093834868054e-22,7.2688093834868054e-22,1.7148668629651041e-22,1.7148277518057684e-22,8.8558305006909297e-22,7.540907335544095e-22,3.7704536677719196e-22,1.9713118469845098e-25,3.9111159335954628e-27,1.6786094957383988e-25,8.3930474786917093e-26
2.047e-12,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4866039984628822e-21,4.0357441929781898e-21,1.4866039984628822e-21,1.454269262526168e-21,1.454269262526168e-21,3.4309307571063668e-22,3.4307742333928346e-22,1.7713898772341155e-21,1.5083720174611447e-21,7.5418600873054677e-22,7.8878778725595602e-25,1.5652371353264228e-26,6.7166784341826291e-25,3.3583392170912002e-25
4.095e-12,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.9737266641501248e-21,8.0728964329150632e-21,2.9737266641501248e-21,2.9090459108811428e-21,2.9090459108811428e-21,6.8630585453888924e-22,6.8624323109769878e-22,3.5418208619238264e-21,3.0159275191143474e-21,1.5079637595571225e-21,3.1547706327055881e-24,6.2623441190606629e-26,2.686347791374954e-24,1.3431738956874315e-24
8.191e-12,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.94797199552461e-21,1.6147200912788808e-20,5.94797199552461e-21,5.8185992075910928e-21,5.8185992075910928e-21,1.3727314121953945e-21,1.3724809052472557e-21,7.0779584826462582e-21,6.0270156455390159e-21,3.0135078227694034e-21,1.2611084980589376e-23,2.5050694813895267e-25,1.0738584569029188e-23,5.3692922845144074e-24
1e-11,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.2615486079407342e-21,1.9713220640350239e-20,7.2615486079407342e-21,7.1036045576272986e-21,7.1036045576272986e-21,1.6758915278693738e-21,1.6754750863415661e-21,8.6355331758160036e-21,7.353319975085823e-21,3.6766599875427791e-21,2.0949338232271785e-23,4.1644152780802133e-25,1.7838775782243548e-23,8.9193878911214477e-24
1.6383e-11,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1896462658273581e-20,3.2295809872536302e-20,1.1896462658273581e-20,1.1637705801010992e-20,1.1637705801010992e-20,2.7455825275084051e-21,2.7445805909988242e-21,1.4131386833362972e-20,1.2033143377792991e-20,6.0165716888962615e-21,5.0370604404460168e-23,1.0019365095811915e-24,4.2891578719748932e-23,2.1445789359873652e-23
3.2767e-11,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.3793443983771525e-20,6.4593027792031289e-20,2.3793443983771525e-20,2.3275918987850792e-20,2.3275918987850792e-20,5.4912847581344263e-21,5.4872781352332542e-21,2.8163257849265039e-20,2.3981546822899829e-20,1.1990773411449016e-20,2.0087532878274307e-22,4.0066229011722749e-24,1.7104958642311535e-22,8.5524793211552057e-23
6.5535e-11,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.7587406634767413e-20,1.2918746363102126e-19,4.7587406634767413e-20,4.6552345361530389e-20,4.6552345361530389e-20,1.0982689219386467e-20,1.0966672490792315e-20,5.593023806238334e-20,4.7625653130600065e-20,2.3812826565291432e-20,7.9864659621221009e-22,1.6016728594153641e-23,6.8006618435621498e-22,3.4003309217800997e-22
9.999999999999999e-11,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.2613618877399634e-20,1.9712713743445112e-19,7.2613618877399634e-20,7.1034218987289266e-20,7.1034218987289266e-20,1.6758484347470319e-20,1.671724013459951e-20,8.4524064339489155e-20,7.1973825051928825e-20,3.5986912525896e-20,2.0385349118066161e-21,4.1244212870807916e-23,1.735867070221335e-21,8.6793353510919449e-22
1.31071e-10,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.5175331936759177e-20,2.5837633530900121e-19,9.5175331936759177e-20,9.3105198108889577e-20,9.3105198108889577e-20,2.1965498141890552e-20,2.1901510764535197e-20,1.1030206452100534e-19,9.3924268973809164e-20,4.6962134486782249e-20,3.1563230984839353e-21,6.3987377355355296e-23,2.6876961526155072e-21,1.3438480763050409e-21
2.62143e-10,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.9035118254074273e-19,5.1675407866496116e-19,1.9035118254074273e-19,1.8621090360360796e-19,1.8621090360360796e-19,4.3931115986898721e-20,4.3675803683766014e-20,2.145882940559701e-19,1.8272578637268684e-19,9.1362893184528783e-20,1.2329099482227446e-20,2.5531230313270741e-22,1.0498670379752177e-20,5.2493351897958044e-21
5.24287e-10,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.8070288374870979e-19,1.0335095653768809e-18,3.8070288374870979e-19,3.7242231459304474e-19,3.7242231459304474e-19,8.7862351676915048e-20,8.6846170908195034e-20,4.0673921027466822e-19,3.4634460611684292e-19,1.7317230303283466e-19,4.7096195056036117e-20,1.0161807687200215e-21,4.0104833932511076e-20,2.0052416963987909e-20
9.999999999999999e-10,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.2613432157198856e-19,1.9712663053754594e-18,7.2613432157198856e-19,7.1034036328390882e-19,7.1034036328390882e-19,1.6758441254347968e-19,1.6383843018675702e-19,7.0456042956382717e-19,5.9993695336908068e-19,2.9996847638889175e-19,1.6106333636429395e-19,3.7459823567226938e-21,1.3715807316117707e-19,6.8579036528188639e-20
1.0485750000000002e-09,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.6140628616464399e-19,2.0670205388007205e-18,7.6140628616464399e-19,7.4484513657191829e-19,7.4484513657191829e-19,1.757248230569477e-19,1.7170010097241175e-19,7.3497092018941654e-19,6.2583123893154698e-19,3.1291561914254895e-19,1.7270050812341901e-19,4.0247220845359571e-21,1.4706816831420524e-19,7.3534084099583721e-20
2.0971510000000003e-09,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.5228130909965124e-18,4.1340424856483997e-18,1.5228130909965124e-18,1.4896907805296654e-18,1.4896907805296654e-18,3.5144976581701301e-19,3.3566223800682845e-19,1.2244348195789823e-18,1.0425673171505999e-18,5.2128365519719069e-19,5.9090864768016327e-19,1.5787527810184587e-20,5.0323203150224478e-19,2.5161601453921894e-19
4.194303e-09,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.0456267006602492e-18,8.268086379343758e-18,3.0456267006602492e-18,2.9793820684451598e-18,2.9793820684451598e-18,7.0289965133714372e-19,6.4210992708434504e-19,1.8071600909978084e-18,1.5385269599324429e-18,7.6926345346908575e-19,1.8235273884639539e-18,6.0789724252798739e-20,1.5530723371903554e-18,7.7653614929011201e-19
8.388607e-09,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.0912539199877229e-18,1.6536174166734476e-17,6.0912539199877229e-18,5.9587646442761482e-18,5.9587646442761482e-18,1.4057994223774051e-18,1.1796669997995657e-18,2.3044790599764211e-18,1.9611467586154144e-18,9.8057323494256005e-19,4.9568959787041473e-18,2.2613242257783956e-19,4.2220529003912506e-18,2.1110262341046828e-18
