Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43)
1e-12,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999999933,11.0,2.9245863344799685e-16,1.4238108426794751e-17,2.9245778875341022e-16,2.8310616850383682e-16,2.831067901604274e-16,9.7434027847248894e-17,9.7439187782798509e-17,6.3461770847289119e-18,5.2592561127117452e-18,2.6296280563598832e-18,1.3213268658698915e-21,3.7357640268911802e-21,1.0950307299787771e-21,5.4751536499006092e-22,2.8881963485317576e-21,1.9341755671062773e-21,1.9267671870844936e-21,7.8015011725712231e-21,1.4008007950213349e-24,1.3864035250513665e-21,1.8651573983438032e-21,6.4192086617128407e-22,3.5074875292665221e-27,4.1592928357712996e-23
1.023e-12,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999999933,11.0,2.9918873493557705e-16,1.4565759657623096e-17,2.991878607670441e-16,2.8962103428722441e-16,2.8962167763513765e-16,9.9676098114254186e-17,9.9681438092305906e-17,6.4922008434509365e-18,5.3802702133154103e-18,2.6901351066618806e-18,1.3674301819260497e-21,3.8661156655140102e-21,1.1332382622979159e-21,5.6661913114965994e-22,2.9889742970388076e-21,2.0016648804600677e-21,1.9939979722443935e-21,8.0737072090579427e-21,1.4581354196829869e-24,1.434779317701166e-21,1.9302384137465223e-21,6.6431917585318609e-22,3.6510512199418385e-27,4.3044282088881629e-23
2.047e-12,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999999867,11.0,5.9882217888384281e-16,2.9153477745978915e-17,5.988186783268116e-16,5.796698708391877e-16,5.7967244698208556e-16,1.9948359801554048e-16,1.9950497940979271e-16,1.2991363863739131e-17,1.076632571433122e-17,5.3831628571992537e-18,5.4745721350945219e-21,1.5481320503946863e-20,4.5370211694276903e-21,2.2685105847251841e-21,1.1969209119213916e-20,8.015608413814909e-21,7.9848877811446958e-21,3.232246718343401e-20,1.1676867293911406e-23,5.7454797336141177e-21,7.7295538550849544e-21,2.6600556232738558e-21,2.9245075476219884e-26,1.7240338827338122e-22
4.095e-12,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999999722,11.0,1.1980795517286481e-15,5.8329375776914289e-17,1.1980655419976788e-15,1.1597502714449963e-15,1.1597605806868849e-15,3.9904514305405678e-16,3.9913069655710977e-16,2.5981422031771198e-17,2.1531631217429398e-17,1.0765815608983586e-17,2.1900243766934378e-20,6.1955944497529921e-20,1.8150085563523394e-20,9.0750427819430442e-21,4.7902774147364316e-20,3.2080076839367054e-20,3.1956976824955281e-20,1.2929336832332485e-19,9.3420051559810893e-23,2.2994148865766424e-20,3.0934993942761436e-20,1.0644548527274457e-20,2.3408797821256618e-25,6.9026354699677062e-22
8.191e-12,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999999445,11.0,2.3965562384976995e-15,1.1668301925266237e-16,2.3965001866841827e-15,2.3198419891016707e-15,2.3198832287485905e-15,7.9795454030262326e-16,7.9829668987589185e-16,5.1928521323612994e-17,4.3035063118028202e-17,2.1517531561151726e-17,8.7542980509850448e-20,2.4786062749114475e-19,7.2555317142615917e-20,3.6277658574191936e-20,1.9165744000965431e-19,1.2835352829485332e-19,1.2785980158731386e-19,5.167668194577382e-19,7.4670933151768397e-22,9.1997076131811096e-20,1.2377013043083198e-19,4.2576987639583482e-20,1.8729040806686328e-24,2.763930508836796e-21
1e-11,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999999323,11.0,2.9258303201622052e-15,1.424565605049144e-16,2.9257371334385396e-15,2.8321359391674108e-15,2.8322044885066762e-15,9.7394449905771096e-16,9.7451307370435155e-16,6.3358999748453091e-17,5.2508130422944119e-17,2.6254065216861631e-17,1.4540342433810142e-19,4.1203528560889491e-19,1.2051519780414747e-19,6.0257598914371121e-20,3.186365019510532e-19,2.1339562430311205e-19,2.1257265485182979e-19,8.5820422969765217e-19,1.8980149485193546e-21,1.52944908848389e-19,2.0577212225798187e-19,7.0765270589146844e-20,4.7670796100528745e-24,4.5990119279968321e-21
1.6383e-11,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999998879,11.0,4.7933573866434307e-15,2.3339769583555272e-16,4.7931331705491277e-15,4.6397491416381792e-15,4.6399140523739303e-15,1.5949195718790075e-15,1.5962870803251689e-15,1.0369108586550911e-16,8.5933552538631393e-17,4.2966776286179644e-17,3.4956219324673924e-19,9.9132043915538379e-19,2.8974013880058506e-19,1.4487006944580486e-19,7.6667815610912329e-19,5.1346400397183247e-19,5.114793117824017e-19,2.0629554677083597e-18,5.9603608596977204e-21,3.6799743302191945e-19,4.9511358927439826e-19,1.7022674657978409e-19,1.4979087572495993e-23,1.1074039400909218e-20
3.2767e-11,0.2686113130528859,89.099999999999994,0.0,0.0,0.0,0.99999999999997757,11.0,9.5863508636700593e-15,4.6685660733440328e-16,9.5854541171068886e-15,9.2784587262366167e-15,9.2791178491877466e-15,3.1854426277182572e-15,3.1909028168637633e-15,2.0669312909265755e-16,1.7129975303140186e-16,8.5649876646804832e-17,1.3931035444119125e-18,3.9634728288302189e-18,1.1548879594954686e-18,5.774439804556063e-19,3.066455166539831e-18,2.0538233771170813e-18,2.0458080019113783e-18,8.2173823605945677e-18,4.7459412465636535e-20,1.4717536453484296e-18,1.9803026101299356e-18,6.8011562535092324e-19,1.1973708378887447e-22,4.4432589297408973e-20
6.5535e-11,0.26861131305288594,89.099999999999994,0.0,0.0,0.0,0.99999999999995504,11.0,1.9169903198873131e-14,9.3389266213086338e-16,1.9166317531731298e-14,1.8551462284210879e-14,1.8554094363974961e-14,6.3529247034703473e-15,6.3746848144435434e-15,4.1063211502612278e-16,3.4033052286964405e-16,1.701652624240398e-16,5.5310993152425175e-18,1.5837777915222723e-17,4.5868134691513105e-18,2.2934067452655179e-18,1.226247360333843e-17,8.2141691113365821e-18,8.1814984419180812e-18,3.2593642683771299e-17,3.7609368330318291e-19,5.8845130428253761e-18,7.9191651373774276e-18,2.7138701827977943e-18,9.5625292956618544e-22,1.7879022898451419e-19
9.999999999999999e-11,0.2686113130528861,89.099999999999994,0.0,0.0,0.0,0.99999999999993128,10.999999999999998,2.9244653065620383e-14,1.425364437545926e-15,2.9235416295912393e-14,2.8295424276761619e-14,2.8302190298618708e-14,9.6561786297954469e-15,9.7119310225448383e-15,6.20900330526188e-16,5.1462375621569499e-16,2.5731188226095167e-16,1.4086571435519719e-17,4.0755435423252494e-17,1.1687825804949476e-17,5.8439129873154225e-18,3.1593343685021627e-17,2.1167883695625007e-17,2.1081112865307334e-17,8.2877260188811248e-17,1.7310291507700712e-18,1.5157282329800571e-17,2.0403624762664833e-17,6.9676692245818296e-18,4.4624528075075638e-21,4.6519719295605357e-19
1.31071e-10,0.2686113130528861,89.099999999999994,0.0,0.0,0.0,0.99999999999990996,10.999999999999998,3.8327274655920814e-14,1.868437686752989e-15,3.8312943285666378e-14,3.7079832896246429e-14,3.7090325763157111e-14,1.263413895896554e-14,1.2720536185229166e-14,8.1046202278797603e-16,6.7175316440647263e-16,3.358765892086578e-16,2.1799528761767595e-17,6.3219283861726112e-17,1.8089553769132994e-17,9.0447770362558734e-18,4.90205731731394e-17,3.2845959014018329e-17,3.2710415628955316e-17,1.2820911219806983e-16,2.9525350236748645e-18,2.351689975372648e-17,3.1658655809155629e-17,1.0802568108297828e-17,7.6233736375530182e-21,7.2339973981691829e-19
2.62143e-10,0.26861131305288627,89.099999999999994,0.0,0.0,0.0,0.99999999999981981,10.999999999999996,7.6603126755398071e-14,3.7394193003555479e-15,7.654589302693021e-14,7.4066232216188836e-14,7.410792509465696e-14,2.4985529362524749e-14,2.532606528555813e-14,1.5795430994292616e-15,1.3093194155535455e-15,6.546597506446111e-16,8.4701146810031737e-17,2.5182244219403504e-16,7.0374015670325028e-17,3.5187009703048098e-17,1.9584310780500996e-16,1.3129472155307106e-16,1.3071377187691624e-16,4.9623963166662005e-16,2.2759102252344379e-17,9.3897441587277886e-17,1.2648762543763269e-16,4.2792086145653265e-17,6.0562534239897048e-20,2.9563455125097697e-18
3.93215e-10,0.2686113130528865,89.099999999999994,0.0,0.0,0.0,0.99999999999972966,10.999999999999991,1.148401300221026e-13,5.6122923840605754e-15,1.1471864336197582e-13,1.1098249049264637e-13,1.1107068553851717e-13,3.7129757203079683e-14,3.7846092278035138e-14,2.3195780408181924e-15,1.9228218415230396e-15,9.6141102329255809e-16,1.7644300556497847e-16,5.3357967480744048e-16,1.4672225029975697e-16,7.3361131107608983e-17,4.1581450052790702e-16,2.7886952087361027e-16,2.7757817050120475e-16,1.0309871433559211e-15,6.3709297488599784e-17,1.9928327933685617e-16,2.685698124899277e-16,9.0326096572625035e-17,1.7247802124302635e-19,6.3707967010013929e-18
5.24287e-10,0.2686113130528867,89.099999999999994,0.0,0.0,0.0,0.99999999999963951,10.999999999999988,1.5303832638144702e-13,7.4870568450528793e-15,1.5283129647722693e-13,1.4782880549214237e-13,1.4797863314999515e-13,4.9070614565533672e-14,5.0281283414697221e-14,3.0320225947602441e-15,2.5134172434636853e-15,1.2567088019123023e-15,2.9557702518729605e-16,9.0781023188987941e-16,2.4597746676312357e-16,1.2298874649992236e-16,7.0877770558780419e-16,4.7551127598979411e-16,4.7321927561641804e-16,1.7229087591050851e-15,1.3183345095178522e-16,3.395651462211519e-16,4.5780874830809616e-16,1.5314186523775099e-16,3.6248705020425417e-19,1.1002289221801139e-17
7.864310000000001e-10,0.2686113130528872,89.099999999999994,0.0,0.0,0.0,0.99999999999945921,10.999999999999979,2.2934377150017249e-13,1.124102443118462e-14,2.2891587451849353e-13,2.2135788495528045e-13,2.2166597239998991e-13,7.2486478587513353e-14,7.4954607370067761e-14,4.3963914844942401e-15,3.6442194326670535e-15,1.8221100570120753e-15,5.9392230941458127e-16,1.8712095204076541e-15,4.9487648890142837e-16,2.4743827939965861e-16,1.465525931456417e-15,9.8376890991040276e-16,9.7871637786316071e-16,3.448009223505964e-15,3.4888461115928762e-16,7.0169338371861828e-16,9.4666255113123168e-16,3.1384243178046887e-16,9.8410608739764661e-19,2.3223612247213564e-17
9.999999999999999e-10,0.2686113130528876,89.099999999999994,0.0,0.0,0.0,0.99999999999931233,10.999999999999972,2.9140466525754356e-13,1.4304526793756054e-14,2.9073932139123121e-13,2.810731571573998e-13,2.8155030059139377e-13,9.1033002070038826e-14,9.4829410884791898e-14,5.4411216218814207e-15,4.509738663310148e-15,2.2548697668878644e-15,9.0331131673712914e-16,2.9033450236418279e-15,7.5340138423015313e-16,3.7670075182397835e-16,2.2795086934677581e-15,1.5308671639391593e-15,1.5226223733520264e-15,5.2274317542427972e-15,6.3211148235647618e-16,1.0909216354992753e-15,1.4725327620007465e-15,4.8474424551351462e-16,1.8175460677256308e-18,3.6684863952501641e-17
1.0485750000000002e-09,0.2686113130528876,89.099999999999994,0.0,0.0,0.0,0.99999999999927891,10.99999999999997,3.0550685725166582e-13,1.5001946534745166e-14,3.0478030000563361e-13,2.9463135930996253e-13,2.9515198212793311e-13,9.518482060451558e-14,9.9321418608317942e-14,5.6703641195651485e-15,4.6996089235467542e-15,2.3498049139744042e-15,9.8199302034797232e-16,3.1690873686811702e-15,8.1918828859537943e-16,4.0959421051224707e-16,2.4893926169072853e-15,1.6719733888962546e-15,1.6628843165644357e-15,5.6790234743803757e-15,7.0986468758887406e-16,1.1912560164102231e-15,1.6081315184346867e-15,5.2862556843794219e-16,2.0480921002020158e-18,4.0185782609612304e-17
1.3107190000000003e-09,0.26861131305288805,89.099999999999994,0.0,0.0,0.0,0.99999999999909861,10.999999999999959,3.815176941067063e-13,1.8770319316048657e-14,3.8040952690249927e-13,3.6763223074548031e-13,3.6842248662246657e-13,1.1713798110232258e-13,1.2336416039215268e-13,6.8556771836072897e-15,5.6807577414888851e-15,2.8403792501981153e-15,1.4580474958871922e-15,4.8209020580265409e-15,1.2177411291147994e-15,6.0887066271505438e-16,3.7984173199828774e-15,2.5525846041304991e-15,2.5379247862125383e-15,8.3990345264380338e-15,1.2563082488713314e-15,1.8166509738800316e-15,2.453907207263706e-15,7.9970274878721467e-16,3.7082742543852828e-18,6.2420537065835081e-17
1.8350070000000003e-09,0.26861131305288893,89.099999999999994,0.0,0.0,0.0,0.99999999999873812,10.999999999999931,5.3307494064807462e-13,2.6329881081885983e-14,5.3095218842274009e-13,5.128072379374775e-13,5.1430501171532155e-13,1.5891147432347808e-13,1.7048573191156708e-13,9.0019676027572537e-15,7.4537168128402721e-15,3.7268568713811808e-15,2.6326685241630715e-15,9.1792765822222395e-15,2.2041893348139477e-15,1.1020946221760396e-15,7.2828611520115503e-15,4.9004561304615924e-15,4.8688351178218996e-15,1.5034741449025299e-14,3.0813804949405115e-15,3.4788525762442928e-15,4.7056747275049021e-15,1.5037156706165499e-15,9.6482378664030507e-18,1.2411129877755683e-16
2.3592950000000004e-09,0.2686113130528898,89.099999999999994,0.0,0.0,0.0,0.99999999999837763,10.999999999999899,6.8401800956868235e-13,3.3919695611814114e-14,6.8054975230098808e-13,6.5689299497064611e-13,6.5931592906603935e-13,1.9798100135979605e-13,2.1635411746729226e-13,1.0885545087401617e-14,9.0038622523623685e-15,4.5019240909455914e-15,4.0677644723505756e-15,1.4910713116268638e-14,3.4134596429411733e-15,1.7067289913698077e-15,1.1909971193946604e-14,8.0238852159110479e-15,7.9665877944934846e-15,2.3037184344016802e-14,5.981850743512945e-15,5.6826181028219846e-15,7.6965201337155189e-15,2.413498390182143e-15,1.9740502693042383e-17,2.0938739492642268e-16
2.8835830000000006e-09,0.26861131305289077,89.099999999999994,0.0,0.0,0.0,0.99999999999801714,10.999999999999858,8.3434949083699591e-13,4.1539754887830295e-14,8.2920843993916445e-13,7.9989999324516249e-13,8.0345784698906485e-13,2.3452560631544723e-13,2.6100635595118755e-13,1.2553491995906725e-14,1.0369617567847336e-14,5.1847908245692711e-15,5.7164964482034312e-15,2.1977301678189771e-14,4.8071336210903594e-15,2.4035638594884273e-15,1.7670321246003444e-14,1.1919223516746377e-14,1.182604962147127e-14,3.211256270869238e-14,1.0086997256984102e-14,8.4220163417262582e-15,1.1420688068144434e-14,3.5162234949432217e-15,3.4973190184208257e-17,3.1922975296881837e-16
3.407871000000001e-09,0.26861131305289154,89.099999999999994,0.0,0.0,0.0,0.99999999999765665,10.99999999999981,9.8407199654268615e-13,4.9190053058126181e-14,9.7693455352217701e-13,9.4183861293235551e-13,9.4673360099841306e-13,2.6871687743099991e-13,3.044794513878705e-13,1.4046145658717712e-14,1.1584158293645973e-14,5.7920430213814007e-15,7.5387345021201719e-15,3.0341157340039156e-14,6.352041285533062e-15,3.1760132827338664e-15,2.4554366408180541e-14,1.658278346261149e-14,1.6442019817080855e-14,4.2013344292097964e-14,1.5486967297709475e-14,1.169118131060461e-14,1.5872367175440178e-14,4.7995062986707532e-15,5.6316200398263234e-17,4.5442931035019419e-16
4.4564470000000005e-09,0.2686113130528932,89.099999999999994,0.0,0.0,0.0,0.99999999999693567,10.999999999999696,1.2816996228294131e-12,6.4581348672040978e-14,1.2696120710673774e-12,1.2225473755403896e-12,1.2306980921330246e-12,3.3060909000239187e-13,3.8801918084349857e-13,1.6617510871856721e-14,1.3652799531391282e-14,6.8262999129185177e-15,1.1592361577359342e-14,5.082649678275638e-14,9.8023748186409787e-15,4.9011597061710263e-15,4.1658786881979517e-14,2.8201081722155007e-14,2.7924493190303926e-14,6.3624156052388853e-14,3.0317127613898243e-14,1.9798239708592333e-14,2.6937183007773867e-14,7.866210831619318e-15,1.2066051014381793e-16,8.0284170407048079e-16
5.4001654e-09,0.2686113130528946,89.099999999999994,0.0,0.0,0.0,0.99999999999628675,10.999999999999572,1.547507235542266e-12,7.8536885784465623e-14,1.5298937319517503e-12,1.4716281971946236e-12,1.4833353669746335e-12,3.797328799030034e-13,4.5951691091872994e-13,1.8606492453719619e-14,1.5226472571616964e-14,7.6130405567084702e-15,1.5561155397791674e-14,7.3346785185633085e-14,1.3195898273426853e-14,6.5978821603684914e-15,6.0803336789835807e-14,4.1248899490839571e-14,4.0795388773799333e-14,8.427663723261928e-14,4.8369322530178068e-14,2.8852340001325816e-14,3.932761074208174e-14,1.1136364399396291e-14,2.081257724876374e-16,1.20769736738102e-15
6.3438838e-09,0.268611313052896,89.099999999999994,0.0,0.0,0.0,0.99999999999563782,10.999999999999428,1.8113819406778763e-12,9.2590326492449289e-14,1.7872504849398239e-12,1.7173980895166163e-12,1.7332181082355908e-12,4.2343809341444722e-13,5.2772799080958726e-13,2.0404953116835319e-14,1.662721212510437e-14,8.3132722208664066e-15,1.971659107446389e-14,9.9523026221973531e-14,1.6762499425757533e-14,8.3811137328629004e-15,8.3443139986977331e-14,5.6728958892102754e-14,5.6037621583146434e-14,1.0540926802029947e-13,7.0795641172839066e-14,3.953936200694793e-14,5.3987231545419394e-14,1.4829621447274487e-14,3.2857244720833765e-16,1.700501141337622e-15
7.287602199999999e-09,0.2686113130528973,89.099999999999994,0.0,0.0,0.0,0.9999999999949889,10.999999999999265,2.0733388933766448e-12,1.0674164751791276e-13,2.0417185187475254e-12,1.9599106099897607e-12,1.9803691924285956e-12,4.6237456190684656e-13,5.9283616006934354e-13,2.2074695403743941e-14,1.7909387372812296e-14,8.9541775265434351e-15,2.3997168692628657e-14,1.2916649420653821e-13,2.0447833741314806e-14,1.0223671826367164e-14,1.0952410844275779e-13,7.4619823707274931e-14,7.3621325021749805e-14,1.2671553272927256e-13,9.7311888232976315e-14,5.183077926968992e-14,7.0883666641017548e-14,1.8897375980423305e-14,4.8616003606997089e-16,2.2814450008903251e-15
8.231320599999999e-09,0.2686113130528986,89.099999999999994,0.0,0.0,0.0,0.99999999999433997,10.999999999999082,2.3333928937569711e-12,1.2099082737778246e-13,2.2933329799546765e-12,2.1992167782823853e-12,2.2248126017371047e-12,4.9708320491517876e-13,6.5501012664228686e-13,2.3648446425765552e-14,1.910296894003649e-14,9.5507426048420738e-15,2.8370316884820946e-14,1.6210366108641561e-13,2.4221948800487645e-14,1.2110570327493658e-14,1.3899394920259363e-13,9.4900564159243518e-14,9.3517492649993705e-14,1.4806506399005326e-13,1.2755778213219973e-13,6.5700354042445866e-14,8.99858029157638e-14,2.3298829407626289e-14,6.8447790203592567e-16,2.9501258122500455e-15
9.175038999999999e-09,0.2686113130528998,89.099999999999994,0.0,0.0,0.0,0.99999999999369105,10.999999999998884,2.5915585448781848e-12,1.3533784544648695e-13,2.5421283721831043e-12,2.4353663680089408e-12,2.4665729724390215e-12,5.2803889153707447e-13,7.1440816025284869e-13,2.5150781206092777e-14,2.0230428924298533e-14,1.0114205486098557e-14,3.2811578328412748e-14,1.9817154175305429e-13,2.8062385758804057e-14,1.4030571218870986e-14,1.7180150412946486e-13,1.1755054064052405e-13,1.1569764884443773e-13,1.6936760351106261e-13,1.6119305402955857e-13,8.1123284358950204e-14,1.1126334498563428e-13,2.7998097086545273e-14,9.2672594390006059e-16,3.7060709472046829e-15
9.999999999999999e-09,0.268611313052901,89.099999999999994,0.0,0.0,0.0,0.99999999999312383,10.999999999998698,2.8157012133706263e-12,1.4795956583960473e-13,2.7573329458175014e-12,2.6392517856511232e-12,2.675732167000199e-12,5.5236321837983357e-13,7.6417600472007897e-13,2.6423330044968517e-14,2.1177787762896781e-14,1.0587619101233889e-14,3.673206538903234e-14,2.3214315995981888e-13,3.1457936502858209e-14,1.5728102786284436e-14,2.0317502164827585e-13,1.3927491656969378e-13,1.3693546709626623e-13,1.87882760462423e-13,1.9313348667050932e-13,9.5859094614032031e-14,1.3162192771692231e-13,3.2324405719512418e-14,1.1767661221746829e-15,4.4380426813406834e-15
1.0118757399999998e-08,0.268611313052901,89.099999999999994,0.0,0.0,0.0,0.99999999999304212,10.99999999999867,2.8478503799222267e-12,1.4978268165089215e-13,2.7881388749863847e-12,2.6684085614114448e-12,2.7056754701566496e-12,5.5567277032960374e-13,7.7118110169405638e-13,2.6604341085236442e-14,2.1312081234351797e-14,1.0654725177718499e-14,3.7298422180103561e-14,2.3721463815706202e-13,3.194884096599023e-14,1.5973515503174236e-14,2.0789624505849656e-13,1.4254922657322184e-13,1.4013358559000238e-13,1.9053627518086161e-13,1.9791365432081943e-13,9.8075686085799394e-14,1.3468647959240025e-13,3.2962609131455266e-14,1.2158231859459802e-15,4.5488616535075848e-15
