Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28),C4H8O(297),S(144),S(42),S(346)
1e-12,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4216804748809998e-19,2.4800579748457646e-19,4.4216790912805305e-19,4.3036002630794826e-19,4.3036209664723372e-19,1.2209105627574806e-19,1.2209015070345901e-19,1.0714937959514537e-19,9.0143385449285704e-20,4.5071673478947912e-20,3.5331475273680292e-23,5.4637339177818717e-24,2.9723931796253709e-23,1.4861930012605805e-23,6.1189584001196542e-24,4.1350167777935737e-24,4.1158693195950334e-24,3.3618360049090339e-24,9.5577301313959637e-28,2.3230874842603276e-25,4.0059753482250105e-24,1.1364751651960757e-24,1.5687553842238346e-30,4.1803934887645719e-26,4.1750606288497431e-34,7.5195260369190345e-31,6.1354105764743812e-31,1.6328665590490265e-34,7.0531813922561262e-35,1.8193010998511514e-38,3.2574959893569303e-29,2.5104305073651486e-23,8.6695203053154448e-33,1.621894487398897e-40,4.3887189577615317e-36,1.9615630319845296e-43,2.8583212857768478e-36,4.4240419593378141e-26,4.1286637302136738e-31,1.6415118445163945e-31,5.5863777751815748e-21,2.7787351517971281e-41,1.4608717545486155e-41,9.7815626004924033e-39,5.2000126356319507e-26,2.7942349672885154e-31,1.5206438967357092e-36,4.3392964853659079e-30,2.7767179301246676e-31,5.9683710814903136e-41
1.023e-12,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.5233495930764419e-19,2.5370830315304466e-19,4.5233481612181463e-19,4.4025540700064385e-19,4.4025754955049617e-19,1.2489829477714108e-19,1.2489735761996723e-19,1.0961269096668887e-19,9.2215737886188197e-20,4.6107849026202035e-20,3.6563731236298367e-23,5.654300887295198e-24,3.0760613645807664e-23,1.5380269468902971e-23,6.3323795915140121e-24,4.2792408155098207e-24,4.2594255084812468e-24,3.479086188731094e-24,9.9488461640169641e-28,2.4041137355555666e-25,4.145698575546303e-24,1.1761137851724333e-24,1.6329511380995216e-30,4.326197687333858e-26,4.3586357165291913e-34,7.8272408984259252e-31,6.3864806893660646e-31,1.7046628124693001e-34,7.3633029997006871e-35,1.9020788025044024e-38,3.3907944670483301e-29,2.5680886261309204e-23,9.050710380282858e-33,1.6956888971335887e-40,4.581703506110053e-36,2.0523172748515288e-43,2.9840001420095008e-36,4.5783438267597639e-26,4.2976182442453103e-31,1.7086862244524012e-31,5.7148275267132597e-21,2.9051720991019237e-41,1.5251112433081793e-41,1.022664313493833e-38,5.3813825069725505e-26,2.9085815908234028e-31,1.5875057726866047e-36,4.5168660505628562e-30,2.8903477123205683e-31,6.2399314296822677e-41
2.047e-12,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.0497722361132846e-19,5.0759398349708691e-19,9.0497665059736873e-19,8.8080546771761598e-19,8.8081404221600735e-19,2.4987441324451932e-19,2.4987066288879443e-19,2.1922865946112614e-19,1.8443431664523264e-19,9.2217078660592495e-20,1.4628903594843419e-22,2.2628202467661554e-23,1.2307128715131769e-22,6.1535344671017722e-23,2.5342497867505838e-23,1.7125811042813761e-23,1.7046501778278904e-23,1.3919190793486101e-23,7.9615369983301086e-27,9.6214009590759102e-25,1.6591357552268555e-23,4.7067737715938783e-24,1.3067735678262429e-29,1.7311998882604699e-25,6.976360433502993e-33,6.26511658720647e-30,5.1108480842401729e-30,2.728478533505878e-33,1.1782471347147913e-33,6.0874244592648308e-37,2.7126704605609011e-28,5.1266251987134998e-23,1.4482156959792707e-31,5.4210281614298754e-39,7.3498187097619849e-35,1.3122614990091479e-41,4.7762105003143788e-35,1.8320777656486045e-25,3.4401631678273492e-30,1.3677441938189752e-30,1.1433602766767e-20,9.3206839136520186e-40,2.4421099585767827e-40,3.2752981491159051e-37,2.153676362772794e-25,2.3282749758052685e-30,2.5409484347955837e-35,3.6144249905376061e-29,2.3136781443322636e-30,1.9975097958737146e-39
4.095e-12,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8102364268708158e-18,1.0153661841896396e-18,1.8102341344548264e-18,1.7618676024989399e-18,1.7619019078745082e-18,4.997985664284146e-19,4.9978356300395526e-19,4.3824106974793602e-19,3.6868703844170368e-19,1.8434320086784463e-19,5.8496824680062967e-22,9.0529519931025409e-23,4.9212815477618556e-22,2.4606168718894179e-22,1.0139399927117115e-22,6.8520080996223877e-23,6.8202709428794278e-23,5.5655689006120415e-23,6.3673045075878963e-26,3.849486491926367e-24,6.6381674242205037e-23,1.8830817436402896e-23,1.0451171053401974e-28,6.925112918930774e-25,1.1159300868032981e-31,5.0127989092536559e-29,4.0875776339671254e-29,4.3645155608261643e-32,1.8837154932465082e-32,1.9464836093024459e-35,2.1681963306136805e-27,1.0209916932147403e-22,2.3151862173810889e-30,1.7296646220341508e-37,1.180916369088146e-33,8.3742162887652805e-40,7.6401888628455676e-34,7.328462081920469e-25,2.7529077726166605e-29,1.0944607966115052e-29,2.2871028449272688e-20,2.9950122025476696e-38,3.9054808324403715e-39,1.0476306704290031e-35,8.6169082740623165e-25,1.8631615583255307e-29,4.0645112622132467e-34,2.8903705802009802e-28,1.8514792714969213e-29,6.3901941308239347e-38
8.191e-12,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6206535368390222e-18,2.030913927232524e-18,3.6206443678964488e-18,3.5238399387747497e-18,3.5239771653960536e-18,9.9953456437066571e-19,9.9947455825368149e-19,8.7538957539933563e-19,7.3645623666697465e-19,3.6822684777618831e-19,2.3374535023092243e-21,3.6210941885031465e-22,1.9664857568266433e-21,9.8322378215780266e-22,4.0560864017524541e-22,2.7410728736879181e-22,2.7283722393969599e-22,2.2236702119224341e-22,5.0884329036646092e-25,1.5399302420220659e-23,2.6555228002397191e-22,7.5323440547348111e-23,8.3522842385196461e-28,2.7692084419446119e-24,1.7836920845533453e-30,4.0095277141753024e-28,3.2668045540899749e-28,6.9764386096082818e-31,3.0077392776363484e-31,6.2160565667895562e-34,1.7306660027803951e-26,2.0243199277237857e-22,3.6962256279127092e-29,5.4999815254981415e-36,1.9043141246436639e-32,5.325948415022264e-38,1.2212711116832004e-32,2.9303551243524793e-24,2.2025590634179682e-28,8.75591491661047e-29,4.5745377099031484e-20,9.6582485205017746e-37,6.2362767657386784e-38,3.3458790387399777e-34,3.4471705477226127e-24,1.49071171520238e-28,6.4968080505826839e-33,2.3093682797971689e-27,1.4813624596663904e-28,2.0426497185409143e-36
1e-11,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4201354938853516e-18,2.4794339047586898e-18,4.4201202535993364e-18,4.3018815301032911e-18,4.3021096512608858e-18,1.2201440078722154e-18,1.2200442729683335e-18,1.0676854866816298e-18,8.9823395541565811e-19,4.4911487067499444e-19,3.8812944504248915e-21,6.0191998707846623e-22,3.2653251254037156e-21,1.6326140447736942e-21,6.7430177822996899e-22,4.5569676344213517e-22,4.5358451488290573e-22,3.6919096137661265e-22,1.293290018511062e-24,2.5600689711154812e-23,4.4147331808498e-22,1.2521062165080611e-22,2.1229206289279486e-27,4.6017889903318867e-24,7.677760808326316e-30,1.0203226923991425e-27,8.303762327547612e-28,3.0031199955772539e-30,1.2924262576321314e-30,4.8578943035744821e-33,4.3915135342819967e-26,2.455979467287946e-22,1.5879574244552405e-28,4.2654982334686138e-35,8.3146436577192422e-32,7.8468382413547988e-37,5.2573609266404197e-32,4.8693238543026525e-24,5.6071537542035547e-28,2.2287864155192279e-28,5.5847391866730523e-20,7.6798641839606397e-36,2.6794016736531207e-37,2.6145844614197079e-33,5.7309575531045436e-24,3.7950598075813634e-28,2.7965922713552444e-32,5.8678907551067744e-27,3.771250375603482e-28,1.5990955190724144e-35
1.6383e-11,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.2410826093230059e-18,4.0620226369585308e-18,7.2410459464912776e-18,7.0471769847467837e-18,7.0477258244367895e-18,1.9985575390332931e-18,1.9983176223456822e-18,1.7461956037158391e-18,1.4690615832613437e-18,7.345257331200354e-19,9.3286890174908406e-21,1.4480840871339057e-21,7.8482392711347555e-21,3.9239673041862045e-21,1.6223771238370997e-21,1.0964295582327098e-21,1.0913456857455407e-21,8.8725464860537394e-22,4.0611857983601413e-24,6.1595966150089392e-23,1.0622052063897968e-21,3.0123598206173603e-22,6.6665023564016932e-27,1.106799221883159e-23,2.8474798212330101e-29,3.2057501139721827e-27,2.6076510513274578e-27,1.1137920530268591e-29,4.7914405315683427e-30,1.9805506483305899e-32,1.3780230943665475e-25,3.9790766707362801e-22,5.8868139319185436e-28,1.737552422379735e-34,3.0933291203115254e-31,3.3654917633979987e-36,1.9498577780632633e-31,1.1710914458654199e-23,1.7620159785869879e-27,7.0034924403875324e-28,9.1492035461104727e-20,3.1370142268860835e-35,9.9331360149228031e-37,1.0659481104213661e-32,1.3789228672702587e-23,1.1925880080469719e-27,1.0371902326288135e-31,1.8424026166881899e-26,1.1851048367547342e-27,6.5207115405729941e-35
3.2767e-11,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4480320474876248e-17,8.1242918660513274e-18,1.4480173940873404e-17,1.4091421422572837e-17,1.4093616032300223e-17,3.9948091010340114e-18,3.9938503904604952e-18,3.4739570154314932e-18,2.9226347596342686e-18,1.4612973355964943e-18,3.7143205763033118e-20,5.7889419819812805e-21,3.1249173105005177e-20,1.5623375001651365e-20,6.4884124132902536e-21,4.385291142433976e-21,4.3649287210544623e-21,3.5310808193076408e-21,3.2333788584965283e-23,2.4634974661289991e-22,4.2483726086234626e-21,1.2043638480338941e-21,5.3082398426956696e-26,4.4197347129567046e-23,4.5349801987613945e-28,2.5613164284480337e-26,2.0766755810067231e-26,1.7740979920435568e-28,7.598989751166478e-29,6.2825221640844096e-31,1.0919856947482554e-24,7.6917669852528873e-22,9.3317742152281938e-27,5.4204539715152279e-33,5.0950895490817674e-30,2.1002173282276343e-34,3.1061142761271909e-30,4.6755566158795166e-23,1.4094013739510848e-26,5.6001705287269547e-27,1.8297697376534974e-19,1.0329623679403135e-33,1.5746711829285107e-35,3.3801454329130388e-31,5.5155811979747206e-23,9.5399097412808549e-27,1.6519936920312138e-30,1.4656613133710825e-25,9.4799909990956298e-27,2.0763403231196839e-33
6.5535e-11,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.8952317577600466e-17,1.6249029734363618e-17,2.8951732399707889e-17,2.8170198493901809e-17,2.8178970523064642e-17,7.9801482200344386e-18,7.9763212100463481e-18,6.8749689685482903e-18,5.7839763784038924e-18,2.8919095046139692e-18,1.4721085921580941e-19,2.3127525498832794e-20,1.2385507216140985e-19,6.1917955991144587e-20,2.5943613496868614e-20,1.7536888514717755e-20,1.7455227769882721e-20,1.3982009542751385e-20,2.5619602213325675e-22,9.8507789775763034e-22,1.6989072552511342e-20,4.8125856605222779e-21,4.2069480098251084e-25,1.7619100946103487e-22,7.189255181005708e-27,2.0436998513345079e-25,1.6463302780790456e-25,2.813209532462874e-27,1.1946292495924454e-27,1.975589953332463e-29,8.5719036087292818e-24,1.4407551854208883e-21,1.465679258185285e-25,1.6505339573030666e-31,8.6042943149310769e-29,1.2795430451337983e-32,4.9263338196880828e-29,1.8631719102011368e-22,1.1271185266062499e-25,4.4756876314094974e-26,3.6591158589340263e-19,3.4861589755960134e-32,2.4732862986385325e-34,1.0621339708251184e-29,2.2060263380476711e-22,7.6302204821526548e-26,2.6193126833934716e-29,1.1594210733469786e-24,7.5822029859385961e-26,6.5789041365867239e-32
9.999999999999999e-11,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,4.4160177473982891e-17,2.479492662178235e-17,4.415867305655837e-17,4.2957691008511714e-17,4.2980275205634706e-17,1.2156868045658108e-17,1.214703632857879e-17,1.0341078564761422e-17,8.7001852344339786e-18,4.3498958308462678e-18,3.7387057743883828e-19,5.9495819134404712e-20,3.1457088952645118e-19,1.5724151414605039e-19,6.6830887377270792e-20,4.5185647175747637e-20,4.4974271288087546e-20,3.5457141578428901e-20,1.1789895575426275e-21,2.5378181130607509e-21,4.3772985784286519e-20,1.2384643962913248e-20,1.9368547022053403e-24,4.5169751117351821e-22,6.2805739508015852e-26,9.5221004366655388e-25,7.5836339807959574e-25,2.4588454626348907e-26,1.0274320262912861e-26,3.3053288010668865e-28,3.8802129372640992e-23,2.0246597178712603e-21,1.2584373043736654e-24,2.6053809992922648e-30,8.3642538585778488e-28,3.9818515731376753e-31,4.3073256929165042e-28,4.7736303106890152e-22,5.2728148537232792e-25,2.0913970645892096e-25,5.5823877764352827e-19,6.6048258609134007e-31,2.1235948297711693e-33,1.7745842609895925e-28,5.6853753881009564e-22,3.5703763965655408e-25,2.2889487305326657e-28,5.3200090714338898e-24,3.5478295712217408e-25,1.1168611161594298e-30
1.31071e-10,0.16968718216720463,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,5.7870417277856341e-17,3.2499251652653893e-17,5.7868084144589757e-17,5.6288959829676501e-17,5.632399601782489e-17,1.5922278221255179e-17,1.5907033120916567e-17,1.3465857072347037e-17,1.1329215420585461e-17,5.6643044524149242e-18,5.7820959107318427e-19,9.2282682664097313e-20,4.865056396018668e-19,2.4317792138327889e-19,1.0369171681983502e-19,7.0111646895952473e-20,6.9783329786684456e-20,5.4817473146121825e-20,2.0109094164924192e-21,3.9376495719228802e-21,6.791930721253219e-20,1.921103083404599e-20,3.3037081561700742e-24,7.0007303749612294e-22,1.1294529513037281e-25,1.6264052695096429e-24,1.2936251515892934e-24,4.4219345103996757e-26,1.8459873127409562e-26,6.1070556437754307e-28,6.6055381794242662e-23,2.5510632497954017e-21,2.2608134384542305e-24,4.8053931556907455e-30,1.5129126302330935e-27,7.4562296968407226e-31,7.7463596344065938e-28,7.3974763272727648e-22,9.0102566230502284e-25,3.5733465540509513e-25,7.3162621924713074e-19,1.224494481554465e-30,3.8150924968920235e-33,3.278659441969048e-28,8.8220895715974195e-22,6.1012717094218135e-25,4.1163521707708383e-28,9.0708760288851726e-24,6.0627272851292096e-25,2.0644270652646319e-30
