Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22)
1e-12,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3054997497695966e-19,5.9380997640023373e-20,1.3055065444991664e-19,1.2719034455377497e-19,1.2719134780086618e-19,3.4823337479036416e-20,3.4822497760262232e-20,2.6210895375420979e-20,2.2105973221329813e-20,1.1052986610664684e-20,4.9192143951316126e-24,8.3971877418096338e-25,4.1488121418439402e-24,2.074406070921929e-24,1.0032470911984206e-24,6.7947295699571382e-25
1.023e-12,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3355175867089993e-19,6.0746370479218426e-20,1.3355246184300956e-19,1.3011487497110941e-19,1.3011591321016916e-19,3.5624045467343309e-20,3.5623176460329254e-20,2.6813515313678351e-20,2.2614216073238872e-20,1.1307108036619209e-20,5.0907855579820827e-24,8.6900701405398371e-25,4.2935134160088738e-24,2.1467567080043943e-24,1.0382390597554423e-24,7.0317210963627183e-25
2.047e-12,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.671953333657097e-19,1.2153514384164166e-19,2.6719814751810278e-19,2.6031849632501491e-19,2.6032265143304962e-19,7.1272957642398006e-20,7.1269479862408319e-20,5.3635561985039393e-20,4.5235627383091935e-20,2.261781369154551e-20,2.0370446645071494e-23,3.4777799896859683e-24,1.7180223546504289e-23,8.5901117732519709e-24,4.1551080346712491e-24,2.814152393032909e-24
4.095e-12,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.3447825941145481e-19,2.4311269056648814e-19,5.3448951886828911e-19,5.2071950332065101e-19,5.2073612787881049e-19,1.4257078199250741e-19,1.4255686781216033e-19,1.0724910904822631e-19,9.0452687516661599e-20,4.522634375832983e-20,8.1476048354318993e-23,1.3914180347080331e-23,6.8716129944057051e-23,3.4358064972027802e-23,1.6624558159438491e-23,1.1259456834334284e-23
8.191e-12,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0690272186657752e-18,4.8626778401618106e-19,1.0690722615686618e-18,1.0414965756674991e-18,1.0415630807703322e-18,2.8516643069272622e-19,2.8511077136555207e-19,2.1435416011984522e-19,1.8078387725962086e-19,9.0391938629807649e-20,3.2573030652618048e-22,5.565932717412353e-23,2.7471846692079722e-22,1.3735923346039468e-22,6.6505102833236621e-23,4.5042902886705773e-23
1e-11,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3050960548233145e-18,5.9365732602069642e-19,1.3051709387036652e-18,1.2714759442512926e-18,1.2715865079629017e-18,3.4814385464260315e-19,3.480513274199405e-19,2.6154959742440087e-19,2.2058797436260519e-19,1.1029398718129624e-19,5.4115563418944692e-22,9.2527222662608458e-23,4.5640761213648889e-22,2.28203806068231e-22,1.1056371160910144e-22,7.488388035103664e-23
1.6383e-11,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.1380575701320885e-18,9.7257797091556691e-19,2.1382377469694071e-18,2.0829509634167716e-18,2.0832169865533759e-18,5.7035772809316384e-19,5.7013511365275487e-19,4.2807722391139851e-19,3.6103548780005603e-19,1.8051774390000907e-19,1.3012771745292083e-21,2.2261444040887669e-22,1.097492086382901e-21,5.4874604319140338e-22,2.6602313660431696e-22,1.8017683731887736e-22
3.2767e-11,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.2758480393418281e-18,1.9451983447143388e-18,4.2765687177708985e-18,4.1654607881889299e-18,4.1665247981194629e-18,1.1407403228940391e-18,1.1398501353521763e-18,8.5358422698618873e-19,7.1990322308531851e-19,3.599516115424086e-19,5.1914954184501424e-21,8.9018754186276198e-22,4.378525121316069e-21,2.1892625606568455e-21,1.0640099305331456e-21,7.2067842907061596e-22
6.5535e-11,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.5503483183708996e-18,3.8904390923118822e-18,8.5532306593738797e-18,8.3288852510001496e-18,8.3331404212516368e-18,2.2815055124957895e-18,2.2779470966302264e-18,1.6969132998518585e-18,1.431156911969689e-18,7.1557845598098994e-19,2.0656865183847413e-20,3.5584158655630127e-21,1.742237288368926e-20,8.7111864418083066e-21,4.2551702514881379e-21,2.8823410029808312e-21
9.999999999999999e-11,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3043945737382995e-17,5.9364206098274264e-18,1.305137378124115e-17,1.2704573506897275e-17,1.271553810958325e-17,3.4813490262782703e-18,3.4721865456737356e-18,2.56804670960687e-18,2.165858812758964e-18,1.0829294063462273e-18,5.2793428071778179e-20,9.162480604534604e-21,4.4528168696130477e-20,2.2264084347456121e-20,1.0964602685978402e-20,7.4280438581602989e-21
1.31071e-10,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7095028441753364e-17,7.7809205875069704e-18,1.7106554542579842e-17,1.6649358355264592e-17,1.6666371667515985e-17,4.5630358916992905e-18,4.5488212162447752e-18,3.3533937623994996e-18,2.8282096834806688e-18,1.4141048416805751e-18,8.1765287798773603e-20,1.4214675454515346e-20,6.8964674765718798e-20,3.4482337381733891e-20,1.7013312251393954e-20,1.1526100826484145e-20
2.62143e-10,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.4167124554950231e-17,1.5561883577897144e-17,3.4213202308991773e-17,3.3264840622167349e-17,3.3332834160044684e-17,9.1260966501062916e-18,9.069389978387543e-18,6.5499788805312538e-18,5.5241416455450545e-18,2.7620708218685847e-18,3.2035793846381399e-19,5.670667171874953e-20,2.7022286101500181e-19,1.351114304734358e-19,6.7993537877335827e-20,4.6077754041540956e-20
5.24287e-10,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,6.824240080148793e-17,3.1123809558677491e-17,6.8426497841815611e-17,6.6394263170282762e-17,6.6665759145102075e-17,1.8252218166920292e-17,1.8026600027428853e-17,1.2509920843460347e-17,1.0550454534416962e-17,5.2752272542348038e-18,1.2307714905770335e-18,2.2561813949144338e-19,1.0382902913115226e-18,5.1914514467682528e-19,2.7149597481931814e-19,1.8409704032769768e-19
9.999999999999999e-10,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.298297337244403e-16,5.9364053447894687e-17,1.3051340220661598e-16,1.2614798903979306e-16,1.2715505412578669e-16,3.4813400742634923e-17,3.3982283743390604e-17,2.1956971635830205e-17,1.8516529714279584e-17,9.2582647027606849e-18,4.2513619930347091e-18,8.3111699924432338e-19,3.587283616832963e-18,1.7936417851565479e-18,1.0070650859936433e-18,6.8366848217565014e-19
1.0485750000000002e-09,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.361184092425204e-16,6.2247661520238173e-17,1.3685308890746332e-16,1.3224943515144333e-16,1.3333160911521683e-16,3.6504461200548294e-17,3.5611516782014412e-17,2.2921608911329024e-17,1.932994473943515e-17,9.6649722008995753e-18,4.5597941436315659e-18,8.9294441853388743e-19,3.8475610336519373e-18,1.9237804912909252e-18,1.0821739637735086e-18,7.3467966494291629e-19
2.0971510000000003e-09,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,0.99999999999999933,11.0,2.7078113635971741e-16,1.2449536544335952e-16,2.7370627103875862e-16,2.6236480158595255e-16,2.6666330905544628e-16,7.3008947267804284e-17,6.9511186768016326e-17,3.9097212381633713e-17,3.2962562628791174e-17,1.6481279461489239e-17,1.5865608388452365e-17,3.4977604997879736e-18,1.3392468764050055e-17,6.6962338189429856e-18,4.2985074694937859e-18,2.9251346790412712e-18
4.194303e-09,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,0.99999999999999856,11.0,5.3581938177078113e-16,2.4899077328960213e-16,5.4741263530134908e-16,5.163695388421028e-16,5.3332670893590506e-16,1.4601791940231619e-16,1.3258585051684328e-16,5.9799780182779659e-17,5.0375107652171581e-17,2.5187538215716066e-17,5.0125839326676425e-17,1.3432068885472903e-17,4.2335011654471893e-17,2.1167496257786509e-17,1.6957170093802239e-17,1.1593253530567886e-17
8.388607e-09,0.2981257939645058,89.099999999999994,0.0,0.0,0.0,0.99999999999999711,11.0,1.0492889552863487e-15,4.9798158898208699e-16,1.0948253638265291e-15,1.0006483357268857e-15,1.0666535086968217e-15,2.9203586367133978e-16,2.4231135858426741e-16,7.9948021286844497e-17,6.7188426687738399e-17,3.3594120463873969e-17,1.3990291997573876e-16,4.9724505087072402e-17,1.182321440474041e-16,5.9115956520487278e-17,6.6005172969936009e-17,4.5536408540180178e-17
