Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262)
1e-12,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.344324802541999e-18,3.2032187877851677e-19,1.3443241693380401e-18,1.3072307371069395e-18,1.3072344957867942e-18,3.8314902702437585e-19,3.8315313697867284e-19,1.4180096564788035e-19,1.1901400622414204e-19,5.9506968159019687e-20,2.8587484494778704e-23,1.1027017241610546e-23,2.3993597682184504e-23,1.1996759029751679e-23,1.1627810359118934e-23,7.842842340941866e-24,7.8082479424132314e-24,1.2637539962212693e-23,2.1966969932423449e-27,9.7827430165499563e-25,7.5928167911861644e-24,2.225457851923722e-24,3.881402301598375e-30,9.0801709825325434e-26,6.3157845153564039e-34,1.94841862435975e-30,1.4869609209203561e-30,2.4195662673042051e-34,2.4080883664665096e-34,3.7977214317491702e-38,3.3730352535085267e-29,6.4894072496304791e-23,5.4886095257665778e-33,3.0818649269375304e-40,8.2262525817971416e-36,4.4314833019311811e-43,8.2262525817971416e-36,9.6529917227668652e-26,5.4134472887975738e-31,4.1857486402932194e-31
1.023e-12,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3752353515833497e-18,3.2768718085059965e-19,1.3752346962940994e-18,1.3372883188880957e-18,1.3372922086656639e-18,3.9195875977236299e-19,3.9196301307512801e-19,1.4506111617099663e-19,1.2175026135311616e-19,6.087509450446139e-20,2.9584548937628848e-23,1.1411624236922069e-23,2.4830438336423423e-23,1.2415177727728528e-23,1.2033373354686559e-23,8.1163906875934812e-24,8.0805896528711693e-24,1.3078305553734327e-23,2.2865896471662914e-27,1.0123952438305019e-24,7.8576445267861351e-24,2.3030785986583296e-24,4.0402361639267912e-30,9.3968739660909778e-26,6.5934869910307537e-34,2.0281519905002579e-30,1.5478100430729088e-30,2.5259536431013511e-34,2.5139704149406158e-34,3.9705172699877397e-38,3.5110636842907738e-29,6.6385215208074197e-23,5.7299397506558018e-33,3.2220860409614029e-40,8.5879577756214059e-36,4.6365113479289109e-43,8.5879577756214059e-36,9.9896722257583226e-26,5.6349782019616687e-31,4.3570389448468523e-31
2.047e-12,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.7514150107914668e-18,6.556036604727159e-19,2.7514123883098366e-18,2.6754861890421266e-18,2.6755017560715196e-18,7.8416014392750789e-19,7.8417716495192529e-19,2.9016423482974992e-19,2.4353583058113254e-19,1.2176777057691389e-19,1.1837865574258136e-22,4.566932942193279e-23,9.9355859171869575e-23,4.9677597944731445e-23,4.8158378910433262e-23,3.2482446505285189e-23,3.2339148826026436e-23,5.2329607964030588e-23,1.8300181729827976e-26,4.0516739746368126e-24,3.1446897084822476e-23,9.2168383257830412e-24,3.2335470631304184e-29,3.7605796149939445e-25,1.0554467693701026e-32,1.6233739426609337e-29,1.2387808024664333e-29,4.0434329186332223e-33,4.0235416174628112e-33,1.2709674245636708e-36,2.8094417045053879e-28,1.326437574931093e-22,9.1702900204302599e-32,1.0299363083291905e-38,1.374733423427663e-34,2.9641859983117791e-41,1.374733423427663e-34,3.9977024441091387e-25,4.5107141335934848e-30,3.4876579480134093e-30
4.095e-12,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.5037273635356237e-18,1.3114383060875512e-18,5.5037168712728397e-18,5.3518101521861592e-18,5.3518724346207662e-18,1.5684699678005363e-18,1.5685380607853033e-18,5.8019277619395387e-19,4.8695799246409563e-19,2.4347841763112565e-19,4.7346537469316401e-22,1.8271611723627314e-22,3.9738328231521269e-22,1.9868898859218038e-22,1.9268090322465782e-22,1.2996253864768131e-22,1.2938905087329037e-22,2.0928466243594512e-22,1.4638614881491358e-25,1.6210677335522193e-23,1.2581908450264733e-22,3.6874510933315271e-23,2.5866299839130351e-28,1.5045112808507382e-24,1.6886126654975174e-31,1.2988677380203697e-28,9.9096502360597163e-29,6.469211005325428e-32,6.4351183837616355e-32,4.0655188915121331e-35,2.2464303981726661e-27,2.6464416368267984e-22,1.4665622468172566e-30,3.2852389079134754e-37,2.1995154389873221e-33,1.8910654489280771e-39,2.1995154389873221e-33,1.5992885223079597e-24,3.6096212847885295e-29,2.7908016934736273e-29
8.191e-12,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1008164211821336e-17,2.6231143250520943e-18,1.1008122240575669e-17,1.0704170986050359e-17,1.070442013240091e-17,3.1367179321746146e-18,3.1369902681541435e-18,1.1595399849527974e-18,9.7320716658275799e-19,4.8660127182288875e-19,1.8927240004394223e-21,7.3088757866193846e-22,1.5885878431117987e-21,7.9427271977730031e-22,7.707997700933714e-22,5.1990784318386804e-22,5.1761241693630316e-22,8.3653993119680601e-22,1.170307427348199e-24,6.4849073598514011e-23,5.033304889634597e-22,1.4749732644758345e-22,2.0680231398355083e-27,6.0179155775050817e-24,2.7001256406829605e-30,1.0388870664506178e-27,7.923131649010236e-28,1.0344749195694909e-30,1.0282986169255234e-30,1.2992974053543622e-33,1.7945266478616616e-26,5.2659586924576419e-22,2.3431607952200976e-29,1.0440525583999121e-35,3.5173092928261395e-32,1.2020356050812247e-37,3.5173092928261395e-32,6.3963010188146155e-24,2.8880517297389195e-28,2.2326971975517152e-28
1e-11,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3439034971318696e-17,3.202422462987626e-18,1.3438965198545032e-17,1.3067789678800665e-17,1.306820386466664e-17,3.8290071166394541e-18,3.829459757871558e-18,1.4147834769983833e-18,1.1874349414252476e-18,5.9371363352159661e-19,3.1442741857098851e-21,1.214996826340619e-21,2.6390467696763355e-21,1.3194694844633034e-21,1.28143664691449e-21,8.6434583298058979e-22,8.6052753504110691e-22,1.3895268407868474e-21,2.9761113087522301e-24,1.0780999724935744e-22,8.367830121886522e-22,2.4518386240411327e-22,5.259373099604259e-27,1.0003367428198504e-23,1.162995625426964e-29,2.6436226570037137e-27,2.0151140512321442e-27,4.4559277180980705e-30,4.424219845342758e-30,1.0167905717516786e-32,4.5585221776244459e-26,6.4050754297721482e-22,1.007905440007847e-28,8.0891703507868667e-35,1.51514126440903e-31,1.7691680130736813e-36,1.51514126440903e-31,1.0631083122022484e-23,7.3524177973886161e-28,5.6832412397936452e-28
1.6383e-11,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2016286523486552e-17,5.2464931343212346e-18,2.2016118653889659e-17,2.1407744413916864e-17,2.1408740936558372e-17,6.2717278819457388e-18,6.2728167246301256e-18,2.315402166731372e-18,1.9433309540397362e-18,9.7165625636452167e-19,7.5603299251136198e-21,2.923161186723712e-21,6.345558283364249e-21,3.1726098653316037e-21,3.0832029181965236e-21,2.0796845222412169e-21,2.0704928191002344e-21,3.3407238799870863e-21,9.3478339041098436e-24,2.5939627456463291e-22,2.0133598257576977e-21,5.8986775350998903e-22,1.6519951758091774e-26,2.4065909806847529e-23,4.3138584671364024e-29,8.3058820680044887e-27,6.3297287872473674e-27,1.6528417056410898e-29,1.640662183593822e-29,4.1460513156174997e-32,1.4311194077279418e-25,1.0424413259666283e-21,3.73749133717816e-28,3.294764844299578e-34,5.620198295427222e-31,7.5874875822975369e-36,5.620198295427222e-31,2.557337950940546e-23,2.3104794032771696e-27,1.7858378122950207e-27
3.2767e-11,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4029525958721477e-17,1.0493356758252091e-17,4.4028854668885786e-17,4.2810299348480605e-17,4.2814284546520879e-17,1.2535809893596647e-17,1.2540160833838147e-17,4.6158553722036478e-18,3.8741283439219132e-18,1.9370274934008317e-18,3.01541757635907e-20,1.168838642019661e-20,2.5309688507287835e-20,1.265349557313307e-20,1.2331632290396233e-20,8.318346923255082e-21,8.2815037584011163e-21,1.3318284891559524e-20,7.454108495701508e-23,1.0374831559686243e-21,8.0529519820926328e-21,2.3582679629017444e-21,1.3175853016777663e-25,9.6208356278746716e-23,6.881122549040277e-28,6.6356181770355246e-26,5.0492222564481901e-26,2.636836367266074e-28,2.61005887349341e-28,1.3191263116298024e-30,1.1376126996918535e-24,2.0429713783660521e-21,5.942502778659596e-27,1.025707777252133e-32,8.9673286750348823e-30,4.7252211315059003e-34,8.9673286750348823e-30,1.0218929354244566e-22,1.8482327113746796e-26,1.4279951192761109e-26
6.5535e-11,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,8.8043986893715805e-17,2.0987499939273358e-17,8.8041303367451243e-17,8.5597049832943433e-17,8.5612982715762177e-17,2.5040270460984583e-17,2.5057638037560023e-17,9.1721347380221058e-18,7.6983029775604296e-18,3.8490063933401107e-18,1.1991932446615518e-19,4.6717225365598572e-20,1.0065812965362383e-19,5.0318363495383323e-20,4.9314679276506978e-20,3.3268626819858081e-20,3.3120651054480389e-20,5.2916665713528296e-20,5.9246108106356108e-22,4.148914297030012e-21,3.2206330731619028e-20,9.4230007744484325e-21,1.0476481738053058e-24,3.8437526791808415e-22,1.0942353684001566e-26,5.2937060871299509e-25,4.0160484203272755e-25,4.1942152692039971e-27,4.1284227596030483e-27,4.1728273809309069e-29,8.9854943853868367e-24,3.9274043858429117e-21,9.3891454838249931e-26,3.111733522073258e-31,1.4267555381086795e-28,2.8682363006222085e-32,1.4267555381086795e-28,4.0790996152946921e-22,1.4782603698897421e-25,1.1412519255920063e-25
9.999999999999999e-11,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.3431261450078464e-16,3.2025962267501589e-17,1.3430570417226308e-16,1.30561069169021e-16,1.306021050936232e-16,3.8142655398355583e-17,3.8187271321474406e-17,1.3872386247986087e-17,1.1643378380579036e-17,5.8213218265079166e-18,3.0622100022700196e-19,1.2026730483625371e-19,2.5705573565925109e-19,1.2847849851171017e-19,1.2706523266207488e-19,8.57342187582095e-20,8.5350258696443777e-20,1.3492497997458891e-19,2.7413794168127615e-21,1.0690092439684932e-20,8.2993005030238101e-20,2.4246785310329843e-20,4.8511204758313565e-24,9.8887485598452388e-22,9.6142128934428034e-26,2.4657072571776963e-24,1.8606681326960332e-24,3.686971255008444e-26,3.591115053982878e-26,7.0610057490161826e-28,4.1118150427865585e-23,5.6937430413765952e-21,8.1506766892305254e-25,4.8836689301563471e-30,1.254854175296525e-27,8.8740468002246375e-31,1.254854175296525e-27,1.0479320572359789e-21,6.9172030048160305e-25,5.3327560393454705e-25
1.31071e-10,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.7602485963002405e-16,4.1977393081381743e-17,1.7601413874084889e-16,1.7109717956482155e-16,1.7116084646610314e-16,4.9954760501766414e-17,5.0023941443757997e-17,1.8109772427185012e-17,1.519995571547505e-17,7.5994101138706599e-18,4.7417629886519355e-19,1.8657441405525057e-19,3.9805181911205382e-19,1.9894168014792932e-19,1.9715916692126481e-19,1.3303317152526354e-19,1.3243646612552966e-19,2.0885738480283253e-19,4.6786793329614174e-21,1.6587116843295294e-20,1.287783744523299e-19,3.7610772233712159e-20,8.2800393180263808e-24,1.5338453100919477e-21,1.7295171015613127e-25,4.2113598323828827e-24,3.176047662775812e-24,6.6327434181137305e-26,6.4564019678357549e-26,1.3050476739075417e-27,7.0086488042717105e-23,7.2861384676376458e-21,1.4652248181419388e-24,9.0058801619118708e-30,2.2575090990795183e-27,1.6615628437251089e-30,2.2575090990795183e-27,1.6249268791044533e-21,1.1820536433215704e-24,9.1114945949361832e-25
2.62143e-10,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.5179459054626735e-16,8.3963248173753349e-17,3.5175181150756305e-16,3.4180448294624524e-16,3.4205863364349962e-16,9.9409046100689433e-17,9.9683480044810272e-17,3.5312930154298737e-17,2.9639414327325592e-17,1.4817532343784045e-17,1.8540611134083353e-18,7.4394317052625511e-19,1.5566883025709248e-18,7.7769147981617986e-19,7.8783200664372216e-19,5.3179572851321398e-19,5.2937064415197425e-19,8.1368140996353443e-19,3.6483888938391726e-20,6.6279544627084353e-20,5.1473206094340226e-19,1.4979557636480786e-19,6.4676871015492274e-23,6.1067905992027223e-21,2.7014679311906741e-24,3.3318321470847591e-23,2.4838718443656809e-23,1.0370744743218983e-24,9.8754745659103666e-25,3.9915471975140314e-26,5.3347025438180451e-22,1.2716788439938088e-20,2.2321095010744462e-23,2.4067713071608403e-28,3.5336203478759205e-26,8.8937205387538788e-29,3.5336203478759205e-26,6.4475427458300826e-21,9.4474346425896841e-24,7.2596093767907841e-24
5.24287e-10,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,0.99999999999999833,11.0,7.0256746615667091e-16,1.6795737148811229e-16,7.0239716123601858e-16,6.8205147240777194e-16,6.8306398319958786e-16,1.968425861748244e-16,1.97922433633651e-16,6.7234589113517924e-17,5.643265051404419e-17,2.820832309796191e-17,7.0957274963240757e-18,2.9570862300590835e-18,5.959660480905007e-18,2.9749200073434339e-18,3.1448938663675381e-18,2.1244783592473318e-18,2.1144739337381451e-18,3.0916819391817961e-18,2.7766844802420795e-19,2.6456854875287351e-19,2.055871514149988e-18,5.9406426299274596e-19,4.9404804366351827e-22,2.4209218854470326e-20,4.125581004946553e-23,2.6075729312305342e-22,1.9016847163333109e-22,1.5867988944140969e-23,1.4475856844028355e-23,1.169732768879142e-24,3.8764648974832509e-21,2.0256201768554164e-20,3.2483112754026794e-22,5.7027307623901108e-27,5.4184581008981912e-25,4.2248473357862157e-27,5.4184581008981912e-25,2.53968377917329e-20,7.5435509562944245e-23,5.7607872121146233e-23
9.999999999999999e-10,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,0.99999999999999667,11.0,1.3363440120997868e-15,3.2045637058452266e-16,1.335715687640544e-15,1.2952905114695115e-15,1.2990300665213892e-15,3.6846756431291837e-16,3.7236280812836906e-16,1.1741598652442898e-16,9.8544055327420519e-17,4.9246435124467472e-17,2.434606685270648e-17,1.087314037837848e-17,2.0460183295413296e-17,1.01978444255637e-17,1.1659037715776719e-17,7.8878240267511126e-18,7.8484062668936591e-18,1.0462356851100974e-17,1.8585766286596143e-18,9.8079290376398503e-19,7.6299526691604108e-18,2.174901568251175e-18,3.3339882895021291e-21,8.8665124892656442e-20,5.5247446116258363e-22,1.837609139913056e-21,1.2884641924610432e-21,2.1320152634603812e-22,1.7933659387699031e-22,2.8850298670511143e-23,2.3858542865359437e-20,2.8190046757369296e-20,3.9781795692284714e-21,1.0528512703089905e-25,7.3115830839984209e-24,1.561747159282611e-25,7.3115830839984209e-24,9.1979096345790595e-20,5.5248246525254993e-22,4.1682731263918888e-22
1.0485750000000002e-09,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,0.99999999999999656,11.0,1.4010588626907672e-15,3.3602802593366842e-16,1.4003837699088446e-15,1.3579082795826894e-15,1.3619262928119398e-15,3.8599217119365945e-16,3.9017489480895376e-16,1.2254000327241573e-16,1.028440460546232e-16,5.1394634336361019e-17,2.6107497030642085e-17,1.168144776172646e-17,2.1940830020885894e-17,1.0935376411477585e-17,1.2528415970070913e-17,8.4763185934310181e-18,8.4338974413686712e-18,1.121497562302118e-17,2.0200029821003768e-18,1.0539264907054078e-18,8.1991214581248358e-18,2.3363206846153039e-18,3.6239742630652051e-21,9.5246710083317438e-20,6.0467493913526864e-22,1.9986213015689806e-21,1.4006110428502621e-21,2.3335123127169126e-22,1.9617050487243544e-22,3.1676758087579387e-23,2.5898910560355354e-20,2.9000170761404707e-20,4.3512225606014334e-21,1.1545347411988519e-25,8.0028401824592849e-24,1.7169029962448029e-25,8.0028401824592849e-24,9.8777803148554823e-20,6.011936753153877e-22,4.5350716860941473e-22
2.0971510000000003e-09,0.27753360828515194,89.099999999999994,0.0,0.0,0.0,0.99999999999999301,11.0,2.7859225103856623e-15,6.7247928085346217e-16,2.7832665514866484e-15,2.6913344242705256e-15,2.7071598892016065e-15,7.4277858646282192e-16,7.5850557818935486e-16,2.0743665342447656e-16,1.7401408824795718e-16,8.6923622824232079e-17,8.9816950065744511e-17,4.5590996993726763e-17,7.5557129507834809e-17,3.7549207580482772e-17,4.9709743749792106e-17,3.3733571093629822e-17,3.3545072009089027e-17,3.7533538272976477e-17,1.3581994589142373e-17,4.1817161114374387e-18,3.2603254098377266e-17,9.0409759006592616e-18,2.4840931514679712e-20,3.7020086905857745e-19,8.2688112071014942e-21,1.4736454531847072e-20,9.6641424109411367e-21,3.2077810907627417e-21,2.3221336388533161e-21,7.4851159145002932e-22,1.5044094594834771e-19,3.8526936551583083e-20,5.0759115671455587e-20,1.9531837802884695e-24,1.1096377642508104e-22,5.8378828098525158e-24,1.1096377642508104e-22,3.7683539055917718e-19,4.7733646668957904e-21,3.5149391595196883e-21
