Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332)
2.988463804305919e-15,0.001598924086487788,2.2569693851221285e-32,2.1089095477934547e-27,7.9754556760534576e-23,2.2569498967915706e-32,1.1345505657465447e-20,1.9409403135191263e-32,8.1583750568607926e-60,4.3534865588367807e-49,1.09288531532312e-49,4.1382283467163166e-46,7.6357610982281726e-41,8.5391394234037523e-26,1.7468951037790843e-38,2.5752391697733982e-56,1.4945608774846775e-51,2.164026307819913e-40,2.5767940930796606e-52,3.6420888814697038e-97,8.1289531788047536e-68,3.169256976861977e-69,1.5905216251404986e-83,1.0969958820338247e-59,4.1981145880648325e-67,6.0958761507033758e-59,7.386543546532095e-50,1.9144400087874287e-39,5.0107698565671671e-75,3.6416786896136307e-81,1.2762835448050775e-73,6.3786707609133266e-76,4.6180356937060991e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999994739082,0.108803,0.0001,2.6397415987225314e-14,2.4935976214000465e-13,2.4935982832555047e-13,6.0102239480727483e-19,2.8047699657856534e-18,9.6736107420083362e-16,2.281283656444431e-18,9.2870490217150062e-26,5.8036924017108969e-26,6.6261815344919834e-30,3.7337127587292029e-23,1.0920914657935652e-18,9.7574376824813431e-22,1.1328808870762816e-30,1.1396732508282672e-34,2.088113097681345e-37,2.5670291912381923e-40,7.9725712820319226e-19,7.1166430383683738e-47,1.5227374630307224e-52,2.0885328249513158e-55
5.979524015044771e-15,0.001598924086487788,9.0336644963808787e-32,8.4409675275654836e-27,1.5957472970162888e-22,9.0335022690441189e-32,2.2850342954290302e-20,7.8129420102298728e-32,3.2654495951919314e-59,4.4266494798534837e-49,4.374386634628288e-49,1.657661937732442e-45,1.5278073236920827e-40,1.708569391491691e-25,6.9921316152717489e-38,2.0617559734354312e-55,1.1965559976998443e-50,8.6617431617392737e-40,2.0630848563869083e-51,2.9954640696499022e-96,3.3313439940468298e-67,1.2987935289358834e-68,1.308125094757328e-82,4.4956226991638106e-59,6.304168056897203e-66,4.881641386726658e-58,2.9565341299221906e-49,1.5326876581341602e-38,4.0116153261563891e-74,2.9952076791320527e-80,1.0496803022139889e-72,1.0227554977765204e-74,1.479979387429721e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999989473589,0.10880299999999997,0.0001,5.2817766282165683e-14,4.9893149109543406e-13,4.9893068850088003e-13,1.319000907557583e-18,1.1226261838967793e-17,1.9316932771211498e-15,9.1273774475926412e-18,4.4214155265832549e-25,2.4648332640540235e-25,5.305025782984601e-29,1.4944460607312964e-22,4.3637214876298679e-18,3.9054862247940872e-21,7.9636272736407905e-30,9.1242295789714968e-34,1.669712554894224e-36,4.1057177901994173e-39,3.1856379895635868e-18,2.2765777422750647e-45,9.7425361262920615e-51,1.3362522730865843e-53
1.1961644436522475e-14,0.001598924086487788,3.6145667090191218e-31,3.3773531502086674e-26,3.1920404568518806e-22,3.6144342608241108e-31,4.6308620578316632e-20,3.161506594672253e-31,1.3065839289650602e-58,4.4641971112186347e-49,1.7503222514661076e-48,6.6340700040700041e-45,3.0562448461594534e-40,3.4178791505316083e-25,2.7977623457842627e-37,1.6500294580096071e-54,9.5760611844679466e-50,3.465824166389295e-39,1.6512273969128459e-50,2.4310435992875289e-95,1.3492787556263274e-66,5.2603885989772737e-68,1.0616224825186657e-81,1.8208411416331834e-58,9.7560269090570581e-65,3.9072860642620078e-57,1.1829921343588421e-48,1.2265705308463634e-37,3.2104357356835583e-73,2.4309637450870142e-79,8.5187877499848279e-72,1.6377501408872626e-73,4.7394633523643259e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999978942603,0.10880299999999993,0.0001,1.0565846679953747e-13,9.980612703895245e-13,9.9805555911511549e-13,2.7609904570507883e-18,4.4918650599130355e-17,3.848824016548389e-15,3.6491818288553732e-17,1.9476586625115918e-24,1.0159941902738748e-24,4.2457154778941888e-28,5.9796366845120141e-22,1.7400913624093783e-17,1.5626784759709043e-20,5.1124836077022177e-29,7.3020219928627775e-33,1.3330117799808841e-35,6.5562753395635257e-38,1.2703150659658037e-17,7.2711135438726903e-44,6.2234471791817088e-49,8.5358693400638706e-52
2.3925885279477883e-14,0.0015989240864877875,1.4460014555816644e-30,1.3510544974524393e-25,6.3841856473075261e-22,1.4458944093706153e-30,9.5019480577258728e-20,1.2930669452128579e-30,5.2270164950167228e-58,4.4834500820613103e-49,7.0024115631675368e-48,2.6541443274591234e-44,6.11302027325608e-40,6.8364941607728356e-25,1.1192862707684983e-36,1.3202712355097125e-53,7.6622665248025237e-49,1.3865542823782211e-38,1.3214448291562342e-49,1.9593504966963391e-94,5.4318251241629486e-66,2.117643835599294e-67,8.5560683294014649e-81,7.3302055776021684e-58,1.5344946254987718e-63,3.1266115504389209e-56,4.7326858571212706e-48,9.8137014749063979e-37,2.5687151842855581e-72,1.9594863634712189e-78,6.8656241808576733e-71,2.6212768983116687e-72,1.5171890317393032e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999957880683,0.10880299999999966,0.0001,2.1133986754424538e-13,1.9962662925908207e-12,1.9962379067513557e-12,5.6458089020600157e-18,1.7969569476310749e-16,7.6374993323399587e-15,1.4575492362111396e-16,8.1931183530526929e-24,4.1210624923036683e-24,3.3973495484662245e-27,2.3921694824922302e-21,6.9142196576602059e-17,6.2515355351773302e-20,2.9181053176989241e-28,5.8425134380863433e-32,1.0614227828192121e-34,1.0442761190016867e-36,5.0475725529719995e-17,2.3164389243750725e-42,3.9654963409394728e-47,5.4389484371484373e-50
4.785436696538869e-14,0.001598924086487786,5.7839919964363443e-30,5.4038045022816309e-25,1.276671204519289e-21,5.7831313379594278e-30,1.9961756290803898e-19,5.398841231959855e-30,2.0908408021084403e-57,4.4936467484151814e-49,2.8011794164658661e-47,1.0617180402248495e-43,1.2226172682067406e-39,1.3673706543570222e-24,4.4775028096289882e-36,1.0563126284617962e-52,6.1303356179174672e-48,5.5466601482870195e-38,1.0575955102601786e-48,1.5736771780205107e-93,2.1800009929832571e-65,8.4985689214998366e-67,6.8714566417328674e-80,2.941894312255718e-57,2.4339997234331975e-62,2.5015918068261041e-55,1.8931860170039862e-47,7.8505447973374049e-36,2.0549734267462909e-71,1.5740879676633825e-77,5.5137082658376747e-70,4.1945606226605657e-71,4.8558759799753046e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999915756862,0.10880299999999868,0.0001,4.2270266787351831e-13,3.9924594266717742e-12,3.9923330704758099e-12,1.1414902398375147e-17,7.1877602922873912e-16,1.503679021854112e-14,5.8118670419892179e-16,3.3621499691167916e-23,1.6560027310269574e-23,2.7183490030693382e-26,9.5688644280608628e-21,2.7287977704161063e-16,2.5006620093068713e-19,1.4738571603616109e-27,4.6741148110151244e-31,8.4103180778093263e-34,1.6554159245514363e-35,1.9920982280950107e-16,7.3451609466711772e-41,2.5150048831466767e-45,3.4495106924948658e-48
7.178284865129951e-14,0.0015989240864877842,1.229056568573999e-29,1.1482106344312215e-24,1.9147474993886687e-21,1.2288101718832153e-29,3.1139115317620345e-19,1.1805349265984026e-29,4.4429440292967518e-57,4.4941849571840972e-49,5.9526307071578954e-47,2.256151824427513e-43,1.8338926671465803e-39,2.051090168232297e-24,9.5149115807723041e-36,3.0204603893555413e-52,1.7529258081601256e-47,1.1786922822472282e-37,3.0247830529470405e-48,4.5047003183841719e-93,4.6373228372125167e-65,1.8077731631056639e-66,1.9668954860960969e-79,6.258030947141396e-57,9.1887301758506586e-62,7.4268445969056982e-55,4.0230604618920536e-47,2.2446290963369182e-35,5.8757651164309579e-71,4.5064541394653939e-77,1.5782154827070597e-69,1.5992070544841823e-70,2.3232219124792459e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999873633057,0.10880299999999721,0.0001,6.3406546704264848e-13,5.9884368748839735e-12,5.9881587454663356e-12,1.7183374228703849e-17,1.5273397961987441e-15,2.2262205575441089e-14,1.2322996805052465e-15,7.1985348634913522e-23,3.5192660281693273e-23,7.7734321851711582e-26,2.0333457774060404e-20,5.7451648499561005e-16,5.3138061871158079e-19,3.3783071338264355e-27,1.3364816815872119e-30,2.3915811328989068e-33,6.0658429697512874e-35,4.1941300457879344e-16,3.3410582856108947e-40,1.3774494493835676e-44,1.8892732609194813e-47
9.571133033721032e-14,0.0015989240864877812,2.0965404837125158e-29,1.9585400390243382e-24,2.5526475027220018e-21,2.0960204276563026e-29,4.3033939924881633e-19,2.0661530529407256e-29,7.5789228174016997e-57,4.5043251076409552e-49,1.0154588662426601e-46,3.8486898210909044e-43,2.4451282267418581e-39,2.7348079970642297e-24,1.6231508446670489e-35,6.3710987147128335e-52,3.6974594252591013e-47,2.0107337099643187e-37,6.3817351485716245e-48,9.5082620602465801e-93,7.9153213368662758e-65,3.0855578218261442e-66,4.1513743729567828e-79,1.0681664318296602e-56,2.3888259965262112e-61,1.6182971741217133e-54,6.8628702500035812e-47,4.7342717554988429e-35,1.2393250153730079e-70,9.5132214776646576e-77,3.3309264767689002e-69,4.3028051199971031e-70,7.6892596165891104e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999831509305,0.10880299999999525,0.0001,8.4542826505163607e-13,7.9841998546889627e-12,7.9837149745302286e-12,2.2951226197717513e-17,2.6053441888406631e-15,2.9317831294459032e-14,2.0978763896191233e-15,1.2328261244672786e-22,5.998399979918877e-23,1.6397874064700985e-25,3.4685566802932299e-20,9.7175179422721286e-16,9.0644853369346535e-19,6.0086929450910207e-27,2.8189588293950078e-30,5.0193684759153077e-33,1.5322284782269918e-34,7.0940582275387554e-16,9.925118874898804e-40,4.7222466860013747e-44,6.4769148387305459e-47
1.4356829370903195e-13,0.001598924086487772,4.3402884487960292e-29,4.0542785862816291e-24,3.8280339295419334e-21,4.3388671666958025e-29,6.8507173475839836e-19,4.4586946047109477e-29,1.5690315911100743e-56,4.8029130091841363e-49,2.1023967161677553e-46,7.9680112957332391e-43,3.6675058534844249e-39,4.1022398221228258e-24,3.3605641373394238e-35,1.740163385977802e-51,1.0098963080047982e-46,4.1630138444724751e-37,1.7439896819034977e-47,2.5993060040184507e-92,1.6397690817777515e-64,6.3918896298524768e-66,1.1346901988845085e-78,2.2128555677821889e-56,8.7546268950237412e-61,4.6974858222388925e-54,1.4208617478549979e-46,1.2929283108741193e-34,3.3847518410753643e-70,2.6013593031873104e-76,9.10382103724465e-69,1.7403201654211284e-69,4.4865727886808545e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999747261904,0.10880299999999023,0.0001,1.2681538583468277e-12,1.1975226219791832e-11,1.1974195192328226e-11,3.4485486114617016e-17,5.3935808643129923e-15,4.3042897072789528e-14,4.3286133349765583e-15,2.5622470037962264e-22,1.2391310607652206e-22,4.4796897442595811e-25,7.180828670806913e-20,1.9836609403802241e-15,1.8765870510231985e-18,1.2966198507013321e-26,7.6990757883227359e-30,1.3596120783548068e-32,5.3219889015081673e-34,1.4481276287301516e-15,4.3193014487584662e-39,2.5268838460665096e-43,3.4658160631415131e-46
1.9142525708085359e-13,0.0015989240864877619,7.3811212500581168e-29,6.8942143423737842e-24,5.1027725129601983e-21,7.3781465539960904e-29,9.6618079232433552e-19,7.8762122660646156e-29,2.6683568341559523e-56,1.0548441969965775e-49,3.5756399852859971e-46,1.3551092525126627e-42,4.8897369983170008e-39,5.469665777609884e-24,5.7154714848922707e-35,3.6410244255442957e-51,2.1130422786789782e-46,7.0802357659196936e-37,3.6507777042448828e-47,5.4423914150096223e-92,2.7903722886587307e-64,1.0876399904988812e-65,2.3754306460812022e-78,3.7655856082179314e-56,2.2683847462607295e-60,1.027293658144987e-53,2.4164910252364624e-46,2.7049524006530365e-34,7.0815789342618064e-70,5.4478899445738436e-76,1.9057201591239998e-68,4.7139774762646255e-69,1.492752983782178e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999663014659,0.10880299999998341,0.0001,1.6908794473757619e-12,1.5965473922312149e-11,1.5963684916859906e-11,4.6017495385830631e-17,9.1722913164172994e-15,5.6176153627199954e-14,7.3379956481398357e-15,4.367105034039056e-22,2.1020239540671954e-22,9.3747311203002201e-25,1.2212043517131253e-19,3.3287832005613623e-15,3.1914077431090919e-18,2.257012211204386e-26,1.6108281334027882e-29,2.8239339183649727e-32,1.3223929554072501e-33,2.4301042706954276e-15,1.2528160106295937e-38,8.3905377461267163e-43,1.1508283449876555e-45
2.392822204526752e-13,0.0015989240864877478,1.1275761478375637e-28,1.053113056273695e-23,6.3768173352573408e-21,1.1270345259044336e-28,1.2755449778198994e-18,1.2491801345759379e-28,4.076393712298745e-56,5.7334513794986949e-48,5.4627798270706863e-46,2.0702250031394958e-42,6.1118112155991937e-39,6.8370857072998716e-24,8.7319770565615388e-35,6.6283683436188679e-51,3.8467054334087869e-46,1.081703496489818e-36,6.6493928909599326e-47,9.9096750462910844e-92,4.2576944330705933e-64,1.6597525702481415e-65,4.3245182304924052e-78,5.7457253809903881e-56,4.9570792463667549e-60,1.927347082445469e-53,3.6918075579855937e-46,4.9237201398576079e-34,1.2890870371993495e-69,9.9220841443929822e-76,3.4691069960672801e-68,1.0589584263135986e-68,4.0250302380586359e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999578767571,0.10880299999997474,0.0001,2.1136050318337061e-12,1.9954895328246497e-11,1.9952113684584664e-11,5.7547116340232592e-17,1.4011937696730541e-14,6.8700549810125347e-14,1.1173656082616353e-14,6.6812227405440101e-22,3.2021972680722247e-22,1.7069528700571702e-24,1.865616045917964e-19,5.0167190770488912e-15,4.8754646879952654e-18,3.4983375585744931e-26,2.9323031491736926e-29,5.1027147739005356e-32,2.7897572827972133e-33,3.6623443821978701e-15,3.0280220741373182e-38,2.2885529558114088e-42,3.1389344994748264e-45
