Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107)
6.403066322766521e-16,0.0026841236396237525,1.4244526360643739e-31,7.2357458043360785e-27,1.5640968555545516e-21,1.4244515381446939e-31,2.9921385378111244e-20,1.4838472829277857e-32,3.270036499673194e-57,1.5192523249545886e-45,1.9198384696783284e-48,1.0128776947071874e-44,1.6821652410287867e-38,2.4886226852660301e-25,2.0960222756233745e-38,6.2954662650296386e-56,3.762063916220019e-51,4.6653988428061922e-40,1.5964626619946785e-52,6.8049709964124539e-94,8.0787579376187282e-66,3.3566370871715047e-66,2.0923968177153817e-81,3.0221954875329357e-58,2.8042921547571252e-66,1.2280224440928373e-58,2.0682375540628628e-48,1.7683980082292023e-39,1.209142695053121e-72,1.0503512321030702e-78,2.89721084963451e-72,5.730844703384679e-75,3.4155525331311618e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999995546578,0.108803,0.0001,3.0696683598349307e-14,2.0732181778142515e-13,2.0732178629617732e-13
1.281169569186038e-15,0.0026841236396237525,5.7014974892545361e-31,2.8961724741094717e-26,3.1295380689171194e-21,5.7014955971988378e-31,5.9887435781379787e-20,5.9408763748251541e-32,1.3088654041456949e-56,2.0579107104082453e-45,7.6843563661629922e-48,4.456453431511512e-44,3.3657896303099669e-38,4.9794073131765043e-25,8.3895512098622785e-38,5.0402004620740549e-55,3.0119381111040764e-50,1.8673753108272632e-39,1.2781503199701669e-51,7.8609989634590606e-93,4.5760014498244056e-65,1.9012779060899652e-65,2.4170908734716625e-80,1.7118437065933103e-57,2.3397586745386035e-65,9.8341380124740205e-58,8.278335826709596e-48,1.4157869892144518e-38,9.6804786883347014e-72,1.2133506255708824e-77,3.3467940991852962e-71,1.0162887346834148e-73,1.0925369297900112e-87,0.88129999999999997,0.0,0.0,0.0,0.009889999999108931,0.108803,0.0001,6.1420036759900166e-14,4.1482375875060601e-13,4.1482369573407222e-13
2.5628954430048098e-15,0.0026841236396237525,2.2813229595474319e-30,1.1588370007551329e-25,6.2603768431095441e-21,2.2813226607611097e-30,1.1987556801354873e-19,2.3784210102639214e-31,5.2371553544840209e-56,2.4174749554147705e-45,3.0747428752392685e-47,1.8413281199864003e-43,6.7330314060162994e-38,9.9609759778590458e-25,3.3569130460601029e-37,4.0336914486577055e-54,2.4104650495848853e-49,7.4719330975415539e-39,1.0229238740756679e-50,7.7802012025302188e-92,2.2285858899615196e-64,9.2595137981264385e-65,2.3922291582560248e-79,8.3369526259210496e-57,2.0239647906461238e-64,7.8712942507170592e-57,3.3124091349967886e-47,1.1330508669675603e-37,7.7473010730374969e-71,1.2008859071855031e-76,3.3123685853940027e-70,1.6869034748854043e-72,3.4954100059332353e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999982174774,0.108803,0.0001,1.2286674304035948e-13,8.2982764061419673e-13,8.2982751447901627e-13
5.1263471906423535e-15,0.0026841236396237525,9.1266308886883586e-30,4.6360287194022824e-25,1.252187978623624e-20,9.126630272169398e-30,2.4007595818026175e-19,9.5256078326211198e-31,2.0951942528720531e-55,2.6328444248326816e-45,1.2300968812526602e-46,7.4368800380250841e-43,1.3467486946121378e-37,1.9924110942667956e-24,1.3429836254159477e-36,3.2275648322209791e-53,1.9287369472923079e-48,2.9892593702150562e-38,8.1851878116335145e-50,7.0200171601218695e-91,9.9444635192814068e-64,4.131796721425124e-64,2.1584504647355113e-78,3.7201402747765666e-56,1.8618390189498998e-63,6.2986269420505676e-56,1.3251765455922034e-46,9.0659909541320929e-37,6.1989795809389864e-70,1.0835583611275049e-75,2.9886678481089266e-69,2.7300524492857313e-71,1.1184170951265407e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999964345685,0.108803,0.0001,2.4576015543070845e-13,1.659835404042295e-12,1.6598351514455223e-12
1.025325068591744e-14,0.0026841236396237525,3.6508329204865635e-29,1.8545033134362076e-24,2.5044187290436404e-20,3.6508325194273603e-29,4.8137324132197158e-19,3.8188545453371515e-30,8.3813878022174662e-55,2.7531186236350495e-45,4.9207841109077288e-46,2.9827590477343507e-42,2.6936285982033345e-37,3.9850371414040803e-24,5.3723702542522175e-36,2.5822951384650131e-52,1.5431339446840633e-47,1.195800734098418e-37,6.5491602664945652e-49,6.0023997740283567e-90,4.2219628746212373e-63,1.754161648059787e-63,1.8454845331581796e-77,1.5794008493304559e-55,1.8774239881967742e-62,5.0395344333418526e-55,5.3011151964923703e-46,7.2532641310126015e-36,4.9595931600102801e-69,9.2649506376184133e-75,2.5553200523082722e-68,4.3824371478851124e-70,3.5787486100160228e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999928687508,0.108803,0.0001,4.9154697952912802e-13,3.319850929702157e-12,3.3198504232850043e-12
2.0507057676467615e-14,0.0026841236396237525,1.4602994776107329e-28,7.4178423259924897e-24,5.0086009082424016e-20,1.460299070154344e-28,9.6755381882878479e-19,1.5342462267572621e-29,3.3526345008571152e-54,2.8172365317591604e-45,1.9683906404316497e-45,1.1939603837018562e-41,5.387343588412173e-37,7.9702854523644022e-24,2.1490343813043416e-35,2.0659311485570302e-51,1.234562366674011e-46,4.7833949381201112e-37,5.2401981899961853e-48,4.9779083818442044e-89,1.743304395607409e-62,7.2430869421723743e-63,1.5303609778804033e-76,6.5215553164012063e-55,2.1225361318630909e-61,4.0318746104882473e-54,2.1205144448967507e-45,5.8025401919463994e-35,3.9677646678406116e-68,7.6837175579893162e-74,2.1189820289205035e-67,7.0182311873586841e-69,1.1451676526414626e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999857371152,0.108803,0.0001,9.8312062499685315e-13,6.639881976236541e-12,6.6398809585898473e-12
4.101467165756796e-14,0.002684123639623753,5.8405722021362175e-28,2.9668191331364804e-23,1.0015848229459339e-19,5.8405683494437897e-28,1.9542590186580681e-18,6.1902638127099753e-29,1.3410354519452539e-53,2.8506559338399377e-45,7.8736979647753867e-45,4.7766897244323641e-41,1.0774594306901177e-36,1.5940766940898082e-23,8.5963030952599367e-35,1.6527792925159909e-50,9.8766790328021997e-46,1.9133947945527656e-36,4.193252074667329e-47,4.0595787084140847e-88,7.0904890322515359e-62,2.9458948529766955e-62,1.2478155884701199e-75,2.6524923909252082e-54,2.6909279229319608e-60,3.2255887511887877e-53,8.482087002183254e-45,4.6415883157226921e-34,3.1741299297406605e-67,6.2663824021080066e-73,1.7277470386015763e-66,1.1231804204265953e-67,3.6644719306998762e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999714738441,0.108803,0.0001,1.9662679050158478e-12,1.3279944050163947e-11,1.3279941995703048e-11
8.202989961976866e-14,0.0026841236396237525,2.3356572620639117e-27,1.1864372981949117e-22,2.002587671735642e-19,2.3356538939475273e-27,3.9850455969559134e-18,2.5186783266959854e-28,5.3638313372385962e-53,2.8682232739149239e-45,3.1494913928710259e-44,1.9107080112587325e-40,2.154837874388574e-36,3.1881669383378798e-23,3.4385487585119348e-34,1.322231355559462e-49,7.9013500680879612e-45,7.6536401644321234e-36,3.3562319119328185e-46,3.2816462633125442e-87,2.861112842063147e-61,1.1886588339688286e-61,1.0083424937813231e-74,1.0703182825087446e-53,3.7413420507825737e-59,2.5804910012979328e-52,3.3927546411612265e-44,3.7124287529622442e-33,2.539082664348989e-66,5.0658217655294703e-72,1.3961368788881355e-65,1.7971511001697054e-66,1.1726120479968915e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999429473036,0.108803,0.0001,3.9325624213880154e-12,2.6560068121453262e-11,2.6560063935943487e-11
1.6406035554417006e-13,0.0026841236396237525,9.337916966562778e-27,4.7433556279469591e-22,4.0028085014253705e-19,9.3378887895193564e-27,8.2761234631220287e-18,1.0415530292567716e-27,2.1452514611052528e-52,2.8782253331479341e-45,1.259787098812018e-43,7.642375642506607e-40,4.3093079999600145e-36,6.3763232121697964e-23,1.3754205322447946e-33,1.0577789276359836e-48,6.3209784782972265e-44,3.0614581418813509e-35,2.6875461650289438e-45,2.6417246461694406e-86,1.1499372827643387e-60,4.7770388582676507e-61,8.1116239764201365e-74,4.3018187866793908e-53,5.5347655998596125e-58,2.0643758005212751e-51,1.3570170303957683e-43,2.9685441151706063e-32,2.0308759970941596e-65,4.0784006940338309e-71,1.1230469991117508e-64,2.8752844341979466e-65,3.7522729083877397e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899998858942243,0.108803,0.0001,7.8651512794690737e-12,5.3120315957769471e-11,5.3120307280480237e-11
3.281212673929729e-13,0.0026841236396237525,3.7313740456798062e-26,1.8954156676348832e-21,7.9961234179123358e-19,3.7313510082924477e-26,1.7776297993844085e-17,4.4394489724928141e-27,8.5786924935172071e-52,2.8855236205581044e-45,5.0390342708325807e-43,3.056501777720918e-39,8.6171015090949429e-36,1.2752538894564036e-22,5.5016483822257296e-33,8.4620575716338037e-48,5.0565752687958561e-43,1.224575577035034e-34,2.1541147976673348e-44,2.1238976888419116e-85,4.6139737629513703e-60,1.9163935355701278e-60,6.5133507136773824e-73,1.7260488299806004e-52,8.4943258787685519e-57,1.6514538386026175e-50,5.4273482677612782e-43,2.372579069920784e-31,1.6240623720801419e-64,3.2796345168806911e-70,9.0155946243793432e-64,4.599764121914425e-64,1.200672441610106e-75,0.88129999999999997,0.0,0.0,0.0,0.0098899997717880675,0.10880299999999998,0.0001,1.5730328296978134e-11,1.0624081040534869e-10,1.0624079182577502e-10
6.562430910905785e-13,0.002684123639623753,1.4895183855283516e-25,7.5662650180520133e-21,1.5954347746197445e-18,1.4894997802467e-25,4.0448721929737676e-17,1.9953438904350206e-26,3.429614379551404e-51,2.8937637587213327e-45,2.0155147018285931e-42,1.2222313836713795e-38,1.7228104000383881e-35,2.5504582745751819e-22,2.2006239563435852e-32,6.7693377151237834e-47,4.0449102525035164e-42,4.8982222214839727e-34,1.7298086229084775e-43,1.7095272921640284e-84,1.8509418720947584e-59,7.6851431951391193e-60,5.2313930434911642e-72,6.924218074948573e-52,1.330127118273617e-55,1.3210803461313278e-49,2.1703554173097456e-42,1.8944548266941169e-30,1.298223450331441e-63,2.6408857019631353e-69,7.2351102956506319e-63,7.3573353722910124e-63,3.8418276488085364e-74,0.88129999999999997,0.0,0.0,0.0,0.0098899995435757712,0.10880299999999997,0.0001,3.1460679537384481e-11,2.1248179440026687e-10,2.1248175234123243e-10
1e-12,0.0026841236396237525,3.8176233044426821e-25,1.9392274717836565e-20,2.4232687534739758e-18,3.8175363300252175e-25,7.1895591360555528e-17,6.0592977478398085e-26,8.8113594065895829e-51,2.9007235832045089e-45,5.1824233100330773e-42,3.1413834604332491e-38,2.6239827125006177e-35,3.8863452433317118e-22,5.6586931339307206e-32,3.1588333523673508e-46,1.8873719759236262e-41,1.2595302908541133e-33,8.1272289233960069e-43,8.0515228327506479e-84,4.7757058816732548e-59,1.9817617487930267e-59,2.4578303380850791e-71,1.7865514571156917e-51,1.1659034008558567e-54,6.164476078410376e-49,5.5785622851064199e-42,8.8109015747014072e-30,6.0499166055459178e-63,1.2447722126529133e-68,3.389641225347672e-62,6.5128088760025098e-62,6.6216866871840986e-73,0.88129999999999997,0.0,0.0,0.0,0.009889999304489137,0.10880299999999993,0.0001,4.7940580009080715e-11,3.237851770189891e-10,3.2378510266173255e-10
1.3124867384857896e-12,0.0026841236396237525,5.9339499704936519e-25,3.0142520326313122e-20,3.1757980361015305e-18,5.9338008462030945e-25,1.0048186674684616e-16,9.7535702216238548e-26,1.3703548937257037e-50,2.9070503007098563e-45,8.0612510991238572e-42,4.8859580641209008e-38,3.443179038265871e-35,5.1007119979571189e-22,8.8021957974573286e-32,5.4149646043358031e-46,3.2353612666950807e-41,1.9592211414005443e-33,1.394270187131248e-42,1.3816612786161673e-83,7.4344159832195389e-59,3.0846449849568612e-59,4.2165303829157481e-71,2.7811525744439361e-51,2.1048362172197058e-54,1.0567287764079427e-48,8.6767384107338449e-42,1.5098187241343635e-29,1.036936752529302e-62,2.1362470455220198e-68,5.813244381140865e-62,1.1764367124903533e-61,1.2291790200613266e-72,0.88129999999999997,0.0,0.0,0.0,0.0098899990871512446,0.1088029999999999,0.0001,6.2921370839753774e-11,4.2496374278892113e-10,4.2496363907148059e-10
2.624974033276212e-12,0.0026841236396237525,2.3544963559461416e-24,1.1960069599517342e-19,6.2920338408751703e-18,2.3543776171856918e-24,2.7930132374883626e-16,5.3442888326821591e-25,5.4695171461266644e-50,2.9320398109223078e-45,3.223850767995605e-41,1.9520108187382062e-37,6.8766044475086564e-35,1.020059893547745e-21,3.5206348365045797e-31,4.331157432747113e-45,2.587379699002119e-40,7.8363360685353139e-33,1.1320905598833723e-41,1.1266908810871233e-82,2.9958476659630134e-58,1.2412988916334604e-58,3.4403169056899278e-70,1.1207214483946926e-50,3.3484198158770794e-53,8.4516495207533558e-48,3.4669525138272612e-41,1.1987616736618639e-28,8.2692963867160635e-62,1.7452490637168569e-67,4.6863983393336857e-61,1.8799404962198656e-60,3.9320578487765474e-71,0.88129999999999997,0.0,0.0,0.0,0.0098899981743024515,0.10880299999999972,0.0001,1.2584270873074804e-10,8.4992756115974493e-10,8.4992727532820246e-10
3.9374613280666344e-12,0.0026841236396237525,4.9755353734323493e-24,2.5274088425441842e-19,9.3644056728546966e-18,4.9751970741131232e-24,5.1687392770972039e-16,1.3521186286771471e-24,1.1605355525421039e-49,2.9504755712969177e-45,6.8497418822898257e-41,4.1445427837927285e-37,1.0302733529821402e-34,1.5299865051420916e-21,7.4809903475323817e-31,1.2383080846644583e-44,7.3967953790446283e-40,1.6651408305591228e-32,3.2688740026370926e-41,3.2602493128473746e-82,6.3979883959614606e-58,2.6484081878527419e-58,9.9782618355566334e-70,2.3934337193807581e-50,1.2649194299885344e-52,2.5087203954322851e-47,7.3618871745552971e-41,3.4128978149647723e-28,2.3602195188262584e-61,5.0566410281407576e-67,1.3458583983169809e-60,7.1632695058806768e-60,1.8809694752199626e-70,0.88129999999999997,0.0,0.0,0.0,0.0098899972614539186,0.10880299999999948,0.0001,1.8876400190802726e-10,1.2748913011219542e-09,1.2748907743796612e-09
5.249948622857057e-12,0.0026841236396237525,8.4444076189439177e-24,4.2894821821280849e-19,1.2393531448294946e-17,8.4436965499243621e-24,8.1319965822398276e-16,2.6543805162962111e-24,1.9770189166477599e-49,2.9753629034784747e-45,1.1683384714136478e-40,7.0646422785071889e-37,1.3721581792409937e-34,2.0398510042684943e-21,1.2761125400096907e-30,2.6116987985037194e-44,1.5599127578828108e-39,2.8404080113730592e-32,6.9689914395335868e-41,6.9609741500027814e-82,1.0963807378257434e-57,4.5344175915184405e-58,2.1368549691106541e-69,4.1014682502670778e-50,3.2895938653990089e-52,5.4655804074373087e-47,1.2550137396742571e-40,7.1706384702867136e-28,4.9702181408093137e-61,1.0814084711728265e-66,2.8501541487623106e-60,1.9261300628475901e-59,6.2243751427155349e-70,0.88129999999999997,0.0,0.0,0.0,0.0098899963486056459,0.10880299999999919,0.0001,2.5168525037162079e-10,1.6998549626734279e-09,1.6998541362243679e-09
7.874923212437901e-12,0.002684123639623753,1.73350825370327e-23,8.8056533241083042e-19,1.8352169951510491e-17,1.7333152175023599e-23,1.5437410468440002e-15,6.7492935598161057e-24,4.0838271236550054e-49,3.1996955727970082e-45,2.4183949463988742e-40,1.4607604241098457e-36,2.0542238655690252e-34,3.0594341379324745e-21,2.6418338452721192e-30,7.1322258359466631e-44,4.259307568251952e-39,5.8802694369465906e-32,1.9484569161976316e-40,1.9484994676158047e-81,2.2864861715700661e-57,9.4429383711398831e-58,6.017663112342772e-69,8.5535527154427308e-50,1.2059237376130768e-51,1.5860528340858602e-46,2.5955067573439763e-40,1.945829405357809e-27,1.3538210034891789e-60,3.03967130744058e-66,7.8377926119998829e-60,7.7799166288600215e-59,3.6302138324429705e-69,0.88129999999999997,0.0,0.0,0.0,0.009889994522909713,0.10880299999999844,0.0001,3.7752764235861589e-10,2.5497821017433875e-09,2.5497805378920681e-09
1e-11,0.0026841236396237525,2.6744468958725395e-23,1.3585312703064947e-18,2.3063232504374458e-17,2.6740916376124561e-23,2.2934144042943311e-15,1.2061366094576992e-23,6.3313239893822749e-49,1.5847925589359836e-45,3.7554626730615684e-40,2.2664453477438558e-36,2.6044458357143145e-34,3.8846812966751501e-21,4.1028625799392924e-30,1.3185712086818452e-43,7.8735343921140862e-39,9.1322707741384701e-32,3.6664907192159856e-40,3.6714298353012537e-81,3.579645214233853e-57,1.476214230294889e-57,1.1428214489013161e-68,1.3391152075522137e-49,2.6791730623225014e-51,3.0444416942405663e-46,4.0277121987822833e-40,3.5803039020132977e-27,2.4980589502289551e-60,5.7455101219580221e-66,1.4575819504776067e-59,1.7953784447886469e-58,1.0047821629461603e-68,0.88129999999999997,0.0,0.0,0.0,0.0098899930448983729,0.10880299999999771,0.0001,4.7940460185916074e-10,3.237849668979951e-09,3.237847349789085e-09
1.0499897802018746e-11,0.0026841236396237525,2.9245442806195161e-23,1.4855725288514374e-18,2.4156785166905773e-17,2.9241426051605301e-23,2.4903384670324374e-15,1.3570567770878971e-23,6.9304659241958924e-49,9.7136530988430182e-46,4.1122494207269791e-40,2.4813268013802704e-36,2.7336249693182459e-34,4.0787886232740231e-21,4.4927515447736157e-30,1.4920911832290111e-43,8.9094892069793969e-39,1.0000097450311051e-31,4.1622614407655914e-40,4.1689000989220746e-81,3.9267042715316491e-57,1.6188324123412004e-57,1.2995916547893414e-68,1.4689470857735334e-49,3.1249624370896072e-51,3.4676987283168121e-46,4.4097289389654846e-40,4.0479545424940495e-27,2.8258041961846691e-60,6.5276873591357605e-66,1.6511878097441427e-59,2.1053576971326252e-58,1.2075213790249647e-68,0.88129999999999997,0.0,0.0,0.0,0.0098899926972147376,0.10880299999999751,0.0001,5.033698699176846e-10,3.3997089524491235e-09,3.3997064349867485e-09
