Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711)
3.428188037064697e-16,0.0019100873448154789,1.5080427238946149e-31,6.9032519981262369e-27,1.8685897161348635e-21,1.5080397490312977e-31,3.8724935910001913e-20,1.6771475786910045e-32,8.5033738302110199e-57,3.4308957377502797e-45,3.7648728279083363e-48,1.2653786535006528e-44,3.0874701960884033e-38,3.2687596919635069e-25,2.5501274326552438e-38,9.432094078493187e-56,3.6828954075891133e-51,6.2986311077973132e-40,1.879682647634865e-52,1.762074452114674e-93,1.1435410987957443e-65,4.6761538948231944e-66,3.3741046361078957e-81,3.3974788359364062e-58,5.3877963349696672e-66,1.7795163170197646e-58,2.8543205938507668e-48,1.4472271711926777e-39,3.149674981563455e-72,1.2631637636521829e-78,3.4149560424094012e-72,7.0468010959999369e-75,4.9028133089238998e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999995353313,0.108803,0.0001,2.2193698600893897e-14,2.1776671816784392e-13,2.1776674660549198e-13,1.4166730112347799e-19,2.6107616956528408e-19,6.9393169450725301e-15,1.8843972906679756e-19
6.859354517254558e-16,0.001910087344815479,6.036075337839148e-31,2.7630910465820315e-26,3.7387890018979898e-21,6.0360697970956497e-31,7.7500692093688897e-20,6.7142700241668163e-32,3.4035628612475856e-56,5.313676570085253e-45,1.5069301790169959e-47,5.9066941632141947e-44,6.1776195943288991e-38,6.540359155321192e-25,1.0207155342167057e-37,7.5514098821573135e-55,2.9485553127532327e-50,2.5210938601882152e-39,1.5048991662794926e-51,2.3190028420218797e-92,7.3869290065709626e-65,3.0206518659077162e-65,4.440508674263155e-80,2.1946683847934079e-57,4.4208464037493345e-65,1.4250561807781093e-57,1.1424716546224952e-47,1.1586563300832767e-38,2.5216521872193822e-71,1.6624035721686093e-77,4.4942709596661029e-71,1.32655191498989e-73,1.5672988863926203e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999990702606,0.108803,0.0001,4.4406679296175279e-14,4.3572215742042464e-13,4.3572216843090445e-13,3.8304902466995157e-19,1.0449832160142468e-18,1.3884567965823972e-14,7.5418355352412225e-19
1.372168747763428e-15,0.0019100873448154789,2.4151997154851955e-30,1.1055892920365931e-25,7.4791459179730349e-21,2.4151987372271138e-30,1.551037536707327e-19,2.687630088145727e-31,1.3618663071785961e-55,6.7676488982735446e-45,6.0296827326719285e-47,2.5083845323024928e-43,1.2357908720637216e-37,1.3083557605322297e-24,4.0841915104883556e-37,6.0434221372727199e-54,2.3597397818999419e-49,1.0087658888871391e-38,1.2043929017248713e-50,2.5061619482552643e-91,3.9200855503831282e-64,1.6029939085747148e-64,4.7989098736622442e-79,1.1646636667901095e-56,3.7098148679727822e-64,1.1406223285811885e-56,4.571371232932612e-47,9.2727090664668712e-38,2.0180834331654174e-70,1.7966003441002831e-76,4.8570085468322331e-70,2.2667706541588817e-72,5.0127855319930875e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999981401192,0.108803,0.0001,8.8832640665979515e-14,8.7163185189061515e-13,8.7163144346625344e-13,9.182509714536653e-19,4.181279241945754e-18,2.7774785279174584e-14,3.0171857209920531e-18
2.7446353398393726e-15,0.0019100873448154789,9.6622459975302969e-30,4.4230207895304523e-25,1.4959693132031303e-20,9.6622442851058197e-30,3.1051607236909352e-19,1.0760652054048817e-30,5.448334644718294e-55,7.7095747106769433e-45,2.4122650416318924e-46,1.0228807339784178e-42,2.471844829268422e-37,2.6169952598420525e-24,1.6339424148052102e-36,4.835654643148019e-53,1.8881494011857495e-48,4.0357200814208943e-38,9.6372323411142395e-50,2.3877564642303075e-90,1.8418381339872381e-63,7.5315937576294886e-64,4.5721321173244909e-78,5.4721304604020606e-56,3.2433365215631443e-63,9.1272863440668742e-56,1.8288433434992192e-46,7.4194846133984194e-37,1.6147658454732874e-69,1.711739921340088e-75,4.6274789955319192e-69,3.7080871097876686e-71,1.6036788817652134e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999962798382,0.10880299999999997,0.0001,1.7768456332255389e-13,1.7434466857638001e-12,1.7434437191526457e-12,2.020119264201376e-18,1.672772142897304e-17,5.5554081039956503e-14,1.2066465043780432e-17
5.4895685239912615e-15,0.0019100873448154782,3.8651140528913675e-29,1.7693072693752716e-24,2.9920121117483336e-20,3.8651135870901876e-29,6.2216548158791602e-19,4.3113173355957138e-30,2.1794973252657304e-54,8.2629594905495211e-45,9.6498400340590855e-46,4.1144190407241544e-42,4.9439372715468184e-37,5.2342734956628467e-24,6.5363005023258876e-36,3.8688889982774932e-52,1.5106614247402666e-47,1.6144191412416299e-37,7.7109327352426708e-49,2.108772142057173e-89,8.0577611760105457e-63,3.2949438102077998e-63,4.0378197090934039e-77,2.3939736918377109e-55,3.0348297726938513e-62,7.3027484586473893e-55,7.3159461974713342e-46,5.9360086035941726e-36,1.2919233052648349e-68,1.5117712189284396e-74,4.0866870228328548e-68,5.9725374278630299e-70,5.1311085668593392e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999925592813,0.10880299999999989,0.0001,3.5538840830356645e-13,3.4870582711493657e-12,3.4870431736089822e-12,4.2340415934132566e-18,6.6915385583279221e-17,1.1110811747133093e-13,4.8235887512959965e-17
1.097943489229504e-14,0.001910087344815478,1.5460297226305337e-28,7.0771567696187939e-24,5.9838311555330232e-20,1.5460294033376095e-28,1.248763304478125e-18,1.7299628584043723e-29,8.7182328221008754e-54,8.5672278735852029e-45,3.8600887242075984e-45,1.6482713858564589e-41,9.8880602683543707e-37,1.0468826915811803e-23,2.6146257204840156e-35,3.0952548737952147e-51,1.2085840774860305e-46,6.457937144698724e-37,6.1697027453217379e-48,1.7815579398221293e-88,3.3837702697065416e-62,1.3836647854440737e-62,3.4110912503388686e-76,1.0053235418562645e-54,3.1318734925253094e-61,5.8425604375405128e-54,2.9264795124426093e-45,4.7488055278811448e-35,1.0335684606192436e-67,1.2772402786035994e-73,3.452353171893924e-67,9.5738948432073651e-69,1.64184632541517e-81,0.88129999999999997,0.0,0.0,0.0,0.009889999985118185,0.10880299999999954,0.0001,7.1079609693704696e-13,6.9742093290375829e-12,6.9741416998217856e-12,8.6635204393134099e-18,2.6766486717532019e-16,2.2219797296073437e-13,1.926807362403332e-16
1.646930126059882e-14,0.0019100873448154776,3.2852368193114381e-28,1.5038608965043665e-23,8.9753836697700768e-20,3.285235858807624e-28,1.8786600489891548e-18,3.6841269449109175e-29,1.852630373532602e-53,8.5783988832178163e-45,8.2027804062049686e-45,3.5035640067474896e-41,1.4832121378187478e-36,1.570337728417161e-23,5.5561448721713082e-35,8.8505970255875796e-51,3.4558332303245968e-46,1.3723277445973364e-36,1.7642974582148108e-47,5.1702521790974864e-88,7.2999370731883359e-62,2.9850151278942892e-62,9.8989384204330875e-76,2.1688229426938156e-54,1.0256520371931904e-60,1.7345399825901039e-53,6.2188175149762406e-45,1.3578409304908684e-34,2.955364297721829e-67,3.7067604126900761e-73,1.001863821513828e-66,3.6511108941384515e-68,7.8547822288160526e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999776771077,0.10880299999999903,0.0001,1.0662037842419838e-12,1.0461288452711376e-11,1.0461139848300411e-11,1.3092980838131706e-17,5.687835364588665e-16,3.332696140637148e-13,4.0905457291792862e-16
2.19591676289026e-14,0.0019100873448154763,5.6040810525609883e-28,2.565342745250517e-23,1.1966669678215446e-19,5.6040789276650013e-28,2.5118556322933623e-18,6.2971774376482519e-29,3.1603637706977905e-53,8.8610337113860056e-45,1.3993056288164408e-44,5.9772555697757274e-41,1.9776120601820935e-36,2.0937924600446436e-23,9.4781869339276181e-35,1.8668588328481954e-50,7.2893946823881828e-46,2.3410438605563236e-36,3.7217338393792682e-47,1.0996992021152962e-87,1.2551125329096202e-61,5.132250615531885e-62,2.1053932376325914e-75,3.7289593454642623e-54,2.4264830134110722e-60,3.7795056018606109e-53,1.0608597415451225e-44,2.8640279465840006e-34,6.2337009867906222e-67,7.8844084938425685e-73,2.130841829935845e-66,9.8249405370043568e-68,2.5996363573643601e-80,0.88129999999999997,0.0,0.0,0.0,0.009889999970236046,0.10880299999999832,0.0001,1.4216114702183773e-12,1.3948295818821657e-11,1.3948037624010299e-11,1.7522353159597748e-17,9.7026642808763663e-16,4.4432304376670478e-13,6.9718081627121254e-16
3.2938900365510154e-14,0.001910087344815472,1.1601982210651461e-27,5.3109619410944206e-23,1.7948616296013758e-19,1.1601976049317328e-27,3.7859887146609591e-18,1.308077274048106e-28,6.543084351746484e-53,1.6780706972131394e-44,2.8970991298883249e-44,1.2375287410350191e-40,2.9663973808369706e-36,3.1407012069024566e-23,1.9623496522737501e-34,5.0990011457656974e-50,1.9909700263240473e-45,4.8468621744754782e-36,1.0167070245952344e-46,3.0269063324130346e-87,2.6113870940459336e-61,1.0678106916311328e-61,5.794584850819432e-75,7.7584726896094006e-54,7.9293604577573022e-60,1.0970834582054151e-52,2.196375344278621e-44,7.8222789996271298e-34,1.7026014444093746e-66,2.1703357701944692e-72,5.8645607710691929e-66,3.9743327842056883e-67,1.5167835282510476e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999553539696,0.10880299999999653,0.0001,2.132426839053157e-12,2.0922142686504771e-11,2.0921597622089165e-11,2.6380884934221001e-17,2.0087654946967356e-15,6.6638717139400844e-13,1.4412857438480836e-15
4.3918633102117713e-14,0.0019100873448154678,1.973098691687117e-27,9.0321222042446903e-23,2.3929583074277833e-19,1.9730973510407299e-27,5.0722521158271832e-18,2.2317062144665842e-28,1.1127969868272529e-52,-7.962943130371617e-44,4.9272187408900038e-44,2.1057861222944449e-40,3.9551599443726517e-36,4.1876088311550248e-23,3.3374533814981514e-34,1.0668850844479014e-49,4.1657856649435963e-45,8.2432691991884739e-36,2.1276397102069532e-46,6.4077258286745693e-87,4.5632267817651783e-61,1.8658561534602247e-61,1.2264852116459739e-74,1.355741951989275e-53,1.9139669948821602e-59,2.3992082987855865e-52,3.7354505716147569e-44,1.6366289973190924e-33,3.5623753925527628e-66,4.5943342293489233e-72,1.2412840084269465e-65,1.0765838909110225e-66,5.0464892242919942e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999404719573,0.1088029999999941,0.0001,2.8432422030024152e-12,2.7895727136645843e-11,2.789478855494358e-11,3.5239083014110493e-17,3.4162983584273389e-15,8.8838435400980546e-13,2.4477892598675546e-15
6.587809857533283e-14,0.0019100873448154546,4.2984658692663111e-27,1.9676800457972871e-22,3.5888300163200404e-19,4.2984613859531106e-27,7.684607217275307e-18,4.899072153583692e-28,2.4244930891405185e-52,8.8351721558046667e-45,1.0735419413239894e-43,4.5861938981247815e-40,5.9326103482261453e-36,6.2814203922064758e-23,7.271653416178789e-34,3.3689049463534632e-49,1.3154279709906693e-44,1.7960459316500848e-35,6.7212402062898507e-46,2.0464868417956408e-86,9.919811178232649e-61,4.0560692615418785e-61,3.9164134185401528e-74,2.9471917161510783e-53,8.3985885399809558e-59,7.9809295739467953e-52,8.1387034142021748e-44,5.1674541107057722e-33,1.1248484722298233e-65,1.4675912341219275e-71,3.9635583460559903e-65,5.3990693921918176e-66,4.1401162963044135e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999107081565,0.10880299999998719,0.0001,4.2648729148586141e-12,4.184204157029978e-11,4.1839958744950384e-11,5.2954394180572442e-17,7.4429365954801134e-15,1.3321590187448276e-12,5.3152006728533359e-15
8.783756404854794e-14,0.0019100873448154362,7.5457870400770495e-27,3.4541846043353505e-22,4.7842778289951408e-19,7.5457765337032273e-27,1.0349460630208867e-17,8.6624360854517285e-28,4.2564786263717027e-52,-1.4454760893192027e-43,1.8847776469237805e-43,8.0532975808514094e-40,7.9099622549600766e-36,8.3752270912297619e-23,1.2766593566317885e-33,7.6627045317862529e-49,2.9919860429935037e-44,3.1532564570866844e-35,1.5293184067140412e-45,4.737270868483161e-86,1.7916847375696061e-60,7.3228461549690878e-61,9.0600721767418984e-74,5.3231239200447099e-53,2.3710774684599427e-58,1.856676616121353e-51,1.4288663230845264e-43,1.1752528392344001e-32,2.558425948867456e-65,3.3954624591688574e-71,9.1689138841500861e-65,1.6198172202463341e-65,1.598351688892147e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899998809446419,0.10880299999997757,0.0001,5.6865036055678098e-12,5.5787236893254413e-11,5.5783531908495158e-11,7.0668283555983307e-17,1.3066465270001973e-14,1.775644198633006e-12,9.3016407227018455e-15
1.3175649499497817e-13,0.0019100873448153837,1.6817341717014991e-26,7.6983623636811772e-22,7.1738966853397757e-19,1.6817305416561532e-26,1.5837360806113324e-17,1.9609210006181578e-27,9.4882715098027938e-52,8.8705711199622743e-45,4.2016714149803332e-43,1.7949084955866995e-39,1.1864369241178728e-35,1.2562825826593093e-22,2.8460245931821544e-33,2.5584146706587445e-48,9.9895612016550647e-44,7.0294750773376013e-35,5.11021512106928e-45,1.5885137599638085e-85,3.9451726793051308e-60,1.6126451943017729e-60,3.0376852273973581e-73,1.172117092786448e-52,1.1590828674927013e-57,6.3219399201292671e-51,3.1852476977029545e-43,3.9230753121628864e-32,8.5413519036510455e-65,1.1391952933134418e-70,3.0739774347239441e-64,8.3801404164968888e-65,1.3127649445132113e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899998214184905,0.10880299999995016,0.0001,8.5297649232531426e-12,8.3674310768438317e-11,8.3665866711623984e-11,1.0609184871861714e-16,2.9124636657519759e-14,2.6617430802762144e-12,2.0591044159017627e-14
1.756754259414084e-13,0.0019100873448153108,2.9789687658619445e-26,1.3636626657002259e-21,9.5618139919370049e-19,2.9789601966298521e-26,2.1536157221718706e-17,3.523787916343355e-27,1.6810246708037129e-51,-2.4560664535267559e-43,7.4444522328726449e-43,3.1803596412216064e-39,1.5818380484155952e-35,1.6750405002089853e-22,5.0425574855130888e-33,5.9415422169306194e-48,2.3199198229782457e-43,1.2454752207416379e-34,1.1876022394691646e-44,3.7415950245226483e-85,7.1693235772384052e-60,2.9269186006166069e-60,7.1478886896663837e-73,2.130017464805222e-52,3.4036545986714646e-57,1.4790481147992883e-50,5.6434433893370232e-43,9.109116700642174e-32,1.9834687058174038e-64,2.6806157194000418e-70,7.2328611557388033e-64,2.5412866446168668e-64,5.0818893581357722e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899997618934997,0.10880299999991198,0.0001,1.1373026155961285e-11,1.1155701957083965e-10,1.1154178784165565e-10,1.4150986854864373e-16,5.1595934611772186e-14,3.5466810064437242e-12,3.624519045769081e-14
2.6351328783426885e-13,0.001910087344815104,6.6828776409969682e-26,3.059176326253686e-21,1.4332547626592235e-18,6.6828480267733314e-26,3.3566542210074625e-17,8.1495227155764937e-27,3.772602443020788e-51,8.8942285221766069e-45,1.6709017142806822e-42,7.1372916738784171e-39,2.3725215340487691e-35,2.5125504570658996e-22,1.1318069749760309e-32,2.0171805397836653e-47,7.8761595103926782e-43,2.7954811697836181e-34,4.0384578701963782e-44,1.2686660599196319e-84,1.5813523314514458e-59,6.4592537875644412e-60,2.4230395139889669e-72,4.698222988135909e-52,1.7327470257169226e-56,5.0511802369028583e-50,1.2666053850869169e-42,3.0912392346741852e-31,6.7328645414094377e-64,9.0987324776707904e-70,2.4514174080732785e-63,1.3285327689995633e-63,4.1920370039637739e-75,0.88129999999999997,0.0,0.0,0.0,0.0098899996428469996,0.10880299999980377,0.0001,1.705954836631785e-11,1.6730976889072161e-10,1.6727439240354516e-10,2.1232981458227251e-16,1.1577458852012111e-13,5.313080083913043e-12,8.0220777193263099e-14
3.425673635378433e-13,0.001910087344814849,1.128008696339612e-25,5.163610167143913e-21,1.8620397703868371e-18,1.1280022491053558e-25,4.5115097553937787e-17,1.4096987240997127e-26,6.3698579601721945e-51,6.7233801490115523e-44,2.8215117963826928e-42,1.2051479368942079e-38,3.0840012979655784e-35,3.2663027115405987e-22,1.9111998345683276e-32,4.3589122504404148e-47,1.701942666097133e-42,4.7205247741333676e-34,8.7372592230006959e-44,2.7098457158769159e-84,2.6179246192054906e-59,1.0706297443716641e-59,5.174926176561377e-72,7.7778957810449254e-52,4.64421358098913e-56,1.093632200484536e-49,2.1387250511254469e-42,6.677732394172459e-31,1.4547279813246416e-63,1.9466906564808412e-69,5.2347352422932196e-63,3.6300261526932547e-63,1.4270609767129316e-74,0.88129999999999997,0.0,0.0,0.0,0.0098899995357091108,0.10880299999967033,0.0001,2.2177418064873317e-11,2.1747312973549399e-10,2.1741181588178844e-10,2.7604983634805299e-16,1.9545413490232434e-13,6.8988818823676267e-12,1.3391121849846687e-13
