Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832)
2.857727067957254e-15,0.002727595433073826,5.0542930774619598e-32,4.008754636086236e-27,2.4976000484868674e-22,5.0542941152647202e-32,1.4026635422992363e-20,1.6638398005147678e-32,4.6768470306103883e-59,6.1979062865975454e-48,2.1468141577528679e-49,1.3671376621708006e-45,4.5158282216013266e-40,1.087473658556767e-25,1.6964721675399593e-38,2.9008597380721039e-56,2.5227789249988537e-51,2.4514277945102517e-40,2.0189377866755929e-52,3.9921087519014172e-96,4.2629123928778012e-67,4.6231675207492571e-68,8.7027632420622113e-83,4.1158706926666301e-59,4.022679292394041e-67,6.5215892042587086e-59,2.4457376308722063e-49,2.4851924592350354e-39,2.3949049743245689e-74,3.6476299877017109e-80,4.4063214381239623e-73,1.5032863384702827e-75,3.5021176408513354e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999995012873,0.108803,0.0001,3.9368814517555843e-14,2.2850318408091867e-13,2.2850314844137502e-13,2.8535689361553348e-19,1.4745295634006038e-18,2.3306330497655608e-15,1.1677614045078562e-18,4.6352267350972569e-26,2.7078601209019886e-26,2.4226813067852018e-30,2.4017805205165661e-23,2.585277642222917e-18
5.717936956998745e-15,0.002727595433073826,2.023010090914776e-31,1.6045273330215625e-26,4.9973001515731222e-22,2.0230104847549616e-31,2.8161608946373599e-20,6.6794101649883306e-32,1.8719487048271348e-58,6.4386247170985178e-48,8.5928469507524999e-49,5.4904683200292407e-45,9.0355523284400592e-40,2.1758915550335729e-25,6.7903082801842003e-38,2.3224505173435712e-55,2.0197554778054262e-50,9.812097563271544e-40,1.6164258773406369e-51,3.3892468182715074e-95,1.7974584454413664e-66,1.9493549198494477e-67,7.3884649274799171e-82,1.7354582630500321e-58,5.0923203170999935e-66,5.2225570996467848e-58,9.7893036084676574e-49,1.9896425564312214e-38,1.9173670899804482e-73,3.0968483868596257e-79,3.7408768750362785e-72,2.41780705423465e-74,1.1223249392010614e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999990021432,0.108803,0.0001,7.8771833002430392e-14,4.5720250981935981e-13,4.5720187098750203e-13,6.1953909659753431e-19,5.9019153518519053e-18,4.6578876898275054e-15,4.6720133838703161e-18,2.1312249460980669e-25,1.1348284182020347e-25,1.9396332449073429e-29,9.6133381689587756e-23,1.0337570600464597e-17
1.1438356735081729e-14,0.002727595433073826,8.0944812500798957e-31,6.4200454171133176e-26,9.9964906238611483e-22,8.0944821886534729e-31,5.6720130665354695e-20,2.6884120615287831e-31,7.4901616955067683e-58,6.5652080142426488e-48,3.4382545115732401e-48,2.1988107828394727e-44,1.8074917976347536e-39,4.3527256410344511e-25,2.7170065726155673e-37,1.8586644680287825e-54,1.6164156353757516e-49,3.9261153359030529e-39,1.2937088711019684e-50,2.7979901687400902e-94,7.391167055021443e-66,8.0157220069347777e-67,6.0994233640118202e-81,7.1362216866550069e-58,7.0713037710120098e-65,4.1801568029360177e-57,3.9169800009954706e-48,1.5922829007584501e-37,1.5344554412927512e-72,2.5566929817358974e-78,3.088220410193082e-71,3.8748666519162603e-73,3.5940728468725393e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999980038549,0.10880299999999996,0.0001,1.5757786984666787e-13,9.1459416213333121e-13,9.1459045754572704e-13,1.2897931995981675e-18,2.3614983958275006e-17,9.2962443725540032e-15,1.8677553771367686e-17,9.1890203768202635e-25,4.6450071260812738e-25,1.5523202772922978e-28,3.8465536444088615e-22,4.1281730093408569e-17
2.2879196291247695e-14,0.0027275954330738253,3.2381642951021314e-30,2.5683130772437432e-25,1.9994032710214647e-21,3.238164067760488e-30,1.1499143460545277e-19,1.0881657945687793e-30,2.9964952466703174e-57,6.630465284477994e-48,1.3755228808666718e-47,8.7985465251709149e-44,3.6153319015115864e-39,8.7063870070606236e-25,1.0869785777662177e-36,1.4872111340378618e-53,1.2933739534033314e-48,1.5707003715860284e-38,1.0352867247543677e-49,2.2754984929351546e-93,2.9990833203955201e-65,3.2524698134251737e-66,4.9602327112608324e-80,2.8956351915426756e-57,1.0452448313886929e-63,3.3449633852016539e-56,1.5670338103032319e-47,1.2740109766467993e-36,1.2277639551087662e-71,2.0794078083246199e-77,2.5114347857628917e-70,6.203232501911569e-72,1.1505216177323151e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999960072819,0.10880299999999982,0.0001,3.151899430330963e-13,1.8293495642024078e-12,1.8293321984427443e-12,2.6305375906029373e-18,9.4472392623934286e-17,1.8508794233938075e-14,7.459001010672787e-17,3.8204964576648386e-24,1.8771662283696679e-24,1.2421307816074427e-27,1.5388450914626351e-21,1.6450118471163354e-16
4.576087540357962e-14,0.002727595433073824,1.2952469347660448e-29,1.0273103387223584e-24,3.9985762068629453e-21,1.2952463429969948e-29,2.3615077988985791e-19,4.4540567376875791e-30,1.1986499290369393e-56,6.6640266630202656e-48,5.5025172021341254e-47,3.5198301634412525e-43,7.2308800112730883e-39,1.7413682689886566e-24,4.3482604398935351e-36,1.189877407787577e-52,1.0347907850342151e-47,6.2833015574034863e-38,8.2850494243638151e-49,1.8360849435991927e-92,1.2085180935261632e-64,1.3105938330027425e-65,4.0020604869967965e-79,1.1668323775574952e-56,1.6034350916786211e-62,2.676295234021462e-55,6.2685393970030906e-47,1.0192139648862102e-35,9.8225077543306332e-71,1.6780918974527566e-76,2.0262968565891546e-69,9.927090361114209e-71,3.6823184986617045e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999920141462,0.10880299999999933,0.0001,6.3041408739776784e-13,3.65874944906235e-12,3.6586739666908727e-12,5.3118843596198146e-18,3.7789696411211244e-16,3.668076590930917e-14,2.9733055468507927e-16,1.5583419564351855e-23,7.5274459486059836e-24,9.9386090639391653e-27,6.1556680027923701e-21,6.528943142819049e-16
6.864255451591155e-14,0.002727595433073823,2.7522832222218533e-29,2.1829420618612663e-24,5.9974137231424348e-21,2.7522812239420838e-29,3.6192655885708845e-19,9.6137050653748641e-30,2.5471250207535374e-56,6.6646701041655697e-48,1.169309711131374e-46,7.4797851712691113e-43,1.0846296027868784e-38,2.6120951498155035e-24,9.2402632906283783e-36,3.4023814693038972e-52,2.9589161838237398e-47,1.335231892368482e-37,2.3694398428806002e-48,5.2621187257788119e-92,2.5738308329499433e-64,2.7911819861603382e-65,1.1469078168825135e-78,2.4850510441915718e-56,6.0024262570251214e-62,7.945513558719526e-55,1.3320814832869529e-46,2.9142355759310508e-35,2.8086037514271325e-70,4.8097636016238458e-76,5.8069365586355956e-69,3.7848335339796189e-70,1.7617497529521045e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999880210209,0.10880299999999855,0.0001,9.4563822975425448e-13,5.4880391002694525e-12,5.4878740367232528e-12,7.99306992273576e-18,8.0301595976152845e-16,5.4603087065632049e-14,6.3030112515257576e-16,3.3305438311633536e-23,1.5985212421228049e-23,2.8420234898588556e-26,1.308079577320922e-20,1.3799176442122129e-15
9.152423362824349e-14,0.00272759543307382,4.6948438178727815e-29,3.7236618573131154e-24,7.9959158817343963e-21,4.6948392429817631e-29,4.9231846866333879e-19,1.6633676609747247e-29,4.345044908182715e-56,6.6978736244995112e-48,1.9947249344392474e-46,1.2759670797780718e-42,1.4461579956124849e-38,3.4828193606527878e-24,1.5762982130171408e-35,7.1766911984042563e-52,6.2412746305992802e-47,2.277774518884594e-37,4.9987768795157318e-48,1.1114081429991846e-91,4.3958839063069401e-64,4.7670330805829841e-65,2.4222252932869098e-78,4.2442555865227943e-56,1.5526929592974478e-61,1.7313143773847376e-54,2.2723796003646747e-46,6.1467620238759875e-35,5.9240702971780768e-70,1.0159683308145034e-75,1.2263992217289218e-68,1.0183537062779201e-69,5.8309293421499189e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999840279095,0.10880299999999754,0.0001,1.2608623701025563e-12,7.317219199191322e-12,7.3169324238683937e-12,1.0674094903704891e-17,1.3698140512349264e-15,7.2279187456212281e-14,1.0728203534457394e-15,5.6985908207589133e-23,2.7233111646766991e-23,5.9950798840186397e-26,2.2314090665021307e-20,2.3422928206404887e-15
1.3728759185290735e-13,0.002727595433073812,9.7192081577517824e-29,7.708679170241012e-24,1.199213332692289e-20,9.7191946518881647e-29,7.6393512871444578e-19,3.524703646886437e-29,8.9956117124135118e-56,7.7028462035762003e-48,4.1298594691292383e-46,2.6417080195111794e-42,2.1691837824361386e-38,5.2242615702033339e-24,3.26355950138221e-35,1.9601980426442669e-51,1.7046997664163773e-46,4.7158922740548565e-37,1.3658721384270804e-47,3.040033995308015e-91,9.1115077809237772e-64,9.8805826014098474e-65,6.6245283157802389e-78,8.7972222708940776e-56,5.6591168479577074e-61,5.0255439012615546e-54,4.7046539680687226e-46,1.678763638567107e-34,1.6179931339172656e-69,2.7795843619301678e-75,3.3540465995126085e-68,4.1189313157351899e-69,3.4022590154064345e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999760417075,0.10880299999999492,0.0001,1.8913106460860749e-12,1.0975324381675907e-11,1.0974716724639923e-11,1.6035771047294784e-17,2.8358748552196421e-15,1.0706397830971669e-13,2.2128656533100679e-15,1.1832896860030516e-22,5.6223767814680393e-23,1.6377041382393683e-25,4.6197383854662793e-20,4.8094059336677758e-15
1.830509500775712e-13,0.002727595433073803,1.6528341950183194e-28,1.3109266038748497e-23,1.5987118056386236e-20,1.6528312448137555e-28,1.0525244450860261e-18,6.1256360787785106e-29,1.5298699752576991e-55,-4.9144317672144063e-48,7.0238332200964544e-46,4.4928082088507284e-42,2.8921609996752181e-38,6.9656941063327988e-24,5.550489113484269e-35,4.1014123955151435e-51,3.5668134925764109e-46,8.0205396457922847e-37,2.8588949731325221e-47,6.3678541699067252e-91,1.5516354307258434e-63,1.6825411137757316e-64,1.3874229983517282e-77,1.4981144828814111e-55,1.46175862061377e-60,1.0990365729745405e-53,8.0013169635423755e-46,3.5123206060823705e-34,3.3852682834076696e-69,5.8233811932022432e-75,7.0245618509568088e-68,1.1157023338870535e-68,1.1319839608003766e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999680555437,0.10880299999999141,0.0001,2.5217589146847845e-12,1.4633032300670257e-11,1.4631980134214159e-11,2.1396864853920519e-17,4.8228129154755232e-15,1.4097114095815669e-13,3.7501610972722965e-15,2.0157802486423456e-22,9.5332125651861556e-23,3.427110211031564e-25,7.8567499744239776e-20,8.1154061234065173e-15
2.2881430830223507e-13,0.002727595433073791,2.5249184479246149e-28,2.0026102911943164e-23,1.9980782432736002e-20,2.524912918909038e-28,1.3592967455185515e-18,9.5636046126453104e-29,2.3372146745738626e-55,1.8410987618605573e-46,1.0730841432402769e-45,6.8636876994050389e-42,3.6150861812991855e-38,8.7071163948130289e-24,8.479917232378802e-35,7.4664872927400885e-51,6.493251978339537e-46,1.2253606846700088e-36,5.2064300221946006e-47,1.1584364342131761e-90,2.3579552257677871e-63,2.5572880252390949e-64,2.523664266036863e-77,2.2766216881602451e-55,3.1873886237445478e-60,2.0619465423814351e-53,1.2224068159683949e-45,6.3936318759651643e-34,6.1625235946416345e-69,1.0596557676606606e-74,1.277723887149955e-67,2.5063698681235807e-68,3.0522572674094378e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999600694233,0.10880299999998691,0.0001,3.1522071753712021e-12,1.8290319040906998e-11,1.8288685548498009e-11,2.675734126888701e-17,7.3677313304166472e-15,1.7395987456776716e-13,5.7086209939265811e-15,3.0829348362168226e-22,1.4516726697634893e-22,6.2398180346336759e-25,1.2002973840008844e-19,1.2299293152381721e-14
3.203410247515628e-13,0.0027275954330737585,4.8542392006381216e-28,3.8500845055071026e-23,2.7964069994031558e-20,4.8542240098414148e-28,2.0285189852376688e-18,1.9305842508501405e-28,4.4939970228799102e-55,6.6983049946020319e-48,2.0634985011972863e-45,1.3198388756741855e-41,5.0607771909835555e-38,1.2189930376102191e-23,1.6306605341357796e-34,1.9713755232703885e-50,1.7144004769786193e-45,2.3563287112543276e-36,1.3758958970678913e-46,3.0587853465913093e-90,4.5450684586332963e-63,4.9287694209170326e-64,6.6609984761412287e-77,4.3882942788815291e-55,1.2207752842595893e-59,5.6418398697604549e-53,2.3505716546124773e-45,1.6877967651189802e-33,1.62691162662764e-68,2.7992379309483965e-74,3.372278937279568e-67,9.7189732263664009e-68,1.7994113943196961e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999440972969,0.10880299999997491,0.0001,4.4131036725101701e-12,2.5603632159904291e-11,2.5600388035039266e-11,3.7476446573548958e-17,1.4165864448960323e-14,2.3726623741635556e-13,1.088585841373512e-14,5.935684507569651e-22,2.7693701627853471e-22,1.6480506133005587e-24,2.3079570960499449e-19,2.3220261055500563e-14
4.118677412008905e-13,0.0027275954330737147,7.959185330714154e-28,6.3127371548383225e-23,3.5942001150402657e-20,7.9591531494085864e-28,2.7715621058980376e-18,3.3122485310647952e-28,7.3695151886995338e-55,2.68414101936109e-46,3.3841197701342678e-45,2.1644082449350789e-41,6.5062569051383767e-38,1.5672704498056034e-23,2.6742772682861157e-34,4.0871502839148253e-50,3.5543539061103752e-45,3.8643702858781788e-36,2.8548608749869101e-46,6.2948490343918884e-90,7.3204041166363904e-63,7.9595323508690083e-64,1.3705278123148262e-76,7.067899591943609e-55,3.2359962416104801e-59,1.1893603979918083e-52,3.8548053668326767e-45,3.4986338226125961e-33,3.372655560718395e-68,5.77014430671349e-74,6.9381898406215058e-67,2.5860304350832925e-67,6.0691496727248334e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999281253214,0.108802999999959,0.0001,5.6740001375131589e-12,3.2915300006707435e-11,3.2909825752298719e-11,4.8193140125775344e-17,2.32287062041992e-14,2.9715161309480286e-13,1.7708309847556211e-14,9.7408792597249347e-22,4.5060929179299418e-22,3.4178268017110512e-24,3.7847640142483921e-19,3.741120353268311e-14
5.033944576502182e-13,0.0027275954330736605,1.1839177520621154e-27,9.3901087622319684e-23,4.3914580258961053e-20,1.1839118989044219e-27,3.5884004414423087e-18,5.1423550070604967e-28,1.0963511218804113e-54,-5.4193351431428335e-46,5.0349087846826119e-45,3.2201762377639352e-41,7.9515253755622166e-38,1.9155439833470761e-23,3.9788116173626416e-34,7.3328831506865677e-50,6.3769344579479207e-45,5.7494415808810913e-36,5.1259260648208763e-46,1.1389713405052949e-89,1.1278030499234323e-62,1.2201516250006807e-63,2.4782378702615398e-76,1.0889014580806872e-54,7.0087855099728456e-59,2.1533902824868802e-52,5.7350290976689374e-45,6.2759957410533032e-33,6.0504070326476527e-68,1.0429201189925945e-73,1.2545035066408585e-66,5.62167043444914e-67,1.5810137349226442e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999121534934,0.10880299999993925,0.0001,6.934896570383572e-12,4.0225361315809173e-11,4.0216999876009334e-11,5.8907478705013817e-17,3.4555080879666333e-14,3.537926948068142e-13,2.6137240761396411e-14,1.4498024633773261e-21,6.6519755024199743e-22,6.1337619285944558e-24,5.6306013099854245e-19,5.470322714025607e-14
