Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727)
1.959178632646262e-15,0.0017930126199889988,3.0504913216112939e-32,2.4665866623785566e-27,1.4876739850950973e-22,3.0504924309888449e-32,1.3291464437180296e-20,1.6036371145688761e-32,2.8848617386700046e-59,3.1689418870818337e-48,1.8789975705106766e-49,7.8804041696663365e-46,2.494607692819505e-40,1.0289908526921233e-25,1.6141713034368932e-38,2.6408201895909554e-56,1.5330852405575949e-51,2.2903204488504777e-40,1.9185732472336647e-52,1.9433419977299176e-96,2.3259946076089856e-67,1.5650475066855616e-68,4.6005533148026645e-83,2.3368649767012566e-59,3.3005971763111826e-67,5.9732463801502047e-59,1.4092442134349489e-49,1.5579593537751593e-39,1.4692596786645933e-74,1.2569948353052851e-80,2.4600788398649148e-73,8.551924911805296e-76,3.1779855421122276e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999995233235,0.108803,0.0001,2.5605301643435241e-14,2.2481725468334378e-13,2.2481733283064003e-13,4.0154578343316816e-19,1.5088520925456464e-18,1.4338636683298844e-15,1.1988937547191187e-18,4.2393037114045307e-26,2.6920283512485615e-26,2.5199356055493012e-30
3.9200594187526864e-15,0.0017930126199889988,1.2209739889617571e-31,9.872633619988822e-27,2.9765908300570168e-22,1.2209744363688948e-31,2.664250909868317e-20,6.4287392133937373e-32,1.1546907800742937e-58,3.283376459717019e-48,7.5208829862736424e-49,3.1636073913703984e-45,4.9913668757925103e-40,2.0588751340694679e-25,6.460890336254833e-38,2.1142608062679908e-55,1.2273993455674464e-50,9.1672483558367317e-40,1.5360480247789957e-51,1.6436645359230565e-95,9.7741834578914038e-67,6.5765495060214866e-68,3.8910948637433374e-82,9.8198624037561301e-59,4.4180112235157279e-66,4.7834382527813831e-58,5.6406386736632714e-49,1.2472979922821915e-38,1.1762927521518954e-73,1.0631648399520823e-79,2.0807068487417869e-72,1.3748341772089892e-74,1.0184669270580972e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999990462329,0.108803,0.0001,5.1232849403410483e-14,4.4982733120345386e-13,4.4982696878868168e-13,9.065677347640518e-19,6.0392969885858535e-18,2.8688726730238568e-15,4.7972545542317303e-18,2.0588173897088919e-25,1.1539587266527642e-25,2.0174824091264447e-29
7.841820990965534e-15,0.0017930126199889988,4.8853465354964943e-31,3.9502264739207835e-26,5.9542755265217788e-22,4.8853479599238032e-31,5.348875526182133e-20,2.5803450897029865e-31,4.620221306496429e-58,3.343378933692774e-48,3.009329563163583e-48,1.266827578725997e-44,9.9848376737547653e-40,4.1186419935152301e-25,2.5851964821838885e-37,1.6920494946457305e-54,9.8229086275795675e-50,3.6680916838949863e-39,1.2293418337452889e-50,1.3541329436191196e-94,4.0117960013470914e-66,2.6993171733373756e-67,3.2056418276170478e-81,4.0305448424297808e-58,6.3776667521283871e-65,3.8286839691842839e-57,2.2569815727661928e-48,9.9819070330080957e-38,9.4137831500926666e-73,8.7589954703314682e-79,1.7141712063856772e-71,2.2030917087760909e-73,3.2615100919838931e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999980920517,0.10880299999999996,0.0001,1.0248794486728302e-13,8.9984028481218454e-13,8.9983717595408389e-13,1.9262112688564882e-18,2.4164706082221674e-17,5.7385893327121008e-15,1.9183721003554501e-17,9.1868577567264148e-25,4.780758887194858e-25,1.6146018085186991e-28
1.568534413539123e-14,0.0017930126199889986,1.9543449480399019e-30,1.5802574500730234e-25,1.1909049005283778e-21,1.9543451467279341e-30,1.0775785289603704e-19,1.0387169894897038e-30,1.8483526779740571e-57,3.374289603861766e-48,1.2039251842894531e-47,5.069080178561545e-44,1.9971589001369354e-39,8.238168921386847e-25,1.0342459553443314e-36,1.3538939502346176e-53,7.8597930313380147e-49,1.4674741304747975e-38,9.8371878202834614e-50,1.1000454287741332e-93,1.626283801095797e-65,1.0942242296490043e-66,2.6040803572936688e-80,1.6338841218826935e-57,9.6510111589692912e-64,3.0637142632145013e-56,9.0293269480952119e-48,7.9866143176594892e-37,7.5322426069218714e-72,7.1156441145288365e-78,1.3924940704053946e-70,3.5267919446220662e-72,1.0440669328276936e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999961836911,0.10880299999999982,0.0001,2.0499813557071643e-13,1.7998374911839568e-12,1.799821333111381e-12,3.9674834016438558e-18,9.6671772275193873e-17,1.1476817506394886e-14,7.6655166498206276e-17,3.8927002887538509e-24,1.9448087446292462e-24,1.2919311313530038e-27
3.1372390424242625e-14,0.0017930126199889977,7.8171220113185522e-30,6.3208214087109863e-25,2.3816212783392424e-21,7.8171196799509003e-30,2.1860229299330288e-19,4.2065020648052169e-30,7.3937189400012683e-57,3.3902404405078061e-48,4.8160722369405574e-47,2.0278540253769653e-43,3.9944330612358649e-39,1.647719579076681e-24,4.1373127576523572e-36,1.0832137084395477e-52,6.2883894142119446e-48,5.870363157194752e-38,7.8714341433998443e-49,8.8709512426593827e-93,6.5501220809189788e-65,4.40706245980726e-66,2.0998790288518499e-79,6.5807336070092607e-57,1.4998827840504667e-62,2.4512680140738704e-55,3.6119695264263322e-47,6.3892136952428161e-36,6.0260235685412182e-71,5.7384324635021301e-77,1.1228737152307682e-69,5.6439062486801301e-71,3.3416090757410494e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999923669716,0.10880299999999929,0.0001,4.1001851608033628e-13,3.5997175902238639e-12,3.599644633364206e-12,8.0499928863842048e-18,3.8669626459602402e-16,2.2948455294976275e-14,3.0591040380709997e-16,1.6035317153309633e-23,7.8313236717142428e-24,1.03365003243054e-26
4.705943671309402e-14,0.001793012619988997,1.6610468999922471e-29,1.3431005447235879e-24,3.5720993859245325e-21,1.6610459410460484e-29,3.317528015342778e-19,9.0144611861197979e-30,1.5711598148665876e-56,3.3906102326430741e-48,1.0234369037671209e-46,4.3092662430178463e-43,5.9916311208106951e-39,2.4716195851489586e-24,8.7919886998820938e-36,3.0973827925269902e-52,1.7981232948624183e-47,1.2474804068410829e-37,2.2509720071203955e-48,2.5419533392385062e-92,1.3948120358357326e-64,9.3844411162449827e-66,6.0169838158394997e-79,1.4013305899173249e-56,5.633456573821489e-62,7.2774409017673668e-55,7.675543015282439e-47,1.8268479355671414e-35,1.7230518749648571e-70,1.6443865404274784e-76,3.2174595024546478e-69,2.1518098196660864e-70,1.5987429615581177e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999885502556,0.1088029999999985,0.0001,6.1503889569270934e-13,5.3994838554601543e-12,5.3993229341860472e-12,1.2132250289277899e-17,8.217164862416157e-16,3.4415276547914309e-14,6.4899830473335595e-16,3.4371957666066446e-23,1.665849611574594e-23,2.9556931270042428e-26
6.274648300194541e-14,0.001793012619988995,2.8333799482317452e-29,2.2910335387217842e-24,4.762339270990656e-21,2.8333775821648961e-29,4.4720920215163209e-19,1.5496359675094963e-29,2.6801798150599871e-56,3.4063996289614705e-48,1.7458803319238783e-46,7.3511153873374788e-43,7.9887530817612087e-39,3.2955169281250974e-24,1.4998268767363645e-35,6.5333524904474559e-52,3.7928007890812266e-47,2.1280789693803543e-37,4.7484328931924481e-48,5.368315898159327e-92,2.3820572342578449e-64,1.6026491624371569e-65,1.2706722917488899e-78,2.3931896080170658e-56,1.4601331006243109e-61,1.5857422029798914e-54,1.309362206376669e-46,3.8531883396069517e-35,3.6343568746337114e-70,3.4728669257659035e-76,6.7946142824941483e-69,5.7896897620084703e-70,5.2914203062090684e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999847335465,0.10880299999999747,0.0001,8.2005927440783585e-13,7.1991367645675797e-12,7.1988562502062157e-12,1.6214250714338946e-17,1.4017178080780197e-15,4.58772832875004e-14,1.1054411994412747e-15,5.8901999219635117e-23,2.8413986355255203e-23,6.2345996377768326e-26
9.41205755796482e-14,0.0017930126199889897,5.8655133645792294e-29,4.7427765097813956e-24,7.1422600954054061e-21,5.8655059386411531e-29,6.8353324388360405e-19,3.2493871076037338e-29,5.5488070537600366e-56,3.8826999103235424e-48,3.6146531684962328e-46,1.5219418627751835e-42,1.1982818413844955e-38,4.9433054190716884e-24,3.1052333363528203e-35,1.7844800883961049e-51,1.0359398369455523e-46,4.4059629550011073e-37,1.2972163050523193e-47,1.4682229737263104e-91,4.9371166169045567e-64,3.3216170241526066e-65,3.4749400336317644e-78,4.9601898775637769e-56,5.3333999564465353e-61,4.6029853339910696e-54,2.7108642065258985e-46,1.052341960659036e-34,9.9262036230502281e-70,9.4988329247432779e-76,1.8581103369184402e-68,2.3417499325855432e-69,3.0874634128998165e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999771001387,0.10880299999999479,0.0001,1.2301000297323063e-12,1.0798178016789376e-11,1.0797582657168576e-11,2.4377651418853827e-17,2.9019368431174187e-15,6.8790003668505352e-14,2.2828903150203919e-15,1.2249567725466743e-22,5.8759473812658339e-23,1.7029751714148469e-25
1.25494668157351e-13,0.0017930126199889834,9.974619227469541e-29,8.0653451588593528e-24,9.5213052868169018e-21,9.9746025047526685e-29,9.2833540835074314e-19,5.5928266604578014e-29,9.4367562023404688e-56,-2.0967073303039907e-48,6.1475979924438009e-46,2.5883944117737725e-42,1.5976603928233311e-38,6.5910842644625155e-24,5.2812158546346388e-35,3.7337490897418531e-51,2.1675390897878137e-46,7.4934275653781906e-37,2.714714809714844e-47,3.0751347479334952e-91,8.4068881520797435e-64,5.6558113950666176e-65,7.2774848216604835e-78,8.4461771413246506e-56,1.3793331893530552e-60,1.0066269547776495e-53,4.6104437206889982e-46,2.201687697868915e-34,2.0768198714068887e-69,1.9895866044922328e-75,3.8913261573439829e-68,6.343134189947031e-69,1.0272464999589765e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999694667499,0.10880299999999114,0.0001,1.6401407817572814e-12,1.4396806357147336e-11,1.4395776024810999e-11,3.2540115420379932e-17,4.9351815878743721e-15,9.168503615384548e-14,3.8732471121692737e-15,2.088595096887775e-22,9.9771671853280525e-23,3.5633950699605027e-25
1.5686876073505376e-13,0.001793012619988975,1.5237232423129313e-28,1.2320624584375947e-23,1.1899412618673818e-20,1.5237200471331758e-28,1.1822200972798293e-18,8.648531120781002e-29,1.4416707702894669e-55,8.7500235629034712e-47,9.3921487053858887e-46,3.9543203447873091e-42,1.9970089657328173e-38,8.2388528940807235e-24,8.0685265874494104e-35,6.7971672541527974e-51,3.945923830213106e-46,1.1448295302276382e-36,4.9429656203405122e-47,5.5947050742054784e-91,1.2782728037130019e-63,8.6009922938058132e-65,1.3239106602979341e-77,1.2842467200453809e-55,3.0102813434225598e-60,1.8885726699138675e-53,7.0436572867030919e-46,4.0077749219975065e-34,3.780624560776775e-69,3.6200952380386219e-75,7.07889050196482e-68,1.4249523130359464e-68,2.7698449114822345e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999618333803,0.10880299999998649,0.0001,2.0501815302470842e-12,1.7994995440061871e-11,1.7993398376647911e-11,4.0701582997651693e-17,7.5394275569411437e-15,1.1456113082070002e-13,5.9028568646761478e-15,3.1961576033189425e-22,1.5213116217438225e-22,6.4873871195392303e-25
2.1961694589045934e-13,0.0017930126199889528,2.9292784486612203e-28,2.3685758103024508e-23,1.6652756951023057e-20,2.9292694474505565e-28,1.7177995760303307e-18,1.7094661877316167e-28,2.7720342602219701e-55,3.4072254220120823e-48,1.8060724281490347e-45,7.6038283470173927e-42,2.7956143060190804e-38,1.1534359668930255e-23,1.5515511065952156e-34,1.7946544056204254e-50,1.0418338357818537e-45,2.2014694322115589e-36,1.3056880020914563e-46,1.4772599657839209e-90,2.4635402406354667e-63,1.657442083581411e-64,3.494883663914301e-77,2.4750534193838819e-55,1.1545210058542511e-59,5.167455816114383e-53,1.3544365789053337e-45,1.0579370470258545e-33,9.9808329290372658e-69,9.5596619135885846e-75,1.8685271038897066e-67,5.5255365659505324e-68,1.632918167874639e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999465666983,0.10880299999997414,0.0001,2.8702630163991182e-12,2.5190049288719113e-11,2.5186894827258664e-11,5.7021513939861994e-17,1.4496127906562115e-14,1.6025540848910281e-13,1.1286379748513783e-14,6.1580941623156514e-22,2.9106108510904466e-22,1.7130691024211119e-24
3.4511331620127047e-13,0.0017930126199888865,7.142371158629906e-28,5.7752268714754812e-23,2.6148046805194285e-20,7.1423341989180039e-28,2.8994730688670112e-18,4.4143481275088754e-28,6.7615795470594784e-55,3.4102427980126629e-48,4.4062274613870041e-45,1.8549055791632063e-41,4.3924600853212413e-38,1.8125256614461491e-23,3.7853007434562096e-34,6.9396024338410501e-50,4.0285081856226422e-45,5.3708983502724869e-36,5.0536558936767313e-46,5.7235146819987302e-90,6.0216460416580942e-63,4.0506738165497608e-64,1.3533739253971084e-76,6.0497877728494235e-55,7.6005573603138913e-59,2.0522037475053914e-52,3.3042124157108269e-45,4.0887629577444061e-33,3.8583886662228708e-68,3.7036345840160648e-74,7.2332301620098622e-67,3.5534517492405145e-67,1.7989191161348974e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999160335633,0.10880299999993732,0.0001,4.510425945657815e-12,3.9575008939524065e-11,3.9566941261168944e-11,8.9649697591104873e-17,3.5355818448303331e-14,2.5141425358255196e-13,2.7201416930365788e-14,1.5049330566130195e-21,7.0190982159716482e-22,6.6256129178996869e-24
4.706096865120816e-13,0.001793012619988792,1.3224329858890429e-27,1.0693018282351819e-22,3.5628141862447844e-20,1.3224235834575813e-27,4.2285641738900844e-18,8.5936297930085494e-28,1.252373574265355e-54,-7.7857251810427945e-47,8.162614546439284e-45,3.4359367854544532e-41,5.9888190129956682e-38,2.4716004184597718e-23,7.0123585533177221e-34,1.7222257849603676e-49,9.997530128008835e-45,9.9497147186636741e-36,1.2551657494163843e-45,1.438170297614148e-89,1.1405412099282232e-62,7.6470274466253056e-64,3.3986872120872242e-76,1.1458714475273465e-54,2.5037287748728463e-58,5.1378734088338311e-52,6.1208027681854034e-45,1.0143063870220861e-32,9.573462064060844e-68,9.2887490277064041e-74,1.8157890361270405e-66,1.1725859049553438e-66,7.6660289165053734e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899998855007352,0.10880299999988456,0.0001,6.1505888174733754e-12,5.3953253978024237e-11,5.3937722900998566e-11,1.2226264927539658e-16,6.5480066303701606e-14,3.4226725945108708e-13,4.9830992546706746e-14,2.7898263503736731e-21,1.2862163099690766e-21,1.6446142291551893e-23
5.961060568228928e-13,0.001793012619988669,2.1171887640727111e-27,1.7119308475181461e-22,4.5093068697257998e-20,2.1171697338733621e-27,5.7049538238986029e-18,1.4412446172211558e-27,2.0057173475180837e-54,1.7999119725389349e-46,1.3074964108484005e-44,5.5031833815258629e-41,7.5846913402738341e-38,3.1306611060575192e-23,1.1232479416965981e-33,3.4373600350508831e-49,1.9953563310461536e-44,1.5937570495409894e-35,2.5070496851155047e-45,2.8460869278853291e-89,1.7602039231328999e-62,1.1873106669281971e-63,6.7227349206446937e-76,1.7684301100086441e-54,6.1471479310434414e-58,1.0295911952020577e-51,9.8038603619906092e-45,2.023653324557865e-32,1.9103659236164838e-67,1.8408645172954163e-73,3.5900694702377436e-66,2.900106164957924e-66,2.310579675383908e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899998549682091,0.10880299999981601,0.0001,7.7907516318588312e-12,6.8324996928811271e-11,6.8299248953375847e-11,1.5486085110069043e-16,1.0485966498313907e-13,4.3281547109061299e-13,7.8962581551851364e-14,4.4700960084353803e-21,2.0384903565200495e-21,3.2830693212826367e-23
