Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864)
4.45073614443325e-16,0.001677868359682032,9.9586411252234872e-32,5.113997700427949e-27,1.0002613926552276e-21,9.9586307122932932e-32,3.1451870659294671e-20,1.7078339438378556e-32,2.5075578706022992e-57,8.7364280149291774e-46,2.0865255057008903e-48,7.0481786403183558e-45,1.0288516655136727e-38,2.6117522172303035e-25,2.3937481303907639e-38,7.5959637669462199e-56,2.863056031575233e-51,5.2708232546365847e-40,1.9751709027602269e-52,4.8910307473542683e-94,5.7134955915461055e-66,1.4346979311529001e-66,1.5796887261726669e-81,2.189028394008507e-58,2.4474479941653667e-66,1.4868775733285209e-58,1.4066984273889337e-48,1.3709471971492631e-39,1.000989763874612e-72,4.9328548280312373e-79,2.2595938635127954e-72,4.6598430077734265e-75,4.8398825539281051e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999995294176,0.108803,0.0001,2.0681780950027556e-14,2.2268403570581839e-13,2.2268409773670463e-13,1.9670741934346354e-19,3.8774849275441916e-19,4.5303596322427029e-15,2.8552384252189274e-19,5.8681832946780995e-27,4.1012245987097997e-27
8.905339131737424e-16,0.0016778683596820323,3.9860316619399859e-31,2.0469228093764789e-26,2.0013815363851349e-21,3.9860299652775338e-31,6.2953015152561107e-20,6.8378711495182281e-32,1.0036754423426341e-56,1.1463853514308608e-45,8.351538700899195e-48,3.0561524329251941e-44,2.0585956205039969e-38,5.2257733095152438e-25,9.5812304311255317e-38,6.0813890292526826e-55,2.2921852442827868e-50,2.1097028335019036e-39,1.581350488135449e-51,5.4691572149460249e-93,3.1333892938592526e-65,7.8681485763745986e-66,1.7664048833019254e-80,1.2005046689611594e-57,2.0863111899232436e-65,1.1907077982244681e-57,5.6304566280497717e-48,1.0975858743272439e-38,8.0139907165883411e-72,5.5159472388129679e-78,2.5266729108861079e-71,8.1405938072399946e-74,1.5501201400694748e-87,0.88129999999999997,0.0,0.0,0.0,0.009889999999058428,0.108803,0.0001,4.13815304255742e-14,4.4556084510289524e-13,4.4556088936704063e-13,5.184973319453342e-19,1.5520009531103258e-18,9.0645766785400307e-15,1.1427216943658721e-18,3.1275948349063122e-26,1.8499614203939621e-26
1.781454510634577e-15,0.001677868359682032,1.5949173125489061e-30,8.1902853188760808e-26,4.0035909537190976e-21,1.5949170951794645e-30,1.2602117680532539e-19,2.7377074069599023e-31,4.0159995593764152e-56,1.3236123402272787e-45,3.3417025469554169e-47,1.2554916020103595e-43,4.1180787678445409e-38,1.0453814771703979e-24,3.8337398829237971e-37,4.8669584326545186e-54,1.8344441304641574e-49,8.441558672695002e-39,1.2655814467760869e-50,5.3049388999661699e-92,1.496844416415631e-64,3.7586705402379253e-65,1.713367555106153e-79,5.734904099331134e-57,1.8727417429035874e-64,9.5304856447963757e-57,2.2529136166447107e-47,8.7839465243206365e-38,6.4136060351940297e-71,5.3504029764179718e-77,2.4508065867113752e-70,1.3427932104932023e-72,4.9625557695656774e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999981164489,0.108803,0.0001,8.278102935560475e-14,8.9131269346547724e-13,8.9131214298547498e-13,1.2181066417533556e-18,6.209997259368537e-18,1.8132774856305e-14,4.5714345719363634e-18,1.4926565950788459e-25,7.8862025469020606e-26
3.5632957055562465e-15,0.0016778683596820317,6.3805943581928079e-30,3.276589711683989e-25,8.0078863116930914e-21,6.3805941497602383e-30,2.524209882800792e-19,1.0965961085301893e-30,1.6066536824934473e-55,1.4281632404304777e-45,1.3368979999224062e-46,5.0614420012892602e-43,8.2370260120533303e-38,2.0909894806488561e-24,1.5337453492074467e-36,3.8943045285477989e-53,1.4678328893932144e-48,3.377172609063403e-38,1.01269017189118e-49,4.7298560224003212e-91,6.6053557564635073e-64,1.6586414537786101e-64,1.5276113402268476e-78,2.5307294057983811e-56,1.8234326165743688e-63,7.6263150002642496e-56,9.0131019886275193e-47,7.0283743440132073e-37,5.1318238271378894e-70,4.7704669981247143e-76,2.185097381641063e-69,2.168583154240237e-71,1.5883644226349991e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999962324906,0.10880299999999996,0.0001,1.6558002713141495e-13,1.782809507637357e-12,1.782805331800985e-12,2.647200938492942e-18,2.4843807819178733e-17,3.6268227601613205e-14,1.8281198280606599e-17,6.5859559530867268e-25,3.258085932674595e-25
7.126978095399586e-15,0.001677868359682032,2.5523553154029628e-29,1.3106963646075789e-24,1.6015983151339304e-20,2.5523551547841279e-29,5.0627454394151868e-19,4.3974219743690428e-30,6.4270765932275347e-55,1.4859431011774389e-45,5.3480222875263785e-46,2.0289580190225247e-42,1.6474844299286651e-37,4.1822043317142517e-24,6.1354787714858459e-36,3.1157367525289988e-52,1.1743759997536304e-47,1.3509785546040734e-37,8.1028143196119812e-49,4.0164365056683998e-90,2.7867256500813156e-63,6.9975806033029557e-64,1.2971625253026735e-77,1.0676864060882468e-55,1.978860325399274e-62,6.1018174230698856e-55,3.6055186266718846e-46,5.6230472348763168e-36,4.1057921532318485e-69,4.0510389140482033e-75,1.8554577835064626e-68,3.4789637415879813e-70,5.0833150082734338e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999924645775,0.10880299999999982,0.0001,3.3117802234603168e-13,3.5657757561623309e-12,3.5657544369272755e-12,5.5138854341555526e-18,9.9381520041046957e-17,7.2535359044078148e-14,7.3070689966925709e-17,2.7730823453019335e-24,1.3238718369642899e-24
1.4254342875086264e-14,0.0016778683596820306,1.0209116768911397e-28,5.2426293018998897e-24,3.2030201569186158e-20,1.0209114296268935e-28,1.0181972264024889e-18,1.7675862001702994e-29,2.5708863013952212e-54,1.5165606885102594e-45,2.1392920112383425e-45,8.120503921743374e-42,3.2950176074655666e-37,8.3646294098454636e-24,2.4542898245977664e-35,2.4927034363178536e-51,9.3954250517435658e-47,5.4041306492495816e-37,6.4833971063244875e-48,3.3180017535743784e-89,1.1466954062100377e-62,2.8793638861020328e-63,1.0715366370048491e-76,4.3933678835531451e-55,2.4151611788611298e-61,4.8817517016763339e-54,1.4422536639274739e-45,4.4983542926905237e-35,3.2846988901705607e-68,3.3467763604865309e-74,1.5327132604338195e-67,5.5704073630251372e-69,1.6267449742876741e-81,0.88129999999999997,0.0,0.0,0.0,0.009889999984928767,0.10880299999999929,0.0001,6.6237401142725158e-13,7.1315990810260983e-12,7.1315035666059926e-12,1.1248344146608885e-17,3.9752786401575498e-16,1.4505452887763196e-13,2.9181533536682326e-16,1.1385757107010036e-23,5.3308918641130412e-24
2.1381707654772943e-14,0.0016778683596820297,2.1693575787546675e-28,1.1140177939272396e-23,4.8042444969319638e-20,2.1693567504369052e-28,1.5343353203020312e-18,3.7687558944449129e-29,5.4631270492938109e-54,1.5172644230132505e-45,4.5460441765843237e-45,1.725785671656617e-41,4.9425203056566535e-37,1.2547049863544835e-23,5.2154260177595171e-35,7.1276537827758012e-51,2.6865323485005809e-46,1.1483909978591342e-36,1.8540287922935061e-47,9.5694939514382159e-89,2.4579058113842116e-62,6.1717740749975355e-63,3.0903229469995213e-76,9.4170469281141477e-55,8.4434496147338924e-61,1.4492942394776063e-53,3.064808002187023e-45,1.2862150959819166e-34,9.39215150227566e-68,9.6528444812757386e-74,4.4203402592083713e-67,2.1239584328778963e-68,7.7827208240450373e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999773929721,0.1088029999999985,0.0001,9.935699991604579e-13,1.069731354821494e-11,1.0697103625155294e-11,1.6982674644748607e-17,8.447356832424168e-16,2.175586088003857e-13,6.1941234948708768e-16,2.4381878318752087e-23,1.1343034398513894e-23
2.850907243445962e-14,0.0016778683596820284,3.700526030035167e-28,1.9003099856308241e-23,6.4052713595441836e-20,3.7005241242269646e-28,2.0546886659507429e-18,6.4489003833226643e-29,9.3193979496625896e-54,1.5466342435969195e-45,7.7550561825949973e-45,2.9440901480044401e-41,6.5899925250658641e-37,1.672946569238134e-23,8.8969554392580377e-35,1.5034374206976744e-50,5.666703923315292e-46,1.9590314269979945e-36,3.9110819417340716e-47,2.0283109727696161e-88,4.2119915295711065e-62,1.0576184217693902e-62,6.5498666449191265e-76,1.6137527203472704e-54,2.0918319064307654e-60,3.1579628628983625e-53,5.228207298921038e-45,2.7129251663184146e-34,1.9810616616923751e-67,2.0460657898404078e-73,9.3687552057639179e-67,5.7149693538104121e-68,2.5758309011601821e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999698571928,0.10880299999999747,0.0001,1.3247659855456514e-12,1.4262919470167695e-11,1.4262554622019032e-11,2.271683229887528e-17,1.4409955340403528e-15,2.900476019522621e-13,1.0555493381386704e-15,4.1761169052487278e-23,1.9354544961719351e-23
4.276380199383297e-14,0.001677868359682023,7.6609429085711957e-28,3.9340802565511948e-23,9.6068616929844733e-20,7.6609372280311209e-28,3.1052877997034256e-18,1.3420359798571279e-28,1.9294360927091342e-53,2.4071856532419257e-45,1.6055927205716824e-44,6.0954134276505236e-41,9.8848654337986434e-37,2.5094286494452158e-23,1.8420117682244004e-34,4.1063761877047209e-50,1.547759135195599e-45,4.0559480515157898e-36,1.0684713920079339e-46,5.5663328587937869e-88,8.7512677765538648e-62,2.1973964837471563e-62,1.7973399813096771e-75,3.3528989984309956e-54,7.2517229910629904e-60,9.1666626651607736e-53,1.0824314370089255e-44,7.4094668928213777e-34,5.4108017936611564e-67,5.6156341794551282e-73,2.5708342303188278e-66,2.3116133188336262e-67,1.502927121748864e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999547856672,0.10880299999999479,0.0001,1.9871579551523366e-12,2.1393877530600767e-11,2.1393106806389576e-11,3.4184739634099181e-17,2.9833019357607359e-15,4.349901902660537e-13,2.1815944416945951e-15,8.6805919693397541e-23,4.0052174486139238e-23
5.701853155320633e-14,0.0016778683596820176,1.3028375032607371e-27,6.6903870407527954e-23,1.2807726033991656e-19,1.3028362534320958e-27,4.1713865911283517e-18,2.2935856565518641e-28,3.2814142269864649e-53,-8.2410629350898303e-45,2.7306973012884337e-44,1.0367860888860778e-40,1.3179626265864638e-36,3.3459090285690064e-23,3.1327885637658889e-34,8.5919361680234639e-50,3.2384352530632698e-45,6.8981250686428678e-36,2.2360380666289045e-46,1.1708835430250797e-87,1.5041507179814227e-61,3.7766896670318887e-62,3.7803284122212978e-75,5.7628969477087088e-54,1.8184828641757449e-59,2.0046527765713072e-52,1.8409242249934015e-44,1.5502358555872353e-33,1.1321013132867009e-66,1.1813179723697199e-72,5.4071460873029758e-66,6.261610364452162e-67,5.0004325154635148e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999397142006,0.10880299999999117,0.0001,2.6495499198019026e-12,2.8524439013602319e-11,2.8523110916220706e-11,4.5652008936882907e-17,5.0736473771379302e-15,5.7987732521669105e-13,3.7041976307036759e-15,1.479668413504056e-22,6.8054629362169341e-23
7.127326111257969e-14,0.0016778683596820095,1.990300808188668e-27,1.0220678118493609e-22,1.6007812688790398e-19,1.9902984526085033e-27,5.2540910914679823e-18,3.5214939950822164e-28,5.0131729841692176e-53,1.4899425951171839e-43,4.171890341582985e-44,1.5823453728961412e-40,1.6474267019556879e-36,4.1823875848182048e-23,4.7862010053976129e-34,1.5641315040634355e-49,5.8954500557707648e-45,1.0538793844383036e-35,4.0714373264695612e-46,2.0953018545526558e-87,2.1241883952453983e-61,5.3353762196555519e-62,6.7660455042077794e-75,8.1384655626420716e-54,3.881308152922747e-59,3.7610069472153612e-52,2.8124999335357705e-44,2.8220073332535813e-33,2.0609085915091379e-66,2.1149108168168829e-72,9.6775896591756456e-66,1.4066592985152983e-66,1.34830033901198e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999246427912,0.10880299999998654,0.0001,3.311941879140272e-12,3.5654577660280251e-11,3.5652527866441841e-11,5.7118598385770851e-17,7.7511143942025143e-15,7.2470506682276695e-13,5.6496164117645536e-15,2.2639323322489593e-22,1.0384558778704727e-22
9.97827202313264e-14,0.001677868359681989,3.8266413878576503e-27,1.9650733110148444e-22,2.2405605193075252e-19,3.8266348587391084e-27,7.4703530623193226e-18,6.8493850189355461e-28,9.6397432658757222e-53,1.5473388932556103e-45,8.0223851249901248e-44,3.045575003975631e-40,2.3063180774737037e-36,5.8553391122744344e-23,9.2037068793439822e-34,4.1297701246893564e-49,1.5565686548020341e-44,2.0265752985061578e-35,1.0755083197500075e-45,5.4549072258976842e-87,4.1937631452845467e-61,1.0532107098098557e-61,1.7609491651117114e-74,1.6067688257858596e-53,1.4360502778819769e-58,1.0290789894239593e-51,5.4082504469596274e-44,7.4499106617148776e-33,5.4411080778123442e-66,5.5069514638992936e-72,2.5186113250489643e-65,5.4547746001041622e-66,7.9486921027654843e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899998945001545,0.10880299999997418,0.0001,4.6367257815498275e-12,4.9913573770133888e-11,4.9909563833715222e-11,8.0049716437415445e-17,1.490386511292552e-14,1.0141787812958511e-12,1.0821573958478884e-14,4.3611436948962124e-22,1.9902646298666181e-22
1.5680163846881983e-13,0.0016778683596819274,9.3324724365134255e-27,4.7924513128262659e-22,3.5191731512008094e-19,9.3324459789308802e-27,1.2105003567636771e-17,1.7118590411325124e-27,2.3515816111994636e-52,1.5474800919143191e-45,1.9572059513521105e-43,7.4299168339667111e-40,3.623954641882034e-36,9.2012199529259105e-23,2.2454244030759279e-33,1.5969097771950184e-48,6.0189371998457281e-44,4.9442267981913865e-35,4.1630496991690164e-45,2.1151823787587604e-86,1.0401109050534532e-60,2.6117683269602468e-61,6.8252513705466961e-74,3.985007545019725e-53,9.1386352303116907e-58,4.0869362439198119e-51,1.3193986680084129e-43,2.8798432236781969e-32,2.1037148695281227e-65,2.1362119353564033e-71,9.7607895758877712e-65,3.5081660869299888e-65,8.756875279109045e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899998342156029,0.10880299999993732,0.0001,7.2862935216983054e-12,7.8426550337265659e-11,7.8416490459112617e-11,1.2590388564468173e-16,3.6354212656313981e-14,1.5924043912270219e-12,2.6180888988889862e-14,1.0656649616304678e-21,4.8177473115487384e-22
2.1382055670631326e-13,0.0016778683596818376,1.7282951522009003e-26,8.8752154710883704e-22,4.7965243936516035e-19,1.7282884547087509e-26,1.7009331883530891e-17,3.2409171894342982e-27,4.3559977207663789e-52,-1.4089698357649262e-43,3.6257636432645785e-43,1.3764935416734502e-39,4.9413961429894492e-36,1.2547071134734182e-22,4.1597174490888328e-33,3.9631124598101598e-48,1.4937346349632308e-43,9.1593311217482411e-35,1.0340313380884334e-44,5.5476434897013374e-86,2.1344137908103479e-60,5.3278677543894072e-61,1.7868045287379192e-73,8.1776424218251328e-53,2.9739383784116937e-57,1.0232125247762689e-50,2.4441411245416039e-43,7.1452154983151145e-32,5.2203405908291117e-65,5.5790578180684979e-71,2.555080846942474e-64,1.1576938542914481e-64,3.7317560697938151e-76,0.88129999999999997,0.0,0.0,0.0,0.009889999773932014,0.10880299999988435,0.0001,9.9358611755453054e-12,1.0693293769099501e-10,1.0691388512548192e-10,1.7174745700940239e-16,6.7335901365692167e-14,2.1696678463027324e-12,4.8129080119114482e-14,1.9755034768908486e-21,8.8589384243066263e-22
2.708394749438067e-13,0.001677868359681722,2.7675232166367819e-26,1.4211904047746151e-21,6.0726157159825004e-19,2.7675096966912673e-26,2.2183199349140687e-17,5.2997185683556026e-27,6.9769276108407903e-52,3.1102637346909626e-43,5.8077831057931272e-43,2.2042547585644382e-39,6.2586426523558699e-36,1.5892892644758432e-22,6.6631116753890621e-33,7.9099079552920435e-48,2.9813039399580959e-43,1.4671583925388247e-34,2.0654825809106443e-44,1.0693954968776241e-85,2.9590481872100379e-60,7.4732904107343661e-61,3.4522109212146831e-73,1.1337088472774388e-52,7.2504770418037745e-57,2.0504644387401857e-50,3.914937258133393e-43,1.4257636961722916e-31,1.0418195703518191e-64,1.082176483680757e-70,4.9359514312717449e-64,2.863399584406301e-64,1.124784820197697e-75,0.88129999999999997,0.0,0.0,0.0,0.0098899997136493861,0.10880299999981538,0.0001,1.2585428743110587e-11,1.3543287965810687e-10,1.3540175458279293e-10,2.1758066185823841e-16,1.0784218149396701e-13,2.7459708867387377e-12,7.6522320419306213e-14,3.1654314256184265e-21,1.4087344230100144e-21
