Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690)
6.847613422051901e-17,0.0017631650729384414,6.1270884362993719e-31,1.7497430254832491e-26,1.6287140741879296e-20,6.1268938473990286e-31,1.0914983319784348e-19,2.0959958542300154e-32,1.3764711090066044e-54,1.6881017637290305e-43,6.1518207300185855e-47,5.9791220798259833e-44,2.027843059555838e-36,9.8084758949812904e-25,4.4031754393111452e-38,3.584748425088131e-55,8.7107930047182751e-51,1.7741177975533316e-39,2.3323281160277927e-52,1.0365429330658989e-91,4.6063282434843875e-65,7.8350739557157149e-65,2.1226182388509486e-80,4.5768373412509546e-58,1.8425838037776918e-64,5.8215101310491341e-58,4.048154936553105e-47,1.4637428589510017e-39,4.3993926745905739e-70,9.1169007620919472e-78,4.887747213744662e-72,2.1886117420655207e-74,1.5147042387776241e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999995023663,0.108803,0.0001,1.8211477106468481e-14,2.2678695417300938e-13,2.2678685700822626e-13,4.9658207085027652e-20,6.339963627551646e-20,2.5846993028452768e-14,4.2004765356089294e-20,4.0271952955804359e-28,3.1340619785175842e-28,1.7215318580577987e-32,3.9544502952255778e-24
1.3701176117276737e-16,0.0017631650729384414,2.4523911098257458e-30,7.0035263608303886e-26,3.2588400954128456e-20,2.4523522510246163e-30,2.1841031998631127e-19,8.3900091965725117e-32,5.5094707592701594e-54,5.176124852778379e-43,2.4623314980035923e-46,3.9738876733274443e-43,4.0574474709783924e-36,1.9625473617553419e-24,1.7624176862480384e-37,2.8699784140990781e-54,6.9739308072447293e-50,7.1010947135196003e-39,1.8672935458261905e-51,2.5800019880268724e-90,5.7067391860029679e-64,9.7068023265712574e-64,5.2831390864160135e-79,5.6702031689172644e-57,1.4761045107015196e-63,4.6619295577468051e-57,1.6203168102408647e-46,1.1718559567986252e-38,3.5221883148519937e-69,2.2692224308432706e-76,1.2165654609661738e-70,5.7331071796627604e-73,4.0633023616018167e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999990043012,0.108803,0.0001,3.6438776518444e-14,4.537707957399789e-13,4.5377062169696866e-13,1.6256195150928621e-19,2.5376361258917685e-19,5.1716364413550015e-14,1.68123893985722e-19,2.401102206505437e-27,1.5437361406703454e-27,1.3782760611247751e-31,1.5828102814652162e-23
2.7408301507726415e-16,0.0017631650729384414,9.8126647809301893e-30,2.8023182322326472e-25,6.5190828470654794e-20,9.8125873152297962e-30,4.3697878360198982e-19,3.3575474468263039e-31,2.2045052540910434e-53,1.3202270482864784e-42,9.8525332893232486e-46,2.3409690981590478e-42,8.1166549194803657e-36,3.9259469447811526e-24,7.0519664794707725e-37,2.2968549667721947e-53,5.5812639551181979e-49,2.841362876955835e-38,1.4944229893744059e-50,5.3994927122020455e-89,5.9241423979914601e-63,1.007658866582944e-62,1.1056363063998857e-77,5.8862145094342787e-56,1.182798337763006e-62,3.7314331508969945e-56,6.4833766489418686e-46,9.3782850273906496e-38,2.8188197659453029e-68,4.7490461038441759e-75,2.5460014719016422e-69,1.351938212597487e-71,1.1746367630386091e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999980081709,0.108803,0.0001,7.2893375333352358e-14,9.0773814159961916e-13,9.0773777006707808e-13,4.7321324171505844e-19,1.0153837417584314e-18,1.0345487379641504e-13,6.7267754522549844e-19,1.2660150182653029e-26,6.9537405115756495e-27,1.103045835827482e-30,6.3333001231439278e-23
5.482255228862577e-16,0.0017631650729384414,3.9256764760691982e-29,1.1211061174479131e-24,1.3039531187416357e-19,3.9256610609016504e-29,8.7430567075451855e-19,1.3435984135864798e-30,8.8194509717930348e-53,2.6664674196617007e-42,3.9416548438587292e-45,1.1980695526267781e-41,1.6235064319115482e-35,7.8527462649317844e-24,2.8212458516029313e-36,1.837832931880896e-52,4.4658588161985504e-48,1.1367301941350516e-37,1.1957984833603116e-49,9.076344941387514e-88,4.9178517293885858e-62,8.3649477825789033e-62,1.8585074569987866e-76,4.8863663733989871e-55,9.4876388061584765e-62,2.9859025081259218e-55,2.5937719096375587e-45,7.5039861012428403e-37,2.2554819281311386e-67,7.9830957812763754e-74,4.2796810495885581e-68,2.7834350386351423e-70,3.5576697399194639e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999960159156,0.108803,0.0001,1.4580257292699836e-13,1.8156717070069254e-12,1.8156705427843488e-12,1.2112997752075764e-18,4.0621861506925424e-18,2.0693095902124926e-13,2.6908524555198808e-18,5.9920110173885789e-26,2.9622336581208016e-26,8.8261402588624884e-30,2.5337305840268562e-22
1.0965105385042448e-15,0.0017631650729384414,1.5703850394052692e-28,4.4847602330197403e-24,2.6080279218179795e-19,1.5703819657727125e-28,1.7497192829320025e-18,5.3777179053114432e-30,3.5280630804756767e-52,4.2710146843330015e-42,1.5767902342649473e-44,5.4322360147769489e-41,3.2471861128940217e-35,1.5706345522057691e-23,1.1285902371796868e-35,1.4704059279800667e-51,3.5730257456056293e-47,4.5472910392186028e-37,9.5678248466124238e-49,1.2236333816582036e-86,3.2632438081249018e-61,5.5505608374058468e-61,2.5055581795981431e-75,3.2423516790746025e-54,7.6283604489666395e-61,2.389024439982374e-54,1.0375924665473906e-44,6.0037047250435621e-36,1.8045534121657838e-66,1.0763033885991541e-72,5.7696647293949281e-67,5.0807840767914347e-69,1.1062534113463296e-82,0.88129999999999997,0.0,0.0,0.0,0.009889999992031405,0.10880299999999997,0.0001,2.9162096796960747e-13,3.6315347041851e-12,3.6315299921795311e-12,2.7845475213567704e-18,1.6249987138769019e-17,4.138793953747093e-13,1.0761922381420679e-17,2.6299748509581286e-25,1.223536233626017e-25,7.0617389422184031e-29,1.0135733668857978e-21
2.193080569740219e-15,0.0017631650729384414,6.2817076867810102e-28,1.7939537193682658e-23,5.2161180694995061e-19,6.2817013992613156e-28,3.5035858443911894e-18,2.1534845347151103e-29,1.4112791168759363e-51,5.705196359575338e-42,6.30741739734902e-44,2.2867747731485594e-40,6.4945366791046024e-35,3.1413546507038313e-23,4.5145450530107019e-35,1.1763805535702768e-50,2.8585554339274021e-46,1.818990590715228e-36,7.6554691096940919e-48,1.3771748754658039e-85,1.8072039830478548e-60,3.0739274635788954e-60,2.8199174659475909e-74,1.795633796737915e-53,6.1630257138353513e-60,1.9113405356947136e-53,4.1505328509355889e-44,4.8031262191256034e-35,1.4437057297424863e-65,1.2114667117782689e-71,6.4935073750365282e-66,8.5946588875398789e-68,3.4884784696097343e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999840623976,0.10880299999999989,0.0001,5.8325775747609482e-13,7.2632445196730714e-12,7.2632245072319145e-12,5.9760559350191792e-18,6.5001954357511436e-17,8.2776133223577812e-13,4.3030551095180765e-17,1.1041687965191188e-24,4.9725009327716313e-25,5.6499094363754861e-28,4.0544480952724828e-21
4.3862206322121675e-15,0.0017631650729384408,2.5126674818120169e-27,7.1757739063404261e-23,1.0432060543011764e-18,2.5126660255698478e-27,7.0234762008331156e-18,8.6325968685880052e-29,5.6452029949681167e-51,6.7477490128248761e-42,2.5230181413551468e-43,9.3079911800960799e-40,1.2989202628698989e-34,6.2827958387358093e-23,1.8058550870872342e-34,9.411267293803448e-50,2.2868972493198346e-45,7.2761116769821687e-36,6.1258740478493668e-47,1.3616825879958135e-84,8.8132671446269055e-60,1.4990688596539197e-59,2.7880670971873019e-73,8.7568423338014525e-53,5.0266156425328118e-59,1.5291208294136604e-52,1.6602421966229226e-43,3.8424957006521758e-34,1.1549831425041972e-64,1.1980283342402262e-70,6.42006525241601e-65,1.4025690328107945e-66,1.1080671920579134e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999681244417,0.10880299999999955,0.0001,1.1665313341741489e-12,1.4526599703177935e-11,1.4526516005740287e-11,1.2370101021388592e-17,2.6000799438101302e-16,1.6554654668860511e-12,1.71974785107055e-16,4.52672241121355e-24,2.0036162043258995e-24,4.5204349700053058e-27,1.6218040865305515e-20
6.579360694684116e-15,0.0017631650729384404,5.3393534189257418e-27,1.5248336195227461e-22,1.5647765206707161e-18,5.3393508256358787e-27,1.0555523675996573e-17,1.8371837127447291e-28,1.1996087178841302e-50,6.9209768960842817e-42,5.3614455210584208e-43,1.9853737745321216e-39,1.9483833395657321e-34,9.4242380205479679e-23,3.8374655019880288e-34,2.6910505965816475e-49,6.5391344218392478e-45,1.5461831722512981e-35,1.7518857527699796e-46,4.1455475712258047e-84,2.0043510034710498e-59,3.4092358216163458e-59,8.4875888157664616e-73,1.9915186310550511e-52,1.455271707932662e-58,4.5396183421701378e-52,3.5280289355545269e-43,1.098704724455191e-33,3.302535624136839e-64,3.6475796778274222e-70,1.9544119528064146e-64,5.3657984948994159e-66,5.2931802416280576e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999521865484,0.10880299999999905,0.0001,1.7498049085572859e-12,2.178989054844143e-11,2.1789709976007682e-11,1.8764771697712487e-17,5.5251278472184199e-16,2.4831098667756908e-12,3.652271688062257e-16,9.6894337233433242e-24,4.2653945938163023e-24,1.2926482543377337e-26,3.4463424181925587e-20
8.772500757156064e-15,0.0017631650729384393,9.1081856225141749e-27,2.6011517899313651e-22,2.0863232072619463e-18,9.1081814577801122e-27,1.4099728155164608e-17,3.1383654727818531e-28,2.0463913715317243e-50,7.6549176625883937e-42,9.1460238938839739e-43,3.3909695046349461e-39,2.5978428980170306e-34,1.2565681198884618e-22,6.5462859650897203e-34,5.6762241731821849e-49,1.3792970547303288e-44,2.6376151576346788e-35,3.69584662557433e-46,9.0565983707490424e-84,3.5357356537747021e-59,6.0139805157919903e-59,1.8541929696472909e-72,3.5130989616003897e-52,3.1058940984459228e-58,9.8916385330488965e-52,6.018410494657637e-43,2.3174646199532955e-33,6.9660001074617108e-64,7.9696781827191229e-70,4.2695451379350707e-64,1.4462434994096683e-65,1.7499144137817794e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999362487123,0.10880299999999839,0.0001,2.3330784806255099e-12,2.9053117154779104e-11,2.9052806421389398e-11,2.5159427800696894e-17,9.4251297022676543e-16,3.3106945362156176e-12,6.2268902694217924e-16,1.6592243062378593e-23,7.2814261474802461e-24,2.7267668543216791e-26,5.8790545361785005e-20
1.315878088209996e-14,0.0017631650729384356,1.8856876387266488e-26,5.3852219781218327e-22,3.1293607744935367e-18,1.8856867672909069e-26,2.1216668502067678e-17,6.512749325999595e-28,4.2367847258520743e-50,2.0369743908509436e-41,1.8935739505526433e-42,7.0160490394588955e-39,3.8967537578742798e-34,1.8848569902852813e-22,1.355329808210537e-33,1.5503582164106386e-48,3.7672990703332509e-44,5.460865062893942e-35,1.0098183515909922e-45,2.5406892186404179e-83,7.3456673424567704e-59,1.2494337604096823e-58,5.2018091134434891e-72,7.2986384843248479e-52,8.662956604136401e-58,2.8712526384148478e-51,1.2460356507624647e-42,6.3296019760194865e-33,1.9026248194662683e-63,2.2366367408118553e-69,1.1977581604685144e-63,5.8590760037548151e-65,1.0195059194959771e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999043731823,0.10880299999999671,0.0001,3.4996256193290085e-12,4.3579419908222341e-11,4.3578770437624893e-11,3.7948614024646413e-17,1.9513186572109943e-15,4.9657237047583881e-12,1.2880029469545292e-15,3.4481579538025009e-23,1.5080086599311612e-23,7.4488550217692649e-26,1.2171809193664829e-19
1.7545061007043857e-14,0.0017631650729384321,3.2069818176325616e-26,9.1586269786704826e-22,4.1723109049954849e-18,3.206980227794806e-26,2.8378313536835855e-17,1.1101130679035288e-27,7.205638785409122e-50,-1.1065065224183564e-40,3.2204790652977592e-42,1.2077739598009625e-38,5.1956516800500186e-34,2.5131462294194043e-22,2.305065487334237e-33,3.2438745753134015e-48,7.8824621008058353e-44,9.2875191456357558e-35,2.1135740061999941e-45,5.7590650858026101e-83,1.5461375683996861e-58,2.6297763000332578e-58,1.1781741130504085e-71,1.5362387966519696e-51,1.8477053984322576e-57,6.2791242134296236e-51,2.1191781341326772e-42,1.3243422172050371e-32,3.9809126478813237e-63,5.0669374498684972e-69,2.7127927114845324e-63,1.5876685851408895e-64,3.3899047830712256e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899998724978743,0.10880299999999443,0.0001,4.6661727495197757e-12,5.8105487249894067e-11,5.8104375847943948e-11,5.0737589529306298e-17,3.3186218147229678e-15,6.6205332589409901e-12,2.1886204935432271e-15,5.8769379681399e-23,2.5642801833456337e-23,1.5587778985959882e-25,2.070099230833838e-19
2.631762125693165e-14,0.0017631650729384204,6.9869313461159276e-26,1.9953558961903947e-21,6.2579241041512988e-18,6.9869269377832143e-26,4.2848393443838493e-17,2.431591991718061e-27,1.5699465520728215e-49,7.8005260672500562e-42,7.0167816322285217e-42,2.6065902124607993e-38,7.7934050423671212e-34,3.7697259298516701e-22,5.0222798911137627e-33,1.0243184052335593e-47,2.4890419459927939e-43,2.0235659463007198e-34,6.6796804564184652e-45,1.9383804636050013e-82,3.2395382908302783e-58,5.5100130487783638e-58,3.9660140148255587e-71,3.21879793061406e-51,6.157232714905445e-57,2.0887417578327879e-50,4.6172354779687992e-42,4.1816503991846548e-32,1.257032131265439e-62,1.7071084371913626e-68,9.131423788343076e-63,7.9680208059064037e-64,2.778148921219132e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899998087479749,0.1088029999999879,0.0001,6.9992669819486146e-12,8.7156852976836176e-11,8.7154409270967421e-11,7.6314869599939767e-17,7.2302696520100364e-15,9.929431408896088e-12,4.7584568627149549e-15,1.2835281972531088e-22,5.5796805569040623e-23,4.923970327736916e-25,4.5102791502316263e-19
3.5090181506819444e-14,0.0017631650729384044,1.2265973760440747e-25,3.5029660944587834e-21,8.3431589479608987e-18,1.2265964189231645e-25,5.7511967369812276e-17,4.290609361825015e-27,2.7562700252927684e-49,-1.9319381851919313e-40,1.2319121220478432e-41,4.5969562263046302e-38,1.0391102405540302e-33,5.0263072528457235e-22,8.8174465159039416e-33,2.3298532004730405e-47,5.6614187407287885e-43,3.5527060902578148e-34,1.5204264847260807e-44,4.9295270160187063e-82,6.7940724918897001e-58,1.1552951730237925e-57,1.0048179358836138e-70,6.7505750863413798e-51,1.4635173637311322e-56,4.8592389146867406e-50,8.1062687981853596e-42,9.510888130416616e-32,2.8591289452217111e-62,4.3273368939409868e-68,2.3134435463184582e-62,2.3909315742415283e-63,1.0721522380162089e-75,0.88129999999999997,0.0,0.0,0.0,0.0098899997449990278,0.10880299999997881,0.0001,9.3323611775302812e-12,1.1620720914590101e-10,1.162028907855655e-10,1.0189125956747936e-16,1.2693356518844181e-14,1.3237379369917372e-11,8.3373829934345916e-15,2.2562634708681578e-22,9.7804342638443177e-23,1.1203325447879374e-24,7.918450784857175e-19
5.263530200659503e-14,0.001763165072938359,2.734064782436919e-25,7.8080522608202484e-21,1.2512488734997117e-17,2.734061677009324e-25,8.7422234243502967e-17,9.6697841628867619e-27,6.1443373243428462e-49,8.0098455685470739e-42,2.7462728390684053e-41,1.0203856307563939e-37,1.5586328366763327e-33,7.5394748789407825e-22,1.965654177171488e-32,7.778911616470171e-47,1.8902284411212419e-42,7.9199702872112375e-34,5.0847917194796215e-44,1.6669651322460824e-81,1.3866012569123857e-57,2.3579995175381284e-57,3.4041566263041194e-70,1.3777238778011559e-50,5.3883340574804297e-56,1.6545690693623602e-49,1.8070860728950659e-41,3.1751364628660824e-31,9.5457255002176923e-62,1.4683253110410086e-67,7.8367697207983563e-62,1.2372522184795948e-62,8.8017445345625879e-75,0.88129999999999997,0.0,0.0,0.0,0.0098899996175039976,0.10880299999995297,0.0001,1.3998549457643997e-11,1.7430491055712877e-10,1.7429517774097711e-10,1.5304138826374174e-16,2.8294189410567784e-14,1.9850413005364564e-11,1.8504751354291831e-14,5.0360672906304457e-22,2.1717147440630283e-22,3.743244019898962e-24,1.7651978342084796e-18
